[2026-06-06 23:04:20] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-05
正在获取论文...
[ACM] 2026-6-5 | Hop-wise Planning with Iterative Explainable Self-Correction for Knowledge Base Question Answering
[ACM] 2026-6-5 | Seeing in the Dark with Ambient Guidance
[IEEE] 2026-6-5 | Learning External Point-Set Context for Point Cloud Segmentation
[IEEE] 2026-6-5 | Towards Immersive Volumetric Space: Capture, Reconstruction, and Application
[IEEE] 2026-6-5 | An Electromechanical Coupling Model and Analysis for In-wheel Motor Considering Transient Multi-dimension Eccentricity
[IEEE] 2026-6-5 | Physics-constrained Real-time Hand Grasping in VR/AR via Force Closure Stability Judgment
[IEEE] 2026-6-5 | IEEE Access
[IEEE] 2026-6-5 | Table of Contents
[IEEE] 2026-6-5 | Table of Contents
[IEEE] 2026-6-5 | Improving the Performance of Next-Generation Vehicular Safety Messages Communication With Relay-Assisted Protocol
[IEEE] 2026-6-5 | Indoor 5.8 GHz dc-dc Wireless Power Transfer at a Distance Capable of Attitude and Range Optimization
[IEEE] 2026-6-5 | Front Cover
[IEEE] 2026-6-5 | Using a Scale Testbed: Controller Design and Evaluation [25 Years Ago]
[IEEE] 2026-6-5 | A DRL-based Energy-Efficient and Mobility-aware SFC Embedding Strategy in 6G SAGINs
[IEEE] 2026-6-5 | Arc Behavior and Surface Evolution Under Targeted Current Conditioning
[IEEE] 2026-6-5 | A Hybrid Stylometric and Transformer-Based Framework for Detecting AI-Generated Text
[IEEE] 2026-6-5 | Integrating Machine Learning and Deep Learning for Robust and Privacy-Preserving Intrusion Detection: A Unified Framework and Experimental Study
[IEEE] 2026-6-5 | Intelligent Crop Protection: AI Powered Detection and Diagnosis of Plant Diseases
[IEEE] 2026-6-5 | Building a Multilingual, Voice-First Banking Assistant: Architecture and Implementation for the Mifos Ecosystem
[IEEE] 2026-6-5 | Education Committee News: IEEE MTT-S Webinars [Education News]
[IEEE] 2026-6-5 | Stateless Per-Packet IoT Authentication Framework Using Machine Learning
[IEEE] 2026-6-5 | Financial IoT Smishing Detection: Challenges, Gaps, and Research Roadmap
[IEEE] 2026-6-5 | Startup Success Predictor: A Machine Learning-Based Forecasting Framework for Early-Stage Venture Assessment
[IEEE] 2026-6-5 | Proactive Approaches to Vulnerability Assessment and Mitigation
[IEEE] 2026-6-5 | A Trojan Attack on TDMA Synchronization in Energy-Harvesting Wireless Networks
[IEEE] 2026-6-5 | Credit Score Simulator and Coaching Module for Intelligent Credit
[IEEE] 2026-6-5 | A Multimodal Retrieval-Augmented Generation System for Intelligent Document Processing and Study Assistance
[IEEE] 2026-6-5 | IoT and Machine Learning-Based Road Condition Monitoring and Pothole Detection System
[ACM] 2026-6-6 | A Two-Stage Multi-modal Fusion Framework for Robust Key-point Detection of Wisdom Teeth with Panoramic Radiographs
[ACM] 2026-6-6 | Smart Hydroponic Control Framework Based on Generative AI and Machine Learning for pH and Nutrient Optimization
[ACM] 2026-6-6 | Research on Mammographic Mass Classification Based on Improved Stacking Algorithm
[ACM] 2026-6-6 | Practice and Development of Large Language Model in Command and Control
[IEEE] 2026-6-5 | Neural Representation Learning and Privacy-preserving Cloud-Edge Collaboration for Next-Generation Financial Wealth Management Platforms
[IEEE] 2026-6-5 | K-Means Based Tinyml Anomaly Detection and Distributed Model Reuse via the Distributed Internet of Learning (DIoL)
[IEEE] 2026-6-5 | Traffic Routing &amp; Prediction Using Optimized ACO-PSO
[IEEE] 2026-6-5 | Context-Aware Semantic Classification of Digital News Headlines Using Transformer-Based Models
[IEEE] 2026-6-5 | An Improved SMS Security Technique to Avoid Plaintext and Dictionary Attacks
