[2026-05-27 23:17:41] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-26
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605260000+TO+202605262359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-5-26 | Nash Equilibria in Uniform Price Auctions: Theory, Computation, and Market Insights
[ACM] 2026-5-26 | PEMI: Transparent Performance Enhancements for QUIC
[ACM] 2026-5-26 | Cache Your Prompt When It's Green - Carbon-aware Caching for Large Language Model Serving
[ACM] 2026-5-26 | A Comprehensive Study of Satellite Network Performance During Severe or Extreme Geomagnetic Storms over 1.5 Years (May 2024 – Oct 2025)
[IEEE] 2026-5-26 | A 0.01-mm
                    <sup>2</sup>
                    10-bit 5-GS/s Current-Steering DAC Using Replica Current Generator for Cryogenic Applications
[IEEE] 2026-5-26 | Flood Mod: A Flood Based Emergency Response System with Multi Model LLM Pipeline for Emergency Call Triage &amp; Resource Allocation
[IEEE] 2026-5-26 | Smart Resume Analyzer Using LLM Embeddings (Sentence-BERT) for Automated Skill Gap Detection
[ACM] 2026-5-26 | RIOT: Replicated Independently-Ordered Transactions
[ACM] 2026-5-26 | Building, Serving, and Growing a Conversational AI Assistant for Enterprise
[ACM] 2026-5-26 | 22
                    <i>
                      <sup>nd</sup>
                    </i>
                    International Workshop on Data Management on New Hardware (DaMoN)
[ACM] 2026-5-26 | Higher-Order Approximations of Sojourn Times in M/G/1 Queues via Stein's Method
[IEEE] 2026-5-26 | Title Page i
[IEEE] 2026-5-26 | ASIC Design for GenAI Inference
[IEEE] 2026-5-26 | Ferroelectric Memories for Storage and Computing
[IEEE] 2026-5-26 | Battery-less Meat Freshness Detection via Far-Field RF Energy Harvesting and BiLSTM Attention Networks
[IEEE] 2026-5-26 | Cocktail Security Scheme for Patching the Bus Vulnerability of Chiplet ICs
[IEEE] 2026-5-26 | Wind Energy Prediction Using Machine Learning Techniques
[IEEE] 2026-5-26 | MAPLE: Multi-session Anchor-based Point cloud Loop-closure for Efficient Merging
[IEEE] 2026-5-26 | LSTM - XGBoost Based Intelligent Handover Optimization Framework for 5G Networks Using Real-World Mobility Data
[IEEE] 2026-5-26 | TeethSMOTE: A Feature Neighborhood Fusion and Enhancement method for Dental Image Analysis
[IEEE] 2026-5-26 | Architectural Design of Low-latency and Highbandwidth 3D NAND with Split-Stacked Row Decoder for LLM Inference
[IEEE] 2026-5-26 | 2025 CERN Compendium of Radiation Effects in Candidate Electronics for High-Energy Particle Accelerator Systems
[IEEE] 2026-5-26 | Vertical aligned Hexagonal Boron Nitride with Ballistic Thermal Conductivity
[IEEE] 2026-5-26 | Implicit Chinese Compound Sentence Relation Classification Based on BSGGT Hybrid Model
[IEEE] 2026-5-26 | A Gate-All-Around Back-Gated Junctionless 3D NAND Structure for Improved Switching Efficiency and Variability Suppression
[IEEE] 2026-5-26 | Optimizing Photovoltaic Efficiency Through Underground Cooling: A Comparative Review of Water and Air-Based Systems
[IEEE] 2026-5-26 | Reusing Demolished Concrete Waste in Pressed Concrete Brick Production
[IEEE] 2026-5-26 | A Multi-Model Deep Learning Framework for Hate Speech Detection in Code-Mixed Low-Resource Languages
[IEEE] 2026-5-26 | Lightweight Human Pose Estimation From Wifi Channel State Information Using Deep Neural Networks
[IEEE] 2026-5-26 | Research on a Text Classification Model Based on Multi-Level Feature Fusion
[IEEE] 2026-5-26 | Hybrid CART Model for Adaptive Earthquake Risk Forecasting Under Uncertainty
[IEEE] 2026-5-26 | EmbedCheck Algorithm: A Computational Framework for Multi-Document Semantic Text Similarity Analysis and Academic Assignment Evaluation
[IEEE] 2026-5-26 | Research on High-Precision Indoor Navigation System Based on Improved Federated Filtering and Tightly-Coupled Fusion
[IEEE] 2026-5-26 | Demo: Deploying Maneuver Coordination System in Real-Life Autonomous Driving Scenarios
[IEEE] 2026-5-26 | Smart Subsafe Passage Sentinel
[IEEE] 2026-5-26 | Design and Analysis of a Low-Cost Gripper with Compliant, Tendon-Driven Continuum Fingers
[IEEE] 2026-5-26 | Development of Transient Electromagnetic Field Transmitter with No-Load Shutdown
[IEEE] 2026-5-26 | Overcoming Erase Limitations of Amorphous Oxide Semiconductor Channels Through Dual Source/Drain Structures for Flash Memory
