[2026-02-28 09:14:59] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-27
正在获取论文...
[IEEE] 2026-2-27 | Prediction of the Breast Cancer in Histopathology Images using JAYA-Optimized Deep Network
[IEEE] 2026-2-27 | Warm-stamping mechanical behavior and microstructural characterization of Al-Si metal sheets using water refrigerated tooling
[IEEE] 2026-2-27 | Fake News in the Digital Age: The Role of Social Media and its Consequences
[IEEE] 2026-2-27 | Depthwise Separable Convolution architectures for 3D Object Recognition *
[IEEE] 2026-2-27 | LightDiff-Shadow: A Lightweight Global Guided Diffusion Model for Real-Time Shadow Removal
[IEEE] 2026-2-27 | Application of ChatGPT in Today’s Medical System
[IEEE] 2026-2-27 | Computer Technology-Driven Dynamic Parameters Identification for Symmetrical Dual-Branched 4PPa-2PaR Parallel Manipulator Using Genetic Algorithm and Log-Cholesky Parameterization
[IEEE] 2026-2-27 | Offloading Reservoir Computing-Based Hand-Waving Action Recognition to FPGAs for Service Robots
[IEEE] 2026-2-27 | The Role of Real-World Data in Evaluating Causal Bayesian Networks: Data Collection Guidelines and Case Study
[IEEE] 2026-2-27 | GeetaVani: A Retrieval-Augmented LLM Framework for Contextual Dialogue from the Bhagavad Geeta
[IEEE] 2026-2-27 | A Web-Based Multi-Robot Teleoperation Platform: Architecture, Implementation, and User Evaluation
[IEEE] 2026-2-27 | Lightweight Mask-Aware User Authentication Framework Using MobileFaceNet for Medical IoT Network
[IEEE] 2026-2-27 | Iterative development of a mechanical gripping system for civil counter-UAS applications
[IEEE] 2026-2-27 | Co-Optimization of Design and Manufacturing Parameters for Low-Cost Robotic Actuation
[IEEE] 2026-2-27 | Review on Low Noise Amplifier for High Frequency Applications
[IEEE] 2026-2-27 | Unified Transmission-Distribution Coordination for Secure and Economical Frequency Support From Distributed Energy Resources
[IEEE] 2026-2-27 | A Remaining Useful Life Prediction Method for Power Devices Based on Multi-Indicator Fusion and Particle Swarm Optimization
[IEEE] 2026-2-27 | Road Extraction from Remote Sensing Images Using Efficient Channel Attention and Transformer
[IEEE] 2026-2-27 | A Floating Level Converter With A Negative Voltage Tolerance Of -35V
[IEEE] 2026-2-27 | Estimating Wrist Joint Angle using Electromyography and Cepstral Coefficients
[IEEE] 2026-2-27 | An Optimal Design Method for High-Frequency Transformers in High-Frequency Link AC-DC Matrix Converters
[IEEE] 2026-2-27 | Automatic Diabetic Retinopathy Identification and Grading in Retinal Fundus Pictures
[IEEE] 2026-2-27 | EcoGrow: IoT-Based Smart Plant Monitoring System
[IEEE] 2026-2-27 | Robotic System Architecture Design for Manipulation of 3D Deformable Objects
[IEEE] 2026-2-27 | AIREC-Basic: Consistent Demonstration Data Collection for Imitation Learning with Redundant Robot Arms
[IEEE] 2026-2-27 | A self-supervised learning-based 3D model completion method for automatic reconstruction systems
[IEEE] 2026-2-27 | Virtual Domain-Guided Cross-Modal Distillation With Multiview Correlation Awareness for Domain-Specific Multimodal Neural Machine Translation_supp1-3656559.pdf
[IEEE] 2026-2-27 | Next Generation of Brain-Computer Interfaces: A Proposal for Spikes Detection Based on CDMA and Power Domain Nonorthogonal Multiple Access Techniques
[IEEE] 2026-2-27 | PropMambaSR: Lightweight Image Super-Resolution with Propagation State Space Model
[IEEE] 2026-2-27 | PO-GUISE+: Pose and Object Guided Transformer Token Selection for Efficient Driver Action Recognition
[IEEE] 2026-2-27 | Learning Optimal Robust Control for Nonlinear Mixed Traffic Under External Disturbance
[IEEE] 2026-2-27 | Modularity Maximization and Community Detection in Complex Networks Through Recursive and Hierarchical Annealing in the DWAVE Advantage Quantum Processing Units
[IEEE] 2026-2-27 | DWSF-Net: A Dynamic Wavelet-based Spatial-frequency Fusion Network for Multispectral Object Detection
[IEEE] 2026-2-27 | 3D-SceneQ: Empowering 3D LLM with Query-Guided Adaptive Pruning and Multi-modal Feature Enhancement
[IEEE] 2026-2-27 | Dual-Layer Bumpless Transfer Control for Markovian Jump Systems and Its Applications: A Weighted Coefficient Mechanism_supp1-3666949.pdf
[IEEE] 2026-2-27 | A Dual-Lunate-Ring Bulk RE-Ba-Cu-O Undulator
[IEEE] 2026-2-27 | Dynamics of the Electric-Driven Gas Compressor Station Under Electric and Gas Network Disturbances
[IEEE] 2026-2-27 | UniOrch: A Unified Mixed Framework for High-Efficiency LLM Training on Heterogeneous AI Chips
[IEEE] 2026-2-27 | Zero-Pose-Prior NeRF: Recursive Radiance Field Reconstruction from Unposed and Unordered Images
[IEEE] 2026-2-27 | IEEE Control Systems Society Information
[IEEE] 2026-2-27 | Winfree-Model-Type Synchronization Control for Swimming Modular Robot through Physical Interaction
[IEEE] 2026-2-27 | ISED 2025 Content Announcement Page
[IEEE] 2026-2-27 | Anticipating Human Behavior for Safe Navigation and Efficient Collaborative Manipulation with Mobile Service Robots
[IEEE] 2026-2-27 | Improved Predator-based Point Cloud Registration Method for Inner Liners in Utility Tunnel
[IEEE] 2026-2-27 | Responsible AI Monetization: Ethical and Economic Implications of Algorithmic Business Models
[IEEE] 2026-2-27 | Theme: Smart Technologies and Systems
[IEEE] 2026-2-27 | A Common Source Impedance Compensation Method to Achieve Balanced Dynamic Current Sharing of Paralleled SiC MOSFETs
[IEEE] 2026-2-27 | Optimizing Stacking Ensemble Learning to Enhance Meta-Model Performance in Forest Fire Risk Level Detection
[IEEE] 2026-2-27 | Dialogue Generation for Robot Family Using ROS and Generative AI: Initial Implementation of Centralized and Distributed Systems
[IEEE] 2026-2-27 | ICETISI 2025 List Reviewer Page
[IEEE] 2026-2-27 | Natural Language-Driven Automation for Network Device Management with Large Language Models
[IEEE] 2026-2-27 | Evaluating the Out-of-Distribution Generalization of Robot Diffusion Policies under the DINOv2 Visual Encoder
[IEEE] 2026-2-27 | Single-Machine Equivalent Modelling of Wind Farms Based on Data-Driven Multiplier Parameter Correction
[IEEE] 2026-2-27 | Integrating Automatic Force Assistance Configuration with Mixed Reality for Active Exoskeletons
[IEEE] 2026-2-27 | Accurate PQ-ωV Admittance Model for Parallel VSC Systems
[IEEE] 2026-2-27 | VAE-Based Synthetic EMG Generation with Mix-Consistency Loss for Recognizing Unseen Motion Combinations
[IEEE] 2026-2-27 | Analysis and Design of a Novel 13.56 MHz Push-Pull Class E Inverter
[IEEE] 2026-2-27 | Title Page
[IEEE] 2026-2-27 | HEART: Hybrid Energy-Aware Resilient Trust Evaluation Model for Healthcare-IoT
[IEEE] 2026-2-27 | Universal DC-DC Topology Deduction Mechanism Based on Graph-Theoretic Weighting and Four-Dimensional Electrical Characteristics
[IEEE] 2026-2-27 | Urban Sound Classification: A Lightweight CNN Approach Based on Mel-Spectrograms
[IEEE] 2026-2-27 | The Impact of Temperature Sensors in IoT on Fermentation in Eco-Enzymes
[IEEE] 2026-2-27 | Hardware-Decoupled High-Frequency Triple Active Bridge (TAB) Converter
[IEEE] 2026-2-27 | Development and Testing of Avalanche Transistors and Sub-nanosecond Pulses
[IEEE] 2026-2-27 | An Optimized Switch Fault Diagnosis Strategy for Cascaded H-Bridge Based STATCOM
[ACM] 2026-2-27 | Supporting QoS Guarantee in Heterogeneous Object Storage System: A Spatio-Temporal Graph Data Processing Method
[IEEE] 2026-2-27 | Diffusion-based Multi-agent with Reinforcement Learning for Multimodal-based Recommendation
[IEEE] 2026-2-27 | Anchor-guided Discrete Multi-view Clustering
[IEEE] 2026-2-27 | Sounding Depressed? Personalized Deep Learning Model for Depression Detection from Speech and Text
[IEEE] 2026-2-27 | Decouple, Reorganize, and Fuse: A Multimodal Framework for Cancer Survival Prediction
[IEEE] 2026-2-27 | SegTrans: Transferable Adversarial Examples for Segmentation Models
[IEEE] 2026-2-27 | Compositional Text-to-Image Synthesis with Training-Free Layout-Guided Diffusion
[IEEE] 2026-2-27 | Reasoning Techniques Meet GraphRAG: Advancing LLM for Wireless Network Cyber Defense
[IEEE] 2026-2-27 | A Wearable Hand Tremor-Suppressing Glove Using PVC Gel-Based Actuators and Force Sensors
[IEEE] 2026-2-27 | Hybrid Discretized Luenberger Observer for Sensorless IPMSM Drives Under Low Sampling-to-Fundamental Frequency Ratio
[IEEE] 2026-2-27 | Accurate Time-Domain Model for Flying Capacitor Based Three-Level LLC Resonant Converters
[IEEE] 2026-2-27 | Wide Range Series Resonant Converter with Double-Mode Operation Control Strategy
[IEEE] 2026-2-27 | Estimation of Flux Saturation Model for SynRMs Using Physics-Informed Neural Networks at Standstill
[IEEE] 2026-2-27 | Energy Management Optimization for Photovoltaic Hydrogen Production System
[IEEE] 2026-2-27 | GS-MATSC: Group Symmetric Multi-Agent Traffic Signal Control with Attention and Mirror Loss
[IEEE] 2026-2-27 | A Multi-Layered Security Framework for NIfTI Images Using CNN Feature Extraction, Arnold Scrambling and DWT Watermarking
[IEEE] 2026-2-27 | Research on Construction and Dynamic Evolution of Knowledge Graph for University History Archive Resources Based on Multimodal Data
[IEEE] 2026-2-27 | Applying Vision-Language Models for Intelligent Multimodal Surveillance and Crime Detection
[IEEE] 2026-2-27 | A Localization Strategy for Low-cost UAVs Sewers Inspection
[IEEE] 2026-2-27 | An Overall Loss Modeling Considering Current Ripple for Hybrid 3L-ANPC Converters
