[2026-08-21 03:05:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-20
正在获取论文...
[arXiv] 2026-08-20 | A Fully Automated, Deployment-Aware Testing Pipeline for IoT-Based Automotive Applications
[arXiv] 2026-08-20 | Causal Survival Forests with Negative Controls
[arXiv] 2026-08-20 | Gallileo-4D: Frozen Backbone Ensemble for Dynamic 4D Reconstruction
[arXiv] 2026-08-20 | Ribet Points, geometric divisibility sequence and order of reductions on semiabelian varieties
[arXiv] 2026-08-20 | Tri-Hybrid Beamforming for T-RIS-Enabled Base Station
[arXiv] 2026-08-20 | Improved quantitative stability for the critical Hardy inequality
[arXiv] 2026-08-20 | Well-Posedness for Cauchy Problems with Singular Time-Measurable Pseudo-Differential Operators in Quasi-decreasing Weighted $\mathrm{L}_2$-Spaces
[arXiv] 2026-08-20 | RFWM: Physics-Guided World Model for Dynamic Wireless Radiance Field Generation
[arXiv] 2026-08-20 | Minimal Quark-Lepton Complementarity from a Rigid Deformation of Tri-Bimaximal Mixing
[arXiv] 2026-08-20 | The Kick Velocities of Neutron Stars in Binary Systems
[arXiv] 2026-08-20 | Learning Deterministic and Stochastic Forced Hamiltonian Systems
[arXiv] 2026-08-20 | Tight Entropy Contraction of Generalized Quantum Depolarization
[arXiv] 2026-08-20 | Learning Hierarchical Skill Policies with Offline Quality-Diversity Reinforcement Learning
[arXiv] 2026-08-20 | Cavity-Enhanced Activation of Radiatively Suppressed Light-Hole Exciton Emission in Colloidal Nanoplatelets
[arXiv] 2026-08-20 | Frequency-Aware Continual Learning for Smart Contract Vulnerability Detection with Large Language Models
[arXiv] 2026-08-20 | The Asymmetric Harms of LLM Compression
[arXiv] 2026-08-20 | ReCache: Efficient KV Cache Reuse and Compression for Tool-Augmented LLM Agents
[arXiv] 2026-08-20 | FleetSieve: Decision-Critical Profiling for SLO-Aware LLM Fleet Configuration
[arXiv] 2026-08-20 | Differential Privacy in Feature Reconstruction Aided Federated Learning for Agent's Semantic Communication Model Update
[arXiv] 2026-08-20 | S$^2$GS: Structured Sparse Gaussian Streaming for Efficient Free-Viewpoint Video Reconstruction on Edge-IoT Devices
[arXiv] 2026-08-20 | Magnetically Self-Sealed MR Haptic Actuator With PWM-Based Excitation and High-Fidelity Torque Control
[arXiv] 2026-08-20 | Variational Goal-Oriented Optimal Experimental Design for Mixed-Distribution Quantities of Interest: Application to Ship Roll Safety
[arXiv] 2026-08-20 | Vorticity Dissipation Based Routing: A Fluid-Kinetic Framework for Loop-Free Transport in Ultra-Dense Networks
[arXiv] 2026-08-20 | Shift or curtail? How much data-center flexibility is worth depends on the host power grid
[arXiv] 2026-08-20 | Homoclinic Intersections and the Macroscopic Observability of Arnold Tongues in the Forced-Dissipative Duffing System
[arXiv] 2026-08-20 | Adaptive Time Windows for Discrete Adjoint Topology Optimization of Unsteady Flows
[arXiv] 2026-08-20 | IRIS: Navigating and Reflecting on Writing Traces Using Intelligent Document Histories
[arXiv] 2026-08-20 | What Matters for Latent Actions in Robot Learning
[arXiv] 2026-08-20 | Forking Fast: Efficiently Estimating Uncertainty Dynamics in Text Generation
[arXiv] 2026-08-20 | Tau-Rho Equality and Other Dependence Measures of a Subclass of Factorizable Copulas
[arXiv] 2026-08-20 | Universality of long-wavelength behavior of composite-fermion Fermi liquid
[arXiv] 2026-08-20 | Proton emission half-lives and shape coexistence for $71 \leq Z \leq 83$ odd-$Z$ nuclei
[arXiv] 2026-08-20 | PEA-DPO: Perception-Enhanced Alignment Direct Preference Optimization for MLLMs Alignment
