[2026-08-10 22:36:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-09
正在获取论文...
[IEEE] 2026-8-10 | 190VPP High-Voltage Capacitive Piezoelectric Ceramic Drive Circuit Design
[IEEE] 2026-8-10 | A PINN-ConvLSTM Method for Two-Dimensional Transient Magnetic Diffusion Prediction in Rail–Armature Systems
[IEEE] 2026-8-10 | Optimization and Application of 5G-A Typical Scenarios Based on AI/ML
[IEEE] 2026-8-10 | An STM32-Based Portable Platform for Black-Box Circuit Frequency-Response Identification and Waveform Reconstruction
[IEEE] 2026-8-10 | Quantitative Prediction of Postoperative Disease-Free Survival for Liver Cancer Based on Machine Learning Algorithms
[IEEE] 2026-8-10 | Unleashing the Power of Social Media: A Comprehensive Review of Event Detection Methods
[IEEE] 2026-8-10 | EITCE 2026 Content Announcement Page
[IEEE] 2026-8-10 | A Multimodal Driver Fitness Assessment System using Vision-Based Ocular Monitoring, Thermal Imaging, and Speech Analysis
[IEEE] 2026-8-10 | MISA: Multi-Frame Infrared Spatiotemporal Aggregation for Small Target Detection under Imperfect Inter-Frame Correspondence
[IEEE] 2026-8-10 | GINS: Graph-Based Informative Negative Sampling for Imbalanced Telecom Fraud Detection
[IEEE] 2026-8-10 | Motor Health State Prediction Based on Temperature Signals Driven by Digital Twins
[IEEE] 2026-8-10 | A Chopper-Stabilized Twin Double-Sampling Sigma-Delta Modulator
[IEEE] 2026-8-10 | Four-Class Chinese Phishing Text Detection Using BERT: Source Identification and Risk Assessment in Unified Classification
[IEEE] 2026-8-10 | Efficient Knowledge Base Construction and Intelligent Retrieval Based on an Improved Retrieval Algorithm
[IEEE] 2026-8-10 | Different Adaptive Bandwidth Extended State Observers for Stability Control of Hybrid Aquatic-Aerial Robot
[IEEE] 2026-8-10 | Robust SINS/DVL Integrated Navigation Algorithm Assisted by Single-Scale CNN and State-Prior Transformer in Complex Underwater Environments
[IEEE] 2026-8-10 | CHARACTER: Clothed Human Animatable Reconstructions viA Cross-view TExture TransfeR
[IEEE] 2026-8-10 | MRIS-Assisted Wireless Powered Communication System: Physical Layer Security and Reliability Performance Analysis
[IEEE] 2026-8-10 | Sentient XR: Zero-Install Browser-Based Urban Digital Twins with Live Environmental Sensing
[IEEE] 2026-8-10 | iSeeWeeds: Smart Solar-Powered Sonar and Bioacoustic Fish Repellent for Protecting Eucheumatoid Seaweed Cultivation using Random Forest
[IEEE] 2026-8-10 | Research and Deployment of 5G/5G-A Private Network for Industry
[IEEE] 2026-8-10 | Energy-Carbon Synergistic Configuration of Hydrogen-Ammonia Storage in Renewable Energy Bases: A Variable Time-Scale Decoupling Approach
[IEEE] 2026-8-10 | A Review of Advanced Decoupling Structures for High-Isolation 5G MIMO Antennas
[IEEE] 2026-8-10 | Dynamic Gated Cross-Scale Feature Enhancement for Small Dataset Image Classification
[ACM] 2026-8-10 | Application-Driven System Technology Co-Optimization for 2.5D Edge AI Platforms
[ACM] 2026-8-10 | FM-CAC: Carbon-Aware Control for Battery-Buffered Edge AI via Time-Series Foundation Models
[IEEE] 2026-8-10 | Research on Optimization Method of Intelligent Decision Support System Based on Machine Learning
[IEEE] 2026-8-10 | Vibration optimization of permanent magnet DC brushless motor for automotive actuators based on extreme radius coefficient
[IEEE] 2026-8-10 | A Perception-Aware Seeding and Deep Memetic Discrete Particle Swarm Algorithm for Cloud Task Scheduling
