[2026-04-02 22:32:24] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-01
正在获取论文...
[arXiv] 2026-04-01 | Grothendieck's Equality vs Voevodsky's Equality
[arXiv] 2026-04-01 | SoftHand Model-W: A 3D-Printed, Anthropomorphic, Underactuated Robot Hand with Integrated Wrist and Carpal Tunnel
[arXiv] 2026-04-01 | Online Network Slice Deployment across Multiple Domains under Trust Constraints
[arXiv] 2026-04-01 | 3D User Localization for Planar Arrays in LoS Near- and Far-Fields via Summed Phase Differences
[arXiv] 2026-04-01 | A Benchmark of State-Space Models vs. Transformers and BiLSTM-based Models for Historical Newspaper OCR
[arXiv] 2026-04-01 | Approximation of structures:local and global
[arXiv] 2026-04-01 | An updated picture of pre-solar history from short-lived radioactive isotopes and inferences on the birth of the Sun
[arXiv] 2026-04-01 | To Memorize or to Retrieve: Scaling Laws for RAG-Considerate Pretraining
[arXiv] 2026-04-01 | Learning Hidden Structures in Open Quantum Dynamics
[arXiv] 2026-04-01 | Birdcast: Interest-aware BEV Multicasting for Infrastructure-assisted Collaborative Perception
[arXiv] 2026-04-01 | Identification of L-functions in the extended Selberg class by preimages of finite sets
[arXiv] 2026-04-01 | Topological defect induced phase separation in a holographic system
[arXiv] 2026-04-01 | TP-Seg: Task-Prototype Framework for Unified Medical Lesion Segmentation
[arXiv] 2026-04-01 | MoonAnything: A Vision Benchmark with Large-Scale Lunar Supervised Data
[arXiv] 2026-04-01 | Distributed partial state estimation for linear state-space systems
[arXiv] 2026-04-01 | Arches of chaos, heteroclinic connections of first-order MMRs and the chaotic transport of small bodies in the Sun-Jupiter system
[arXiv] 2026-04-01 | Invariant idempotent $\ast$-measures for generalized iterated function systems
[arXiv] 2026-04-01 | Temporal Weyl Physics and Topological Control of Direction-Selected Radiation in Anisotropic Photonic Time Crystals
[arXiv] 2026-04-01 | Semiparametric Fisher Information in Models parametrized by a Normed Space
[arXiv] 2026-04-01 | When AI and Experts Agree on Error: Intrinsic Ambiguity in Dermatoscopic Images
[arXiv] 2026-04-01 | A Halo: The Trigger to a New Era of Nuclear Correlations
[arXiv] 2026-04-01 | Spontaneous structural reconstructions and properties of ultrathin triangular ZnSe nanoplatelets
[arXiv] 2026-04-01 | The contact process on a bipartite spatial network
[arXiv] 2026-04-01 | Heterogeneous Mean Field Game Framework for LEO Satellite-Assisted V2X Networks
[arXiv] 2026-04-01 | Searching for New Physics Inside Jets with the Herwig 7 Generalised Parton Shower
[arXiv] 2026-04-01 | Screening Workers with Affirmative Action
[arXiv] 2026-04-01 | No quantum advantage implies improved bounds and classical algorithms for the binary paint shop problem
[arXiv] 2026-04-01 | Fluently Lying: Adversarial Robustness Can Be Substrate-Dependent
[arXiv] 2026-04-01 | SAR/ISAR Imaging in 6G Network
[arXiv] 2026-04-01 | Probing Lorentz-violating effects via precession and accretion disk images of a rotating bumblebee black hole
[arXiv] 2026-04-01 | Robust IMMPC: An Offset-free MPC for Rejecting Unknown Disturbances
[arXiv] 2026-04-01 | The category of probabilistic metric spaces
[arXiv] 2026-04-01 | Scenario theory for multi-criteria data-driven decision making
[arXiv] 2026-04-01 | Emergent Macroscopic Nonreciprocity from Identical Active Particles via Spontaneous Symmetry Breaking
[arXiv] 2026-04-01 | Lightweight, Practical Encrypted Face Recognition with GPU Support
[arXiv] 2026-04-01 | Computing Alexander polynomials for arborescent links
[arXiv] 2026-04-01 | TRiGS: Temporal Rigid-Body Motion for Scalable 4D Gaussian Splatting
[arXiv] 2026-04-01 | MATHENA: Mamba-based Architectural Tooth Hierarchical Estimator and Holistic Evaluation Network for Anatomy
[arXiv] 2026-04-01 | Think, Act, Build: An Agentic Framework with Vision Language Models for Zero-Shot 3D Visual Grounding
[arXiv] 2026-04-01 | Strong-coupling expansion and two-point Padé approximation for lattice $φ^4$ field theory
[arXiv] 2026-04-01 | Toward Optimal Sampling Rate Selection and Unbiased Classification for Precise Animal Activity Recognition
[arXiv] 2026-04-01 | MAESIL: Masked Autoencoder for Enhanced Self-supervised Medical Image Learning
[arXiv] 2026-04-01 | Generalized Heavy-tailed Mutation for Evolutionary Algorithms
[arXiv] 2026-04-01 | Incremental stability in $p=1$ and $p=\infty$: classification and synthesis
[arXiv] 2026-04-01 | Revealing buried ferroelectric topologies by depth-resolved electron diffraction imaging
[arXiv] 2026-04-01 | All Roads Lead to Rome: Incentivizing Divergent Thinking in Vision-Language Models
[arXiv] 2026-04-01 | The Silicon Mirror: Dynamic Behavioral Gating for Anti-Sycophancy in LLM Agents
[arXiv] 2026-04-01 | Valuation of variable annuities under the Volterra mortality and rough Heston models
[arXiv] 2026-04-01 | Contact-Dependent Ion Gating Explains Directional Asymmetry in the Bacterial Flagellar Motor
[arXiv] 2026-04-01 | When AI Improves Answers but Slows Knowledge Creation: Matching and Dynamic Knowledge Creation in Digital Public Goods
[arXiv] 2026-04-01 | Gravitational wave spectrum from first-order QCD phase transitions based on a parity doublet model
[arXiv] 2026-04-01 | A machine learning framework for developing quasilinear saturation rules of turbulent transport from linear gyrokinetic data
[arXiv] 2026-04-01 | Bipolar plates for the next generation of proton exchange membrane fuel cells (PEMFCs): A review of the latest processing methods for unconventional flow channels
[arXiv] 2026-04-01 | FAST Observations of Wave-like Structures in the Radio Dynamic Spectrum of AD Leo
[arXiv] 2026-04-01 | Towards Reliable Truth-Aligned Uncertainty Estimation in Large Language Models
[arXiv] 2026-04-01 | Reachability-Aware Time Scaling for Path Tracking
[arXiv] 2026-04-01 | 1-Mbps Twin-Field Quantum Key Distribution over 200 km Using Independent Dissipative Kerr Solitons
[arXiv] 2026-04-01 | Distributed Safety-Critical Control of Multi-Agent Systems with Time-Varying Communication Topologies
[arXiv] 2026-04-01 | The 1st Winner for 5th PVUW MeViS-Text Challenge: Strong MLLMs Meet SAM3 for Referring Video Object Segmentation
[arXiv] 2026-04-01 | Gradient-Based Data Valuation Improves Curriculum Learning for Game-Theoretic Motion Planning
[arXiv] 2026-04-01 | Machine-learning extraction of size-dependent temperature scales in the 2D XY model
[arXiv] 2026-04-01 | Mine-JEPA: In-Domain Self-Supervised Learning for Mine-Like Object Classification in Side-Scan Sonar
[arXiv] 2026-04-01 | mmAnomaly: Leveraging Visual Context for Robust Anomaly Detection in the Non-Visual World with mmWave Radar
[arXiv] 2026-04-01 | Neural Reconstruction of LiDAR Point Clouds under Jamming Attacks via Full-Waveform Representation and Simultaneous Laser Sensing
[arXiv] 2026-04-01 | Comparative study of room temperature and quench condensed bismuth films: morphology and electronic characteristics
[arXiv] 2026-04-01 | Nonlinear Frequency-Momentum Topology and Doubling of Multifold Exceptional Points
[arXiv] 2026-04-01 | Revisiting the Constant-Rank Constraint Qualification for Second-Order Cone Programs
[arXiv] 2026-04-01 | The matrix edge of holography
[arXiv] 2026-04-01 | Gray Swan Factory: Making Extreme Events from Ordinary Cyclones
[arXiv] 2026-04-01 | Real Time Local Wind Inference for Robust Autonomous Navigation
[arXiv] 2026-04-01 | Extended State Observer for Localized Fault Awareness in RF Accelerating Structures
[arXiv] 2026-04-01 | Existence of Complementary and Variational Weak Solutions to Obstacle Problems for a Quasilinear Wave Equation
[arXiv] 2026-04-01 | Event-Triggered Adaptive Taylor-Lagrange Control for Safety-Critical Systems
