[2026-04-06 22:37:25] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-05
正在获取论文...
[ACM] 2026-4-6 | Learner-Customized Algorithm Visualization Using Generative AI
[ACM] 2026-4-6 | Towards the Political Philosophy of Computing: Conversations with Fairness and Machine Learning
[ACM] 2026-4-6 | First-Class Functions in C: the Function-Oriented Programming Paradigm
[ACM] 2026-4-6 | ATHENA A Case Study on the Use of Power BI as a Technical Data Access System
[ACM] 2026-4-6 | Hybrid Neuro-Fuzzy Approach for Transparent Anomaly Detection in Mining Equipment
[IEEE] 2026-4-6 | Development of an IoT-Enabled Variable-Rate Waste Charging System for Urban Municipalities
[IEEE] 2026-4-6 | Retraction Notice: Forecasting and Real Time Flood Monitoring System using IoT
[IEEE] 2026-4-6 | A Dual-Band Slotted U-Shaped Microstrip Antenna for 2.4/4.0 GHz Wireless Communication Applications
[IEEE] 2026-4-6 | Real-Life Human Activity Recognition Based on Accelerometer Data From Smartphone Sensors Using CNN-BiGRU Model
[IEEE] 2026-4-6 | Holographic Telepresence Art: Volumetric Capture for Remote Cultural Performances
[IEEE] 2026-4-6 | Emotion-Aware Virtual Humans for Interactive Cinema and Narrative Games
[IEEE] 2026-4-6 | Retraction Notice: A Hybrid Approach for Detection and Recognition of Traffic Text Sign using MSER and OCR
[IEEE] 2026-4-6 | Retraction Notice: A Trusted Blockchain Based Traceability System for Fruits and Vegetable Agricultural Products
[IEEE] 2026-4-6 | Meta: Graph-encoded Printed Circuit Board Datasets for Component Classification with Graph Neural Networks_supp1-3680389.pdf
[IEEE] 2026-4-6 | Front Cover
[IEEE] 2026-4-6 | ERB-TransUNet: An Enhanced Residual Transformer-Based UNet for Accurate Polyp Segmentation
[IEEE] 2026-4-6 | Twin Contrastive Learning for Multi-view Clustering
[IEEE] 2026-4-6 | Secure Synchronization of Complex Dynamic Networks via Adaptive Event-Triggered Control Against Dual-Channel Cyber Threats
[IEEE] 2026-4-6 | Reinforcement Learning-Based Cooperative Control for Nonlinear Multiagent System With State and Control Input Constraints and Guaranteed Convergence Performance
[IEEE] 2026-4-6 | One-Bit Consensus of Controllable Linear Multi-Agent Systems With Communication Noises
[IEEE] 2026-4-6 | Lower-limb exoskeleton trajectory and structure co-optimization for maximum assistive efficiency
[IEEE] 2026-4-6 | IEEE Dataport
