[2026-06-03 23:43:56] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-02
正在获取论文...
[arXiv] 2026-06-02 | Wave-mean decomposition of scale-dependent kinetic energy from surface drifters
[arXiv] 2026-06-02 | Conformal Language Modeling via Posterior Sampling
[arXiv] 2026-06-02 | Beyond False Stability: High-Noise Drift Gating for Test-Time Adversarial Defenses in Vision-Language Models
[arXiv] 2026-06-02 | Constraining Scale-Dependent Growth in $f(R)$ Gravity with Future 21 cm Surveys
[arXiv] 2026-06-02 | Nuclear Reaction Data for Fission Products Off Stability
[arXiv] 2026-06-02 | Text-to-Image Models Need Less from Text Encoders Than You Think
[arXiv] 2026-06-02 | Commutativity via Spectral Equivalences of the Jordan Product in Banach Algebras
[arXiv] 2026-06-02 | Code-on-Graph: Iterative Programmatic Reasoning via Large Language Models on Knowledge Graphs
[arXiv] 2026-06-02 | Who Is in Mind Matters: Attachment Representations in Early Childhood Synchronize Child-Adult Interacting Brains
[arXiv] 2026-06-02 | Don't Forget Your Embeddings: Robust Knowledge Erasure via Precise Editing of Embeddings
[arXiv] 2026-06-02 | Face versus Body Tracking for Human-Robot Interaction: An Egocentric Dataset
[arXiv] 2026-06-02 | Does Language Shift Break Medical Vision-Language Models? Indonesian Radiology Visual Question Answering Case Study
[arXiv] 2026-06-02 | To $1/2$-logconcavity and beyond: Geometric properties of Dirichlet eigenfunctions
[arXiv] 2026-06-02 | From Well-Posed Inversion to Learning Design: Physics- Informed Neural Estimation for Autonomic Regulation
[arXiv] 2026-06-02 | AUGUSTE: Online-Learning dApp for Predictive URLLC Scheduling
[arXiv] 2026-06-02 | Enhanced superconductivity in atomically thin noble metals: From quantum confinement to interface-induced Lifshitz transition
[arXiv] 2026-06-02 | Humanoid-GPT: Scaling Data and Structure for Zero-Shot Motion Tracking
[arXiv] 2026-06-02 | Some new results on determinants and permanents
[arXiv] 2026-06-02 | Quantifying Faithful Confidence Expression in Large Reasoning Models
[arXiv] 2026-06-02 | Self-Refining Agentic Reinforcement Learning for Vision-Conditioned UAV Navigation
[arXiv] 2026-06-02 | Introduction to stochastic gradient methods
[arXiv] 2026-06-02 | Preference-Calibrated Human-in-the-Loop Reinforcement Learning for Robotic Manipulation
[arXiv] 2026-06-02 | A Pocket Offline Model for Simultaneous Speech Translation as CUNI Submission to IWSLT 2026
[arXiv] 2026-06-02 | Geodesic completeness of singularity free gravity
[arXiv] 2026-06-02 | Stability Analysis for Autoregressive Sampling Sets
[arXiv] 2026-06-02 | SEAOTTER: Sensor Embedded Autoencoding with One-Time Transcode for Efficient Reconstruction
[arXiv] 2026-06-02 | Entropy Is Not Enough: Unlocking Effective Reinforcement Learning for Visual Reasoning via Vision-Anchored Token Selection
[arXiv] 2026-06-02 | Correcting Neural Operator Spectral Bias via Diffusion Posterior Sampling with Sparse Observations
[arXiv] 2026-06-02 | Physics-Informed Single Atom Matching Pursuit: Guided-Waves Wavenumbers and Propagation Distance Estimation for Damage Localization in Structural Health Monitoring
[arXiv] 2026-06-02 | Contrastive Neural Algorithmic Reasoning for Graph Coloring
[arXiv] 2026-06-02 | Forecasting Conceptual Diffusion in Science: The Case of Quantum Computing
[arXiv] 2026-06-02 | Quantum Erasure Imaging: Complementary Modalities from Delayed-Choice Erasure
[arXiv] 2026-06-02 | scTranslation: A Comprehensive Benchmark for Single-Cell Multi-Omics Modality Translation
[arXiv] 2026-06-02 | Semantic-weighted ICP for LiDAR Odometry: Class-Aware Residual Reweighting for Robust Scan Registration
[arXiv] 2026-06-02 | Principal Components Decomposition of Fraction of Variance Explained in High Dimensional Linear Models with Strong Correlation
[arXiv] 2026-06-02 | Beyond Encoder Accumulation: Measuring Encoder Roles in Multi-Encoder VLMs
[arXiv] 2026-06-02 | A Training-Free Mixture-of-Agents Framework for Multi-Document Summarization using LLMs and Knowledge Graphs
[arXiv] 2026-06-02 | APX-Hardness of Computing Lipschitz Constants for Multi-Parametric Quadratic Programs
[arXiv] 2026-06-02 | Subspace-selective unitary manipulation based on the Hilbert-space symmetric structures in the multiple-quantum operator algebra spaces in the quantum-computing speedup theory
[arXiv] 2026-06-02 | PyraMathBench: Evaluating and Improving Mathematical Capability in Large Language Models
[arXiv] 2026-06-02 | Predicting core-level X-ray photoemission spectra of oxide surfaces from first principles -- a case study for SnO$_2$
[arXiv] 2026-06-02 | Where Do We (Not) Need Temporal Context in Low-Resource Video Task Adaptation?
[arXiv] 2026-06-02 | BigFinanceBench: A Workflow-Grounded Benchmark for Financial-Research Agents
[arXiv] 2026-06-02 | Fracture energy of 6H-SiC at the microscale: effects of testing geometry and notch preparation
[arXiv] 2026-06-02 | Leveraging BART to Assess CS1 C++ Programming Assignments using Rubric-based Criteria
[arXiv] 2026-06-02 | Consistency Training Can Entrench Misalignment
[arXiv] 2026-06-02 | PURGE: Projected Unlearning via Retain-Guided Erasure
[arXiv] 2026-06-02 | Cayley graphs of quasirandom groups
[arXiv] 2026-06-02 | Optimal Design and Analytical Modeling of a Soft Fin-Ray Effect Gripper Finger Using the Finite Rigid Elements Method
[arXiv] 2026-06-02 | Signed Spiking Neuron Enabled by an Orthogonal-Easy-Axis Magnetic Tunnel Junction
[arXiv] 2026-06-02 | Revisiting Embodied Chain-of-Thought for Generalizable Robot Manipulation
[arXiv] 2026-06-02 | An Integrated Techno-Economic Framework for Optimal Microgrid Design: An Australian Case Study
[arXiv] 2026-06-02 | Trading Frictions in Dynamic Cap-and-Trade Markets
[arXiv] 2026-06-02 | RamanGPT: Bidirectional Mapping Between Crystal Structures and Raman Spectra with Graph Neural Networks and Generative Transformers
[arXiv] 2026-06-02 | LAP: An Agent-to-Instrument Protocol for Autonomous Science
[arXiv] 2026-06-02 | A Density-Distance Version of the Carlen--Frank--Lieb Stability Theorem
[arXiv] 2026-06-02 | Construction of cyclic codes with large minimum distance from power functions over odd characteristic finite fields
[arXiv] 2026-06-02 | Mechanical properties of the nucleon in the chiral confining model. II -- in-medium evolution of the nucleon properties
[arXiv] 2026-06-02 | Optimal Finite-Horizon LQR Control for Traffic Flow via Variable Speed Limits
[arXiv] 2026-06-02 | TSQAgent: Rating Time Series Data Quality via Dedicated Agentic Reasoning
[arXiv] 2026-06-02 | X-ray Fractional Orbital Angular Momentum from Coherent Magnetic Scattering
[arXiv] 2026-06-02 | Bridging Auxiliary Constraints to Resolve Instruction Following in Large Reasoning Models
[arXiv] 2026-06-02 | SA-DTS: Semantic-Aware Digital Twin Synchronization over 6G Networks
[arXiv] 2026-06-02 | Game-Based vs. Simulation-Based Instruction: exploring the sequencing effect on elementary pre-service teachers' understanding of the photoelectric effect
[arXiv] 2026-06-02 | On the maximum size of $(a,b)$-town (mod $k$) families
[arXiv] 2026-06-02 | An efficient quantum Hadamard product algorithm for functions
[arXiv] 2026-06-02 | Beam Intercepting Devices
[arXiv] 2026-06-02 | Beyond the Literal: Decomposing Pragmatic Intent in Multimodal Meme Understanding
[arXiv] 2026-06-02 | CauTion: Knowing When to Trust LLMs for Ensemble Causal Discovery
[arXiv] 2026-06-02 | Enhancing Offshore Wind Simulations: Interpolated Switching via DLL Black-Boxes
[arXiv] 2026-06-02 | Fracton Topological Holography
[arXiv] 2026-06-02 | An Iwasawa-type asymptotic formula for multiple $\mathbb{Z}_p$-coverings of graphs
[arXiv] 2026-06-02 | Diffusing in the Right Space: A Systematic Study of Latent Diffusability
[arXiv] 2026-06-02 | AutoTail-BSFGM: Class-Balance-Aware Fine-Tuning for Chinese Scholarly Text Classification
[arXiv] 2026-06-02 | GeoVolDiff: Taming 3D Geological Volumes with Latent Diffusion
[arXiv] 2026-06-02 | When Attention Collapses: Stage-Aware Visual Token Pruning from Structure to Semantics
[arXiv] 2026-06-02 | Learned Non-Maximum Suppression for 3D Object Detection
[arXiv] 2026-06-02 | How Many Trees in a Random Forest? A Revisited Approach with Plateau Search and Optuna Integration
[arXiv] 2026-06-02 | Eventual regularity and asymptotic behavior of Leray-Hopf weak solutions for the Hall-MHD system
[arXiv] 2026-06-02 | Towards Intrusion Detection Systems for RPL-based IoT Networks using Foundation Models
[arXiv] 2026-06-02 | Throughput Optimization for Multi-AP IEEE P802.11bq Networks Based on Combinatorial Multi-Armed Bandits
[arXiv] 2026-06-02 | SIGMA: A Versatile Streaming Graph Partitioner for Vertex- and Edge-Balanced Distributed GNN Training
[arXiv] 2026-06-02 | SPADE: Sketch-guided Path Planning Augmented with Diffusion Experts
[arXiv] 2026-06-02 | Secrecy Sum Rate Maximization for OIRS-Aided Visible Light Communications with Confidential Messages
[arXiv] 2026-06-02 | BaltiVoice: A Speech Corpus and Fine-tuned Whisper ASR System for the Balti Language
[arXiv] 2026-06-02 | Characterizing Detectability in 3DGS Poisoning: A Stage-wise Benchmark
[arXiv] 2026-06-02 | Off-Shell Supersymmetry Algebra in the Lorentzian IIB Matrix Model: Algebraic Constraints and a $κ$-Minkowski-Like Sector
[arXiv] 2026-06-02 | Low-Frequency Shortcuts in Texture-Driven Visual Learning
[arXiv] 2026-06-02 | NeuroArmor: Safe-Variant-Guided Representation Consistency for Selective Re-Anchoring in Jailbreak Defense
[arXiv] 2026-06-02 | From 3D Perception to Safety Reasoning: A Graph-Based Framework for Real-Time Underground Mine Monitoring
[arXiv] 2026-06-02 | Interpolating non-Hermitian universality classes A and AI$^\dagger$: eigenvalue density and transition regime
[arXiv] 2026-06-02 | Stein's method in network analysis
[arXiv] 2026-06-02 | The chromatic noncommutative symmetric function of oriented trees
[arXiv] 2026-06-02 | Modeling Discrete Data with High-Order Vector Potts Models
[arXiv] 2026-06-02 | Complexity, curvature and homological dimension of modules under linkage
[arXiv] 2026-06-02 | IDO: Incongruity-aware Distribution Optimization for Multimodal Fake News Detection
[arXiv] 2026-06-02 | A unified multi-task framework enables interpretable chest radiograph analysis
[arXiv] 2026-06-02 | NVIDIA OmniDreams: Real-Time Generative World Model for Closed-Loop Autonomous Vehicle Simulation
[arXiv] 2026-06-02 | First direct measurement of $^{48}$Ca single $β$-decay Q value with the TITAN Penning trap
[arXiv] 2026-06-02 | Disentangling Visual and Factual Correctness in LVLMs' Visualization Literacy
[arXiv] 2026-06-02 | SEDACS: A Scalable Framework for Complex Chemistry Simulations
[arXiv] 2026-06-02 | Turbulence: An Entropic Approach
[arXiv] 2026-06-02 | Functoriality of real crossed product K-theory spectral sequences with respect to group homomorphisms
[arXiv] 2026-06-02 | Propagation of support for super-Brownian motion with general branching mechanism
[arXiv] 2026-06-02 | TiWeaver: Unified Temporal Dynamics Modeling via Contextual Patching
