[2026-02-21 09:18:24] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-20
正在获取论文...
[ACM] 2026-2-20 | Wildfire@Home: Personalized Immersive Training for Household Situation Awareness
[ACM] 2026-2-20 | An examination of basic ICT skills and their workload taught in German administrative degree programs
[IEEE] 2026-2-20 | ISRITI 2025 List Reviewer Page
[IEEE] 2026-2-20 | IEEE App
[IEEE] 2026-2-20 | IEEE Pervasive Computing
[IEEE] 2026-2-20 | IEEE Emerging Technologies
[IEEE] 2026-2-20 | Analysis of Thermal Disturbance in Vertically Stacked Phase-Change Memory Using Multiphysics Simulation
[IEEE] 2026-2-20 | A 12-bit 10GS/s Pre-Sampling Pipelined ADC With Split-Capacitor-Based Parasitic Compensation Technique
[IEEE] 2026-2-20 | Distributed Fuzzy Voltage Security Restoration of Multi-Source Heterogeneous Microgrid Clusters With Performance Monitoring and Nodes Isolation
[IEEE] 2026-2-20 | Lyapunov-based Nonlinear Model Predictive Control of Input-Delayed Functional Electrical Stimulation: Investigative Simulations and Experiments
[IEEE] 2026-2-20 | Non-Intrusive Load Monitoring (NILM): A Systematic Review of Observability Regimes, Methods, and Evaluation Paradigms
[IEEE] 2026-2-20 | Harmonic Cancellation in Multi-Electrolyzer P2H Plants Via Phasor-Modulated Production Scheduling
[IEEE] 2026-2-20 | GDNConv: A Novel Graph Deformation Network for Robust Representation Learning on Noisy Graph Structures
[IEEE] 2026-2-20 | Boundary-Aware Time–Frequency Sparse Coding for Low-Overhead IoT Time Series Analytics
[IEEE] 2026-2-21 | Table of Contents
[IEEE] 2026-2-20 | Quantum-Powered Plasma Propulsion: A Sustainable Leap for Deep Space Exploration
[IEEE] 2026-2-20 | GenSQL: A Generative AI Framework for Natural Language to SQL Conversion
[IEEE] 2026-2-20 | Sentiment Analysis of Depok Single Window Application Reviews on Google Play Store Using Deep Learning
[IEEE] 2026-2-20 | A Federated Learning-Based EEG Emotion Recognition Method Integrating Dual-View Frequency Domain and Spatiotemporal Features
[IEEE] 2026-2-20 | Comparative Study of Sequential Deep Learning Models for Sentiment Analysis of Swiggy and Zomato Reviews
[IEEE] 2026-2-20 | Learning to Attack: Objective-Guided FDIA Generation for Smart Grids
[IEEE] 2026-2-20 | A Novice Approach for Weather Forecasting by Using Hybrid Predictive Methodologies in ML
[IEEE] 2026-2-20 | A Bi-Level Game-Theoretic Optimization Model for Virtual Power Plants with Shared Energy Storage in Multi-Markets
[IEEE] 2026-2-20 | Module Voltage Guided Global Maximum Power Point Tracking Algorithm
[IEEE] 2026-2-20 | A Stacked Ensemble Model for Multi-Crop Disease Classification Using Hybrid Feature Extraction and Deep Learning Techniques
[IEEE] 2026-2-20 | Advancing Communication Flow in Enterprises Through Intelligent AI Applications
[IEEE] 2026-2-20 | Maximizing Voltage Support Capability of DFIG-Based WT Considering Rotor-Side Limitations under Asymmetrical Faults
[IEEE] 2026-2-20 | Memory Replay and Knowledge Transfer for Fairness in Continual Learning on Imbalanced Data
[IEEE] 2026-2-20 | Design of Low-Power XOR Based 16-Bit and 32-Bit CSA Using Reversible Logic
[IEEE] 2026-2-20 | Federated Multimodal Deep Learning Framework for Robust and Privacy-Preserving Tuberculosis Detection
[IEEE] 2026-2-20 | Wearables, Sensors, and Smart Dispensers: A Multimodal Approach to Improving Hospital Hygiene
[IEEE] 2026-2-20 | Securing Encrypted 6G Traffic: An Edge-Optimized AI Framework for Attack Detection
[IEEE] 2026-2-20 | Harnessing Solar Energy Via Dye-Sensitized Solar Cell Using Saba Banana (Musa acuminata x balbisiana) Leaf
[IEEE] 2026-2-20 | Leaf-Level Yellow Rust Severity Classification in Wheat Using Deep Hybrid Models
[IEEE] 2026-2-20 | Comparative Analysis of YOLO Algorithm Performance in Firearm Detection on Static Images
[IEEE] 2026-2-20 | AI-Driven Energy Forecasting for Real-Time Renewable Grid Integration
[IEEE] 2026-2-20 | Environmental Efficiency Evaluation of the Power System Based on Two-Stage Network DEA Model
[IEEE] 2026-2-20 | Optimization Analysis of Frequency Modulation Capability of Temperature Control Load in Time-Delay Environment
[IEEE] 2026-2-20 | Noninvasive Hemoglobin Quantification via Neural Network Optimization for Spectral Partialities
[IEEE] 2026-2-20 | Embodied Meta-Adaptation Engine for Multimodal Generative AI Dynamic Agents
[IEEE] 2026-2-20 | Signal Reconstruction for Wave Excitation Force and Actuator Fault in Wave Energy Converters
[IEEE] 2026-2-20 | Real-time Online Deceptive Evidence Detection Based on Deep Reinforcement Learning in Dynamic Environment
[IEEE] 2026-2-20 | Performance Evaluation and Decision Framework for Lightweight Cryptography in Resource-Constrained IoT Environments
[IEEE] 2026-2-20 | Check-in Sequence Representation Learning for LBSNs with Embedding Spatio-Temporal-Semantic Contexts
[IEEE] 2026-2-20 | IoT-Based Real-Time Monitoring System for Temperature-Sensitive Medicines
[IEEE] 2026-2-20 | Development of an Endfire Antenna Array Fed by a Rotman Lens for Multibeam Beamforming
[IEEE] 2026-2-20 | Flexible Centralized-Decentralized Hybrid Control of Parallel Grid-Connected Converters With Reduced Current Sensors
[IEEE] 2026-2-20 | Comparative analysis of active rectifiers for hydrogen electrolyzer applications
[IEEE] 2026-2-20 | Adapting Multi-Objective Priorities Over a Fuel Cell Vehicle’s Lifetime Using Model Predictive Control
                    <sup>*</sup>
[IEEE] 2026-2-20 | Energy-Efficient Post-CMOS Computing Using Non-CMOS Devices and AI-Driven Optimization Techniques
[IEEE] 2026-2-20 | Ku-Band MIMO Array Antenna with Enhanced Mutual Coupling
[IEEE] 2026-2-20 | Electrochemical Impedance Spectroscopy based State of Health Estimation for Lithium-ion Batteries Using Convolutional Neural Network
[IEEE] 2026-2-20 | Reliable Crowdsourcing Scheme Based on Blockchain
[IEEE] 2026-2-20 | VXLAN-Based BGP EVPN Architecture for Dynamic and Flexible Workflow Deployment in Multi-Vendor Supercomputing Environments
[IEEE] 2026-2-20 | Deep Learning-Based Classification of Banana Plant Leaf Diseases
[IEEE] 2026-2-20 | Interval PCA Limitations in Sensor Fault Detection
[IEEE] 2026-2-20 | Enhanced Diabetes Prediction Using Ensemble Learning and SparsePCA Based Feature Reduction
[IEEE] 2026-2-20 | Modelling of Interior Permanent Magnet Synchronous Machine using Python Optimized Parameters in ANSYS for EV Applications
