[2026-09-25 00:18:12] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-24
正在获取论文...
[IEEE] 2026-9-24 | Spatio-Temporal Deep Learning for Three-Dimensional Underwater Acoustic Transmission Loss Modeling
[IEEE] 2026-9-24 | UniCC: A Unified Coevolutionary Architecture with Divergence-Speedup Modeling for Large-Scale Global Optimization_supp1-3733580.pdf
[IEEE] 2026-9-24 | The Method of Gaps: Exact Expressions for the Generalization Error of Supervised Learning Algorithms
[IEEE] 2026-9-24 | Design and Robustness Evaluation of an Absorptive Asymmetric SPDT Switch for Millimeter-Wave Phased-Array Transceivers
[IEEE] 2026-9-24 | Fringe projection 3D imaging based on frequencies pre-simulation optimization
[IEEE] 2026-9-24 | IEEE Transactions on Plasma Science information for authors
[IEEE] 2026-9-24 | Preference-driven Multi-Objective Reinforcement Learning for Coordinated Dispatch of Offshore Wind–Battery–Hydrogen Systems
[IEEE] 2026-9-24 | Data-efficient framework for conditional metric interoperability in building thermal assessment_supp1-3733024.pdf
[IEEE] 2026-9-24 | ChameleonVoice: A Contextual Prosody Perception Network for Emotional Voice Conversion
[IEEE] 2026-9-24 | Full-Parameter Online Identification of PMSM Based on Switching Model With Position Error Compensation
[IEEE] 2026-9-24 | A High-Robustness Surrogate Modeling Method for On-Chip Microwave Passive Components in Chiplet-based IoT Integrated Microsystem
[IEEE] 2026-9-24 | Impact of Geometrical Modification at the Electrode/Channel Interface on a-IGZO Transistors
[IEEE] 2026-9-24 | Symbol-Level Precoding for Continuous-Aperture ISAC Systems
[IEEE] 2026-9-24 | Decoupled Cyber–Physical Defense for Resilient Control of AC Microgrids Under Hybrid Threats
[IEEE] 2026-9-24 | The Impact of Lossy Compression on Raw Bayer Images in the Automotive Environment
[IEEE] 2026-9-24 | OmniPlanner: Universal Exploration and Inspection Path Planning Across Robot Morphologies_supp4-3733788.mp4
[IEEE] 2026-9-24 | PABLOR: Intra-Block Variation-Aware Refresh for High Performance and Lifetime in 3D NAND Flash
[IEEE] 2026-9-24 | Training-Free Cross-Domain Learning Transfer in Reasoning Models
[IEEE] 2026-9-24 | Location Privacy-Preserving Task Offloading in LEO Satellite Mobile Edge Computing
[ACM] 2026-9-24 | Reproducibility of the NeurIPS 2020 Black-Box Optimization Challenge: Re-evaluating Competition Submissions
[IEEE] 2026-9-24 | PRPD Construction and Analysis Using HFCT in Oil-Immersed High-Voltage Current Transformers
[IEEE] 2026-9-24 | Reliability-Driven Planning of a Campus Auxiliary Power Grid with Renewable Upgrades
[IEEE] 2026-9-24 | Reliability-Margin KBGWO for Robust RFID Network Planning
[IEEE] 2026-9-24 | RE-INTEGRATE EMT Simulation: Input Data Structures for Inverter-Based Systems
[IEEE] 2026-9-24 | Multi-type Demagnetization Fault Diagnosis and Degree Estimation of PMSMs Based on SVM-BLSTM
[IEEE] 2026-9-24 | Grid-Supporting HVDC System With Low-Voltage Energy Storage for Renewables Integration
[IEEE] 2026-9-24 | FoodPAL 1.1: Novel Methods to Ensure Allergens Free Diet in Smart Healthcare Framework
[IEEE] 2026-9-24 | PESGM 2026 Breaker Page
[IEEE] 2026-9-24 | Non-Uniform Grid Fast Factorized Backprojection for Multi-Mode SAR Processing
[IEEE] 2026-9-24 | Table of Contents
[IEEE] 2026-9-24 | Close-Proximity Vision-Guided Control and Performance Evaluation of a Mobile Robot for Sit-to-Stand Assistance
[IEEE] 2026-9-24 | Effect of Crystallization Property on Gamma-Ray Radiation Resistance of Polypropylene -Part I: Electrical Conduction
[IEEE] 2026-9-24 | Stability-Constrained Hierarchical Reinforcement Learning for Volt/Var Control in Distribution Networks
[IEEE] 2026-9-24 | The Exact 2-D Composite-Subdomain Analytical Solution for Magnetic Field Computation in Surface-Mounted Permanent-Magnet Machines Accounting Finitely Permeable Teeth
[IEEE] 2026-9-24 | Improving active distribution network operation through DC microgrid reactive power provision
[IEEE] 2026-9-24 | Comparing Electricity Market Configurations: Transmission, Distribution, and Peer-to-Peer
[IEEE] 2026-9-24 | In-Situ EMF and Safety Assessment of an EV Wireless Charging System
[IEEE] 2026-9-24 | RF-to-Terahertz Hardware for Quantum Technologies: A Critical Review of Cryogenic Integration, Interconnects, and Fabrication Bottlenecks
[IEEE] 2026-9-24 | High-Bandwidth Dual Active Bridge DC-DC Converter for Data Center Power Management System
[IEEE] 2026-9-24 | A Human-in-the-Loop LLM–Assisted Multi-Agent Framework for Distribution Grid Reliability Planning
[IEEE] 2026-9-24 | Adaptive Model Predictive Control-Based Power Management for Fuel Cell–Battery–Supercapacitor Systems in More-Electrified Aircraft
[IEEE] 2026-9-24 | A Day Ahead Market Bid-Aware Joint Forecasting Method for Photovoltaic-Energy Storage System
[IEEE] 2026-9-24 | Wireless Battery-Free RF Electronic Skin for Robotic Grasping: From Proximity Sensing to Tactile Feedback_supp3-3731258.mp4
[IEEE] 2026-9-24 | Periodic-SOC-Constraint-Free Full-Timescale HESS Management in Industrial Microgrids Via Hierarchical MPC and Micro Trajectory Inverse Projection
[IEEE] 2026-9-24 | A Spaceborne SAR RFI Suppression Method Based on an Adaptive Subband-Forming Technology
[IEEE] 2026-9-24 | Detailed Nonlinear Modeling and High-Fidelity Parallel Simulation of MMC With Embedded Energy Storage for Wind Farm Grid Integration
[IEEE] 2026-9-24 | Data-Driven Integration of Thermal Comfort and Demand-Side Management Using PV Measurements in Qatar
[IEEE] 2026-9-24 | Topology-Aware Reinforcement Learning over Graphs for Resilient Power Distribution Networks
[IEEE] 2026-9-24 | Optimal Bidding Strategy for a Wind-Storage System Considering Self-Owned and Shared Energy Storage
[IEEE] 2026-9-24 | Increases in electric vehicle load flexibility attributable to changes in EV charging policy
[IEEE] 2026-9-24 | 3D numerical analysis of magnetization loss in twisted filamentary multilayer ReBCO tape
[IEEE] 2026-9-24 | Physics-Constrained Dynamics Learning for Legged Robots With Structural Priors
[IEEE] 2026-9-24 | Near-Field Range-Angle Estimation and Power Allocation for Cell-Free Massive MIMO ISAC with Extremely Large Arrays
[IEEE] 2026-9-24 | Lightweight Cloud-Assisted Secure Two-Party Computation With Dual Execution in Mobile Cloud Computing
[IEEE] 2026-9-24 | Safe Power Is a Safety Mechanism: Why Power Supply Design Determines Functional Safety Compliance
[IEEE] 2026-9-24 | Transfer Learning-Enabled Real-Time Resilience Assessment for Power Systems
[IEEE] 2026-9-24 | Microgrid Clusters Control with Unknown Network and Load Parameters
[IEEE] 2026-9-24 | Intelligent Operation and Coordinated Control of Networked Microgrid Systems
[IEEE] 2026-9-24 | Integrating Low-loss High-permittivity Ceramic Helmet with RF Head Array Coil to Largely Enhance Coil Sensitivity and SNR for Human Brain MRI at 7T
[IEEE] 2026-9-24 | Domain-Adaptive Pretraining and a Leakage-Corrected Evaluation Protocol for Respiratory Sound Classification
[IEEE] 2026-9-24 | Quantifying Inertia Needs for Future Electric Grids with High Penetration of Inverter-Based Resources
[IEEE] 2026-9-24 | Hierarchical Fuzzy Feature Clustering With Iterative Ensemble Learning for Student Performance Prediction
