[2026-05-26 23:10:01] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-25
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605250000+TO+202605252359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[IEEE] 2026-5-25 | Nezha-FX: A Morphing HAUV Designed Based on Balanced Cross-Domain Performance Optimization
[IEEE] 2026-5-25 | RIHP-Net: Rotation-Invariant Hyperspectral Image Classification Via Harmonic Fiber Pooling and Rotation-Conditioned Spectral Fusion
[IEEE] 2026-5-25 | Society Officers
[IEEE] 2026-5-25 | Real-Time Streamable Generative Speech Restoration with Flow Matching_supp1-3696215.pdf
[IEEE] 2026-5-25 | Study on Structural and Magnetic Properties of Cobalt Substituted Permalloy Amorphous Nanocrystalline Ribbons
[IEEE] 2026-5-25 | Moment-Reenacting: Inverse Motion Degradation With Cross-Shutter Guidance
[IEEE] 2026-5-25 | Reactive and Decoupled Control of Mobile Manipulators via Spatially Modulated Velocity Fields
[IEEE] 2026-5-25 | VAPE-Net: An Extrinsic-Pose-Agnostic Viewpoint-Aware Progressive Enhancement Framework for Pure-Visual Vehicle-Infrastructure Cooperative Perception
[IEEE] 2026-5-25 | A Time-Space Fusion Early Diagnostic Framework for PEM Fuel Cell Faults with Deep Learning
[IEEE] 2026-5-25 | Gait adaptation to asymmetric foot-ground compliance applied by robotic footwear
[IEEE] 2026-5-25 | Momentum Gradient Descent with Kinematic Prediction-based Initialization for High-Accuracy Star Sensor Attitude Estimation
[IEEE] 2026-5-25 | Field-agnostic Beam Focusing and Tracking for ISAC
[IEEE] 2026-5-25 | Curvilinear Particle-in-Cell Simulations of Plasma Sheath Effects on Impedance of VLF Antenna in the Magnetosphere
[ACM] 2026-5-25 | Uncovering Hidden Inequalities through Participatory Service Design: Institutional Service Failure in Public Employment Services
[ACM] 2026-5-25 | Advisory Today, Co-decisive Tomorrow? Complementing the Participation Ladder in Smart City Innovation with Institutional Learning Perspectives
[IEEE] 2026-5-25 | Investigating Key Meteorological Factors That Affect Atmospheric Transmittance via Simulation
[IEEE] 2026-5-25 | Online Damage-Updated Lifetime Equalization for a Si IGBT/SiC MOSFET Hybrid Parallel Inverter
[IEEE] 2026-5-25 | Research on Underwater Construction Monitoring Device for Submarine Cable Repair in High-Turbidity Water Bodies
[IEEE] 2026-5-25 | A Study on Dynamic and Reliable Assessment of Dispatchable Capacity from Electric Vehicles and Risk Early Warning for High-Penetration Renewable Energy Integration
[ACM] 2026-5-26 | Higher-Order Approximations of Sojourn Times in M/G/1 Queues via Stein's Method
[ACM] 2026-5-26 | Cache Your Prompt When It's Green - Carbon-aware Caching for Large Language Model Serving
[ACM] 2026-5-26 | A Comprehensive Study of Satellite Network Performance During Severe or Extreme Geomagnetic Storms over 1.5 Years (May 2024 – Oct 2025)
[IEEE] 2026-5-26 | Demo: Deploying Maneuver Coordination System in Real-Life Autonomous Driving Scenarios
[IEEE] 2026-5-26 | MINISA: Minimal Instruction Set Architecture for Next-gen Reconfigurable Inference Accelerator
[IEEE] 2026-5-26 | Development of Transient Electromagnetic Field Transmitter with No-Load Shutdown
[IEEE] 2026-5-26 | A Novel Torque Distribution Strategy Balancing Energy Consumption and Stability for Four-Wheel Independent Drive Electric Vehicles
[IEEE] 2026-5-26 | Title Page i
[IEEE] 2026-5-26 | Log What Matters: Safety-Aware Adaptive Logging for CAVs in Dynamic Conditions
[IEEE] 2026-5-26 | Hybrid CART Model for Adaptive Earthquake Risk Forecasting Under Uncertainty
[IEEE] 2026-5-26 | Architectural Design of Low-latency and Highbandwidth 3D NAND with Split-Stacked Row Decoder for LLM Inference
[IEEE] 2026-5-26 | TeethSMOTE: A Feature Neighborhood Fusion and Enhancement method for Dental Image Analysis
[IEEE] 2026-5-26 | STCO Evaluation of High Bandwidth Storage for Cost-Efficient LLM Training
[IEEE] 2026-5-26 | Novel EEG Autoencoding Framework using HSDBN with Adaptive Feature Learning for Health
[IEEE] 2026-5-26 | ASIC Design for GenAI Inference
[IEEE] 2026-5-26 | LSTM - XGBoost Based Intelligent Handover Optimization Framework for 5G Networks Using Real-World Mobility Data
[IEEE] 2026-5-26 | A Gate-All-Around Back-Gated Junctionless 3D NAND Structure for Improved Switching Efficiency and Variability Suppression
[IEEE] 2026-5-26 | Overcoming Erase Limitations of Amorphous Oxide Semiconductor Channels Through Dual Source/Drain Structures for Flash Memory
[IEEE] 2026-5-26 | MAPLE: Multi-session Anchor-based Point cloud Loop-closure for Efficient Merging
[IEEE] 2026-5-26 | Research on High-Precision Indoor Navigation System Based on Improved Federated Filtering and Tightly-Coupled Fusion
[IEEE] 2026-5-26 | A 0.01-mm
                    <sup>2</sup>
                    10-bit 5-GS/s Current-Steering DAC Using Replica Current Generator for Cryogenic Applications
[IEEE] 2026-5-26 | Exploring the Energy Storage and Voltage Control Unit Design Space in Battery-Less IoT
[IEEE] 2026-5-26 | FYI: A Foundational Counter Architecture for Building CPI Stacks on Out-of-Order Processors
[IEEE] 2026-5-26 | A 28 nm 16 Mb Embedded RRAM IP with Hybrid Array Structure for OTA Update Application
[IEEE] 2026-5-26 | Implicit Chinese Compound Sentence Relation Classification Based on BSGGT Hybrid Model
[IEEE] 2026-5-26 | Ferroelectric Memories for Storage and Computing
[IEEE] 2026-5-26 | Research on a Text Classification Model Based on Multi-Level Feature Fusion
[IEEE] 2026-5-26 | Flood Mod: A Flood Based Emergency Response System with Multi Model LLM Pipeline for Emergency Call Triage &amp; Resource Allocation
[IEEE] 2026-5-26 | A Deep Learning Framework for Multi-Class Lung Diseases Classification
[IEEE] 2026-5-26 | Bi-Level Optimization-Based Intelligent Clinical Decision Support for Pharmacogenomic-Guided Antimicrobial Therapy
[IEEE] 2026-5-26 | Cocktail Security Scheme for Patching the Bus Vulnerability of Chiplet ICs
[IEEE] 2026-5-26 | Vertical aligned Hexagonal Boron Nitride with Ballistic Thermal Conductivity
[IEEE] 2026-5-26 | Adaptive AI Financial Ecosystem: Proactive Crisis Prediction and Policy Simulation Using GNN and Reinforcement Learning
[IEEE] 2026-5-26 | Optimized Random Forest–Based Soft Computing Pipeline for Multi-Class DDoS Detection in Cloud Environments
[IEEE] 2026-5-26 | A Multi-Model Deep Learning Framework for Hate Speech Detection in Code-Mixed Low-Resource Languages
[IEEE] 2026-5-26 | 2025 CERN Compendium of Radiation Effects in Candidate Electronics for High-Energy Particle Accelerator Systems
[IEEE] 2026-5-26 | Performance Study of Artificial Neural Network Based Control for Electric Vehicle to Vehicle Energy Transfer
[IEEE] 2026-5-26 | Optimizing Photovoltaic Efficiency Through Underground Cooling: A Comparative Review of Water and Air-Based Systems
[IEEE] 2026-5-26 | Single-Event Effects in Commecrical Photonic Transceivers
[IEEE] 2026-5-26 | Design and Analysis of a Low-Cost Gripper with Compliant, Tendon-Driven Continuum Fingers
[IEEE] 2026-5-26 | Wind Energy Prediction Using Machine Learning Techniques
[IEEE] 2026-5-26 | A Use Case Development for Teaching Robots New Tasks with Edge AI Perception
[IEEE] 2026-5-25 | Direct Cardiac T1 Mapping with Subspace Modeling and Free-breathing Data Acquisition
[IEEE] 2026-5-26 | A Multi-Agent Reinforcement Learning Framework for Serendipitous Recommendation and Personalized Information Retrieval
[IEEE] 2026-5-26 | Quantum Assisted Drug Discovery in Human Beings
[IEEE] 2026-5-26 | Prompt-Based Emotion Detection and Story Generation
[IEEE] 2026-5-26 | A design of five-valued spectra (vectorial) Boolean functions and their use in constructing bent functions outside
                    <i>M</i>
                    <sup>#</sup>
[IEEE] 2026-5-26 | Low-Complexity Snapshot Radio SLAM for UAV-RIS-Assisted ISAC Systems via Tensor Analysis
[IEEE] 2026-5-26 | A Hybrid Physics-AI Framework for real-world Energy Consumption Prediction and Range Estimation in Electric Vehicles
[IEEE] 2026-5-26 | AI-Based Intrusion Detection System
[IEEE] 2026-5-26 | AI-Powered Movie Recommendation System
[IEEE] 2026-5-26 | Smart Resume Analyzer Using LLM Embeddings (Sentence-BERT) for Automated Skill Gap Detection
[IEEE] 2026-5-26 | A Physically Interpretable Neural Optimization Solver for InSAR Phase Unwrapping
[IEEE] 2026-5-26 | Battery-less Meat Freshness Detection via Far-Field RF Energy Harvesting and BiLSTM Attention Networks
[IEEE] 2026-5-26 | EmbedCheck Algorithm: A Computational Framework for Multi-Document Semantic Text Similarity Analysis and Academic Assignment Evaluation
[IEEE] 2026-5-25 | Spotlight on I&amp;MER: 2024 J. Barry Oakes Award
[IEEE] 2026-5-25 | Force Perception in Smart Robotic Grippers Based on Fiber Bragg Grating [Instrumentation and Measurement Systems]
[IEEE] 2026-5-26 | Personalizing Federated Learning for Hierarchical Edge Networks with Non-IID Data
[IEEE] 2026-5-26 | Finite-time optimal policy identification for the stochastic shortest path problem
[IEEE] 2026-5-26 | PASSNet: Perception-Aware Semantic Strengthening Network for Infrared Small Target Detection
[IEEE] 2026-5-26 | A Method Of Damping Waveguide Eigenmodes For Solving Axisymmetric Difraction Problems
[ACM] 2026-5-26 | Nash Equilibria in Uniform Price Auctions: Theory, Computation, and Market Insights
[ACM] 2026-5-26 | PEMI: Transparent Performance Enhancements for QUIC
[IEEE] 2026-5-26 | Computational Complexity Analysis of the Holomorphic Embedding Method and Parallel Optimization Strategies for Improving Efficiency
[IEEE] 2026-5-26 | Toward Low-Viscosity Transformer Oil: Transesterification of Natural Esters with Short-Chain Alcohol
[IEEE] 2026-5-26 | Transformer-Based NILM with Embedded Convolutional Layers for Sequence-to-Point Energy Disaggregation
[IEEE] 2026-5-26 | Fuzzy DES for accurate quantitative amplitude fluctuations in biomedical signals
[IEEE] 2026-5-26 | Comparative Analysis of Single-Tuned Passive Filters for Harmonic Mitigation Under Inductive and Capacitive Nonlinear Loads
[IEEE] 2026-5-26 | A Modified Approach for Multi-EV Vehicle-to-Grid Control to Enhance Grid Stability
[IEEE] 2026-5-26 | A Multi-Threshold Based Framework for Urban Green Cover Assessment Using Satellite Imagery
[IEEE] 2026-5-26 | Smart Subsafe Passage Sentinel
[IEEE] 2026-5-26 | Lightweight Human Pose Estimation From Wifi Channel State Information Using Deep Neural Networks
[IEEE] 2026-5-26 | Underrepresented in Foundation Model Pretraining Data? A One-Shot Probe
[IEEE] 2026-5-26 | Security Analysis of Federated Learning in Healthcare
[IEEE] 2026-5-26 | Control of Electro-Mechanical Systems with Assistive Technology Devices — Advancing from Proof-of-Concept to Integration
