[2026-09-15 23:59:06] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-14
正在获取论文...
[arXiv] 2026-09-14 | On the number of solutions to $S$-unit equations
[arXiv] 2026-09-14 | Asymptotic Behavior of Least Energy Solutions to the Lane--Emden Problem on Metric Graphs
[arXiv] 2026-09-14 | The Router Within: Eliciting Native Skill Routing from a Frozen LLM
[arXiv] 2026-09-14 | Hardware-aware quantum attention for fast radio burst identification
[arXiv] 2026-09-14 | Majority dynamics on sparse random graphs
[arXiv] 2026-09-14 | Shannon Entropy as an Order Parameter for the Two-Dimensional Confined Coulomb Systems: Exact Balance Law, Topological Charge Sum Rule, and Boundary Saturation
[arXiv] 2026-09-14 | Acoustic Image Source Interpolation with Optimal Transport Barycenter
[arXiv] 2026-09-14 | Improved Bounds for the Bilu--Linial Conjecture via Spectral Recovery from Mixed Determinantal Polynomials
[arXiv] 2026-09-14 | Multi-View Molecular Representation Learning with Hierarchical Graphs and Contextualized Fingerprints
[arXiv] 2026-09-14 | Open-channel radiation zeros and nonlinear damping of a critical-bubble internal mode
[arXiv] 2026-09-14 | Conway Symbols of Frieze Patterns of Dynkin Types
[arXiv] 2026-09-14 | Convergence for Small-Order Derivatives of Random Polynomials with Independent Roots
[arXiv] 2026-09-14 | The CAST-framework: Measure and model social media use as a multi-level phenomenon through real-world applications
[arXiv] 2026-09-14 | MessyMem: Learning-from-Doing Memory for Mobile Manipulation
[arXiv] 2026-09-14 | Pulla: A Parsons Problem Tool for Fine-Grained Behavioral Tracing and Instructor-Facing Problem-Solving Analysis
[arXiv] 2026-09-14 | Vulnerability Localization Benchmark: Measuring Agentic Security Analysis at Repository Scale
[arXiv] 2026-09-14 | An Adaptive Linesearch-free Method for Monotone Variational Inequalities under Local Lipschitz Continuity
[arXiv] 2026-09-14 | Achieving perfect completeness for one- and two-message quantum proof systems
[arXiv] 2026-09-14 | Multiflagellarity facilitates bacterial upstream motility
[arXiv] 2026-09-14 | Additive quasi-isometries and cacti
[arXiv] 2026-09-14 | Scalar-mean rigidity theorem and Llarull's theorem for nonspin manifolds
[arXiv] 2026-09-14 | Relative Entropy Decay via BKM coercivity for Quantum Markov Semigroups
[arXiv] 2026-09-14 | Modulated structures in discrete approximations to a three-dimensional cholesteric model on a recursive lattice
[arXiv] 2026-09-14 | Cnuas: A Software-Defined AI/HPC Rack-scale Emulation Platform and Hyperscale Data Center Facility Twin
[arXiv] 2026-09-14 | Anatomical Grounding and Leakage-Aware Multimodal Contrastive Learning for Alzheimer's Disease Classification from Structural MRI
[arXiv] 2026-09-14 | Privacy-enhanced federated learning via asynchronous aggregation and local differential perturbation
[arXiv] 2026-09-14 | Learning Multimodal One-step Flow Policy via Value-weighted Optimal Transport
[arXiv] 2026-09-14 | High-Temperature Hydrogen Sensors Based on Gallium Oxide Heterojunction Diodes
[arXiv] 2026-09-14 | Finite Dependence and Invariance Hierarchies for Finitely Supported Structures
[arXiv] 2026-09-14 | Rubin Observatory Reveals a Dust-Shrouded Halo Globular Cluster in Ophiuchus
[arXiv] 2026-09-14 | CoFi-CLM: A Coarse-to-Fine Channel Language Model for Finite-Bit CSI Feedback
[arXiv] 2026-09-14 | A universality result for the critical 2d stochastic heat flow
[arXiv] 2026-09-14 | Sharp gradient bounds for uniformly elliptic PDE, eigenvalue asymptotics, and the Landis conjecture
[arXiv] 2026-09-14 | Hidden Magnetic Complexity Within a Simple van der Waals Ferromagnet Ce$_2$Te$_5$
