[2026-04-12 22:35:04] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-11
正在获取论文...
[ACM] 2026-4-11 | WearStreamer: Enabling High-Resolution Health Data Acquisition from Consumer Smartwatches
[ACM] 2026-4-11 | Using Item Personality-Based Profiling in Music Recommender Systems
[ACM] 2026-4-11 | Stakeholder Value Criteria for Technical Debt Acquisition Decisions: An Empirical Analysis
[ACM] 2026-4-11 | Corrigendum: A data-centric chip design agent framework for Verilog code generation
[ACM] 2026-4-11 | Hybrid Approach Using GANS And Multivariate Regression to Analyze the Impact of Acoustic Variables on Piezo Transducer Output
[ACM] 2026-4-11 | Secure XP Programming: Integrating OWASP Practices and Lightweight Threat Modelling into Extreme Programming
[ACM] 2026-4-12 | Towards Least-Privilege WebAssembly Applications: Transparent Interposition for WebAssembly Components
[ACM] 2026-4-12 | A Tool for Transforming the Type of a Container in C++ Code
[ACM] 2026-4-12 | Code Layout Optimization Guided by Temporal Profiling Information
[ACM] 2026-4-11 | A Memory-Aware Sparse Matrix-Matrix Multiplication on Multicore Architectures
[ACM] 2026-4-12 | Liveness in the Age of Agents: Are We Back to Compile-and-Run Cycles?
[ACM] 2026-4-11 | Implementing DevSecOps: A Systematic Literature Review on Integrating Security into DevOps
[ACM] 2026-4-11 | PACGBI: A CI/CD Pipeline for LLM-assisted Code Generation of Web Front End
[ACM] 2026-4-11 | Machine Learning-Based Skin Lesion Classification with Feature Importance Analysis using SVM for Dermoscopy Images in the Philippines
[ACM] 2026-4-12 | Companion Proceedings of the 10th International Conference on the Art, Science, and Engineering of Programming
[ACM] 2026-4-12 | The Art, Science, and Craftsmanship of Typography (Keynote)
[ACM] 2026-4-12 | The Promise of Static Profiling: Exploring the Limits
[ACM] 2026-4-11 | Analyzing the 2024 U.S. Presidential Elections: BERT-based Sentiment Classification of Spoken Content in Video Data
[ACM] 2026-4-11 | A Systematic Literature Review on the Application of Scrum in Application Development
[ACM] 2026-4-11 | A Probabilistic Least Squares Estimation For NHPP-based Software Reliability Models with Time-domain Data
[ACM] 2026-4-11 | Traceability and Detect Forgery Platform of Digitally Important Educational Documents for Grade 6 Secondary Schools Case Study of the Northeastern Region, Thailand
[ACM] 2026-4-12 | Towards Transferring Text Comprehension Techniques to Program Comprehension
[ACM] 2026-4-11 | Mining Exception Rules from Eclipse and NetBeans Defect Dataset
[ACM] 2026-4-11 | Analyzing Interpretable Visual Control Policy Search and Synthesis
[ACM] 2026-4-11 | RVSM: Convolutional Block Attention Module for Robust Retinal Vessel Segmentation in Diabetic Retinopathy
[ACM] 2026-4-12 | PhysiCode Builder: A Framework for Rapid Prototyping of Tangible Programming Toolkits
[ACM] 2026-4-11 | <i>Vy</i>
                    ZX: Formal Verification of a Graphical Quantum Language
[ACM] 2026-4-11 | Simulating QR Code Scanner Phishing Attacks: Investigating Vulnerabilities in QR Scanning and Reading Mechanisms Leading to Cookie and Data Exposure in Organization Environment
[ACM] 2026-4-11 | Deep Sentiment Analysis on Online Learning Tweets Using CNN, LSTM
[ACM] 2026-4-11 | Code Clone Refactoring in C# with Lambda Expressions
[ACM] 2026-4-11 | Architecting A Behavior-Driven Test Automation Framework for CI/CD Environments
[ACM] 2026-4-11 | A Secured Cloud Integration Network Design and Fault Tolerant for file and Application Sharing in a Medium Size Business Environment
[ACM] 2026-4-11 | Authentic Teaching and Assessment: Simulation of an Off-Shoring Project with Geographically Distributed Teams
[ACM] 2026-4-11 | ContextualSHAP : Enhancing SHAP Explanations Through Contextual Language Generation
[ACM] 2026-4-12 | A Behavior-Centric Programming Framework for Drone Systems with Digital Twin Backends
[ACM] 2026-4-11 | Scrum for Safety-Critical Software Development
[ACM] 2026-4-11 | The Evolution of Agile and Hybrid Project Management Methodologies: A Systematic Literature Review
[ACM] 2026-4-11 | A Software Tool to Support Structured Object-Oriented Programming
[ACM] 2026-4-11 | OmniHands: Robust Motion Capture of Interactive Hands via A Versatile Transformer
[ACM] 2026-4-11 | CFAIR: A Cloud-Hosted Commerce System for Managing Fish Products Utilizing Hyperledger Fabric Blockchain for Data Governance
[ACM] 2026-4-11 | An Application of ChatGPT4o to Generate Requirement Definition Documents and Its Evaluation: An Industrial Case Study
[ACM] 2026-4-11 | A Systematic Literature Review of Workflow Efficiency in Software Development Through the Kanban Framework
[ACM] 2026-4-11 | An Empirical Study on Software Design Inspections - Effectiveness of Software Design Error Taxonomy
[ACM] 2026-4-11 | Strengthening Resilience in DriveCare: A Thorough Assessment of Security Posture
[ACM] 2026-4-11 | Past, Present, and Future of Bug Tracking in the Generative AI Era
[ACM] 2026-4-11 | Patterns and widgets for collaboration awareness in next-generation groupware
[ACM] 2026-4-11 | A Note on Software Reliability Modeling Based on Hawkes Processes with Gamma Type Base Intensity
[ACM] 2026-4-12 | Vexa: Automated Configuration-to-Code Generation for On-Demand State Management in Vue.js Applications
[ACM] 2026-4-11 | Exploratory Analysis of Audio Features for Dominant Feature Identification: A Multimodal Machine Learning Evaluation of Song Popularity Prediction Using Deep Neural Networks, Clustering, and Regression Models
[ACM] 2026-4-11 | Level of Satisfaction Among Users of the E-Gov Application ‘Sahel’
[ACM] 2026-4-11 | Cross-Process Error Detection in Industrial Screw Driving Operations Using Time Series Classification
[ACM] 2026-4-11 | Employee Performance when Implementing Agile Practices in an IT Workforce
[ACM] 2026-4-12 | Literate Exploratory Programming for Asynchronous Collaboration
[ACM] 2026-4-12 | Comparing Large Language Models and Traditional Clone Detection Tools for Intra- and Cross-Language Code Clone Detection
[ACM] 2026-4-11 | Solid Waste Detection with YOLOv9 Using Preprocessing Techniques and Experimental Evaluation, Improving Generalization to Real-World Data via a Data-Centric Preprocessing Pipeline
[ACM] 2026-4-11 | Implications of Self-Reported Attitudes Towards UML in Bachelor and Master Software Engineering Courses
[ACM] 2026-4-12 | Value Support in the qBeta Language
[ACM] 2026-4-11 | Make it PAWssible: a Client-Specific Dedicated Progressive Web Application for Whelps Animal Shelter
[ACM] 2026-4-12 | A Logical Foundation for Type-Safe Cross-Language Interoperability (Keynote)
[ACM] 2026-4-11 | LLM-based Formality Ranking of Candidate Translations
[ACM] 2026-4-11 | Simulating Phishing Attacks via Social Media: Assessing Student Vulnerabilities to Hidden Malicious Links Using Zphisher
[ACM] 2026-4-11 | Proceedings of the 2025 7th World Symposium on Software Engineering
[ACM] 2026-4-11 | From Scenario to Code: Structured Prompting for LLM-Based Unit Test Generation
