[2026-01-27 09:21:01] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-26
正在获取论文...
[arXiv] 2026-01-26 | On-chip control of the coherence matrix of four-mode partially coherent light: rank, entropy, and modal Stokes parameters
[arXiv] 2026-01-26 | ctELM: Decoding and Manipulating Embeddings of Clinical Trials with Embedding Language Models
[arXiv] 2026-01-26 | Baryonification III: An accurate analytical model for the dispersion measure probability density function of fast radio bursts
[arXiv] 2026-01-26 | POPE: Learning to Reason on Hard Problems via Privileged On-Policy Exploration
[arXiv] 2026-01-26 | Practical block encodings of matrix polynomials that can also be trivially controlled
[arXiv] 2026-01-26 | Goal-oriented Communication for Fast and Robust Robotic Fault Detection and Recovery
[arXiv] 2026-01-26 | Multi-Stage Structured Estimators for Information Freshness
[arXiv] 2026-01-26 | UI Remix: Supporting UI Design Through Interactive Example Retrieval and Remixing
[arXiv] 2026-01-26 | Divergence-free and mass-conservative virtual element methods for the Navier-Stokes-Cahn-Hilliard system
[arXiv] 2026-01-26 | Role of the symmetry energy on hybrid stars
[arXiv] 2026-01-26 | SeNeDiF-OOD: Semantic Nested Dichotomy Fusion for Out-of-Distribution Detection Methodology in Open-World Classification. A Case Study on Monument Style Classification
[arXiv] 2026-01-26 | Roth-type theorems in $K_{s,t}$-free sets
[arXiv] 2026-01-26 | An ISAC-ready Full-Duplex Backscatter Architecture for the mmWave IoT
[arXiv] 2026-01-26 | HalluCitation Matters: Revealing the Impact of Hallucinated References with 300 Hallucinated Papers in ACL Conferences
[arXiv] 2026-01-26 | Trustworthy Evaluation of Robotic Manipulation: A New Benchmark and AutoEval Methods
[arXiv] 2026-01-26 | A mixed interpolation-regression method for numerical integration on the unit circle using zeros of para-orthogonal polynomials
[arXiv] 2026-01-26 | Nontrivial bounds on extractable energy in quantum energy teleportation for gapped manybody systems with a unique ground state
[arXiv] 2026-01-26 | A New Layered Kagome Strip Structure Na2Co3(AsO4)2(OH)2: Static and Dynamic Magnetic Properties
[arXiv] 2026-01-26 | Low Cost, High Efficiency: LiDAR Place Recognition in Vineyards with Matryoshka Representation Learning
[arXiv] 2026-01-26 | Analyzing Images of Blood Cells with Quantum Machine Learning Methods: Equilibrium Propagation and Variational Quantum Circuits to Detect Acute Myeloid Leukemia
[arXiv] 2026-01-26 | Efficient SN-like and PN-like Dynamic Low Rank methods for Thermal Radiative Transfer
[arXiv] 2026-01-26 | Normal and Poisson approximation for Gibbs point processes with pair potentials
[arXiv] 2026-01-26 | A Pragmatic VLA Foundation Model
[arXiv] 2026-01-26 | Function estimation in the empirical Bayes setting
[arXiv] 2026-01-26 | Optimal strategy and deep hedging for share repurchase programs
[arXiv] 2026-01-26 | Out-of-Distribution Radar Detection with Complex VAEs: Theory, Whitening, and ANMF Fusion
[arXiv] 2026-01-26 | Level structure of light neutron-rich La isotopes beyond the N=82 shell closure
[arXiv] 2026-01-26 | A Dynamic Framework for Grid Adaptation in Kolmogorov-Arnold Networks
[arXiv] 2026-01-26 | Adaptive dynamics of alternating Prisoner's Dilemma with memory N
[arXiv] 2026-01-26 | Novikov Coordinates and the Physical Description of Gravitational Collapse
[arXiv] 2026-01-26 | Order Out of Noise and Disorder: Fate of the Frustrated Manifold
[arXiv] 2026-01-26 | D1-D5 CFT data from $AdS_3 \times S^3$ Virasoro-Shapiro amplitude
[arXiv] 2026-01-26 | Birational Weyl Group Action on the Symplectic Groupoid and Cluster Algebras
[arXiv] 2026-01-26 | The ALMA-ATOMS survey: Methanol emission in a large sample of hot molecular cores
[arXiv] 2026-01-26 | Rank-1 Approximation of Inverse Fisher for Natural Policy Gradients in Deep Reinforcement Learning
[arXiv] 2026-01-26 | CASSANDRA: Programmatic and Probabilistic Learning and Inference for Stochastic World Modeling
[arXiv] 2026-01-26 | Geometry-Free Conditional Diffusion Modeling for Solving the Inverse Electrocardiography Problem
[arXiv] 2026-01-26 | Edge States Effects in Quantum Work Statistics
[arXiv] 2026-01-26 | Polynomials in molecules
[arXiv] 2026-01-26 | Learning long term climate-resilient transport adaptation pathways under direct and indirect flood impacts using reinforcement learning
[arXiv] 2026-01-26 | The Hasse principle for diagonal forms restricted to a hypersurface of adjacent degree
[arXiv] 2026-01-26 | One Persona, Many Cues, Different Results: How Sociodemographic Cues Impact LLM Personalization
[arXiv] 2026-01-26 | Well-quasi-ordered classes of bounded clique-width
[arXiv] 2026-01-26 | Feature-Indexed Federated Recommendation with Residual-Quantized Codebooks
[arXiv] 2026-01-26 | An LLM-Agent-Based Framework for Age of Information Optimization in Heterogeneous Random Access Networks
[arXiv] 2026-01-26 | Deconstructing Instruction-Following: A New Benchmark for Granular Evaluation of Large Language Model Instruction Compliance Abilities
[arXiv] 2026-01-26 | Unknown Unknowns: Why Hidden Intentions in LLMs Evade Detection
[arXiv] 2026-01-26 | Resource-Efficient Noise Spectroscopy for Generic Quantum Dephasing Environments
[arXiv] 2026-01-26 | Validation of a Software-Defined 100-Gb/s RDMA Streaming Architecture for Ultrafast Optoacoustic and Ultrasound Imaging
[arXiv] 2026-01-26 | What Do Learned Models Measure?
[arXiv] 2026-01-26 | TEFormer: Structured Bidirectional Temporal Enhancement Modeling in Spiking Transformers
[arXiv] 2026-01-26 | Exact Controllability for Stochastic First-Order Multi-Dimensional Hyperbolic Systems
[arXiv] 2026-01-26 | Efficient Rehearsal for Continual Learning in ASR via Singular Value Tuning
[arXiv] 2026-01-26 | Revisiting Aerial Scene Classification on the AID Benchmark
[arXiv] 2026-01-26 | Algebraic Phase Theory VI: Duality, Reconstruction, and Structural Toolkit Theorems
[arXiv] 2026-01-26 | Beyond Retention: Orchestrating Structural Safety and Plasticity in Continual Learning for LLMs
[arXiv] 2026-01-26 | Co-PLNet: A Collaborative Point-Line Network for Prompt-Guided Wireframe Parsing
[arXiv] 2026-01-26 | A model for a population of trees structured by phenological traits
[arXiv] 2026-01-26 | Generative Chain of Behavior for User Trajectory Prediction
[arXiv] 2026-01-26 | Experimental investigation of wall-pressure fluctuations on a fully appended submarine model at high Reynolds numbers
[arXiv] 2026-01-26 | HeterCSI: Channel-Adaptive Heterogeneous CSI Pretraining Framework for Generalized Wireless Foundation Models
[arXiv] 2026-01-26 | UTune: Towards Uncertainty-Aware Online Index Tuning
[arXiv] 2026-01-26 | Understanding Interface Stability in RENi2/Ni through First-Principles Calculations
[arXiv] 2026-01-26 | Multi-Perspective Subimage CLIP with Keyword Guidance for Remote Sensing Image-Text Retrieval
[arXiv] 2026-01-26 | VIBEVOICE-ASR Technical Report
[arXiv] 2026-01-26 | Rotating black holes in the Hernquist galactic halo and its accretion disk luminosity
[arXiv] 2026-01-26 | Fine-Grained Emotion Detection on GoEmotions: Experimental Comparison of Classical Machine Learning, BiLSTM, and Transformer Models
[arXiv] 2026-01-26 | In-depth analysis of bar formation mechanisms of disk galaxies in halos of different concentrations
[arXiv] 2026-01-26 | Agentic Very Long Video Understanding
[arXiv] 2026-01-26 | EndoExtract: Co-Designing Structured Text Extraction from Endometriosis Ultrasound Reports
[arXiv] 2026-01-26 | FP8-RL: A Practical and Stable Low-Precision Stack for LLM Reinforcement Learning
[arXiv] 2026-01-26 | Enhance the Safety in Reinforcement Learning by ADRC Lagrangian Methods
[arXiv] 2026-01-26 | Twisted scalar curvature as a moment map
[arXiv] 2026-01-26 | RareAlert: Aligning heterogeneous large language model reasoning for early rare disease risk screening
[arXiv] 2026-01-26 | Typhoon-S: Minimal Open Post-Training for Sovereign Large Language Models
[arXiv] 2026-01-26 | LungCRCT: Causal Representation based Lung CT Processing for Lung Cancer Treatment
[arXiv] 2026-01-26 | Broadband asymmetric transmission with tunable bilayer silicon nanoarrays: from visible to near-infrared
[arXiv] 2026-01-26 | Enhancing LLM-based Recommendation with Preference Hint Discovery from Knowledge Graph
[arXiv] 2026-01-26 | From Struggle to Success: Context-Aware Guidance for Screen Reader Users in Computer Use
[arXiv] 2026-01-26 | On Extending Type $B$ Parking Spaces
[arXiv] 2026-01-26 | From Human Speech to Ocean Signals: Transferring Speech Large Models for Underwater Acoustic Target Recognition
[arXiv] 2026-01-26 | Two-Polariton Blockade via Ultrastrong Light-Matter Coupling
[arXiv] 2026-01-26 | DRPG (Decompose, Retrieve, Plan, Generate): An Agentic Framework for Academic Rebuttal
[arXiv] 2026-01-26 | Theoretical study of $f_0(980)$, $a_0(980)$ and $Ξ(1/2^-)$ in the process $Ξ_c^+ \to Σ^+K^+K^-$
[arXiv] 2026-01-26 | Maximum-Variance-Reduction Stratification for Improved Subsampling
[arXiv] 2026-01-26 | The effect of collinearity and sample size on linear regression results: a simulation study
[arXiv] 2026-01-26 | EvolVE: Evolutionary Search for LLM-based Verilog Generation and Optimization
[arXiv] 2026-01-26 | Differentiable Architecture Search for Adversarially Robust Quantum Computer Vision
[arXiv] 2026-01-26 | Equivalent computational problems for superspecial abelian surfaces
[arXiv] 2026-01-26 | Certifying optimal device-independent quantum randomness in quantum networks
[arXiv] 2026-01-26 | Closing the Modality Gap Aligns Group-Wise Semantics
[arXiv] 2026-01-26 | Ribbons from Independence Structure: Hypercontractivity, $Φ$-Mutual Information, and Matrix $Φ$-Entropy
[arXiv] 2026-01-26 | Simultaneous determination of multiple low-lying energy levels on a superconducting quantum processor
[arXiv] 2026-01-26 | Robust additive bases without minimal subbases
[arXiv] 2026-01-26 | On the Asymptotic Behavior of Guessing Sequences
[arXiv] 2026-01-26 | BAIT: Visual-illusion-inspired Privacy Preservation for Mobile Data Visualization
[arXiv] 2026-01-26 | Fluctuation of fission observables investigated with a Monte Carlo method
[arXiv] 2026-01-26 | An Audit of Machine Learning Experiments on Software Defect Prediction
[arXiv] 2026-01-26 | Finite-Aperture Fluid Antenna Array Design: Analysis and Algorithm
[arXiv] 2026-01-26 | Unstable Interface Dynamics for Gravity Stokes Flow
[arXiv] 2026-01-26 | Token-level Collaborative Alignment for LLM-based Generative Recommendation
[arXiv] 2026-01-26 | Geneses: Unified Generative Speech Enhancement and Separation
[arXiv] 2026-01-26 | Hamiltonian formulation of the $1+1$-dimensional $φ^4$ theory in a momentum-space Daubechies wavelet basis
[arXiv] 2026-01-26 | GCFX: Generative Counterfactual Explanations for Deep Graph Models at the Model Level
[arXiv] 2026-01-26 | On the Optimal Message Size in PIR Under Arbitrary Collusion Patterns
[arXiv] 2026-01-26 | On Extremal Volume Projections of the Simplex and the Cube
[arXiv] 2026-01-26 | Massless Representations in Conformal Space and Their de Sitter (dS) Restrictions
[arXiv] 2026-01-26 | Collaposer: Transforming Photo Collections into Visual Assets for Storytelling with Collages
[arXiv] 2026-01-26 | Superlinear Multi-Step Attention
[arXiv] 2026-01-26 | Do not be greedy, Think Twice: Sampling and Selection for Document-level Information Extraction
[arXiv] 2026-01-26 | Efficient Complex-Valued Vision Transformers for MRI Classification Directly from k-Space
[arXiv] 2026-01-26 | AI Agent for Reverse-Engineering Legacy Finite-Difference Code and Translating to Devito
