[2026-09-18 23:54:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-17
正在获取论文...
[arXiv] 2026-09-17 | Converging Naming Styles, Persistent Network Locality: GitHub in the LLM Era
[arXiv] 2026-09-17 | Expected Hypervolume Maximization for Multiobjective Optimization under Uncertainties
[arXiv] 2026-09-17 | Tunable flat band on the surface of a rhombohedral kagome ferromagnet
[arXiv] 2026-09-17 | GR2PO: Group Relative Return Policy Optimization for Continuous Robot Control
[arXiv] 2026-09-17 | Constraint-Safe Graph-Context Scoring for Stable Point-Feature Labels Under Text-Width and Accessibility-Inspired Profiles
[arXiv] 2026-09-17 | Machine Learning for High-Entropy Catalysts: Methods and Applications
[arXiv] 2026-09-17 | EviRCA: Decoupling Evidence Extraction from Reasoning for Microservice Root-Cause Analysis
[arXiv] 2026-09-17 | Steering Equilibrium Selection in Regularized Self-Play via the Reference Policy
[arXiv] 2026-09-17 | Online Material-Labeled Environment Reconstruction via Bayesian Multipath Attribution for Low-Altitude ISAC
[arXiv] 2026-09-17 | CoRELoop: Parameter-Efficient Controlled Recurrent Refinement for Audio Deepfake Detection
[arXiv] 2026-09-17 | Exergy-Anergy Representation of Turbomachine Performance Characteristics
[arXiv] 2026-09-17 | Absence is Presence: Understanding Visual Scene Negative Events Under Safety Cognitive Constraint
[arXiv] 2026-09-17 | Observation of multiphoton entanglement in resonance fluoresce
[arXiv] 2026-09-17 | Design of Economic Dispatch Schemes of An Isolated BESS Network Based on Distributed Discrete-time PI+Rest Consensus
[arXiv] 2026-09-17 | Evolution or Illusion? Rethinking Evaluation in LLM Evolutionary Search
[arXiv] 2026-09-17 | AI Smart Glasses for Wearable Intelligence: From Egocentric Sensing to Agentic Personalization
[arXiv] 2026-09-17 | Whittle index approach to multi-server scheduling with convex delay costs and impatient customers
[arXiv] 2026-09-17 | Sybil-TraceGuard: Traceability-enhanced Sybil Guardian for Connected and Autonomous Vehicles Using Dynamic Semi-supervised GNN
[arXiv] 2026-09-17 | Treadstone: A Social-Media-Inspired Platform for Multi-Agent Collaborative Data Analysis
[arXiv] 2026-09-17 | Algebraically independent distances and rigid metrics
[arXiv] 2026-09-17 | Benchmarking MLLMs via Cognitive Expected Scene Graph for Safety-Critical Visual Negation Understanding
[arXiv] 2026-09-17 | Taxing Capital to Protect It
[arXiv] 2026-09-17 | HyperAMS-Net: Adaptive Multi-Scale Spatial Hypergraph Network for Brain Disorder Classification
[arXiv] 2026-09-17 | AutoData: Agentic Search for Pre-training Data Selection
[arXiv] 2026-09-17 | Complete mapping criteria for generalized Cesàro operators between Hardy spaces
[arXiv] 2026-09-17 | GAPrompt++: Multi-Granular Geometry-Aware Point Cloud Prompt for 3D Vision Model
[arXiv] 2026-09-17 | On integral polytopes related to Edmonds' problem
[arXiv] 2026-09-17 | Understanding and Exploiting Diagonal Attention Sparsity in Autoregressive Image Generation
[arXiv] 2026-09-17 | Heterogeneity-calibrated Byzantine-robust distributed composite quantile regression
[arXiv] 2026-09-17 | Determination of the potential by a fixed angle scattering data
[arXiv] 2026-09-17 | Reconstructability of Inverse Problems under Symmetry: Separating Structural, Effective, and Physical Upper Bounds
[arXiv] 2026-09-17 | Finite subgroups of outer automorphism groups of the absolute Galois groups of mixed-characteristic local fields
[arXiv] 2026-09-17 | Opinion Dynamics-based Coalition Formation for Federated Learning in Heterogeneous IoT Systems
[arXiv] 2026-09-17 | IMFD: End-to-end Multi-Face Forgery Detection through Instruction-based Large Vision-Language Models
[arXiv] 2026-09-17 | Probing submillimeter number counts below the confusion limit: extreme-value statistics of the P(D) distribution and its modulation by gravitational lensing
