[2026-03-10 09:31:41] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-09
正在获取论文...
[arXiv] 2026-03-09 | GOMA: Geometrically Optimal Mapping via Analytical Modeling for Spatial Accelerators
[arXiv] 2026-03-09 | SGG-R$^{\rm 3}$: From Next-Token Prediction to End-to-End Unbiased Scene Graph Generation
[arXiv] 2026-03-09 | Threshold Temperature for Neutron-Star Emergence in a Gravitational Thermodynamic Framework
[arXiv] 2026-03-09 | ELLMob: Event-Driven Human Mobility Generation with Self-Aligned LLM Framework
[arXiv] 2026-03-09 | Contravariantly infinite resolving subcategories
[arXiv] 2026-03-09 | Visualization of Multi-Qubit Pure States with Separation of Local and Nonlocal Degrees of Freedom
[arXiv] 2026-03-09 | Probing Lorentz symmetry violation via the Casimir effect in rectangular cavities
[arXiv] 2026-03-09 | Text to Automata Diagrams: Comparing TikZ Code Generation with Direct Image Synthesis
[arXiv] 2026-03-09 | Band modulations and topological transitions in a one-dimensional periodic bead-on-string chain
[arXiv] 2026-03-09 | Robust Transfer Learning with Side Information
[arXiv] 2026-03-09 | Long-Short Term Agents for Pure-Vision Bronchoscopy Robotic Autonomy
[arXiv] 2026-03-09 | Exploring the spin dependence on mass inclination and distance for the newly discovered black hole X-ray binary Swift J151857.0-572147
[arXiv] 2026-03-09 | Structure and Progress Aware Diffusion for Medical Image Segmentation
[arXiv] 2026-03-09 | VLM-SubtleBench: How Far Are VLMs from Human-Level Subtle Comparative Reasoning?
[arXiv] 2026-03-09 | On a Problem Posed by Brezis and Mironescu
[arXiv] 2026-03-09 | Slumbering to Precision: Enhancing Artificial Neural Network Calibration Through Sleep-like Processes
[arXiv] 2026-03-09 | Viewpoint-Agnostic Grasp Pipeline using VLM and Partial Observations
[arXiv] 2026-03-09 | An Interpretable Generative Framework for Anomaly Detection in High-Dimensional Financial Time Series
[arXiv] 2026-03-09 | An asymptotic model of Poisson--Nernst--Planck--Stokes systems in narrow channels
[arXiv] 2026-03-09 | Re-evaluating Position and Velocity Decoding for Hand Pose Estimation with Surface Electromyography
[arXiv] 2026-03-09 | Video2LoRA: Unified Semantic-Controlled Video Generation via Per-Reference-Video LoRA
[arXiv] 2026-03-09 | Alignment-Aware and Reliability-Gated Multimodal Fusion for Unmanned Aerial Vehicle Detection Across Heterogeneous Thermal-Visual Sensors
[arXiv] 2026-03-09 | A Bipartite Quantum Key Distribution Protocol Based on Indefinite Causal Order
[arXiv] 2026-03-09 | Strain-driven magnetic anisotropy and spin reorientation in epitaxial Co V 2 O 4 spinel oxide thin films
[arXiv] 2026-03-09 | Is continuous CoT better suited for multi-lingual reasoning?
[arXiv] 2026-03-09 | C$^2$FG: Control Classifier-Free Guidance via Score Discrepancy Analysis
[arXiv] 2026-03-09 | MV-Fashion: Towards Enabling Virtual Try-On and Size Estimation with Multi-View Paired Data
[arXiv] 2026-03-09 | DARC: Disagreement-Aware Alignment via Risk-Constrained Decoding
[arXiv] 2026-03-09 | Probing the CP Property of ALP-photon Interactions at Future Lepton Colliders
[arXiv] 2026-03-09 | Eigenvalue accumulation for operator convolutions on locally compact groups
[arXiv] 2026-03-09 | Formalizing the stability of the two Higgs doublet model potential into Lean: identifying an error in the literature
[arXiv] 2026-03-09 | Toward Governing Perception in Safety-Critical Mediated Reality on the Move
[arXiv] 2026-03-09 | VesselFusion: Diffusion Models for Vessel Centerline Extraction from 3D CT Images
[arXiv] 2026-03-09 | UniGround: Universal 3D Visual Grounding via Training-Free Scene Parsing
[arXiv] 2026-03-09 | Proportion of chiral maps with automorphism group $\mathcal{S}_n$ and $\mathcal{A}_n$
[arXiv] 2026-03-09 | Semiclassical description of Interatomic Coulombic Electron Capture in solutions
[arXiv] 2026-03-09 | DeReCo: Decoupling Representation and Coordination Learning for Object-Adaptive Decentralized Multi-Robot Cooperative Transport
[arXiv] 2026-03-09 | Tau-BNO: Brain Neural Operator for Tau Transport Model
[arXiv] 2026-03-09 | Error-correcting codes over the Mordell-Weil groups of extremal rational elliptic surfaces and the $E_8$ lattice
