[2026-04-17 22:39:34] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-16
正在获取论文...
[arXiv] 2026-04-16 | Singly periodic maximal graphs with isolated singularities in Lorentz-Minkowski 3-space
[arXiv] 2026-04-16 | On the independence number of de Bruijn graphs
[arXiv] 2026-04-16 | Constructions of $q$-ary Golay Complementary Pairs Over Flexible Non-Power-of-Two Lengths
[arXiv] 2026-04-16 | Scaling Photonic Tensor Cores with Unary and Homodyne Designs
[arXiv] 2026-04-16 | Closing the Observational Gap in Cosmic Dynamics: AI-Enabled Reconstruction of the Universe's Vorticity and Rotational Flow Morphology
[arXiv] 2026-04-16 | CURaTE: Continual Unlearning in Real Time with Ensured Preservation of LLM Knowledge
[arXiv] 2026-04-16 | Revisiting Ca II Activity Indices in FGK Stars: Systematic Biases in Infrared Triplet Measurements
[arXiv] 2026-04-16 | CMTM: Cross-Modal Token Modulation for Unsupervised Video Object Segmentation
[arXiv] 2026-04-16 | Mechanical properties of proton in the momentum space
[arXiv] 2026-04-16 | Asking What Matters: Reward-Driven Clarification for Software Engineering Tasks
[arXiv] 2026-04-16 | Differentially Private Conformal Prediction
[arXiv] 2026-04-16 | Retrieve, Then Classify: Corpus-Grounded Automation of Clinical Value Set Authoring
[arXiv] 2026-04-16 | Uncertainty-aware Generative Learning Path Recommendation with Cognition-Adaptive Diffusion
[arXiv] 2026-04-16 | Absence of solid phase in dense amorphous active granular matter
[arXiv] 2026-04-16 | Upper bound of ejecta mass in a nova outburst
[arXiv] 2026-04-16 | Prime--Zero Duality: Fractal Geometry, Renormalization-Group Flow, and an Information-Ontological Framework for Number Theory
[arXiv] 2026-04-16 | Behavior-Aware Dual-Channel Preference Learning for Heterogeneous Sequential Recommendation
[arXiv] 2026-04-16 | TurboTalk: Progressive Distillation for One-Step Audio-Driven Talking Avatar Generation
[arXiv] 2026-04-16 | Bayesian sparse principal coordinates analysis with delta-tolerant linear approximation for microbiome data
[arXiv] 2026-04-16 | Persistent Free Volume Governs (Anti-)plasticization in Chitosan-Water Mixtures
[arXiv] 2026-04-16 | The Fourth Challenge on Image Super-Resolution ($\times$4) at NTIRE 2026: Benchmark Results and Method Overview
[arXiv] 2026-04-16 | Beam Squinting Effects in Super Wideband Communication Systems
[arXiv] 2026-04-16 | The GECKOS survey: Resolving the molecular and ionised gas in the galactic outflow of ESO~484-036
[arXiv] 2026-04-16 | Giving Faces Their Feelings Back: Explicit Emotion Control for Feedforward Single-Image 3D Head Avatars
[arXiv] 2026-04-16 | Ultrahigh-energy cosmogenic neutrino emissions in the high-redshift universe
[arXiv] 2026-04-16 | CSRA: Controlled Spectral Residual Augmentation for Robust Sepsis Prediction
[arXiv] 2026-04-16 | TRACER: Trace-Based Adaptive Cost-Efficient Routing for LLM Classification
[arXiv] 2026-04-16 | Bridging Standardized Codebook and Site-Specific Beamforming: A Unified Limited-Feedback Framework
[arXiv] 2026-04-16 | CI-CBM: Class-Incremental Concept Bottleneck Model for Interpretable Continual Learning
[arXiv] 2026-04-16 | Bayesian Node-Level Outlier Detection for Graph Signals
[arXiv] 2026-04-16 | Performance Optimization Method for Laser-Phase-Noise based Quantum Random Number Generation
[arXiv] 2026-04-16 | NewsTorch: A PyTorch-based Toolkit for Learner-oriented News Recommendation
[arXiv] 2026-04-16 | The Last Galactic Firework: Timing the last significant merger with stars, globular clusters and $ω$Centauri
[arXiv] 2026-04-16 | Decoupling Identity from Utility: Privacy-by-Design Frameworks for Financial Ecosystems
[arXiv] 2026-04-16 | STEP-Parts: Geometric Partitioning of Boundary Representations for Large-Scale CAD Processing
[arXiv] 2026-04-16 | Spectrally Accurate Simulation of Axisymmetric Vesicle Dynamics
[arXiv] 2026-04-16 | Efficient Fuzzy Private Set Intersection from Secret-shared OPRF
[arXiv] 2026-04-16 | ADAPT: Benchmarking Commonsense Planning under Unspecified Affordance Constraints
[arXiv] 2026-04-16 | Well-Posedness of Generalized Mean-Reflected McKean-Vlasov Backward Stochastic Differential Equations
[arXiv] 2026-04-16 | Reasoning Dynamics and the Limits of Monitoring Modality Reliance in Vision-Language Models
[arXiv] 2026-04-16 | xFODE: An Explainable Fuzzy Additive ODE Framework for System Identification
[arXiv] 2026-04-16 | SOLIS: Physics-Informed Learning of Interpretable Neural Surrogates for Nonlinear Systems
