[2026-08-20 22:26:48] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-19
正在获取论文...
[arXiv] 2026-08-19 | The Equality Cases of the Weak Simplex Conjecture
[arXiv] 2026-08-19 | Non-Local Search-to-Decision Reduction over F2
[arXiv] 2026-08-19 | Learning Random Geometric Graphs Drawn in Probabilistic Metric Spaces
[arXiv] 2026-08-19 | Asteroseismology of the multiperiodic field SX Phe pulsator BL Camelopardalis
[arXiv] 2026-08-19 | Exploring the limits of high-energy proton-pion separation in granular calorimeters
[arXiv] 2026-08-19 | Computational Features for Symbolic Melody Analysis
[arXiv] 2026-08-19 | Distinct Modes of Quantum Information Transfer in Power-Law Long-Range Spin Networks
[arXiv] 2026-08-19 | A Ginzburg-Landau approximation theorem for quasilinear pattern-forming systems in uniformly local Sobolev spaces
[arXiv] 2026-08-19 | Counterfactual Contrastive Analysis
[arXiv] 2026-08-19 | A Search for helium in the atmospheres of three sub-Neptunes and a super-Earth around M-dwarfs
[arXiv] 2026-08-19 | A trace theorem for spherical kinetic Sobolev spaces on $ρ$-convex domains
[arXiv] 2026-08-19 | Scalable Amortized Variational Inference for Non-Poisson Buy-'Til-You-Die Models
[arXiv] 2026-08-19 | Quantifying uncertainty in the neutron-star equation of state using point estimates and posterior distributions
[arXiv] 2026-08-19 | One-Stage Object Detectors in Autonomous Driving
[arXiv] 2026-08-19 | From Threat Intelligence to Detection: Knowledge-driven Enrichment and Template-based Rule Grounding for Automated Sigma Rule Generation
[arXiv] 2026-08-19 | Gradient Flow Structure of the Spontaneous Aggregation Model
[arXiv] 2026-08-19 | A Sharp Joint Bias-Energy Envelope for Radial Clipping
[arXiv] 2026-08-19 | Quadrupole White-light Sources in an X1.2 Flare Observed by ASO-S/LST/WST and SDO/HMI
[arXiv] 2026-08-19 | Towards a Deductive Verification Infrastructure for Weighted Programming
[arXiv] 2026-08-19 | Universal domination and idealized forcing
[arXiv] 2026-08-19 | An ultra-bright, highly-scalable, squeezed light source for hybrid quantum photonics
[arXiv] 2026-08-19 | On $\textbf{u}$-substitutions for group presentations
[arXiv] 2026-08-19 | Near-optimal Turán densities of $r$-graphs on $r+1$ vertices
[arXiv] 2026-08-19 | Time-Decay Estimates for Two-Dimensional Fourth-Order Schrödinger Operators with Threshold Singularities
[arXiv] 2026-08-19 | On the Slow Convergence to Trivial Solutions of Algorithms for Hard Optimization Problems
[arXiv] 2026-08-19 | Remarkable Enhancement of High Harmonic Generation from Superhard Material under High Pressure
[arXiv] 2026-08-19 | New Constructions of Additive MDS TRS Codes
[arXiv] 2026-08-19 | Syntactic Simplification of OWL Class Expressions
[arXiv] 2026-08-19 | The efficient star-forming regions of stripped-envelope supernovae
[arXiv] 2026-08-19 | Optimal control of a class of nonlinear heat conduction models
[arXiv] 2026-08-19 | Triangle Feynman diagram in the timelike region
[arXiv] 2026-08-19 | Graph-Based Approaches to Learning Epileptogenic Zone Localization Using Stereo-EEG Recordings
[arXiv] 2026-08-19 | Spectral Fingerprints of Resonant Defect Scattering by Substitutional Mn in Graphene
[arXiv] 2026-08-19 | DentAgent: Evidence-Centric Multi-Agent Coordination for Multimodal Dental Reasoning
[arXiv] 2026-08-19 | Estimation of systematic error from bulk deformation of end test mass induced by photon calibrator for LIGO post-O5 gravitational wave projects
[arXiv] 2026-08-19 | Secure Medical Data Transmission Using Quantum Key Distribution and Post-Quantum Cryptography in Real-World Fiber Networks
[arXiv] 2026-08-19 | Functional forms in joint models for longitudinal and time-to-event data: A practical guide with application and interpretation
[arXiv] 2026-08-19 | SkillGate: Training In-Policy Skill Selection in Long-Horizon Agents
[arXiv] 2026-08-19 | A metallicity sweet spot for disc fragmentation and planet formation
[arXiv] 2026-08-19 | Detecting Feedback-path Delay Injection Attacks Using Interacting Multiple Model Filtering
[arXiv] 2026-08-19 | Toric Representation Type of the Veronese Surface
[arXiv] 2026-08-19 | Characterizing the Plurality Rule via Clone Invariance
[arXiv] 2026-08-19 | Interference-engineered shortcut to perfect state transfer
[arXiv] 2026-08-19 | Removing Population Size, World Cities Leave on Land a Footprint of Wealth
[arXiv] 2026-08-19 | The Birth of Radar Meteor Astronomy at Jodrell Bank: The Collaboration between Bernard Lovell and Manning Prentice
[arXiv] 2026-08-19 | Dream2Reward: Transition-Alignment Reward Models from Positive Demonstrations for Robotic Manipulation
[arXiv] 2026-08-19 | Scoring and Gamification to Encourage Sustainable Use of Compute Clusters
[arXiv] 2026-08-19 | Maximal ideals in the finitary symmetric group algebra in characteristic two
[arXiv] 2026-08-19 | SIDScope: A Diagnostic Resource for Semantic-ID Interfaces in Generative Recommendation
[arXiv] 2026-08-19 | Size-Mass Relation Shows Its Colours: Contrasting Physical Imprints of Galaxy Evolution in Rest-Frame UV and Optical
[arXiv] 2026-08-19 | Enhancing Distance-Based Graph Autoencoders with Structural Penalties for Dynamic Graph Embedding
[arXiv] 2026-08-19 | Maximal attractors for perturbations of unimodal maps near a homoclinic tangency
[arXiv] 2026-08-19 | Epistemic Subordination: Generative AI and the Infrastructure of Knowledge
[arXiv] 2026-08-19 | A note on the reflexibility of regular maps with automorphism group PGL(2,q)
[arXiv] 2026-08-19 | Binary Voltage Covers of $K(10,3)$: Cohomology, Symmetry Orbits, and a Locally $K(7,3)$ Graph
[arXiv] 2026-08-19 | Seeded SU(1,1) interferometry for Fourier-domain optical coherence tomography
[arXiv] 2026-08-19 | Regularised Iterative Generalised Least Squares with Optimal Selection of the Hyper-Parameter for Identifying Nonlinear Phenomenological Models
[arXiv] 2026-08-19 | Implications of $B\to χ_{c1}πK$ data for an isovector $G$-odd $D^\ast\bar D^\ast$ molecular virtual state
[arXiv] 2026-08-19 | Fair, Efficient and Connected Allocations on Graphs
[arXiv] 2026-08-19 | SoftVTBench: A Deformation-Aware Visuo-Tactile Dataset and Benchmark for Deformable-Object Manipulation
[arXiv] 2026-08-19 | Affine Evaluation Maps, Dimension Groups, and Fair measures
[arXiv] 2026-08-19 | gridcp: Fast Online Changepoint Detection in Python
[arXiv] 2026-08-19 | Europe's Climate Ambition Under Scrutiny: Evidence from Deep Learning Emission Projections
[arXiv] 2026-08-19 | DocClaw: A Unified Agentic System for Intelligent Document Processing
[arXiv] 2026-08-19 | Monad Structures on Topological Spaces Comprising Mislove's Random Variables
[arXiv] 2026-08-19 | Sounds Uncertain: Exploring the Affective Aspects of Sonification for Uncertainty Visualization
[arXiv] 2026-08-19 | Long-run risk-sensitive portfolio optimisation with proportional transaction costs and log Lévy asset prices
