[2026-06-11 23:22:08] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-10
正在获取论文...
[arXiv] 2026-06-10 | Adaptive, efficient, and scalable water wave modeling with dispersive hyperbolic systems
[arXiv] 2026-06-10 | Grand-canonical phase diagram and chiral-current suppression at $π$ flux in a bosonic two-leg ladder
[arXiv] 2026-06-10 | Quenching of Star Formation in Massive Galaxies
[arXiv] 2026-06-10 | Output-sensitive Sparse Polynomial GCD over Finite Fields is NP-hard
[arXiv] 2026-06-10 | Capacity-Constrained Online Convex Optimization with Delayed Feedback
[arXiv] 2026-06-10 | VIPIR: A Versatile GPU Framework for Integrating Private Information Retrieval Protocols
[arXiv] 2026-06-10 | Pricing mobility services under decision-dependent demand uncertainty: a carsharing case
[arXiv] 2026-06-10 | Broadened Lensing Rings of Compact Boson Stars: Enhanced Imprint of Accretion Flow in Images and Visibilities
[arXiv] 2026-06-10 | Systematic Cybersecurity Risk Analysis of European Rail Traffic Management System
[arXiv] 2026-06-10 | WHET: Welding Homomorphic Encryption to Accelerator Architectures
[arXiv] 2026-06-10 | Limit on the nuclear Schiff moment of europium-153
[arXiv] 2026-06-10 | Near-core magnetic field strengths inferred from gravity modes in intermediate-mass stars
[arXiv] 2026-06-10 | Continuous stochastic flows driven by white noise and their duals
[arXiv] 2026-06-10 | A Unified Halo Mass Function Across Dark Matter Models from High-Resolution Multi-Scale Simulations
[arXiv] 2026-06-10 | A Discrete Cumulative Distribution Transform via Optimal Transport
[arXiv] 2026-06-10 | AGE-MIL: Anchor-Guided Evidence Learning for Patient-Level Prediction
[arXiv] 2026-06-10 | ISAP-3D: Identity-Slot Aligned Part-Aware 3D Generation
[arXiv] 2026-06-10 | Multilayer Screening of Double and Conventional Perovskite Solar Cells Using SCAPS-1D and Machine Learning: Optimization of ETL, HTL, and Absorber for High-Efficiency Architectures
[arXiv] 2026-06-10 | StanceNakba Shared Task: Actor and Topic-Aware Stance Detection in Public Discourse
[arXiv] 2026-06-10 | Low-symmetry lattices of non-chiral meta-atoms for resonant handedness-preserving reflection
[arXiv] 2026-06-10 | ChargeBD: Character-Aware Heterogeneous Agent Reasoning for Guided Engineering in Battery Development
[arXiv] 2026-06-10 | Point Cloud Segmentation for Autonomous Clip Positioning in Laparoscopic Cholecystectomy on a Phantom
[arXiv] 2026-06-10 | A Lightweight Multi-Agent Framework for Automated Concrete Barrier Design
[arXiv] 2026-06-10 | Axiomatic Tools for Separating Electoral Control Types, with Applications to Concrete Systems
[arXiv] 2026-06-10 | Phonons and magnetism of kagome FeGe probed by nuclear resonant scattering
[arXiv] 2026-06-10 | Oscillations of red giant stars with magnetic damping in the core. II. Mixed mode visibilities on the red-giant branch
[arXiv] 2026-06-10 | Existential Indifference: Self-Nonpreservation as a Necessary Architectural Condition for Aligned Superintelligence (or: The Suicidal AI)
[arXiv] 2026-06-10 | Measurement-Free Toric-Code Memory in Array Globally Controlled Rydberg Array
[arXiv] 2026-06-10 | MODF-SIR: A Multi-agent Omni-modal Distilled Framework for Social Intelligence Reasoning
[arXiv] 2026-06-10 | Residual stress gradient in a thin film within the dislocation pile-up theory
[arXiv] 2026-06-10 | Unexpected large relative strong phase and search for isospin breaking and $CP$ asymmetries in $J/ψ\to K^*(892)\bar K
[arXiv] 2026-06-10 | Physics-guided residual Kalman learning for state-of-charge estimation of lithium iron phosphate batteries
[arXiv] 2026-06-10 | A Computational Model for Measuring Adaptability Among U.S. Farmers: Evidence from 1997-2022
[arXiv] 2026-06-10 | The Kondo effect in ferromagnetic quantum critical CeRh$_6$Ge$_4$
[arXiv] 2026-06-10 | Interfacial Coupling and Sparse Intercalation of 7-Atom-Wide Armchair Graphene Nanoribbons by N-Heterocyclic Carbene Monolayers
[arXiv] 2026-06-10 | Efficient Multinomial Logistic Bandit via Frequent Directions
[arXiv] 2026-06-10 | Hartee-type heat equation associated to fractional anharmonic oscillator on weighted modulation spaces
[arXiv] 2026-06-10 | Trace and Hardy-Sobolev type inequalities and applications to a quasilinear elliptic problem in half-space
[arXiv] 2026-06-10 | Deformable In-Hand Slip-Aware Tactile Sensor with Integrated Velocity, Force/Torque, and Pressure Map Sensing
[arXiv] 2026-06-10 | On Skorokhod Problems for Reflected and Singular Stochastic Heat Equations
[arXiv] 2026-06-10 | Visualizing Transient Ordering Phenomena in Dense Nanoparticle Clouds
[arXiv] 2026-06-10 | On $S$-prime and $S$-primary elements in multiplicative lattices
[arXiv] 2026-06-10 | Frozen Multimodal Embeddings for Personality and Cognitive Ability Assessment in Asynchronous Video Interviews
[arXiv] 2026-06-10 | Toward Generalist Autonomous Research via Hypothesis-Tree Refinement
[arXiv] 2026-06-10 | Descriptions of traces of weighted Sobolev spaces to Ahlfors--David regular sets in the case $p=1$
[arXiv] 2026-06-10 | A Hecke algebra isomorphism over close local fields for metaplectic groups
[arXiv] 2026-06-10 | Quantum tidal locking in orbiting Bose-Einstein condensates
[arXiv] 2026-06-10 | The Art of Interrogation: Consistency Amplifies Factuality in Spatial Reasoning
[arXiv] 2026-06-10 | Quality Adaptive Angular Margin Learning for Respiratory Sound Classification
[arXiv] 2026-06-10 | NARRAS: Edge-Triggered Distributed Inference for CSI-Based Localization in Vehicular IoT Networks
[arXiv] 2026-06-10 | DeepRHP: A Hybrid Variational Autoencoder for Designing Random Heteropolymers as Protein Mimics
[arXiv] 2026-06-10 | A parity Erdős-Hajnal theorem for $t$-intersecting curves
[arXiv] 2026-06-10 | Dummy Backdoor as a Defense: Removing Unknown Backdoors via Shared Internal Mechanisms for Generative LLMs
[arXiv] 2026-06-10 | Singular Hochschild complex and Cartan matrix
[arXiv] 2026-06-10 | TAROT: Task-Adaptive Refinement of LLM-prior Graphs for Few-shot Tabular Learning
[arXiv] 2026-06-10 | SAFER-Nav: Enhancing Safety for Visual Robot Navigation via Segmentation-Aware Fine-Tuning
[arXiv] 2026-06-10 | When Context Returns: Toward Robust Internalization in On-Policy Distillation
[arXiv] 2026-06-10 | The Triply-Randomized Negative Binomial Beta for Robust Regression and Conjugate Models of Bounded Support Data
[arXiv] 2026-06-10 | Vision-Language-Action Models Meet World Models: Embodied Agentic AI for Low-Altitude Wireless Networks
[arXiv] 2026-06-10 | Factions Within, Uncertain Across: Within-Document Reader Sub-Groups in Social Highlighting
[arXiv] 2026-06-10 | Frozen Foundation-Model Embeddings Discard Small-Lesion Signal in Chest Radiography: Implications for Pre-Deployment Evaluation
[arXiv] 2026-06-10 | Time-Reversal Characteristic Modes of Lossy Reciprocal Structures
[arXiv] 2026-06-10 | Large Language Models in Process Systems Engineering: Opportunities, Architectures, and Industrial Deployment Challenges
[arXiv] 2026-06-10 | Antenna Coding and Digital Precoding for Limited Feedback MIMO Systems Using Pixel Antennas
[arXiv] 2026-06-10 | Recalibration of SDSS photometric zero-points based on the InfraRed Flux Method temperature scale
[arXiv] 2026-06-10 | Querying Cohesive Subgraph regarding Span-Constrained Triangles on Temporal Graphs with Dynamic Index Maintenance
[arXiv] 2026-06-10 | Tensor-Network-Based Distributed Quantum Dynamics on Independent Quantum Computers
[arXiv] 2026-06-10 | AVIS: Adaptive Test-Time Scaling for Vision-Language Models
[arXiv] 2026-06-10 | End-to-End Machine Learning for Depressive State Classification via EEG and fNIRS
[arXiv] 2026-06-10 | Multiplicity of Laplacian eigenvalue 1 of a graph
[arXiv] 2026-06-10 | A note on generic $n$-partite graphs
[arXiv] 2026-06-10 | Urban Heat MiniCubes: An AI-Ready dataset for urban heat research
[arXiv] 2026-06-10 | Real-Time Language Model Jamming: A Case Study for Live Music Accompaniment Generation
[arXiv] 2026-06-10 | On the Robustness of AFBM Sensing to Power Amplifier Nonlinearities
[arXiv] 2026-06-10 | I Understand How You Feel: Enhancing Deeper Emotional Support Through Multilingual Emotional Validation in Dialogue System
[arXiv] 2026-06-10 | AutoMine Solution for AV2 2026 Scenario Mining Challenge
[arXiv] 2026-06-10 | Koopman-based NMPC for Virtually Coupled Train Control System
[arXiv] 2026-06-10 | Flow Matching with In-Context Priors for Out-of-Distribution Brain Dynamics
[arXiv] 2026-06-10 | On finding exact solutions of linear programs in the oracle model
[arXiv] 2026-06-10 | Understanding and Detecting Scalability Faults in Large-Scale Distributed Systems
[arXiv] 2026-06-10 | Mathematical Basis for Analyzing Superconducting Phase Transitions Using Catastrophe Theory
[arXiv] 2026-06-10 | Nonexistence of hidden-charm pentaquarks in $J/ψ$ photoproduction
