[2026-02-19 09:33:06] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-18
正在获取论文...
[arXiv] 2026-02-18 | Measuring Mid-2025 LLM-Assistance on Novice Performance in Biology
[arXiv] 2026-02-18 | Calibrate-Then-Act: Cost-Aware Exploration in LLM Agents
[arXiv] 2026-02-18 | Parameter-free representations outperform single-cell foundation models on downstream benchmarks
[arXiv] 2026-02-18 | Generalized determinantal representation of hypersurfaces
[arXiv] 2026-02-18 | Agent Skill Framework: Perspectives on the Potential of Small Language Models in Industrial Environments
[arXiv] 2026-02-18 | Design Principles for Fluid Molecular Ferroelectrics
[arXiv] 2026-02-18 | Current Induced Switching of Superconducting Order and Enhancement of Superconducting Diode Efficiency
[arXiv] 2026-02-18 | Two warm sub-Saturn mass planets identified from the TESS Full Frame Images
[arXiv] 2026-02-18 | Hierarchical paraproducts
[arXiv] 2026-02-18 | Quecto-V1: Empirical Analysis of 8-bit Quantized Small Language Models for On-Device Legal Retrieval
[arXiv] 2026-02-18 | Universal Framework for Decomposing Ionic Transport into Interpretable Mechanisms
[arXiv] 2026-02-18 | Behavioral change models for infectious disease transmission: a systematic review (2020-2025)
[arXiv] 2026-02-18 | Symmetry properties for positive solutions of mixed boundary value problems in a sub-spherical sector
[arXiv] 2026-02-18 | Dynamic effects of external axion fields in a system of many particles with spin
[arXiv] 2026-02-18 | A Systematic Evaluation of Sample-Level Tokenization Strategies for MEG Foundation Models
[arXiv] 2026-02-18 | A Rough Functional Breuer-Major Theorem
[arXiv] 2026-02-18 | Meteor statistics I: The distribution of instrumental magnitudes
[arXiv] 2026-02-18 | Explainable AI: Context-Aware Layer-Wise Integrated Gradients for Explaining Transformer Models
[arXiv] 2026-02-18 | ERGMs on block models
[arXiv] 2026-02-18 | Entanglement negativity in decohered topological states
[arXiv] 2026-02-18 | A Contrastive Learning Framework Empowered by Attention-based Feature Adaptation for Street-View Image Classification
[arXiv] 2026-02-18 | Nonparametric Kernel Regression for Coordinated Energy Storage Peak Shaving with Stacked Services
[arXiv] 2026-02-18 | Utility-Preserving De-Identification for Math Tutoring: Investigating Numeric Ambiguity in the MathEd-PII Benchmark Dataset
[arXiv] 2026-02-18 | Arc2Morph: Identity-Preserving Facial Morphing with Arc2Face
[arXiv] 2026-02-18 | Hidden in Plain Sight: Detecting Illicit Massage Businesses from Mobility Data
[arXiv] 2026-02-18 | A New Lower Bound for the Diagonal Poset Ramsey Numbers
[arXiv] 2026-02-18 | The rise and fall of an oxide: insights into the phase diagram of bismuth oxide on Au(111)
[arXiv] 2026-02-18 | From Latent to Observable Position-Based Click Models in Carousel Interfaces
[arXiv] 2026-02-18 | Generalised Linear Models Driven by Latent Processes: Asymptotic Theory and Applications
[arXiv] 2026-02-18 | Metasurface-encoded optical neural network wavefront sensing for high-speed adaptive optics
[arXiv] 2026-02-18 | Generative deep learning improves reconstruction of global historical climate records
[arXiv] 2026-02-18 | Framework of Thoughts: A Foundation Framework for Dynamic and Optimized Reasoning based on Chains, Trees, and Graphs
[arXiv] 2026-02-18 | A Fully Discrete Nonnegativity-Preserving FEM for a Stochastic Heat Equation
[arXiv] 2026-02-18 | DressWild: Feed-Forward Pose-Agnostic Garment Sewing Pattern Generation from In-the-Wild Images
[arXiv] 2026-02-18 | Benchmarking Adversarial Robustness and Adversarial Training Strategies for Object Detection
[arXiv] 2026-02-18 | Team of Thoughts: Efficient Test-time Scaling of Agentic Systems through Orchestrated Tool Calling
[arXiv] 2026-02-18 | Central limit theorem for random walk in degenerate divergence-free random environment: $\mathcal H_{-1}$ reloaded with relaxed ellipticity
[arXiv] 2026-02-18 | Regularity and Pathwise bounds for probabilistic solutions of PDEs
[arXiv] 2026-02-18 | The Crusts of Neutron Stars Revisited: Approximations within a Polytropic Equation of State Approach
[arXiv] 2026-02-18 | Synthesis and Verification of Transformer Programs
[arXiv] 2026-02-18 | Topological variations in General Relativity: a rigorous perspective
[arXiv] 2026-02-18 | Benchmarking Photolysis Rates with Socrates (24.11): Species for Earth and Exoplanets
[arXiv] 2026-02-18 | Confinement Epitaxy of Large-Area Two-Dimensional Sn at the Graphene/SiC Interface
[arXiv] 2026-02-18 | RoboGene: Boosting VLA Pre-training via Diversity-Driven Agentic Framework for Real-World Task Generation
[arXiv] 2026-02-18 | Intra-Fairness Dynamics: The Bias Spillover Effect in Targeted LLM Alignment
