[2026-09-12 23:46:39] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-11
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202609110000+TO+202609112359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-9-11 | Distance-Guided Search in Program Synthesis with Imperfect LLM Solutions
[ACM] 2026-9-11 | SustainDiffusion: Optimising the Social and Environmental Sustainability of Stable Diffusion Models
[ACM] 2026-9-11 | Energy-Efficient Software Development: A Multi-dimensional Empirical Analysis of Stack Overflow
[ACM] 2026-9-11 | Demystifying the CVE Ecosystem: Community-Perceived Impacts and Problems
[ACM] 2026-9-11 | RealityCraft: Automated Synthesis of Extended Reality Device Interaction Scripts from Natural Language Instructions
[ACM] 2026-9-11 | From Code to Correctness: Closing the Last Mile of Code Generation with Hierarchical Debugging
[ACM] 2026-9-11 | Remediating Superfluous Re-Rendering in React Applications
[ACM] 2026-9-11 | Introduction to the Special Issue on “Blockchain Research and Applications for Innovative Networks and Services (BRAINS 2024)”
[IEEE] 2026-9-11 | Distributed Safety-Aware Motion Planning for Dual-Arm Systems Via Gaussian Belief Propagation With Application to Catenary Dropper Assembly_supp1-3732969.mp4
[IEEE] 2026-9-11 | ISSET 2026 TOC
[IEEE] 2026-9-11 | Table of Contents
[IEEE] 2026-9-11 | Compensation of Platform Magnetic Interference via Coil-Calibrated Physical Model and Attention Network
[IEEE] 2026-9-11 | 2026 International Conference on Unmanned System and Intelligent Technology (USIT)
[IEEE] 2026-9-11 | A Synchronized Phase-Shifted Time-Multiplexed Uplink Wireless Power and Data Transfer System for Implantable Voltammetry
[IEEE] 2026-9-11 | Terramechanics-Aware Adaptive Quadrupedal Locomotion Via Foot-Terrain Interaction Model_supp1-3732903.mp4
[IEEE] 2026-9-11 | Gradient-Based PSLL Minimization for Uniformly Excited Sparse Linear Arrays
[IEEE] 2026-9-11 | Computing Without Learning: An Information-Theoretically Secure Multiparty Evaluation of Deterministic Pushdown Automata
[IEEE] 2026-9-11 | Scaling LLMs Via Collaboration: Efficient LLM Inference Across Resource-Constrained Devices
[ACM] 2026-9-11 | Json-SysML: A Bidirectional JSON-Based Representation for SysML Models Enabling LLM-Augmented Model-Based Systems Engineering
[ACM] 2026-9-11 | Not All Differences Matter: Variability Exploration of Domain Models via Agentic AI
[IEEE] 2026-9-11 | Intrinsic Cylindrical Lensing: Turning Curvature Into Gain in Flexible Antipodal Vivaldi Antennas
[IEEE] 2026-9-11 | Physics-Anchored Unsupervised Domain Adaptation for Radio Environment Mapping in Indoor Industrial Environments
[IEEE] 2026-9-11 | High-Gain Beamforming-Capable Bi-Directional D-Band Transmitarray for FMCW Radar via Integrated Packaging-Aware Multi-Channel AoP
[IEEE] 2026-9-11 | Resilient Dynamic Event-Triggered Containment Control for Second-Order Nonlinear Multi-Agent Systems Under Hybrid Cyber-Attacks
[IEEE] 2026-9-11 | Design of a Circularly Polarized Crossed-Dipole Antenna with Polarization Agility
[IEEE] 2026-9-11 | Simple Frequency- and Pattern-Reconfigurable Liquid-Metal Antenna with Zero Static Power
[IEEE] 2026-9-11 | Performance Comparison of Planar, Cylindrical, and Spherical Fabry-PéRot Cavity Antennas for mmWave Applications
[IEEE] 2026-9-11 | Efficient Reconstruction of Homogeneous Penetrable Objects Based on Augmented Surface Integral Equations
[IEEE] 2026-9-11 | ADC-Free Compute-in-Memory for Error-Resilient and Energy-Efficient AI Accelerators
[IEEE] 2026-9-11 | Multi-Bit Based RCS Reduction for Circularly Polarized Phased Array
[IEEE] 2026-9-11 | Sstdr-Based Microwave Imaging for Inflammatory Veterinary Disease Detection: a Staged Path Toward Breast Cancer Screening
[IEEE] 2026-9-11 | A Study on the Prediction of Deformation in Steep Slopes Using an ARIMA-LSTM Hybrid Model with Residual Correction
[IEEE] 2026-9-11 | Additively Manufactured Multilayer Fan-Out Interposer
[IEEE] 2026-9-11 | A GNSS Record-and-Replay Channel Emulator Using an AMD $4 \times 2$ RFSoC
[IEEE] 2026-9-11 | Deep Learning Surrogate Modeling of Body-Area Networks via Equivalent Electromagnetic Sources
[IEEE] 2026-9-11 | Impact of Feed Location on Reflector Integrated Wideband Metasurface Antenna
[IEEE] 2026-9-11 | Genetic Algorithm-Based Optimization of Sparse Phased Array Antennas for Direct-To-Vehicle Satellite Communication
[IEEE] 2026-9-11 | An Improved YOLOv8 Object Detection Method With Dual Attention and Adaptive Weighting
[IEEE] 2026-9-11 | Experimental Verification of an X-band Data Downlink Phased Array Antenna Using Infrared Thermography
[IEEE] 2026-9-11 | Spatial-Only Representations for Multi-Channel Speaker Diarization
[IEEE] 2026-9-11 | Orbital-Aware S-Band Payload-Data Downlink and Antenna Integration Assessment for USMSpace-1
[IEEE] 2026-9-11 | Investigating OAM Scattered Fields Using a Scaled Terahertz Time-Domain Spectroscopy Radar System
[IEEE] 2026-9-11 | Chirp Signal Controlled Reconfigurable Leaky Wave Antennas Array by Adding Varactors
[IEEE] 2026-9-11 | Improved Active Power Tracking Scheme of Hybrid-Synchronization-Controlled Energy Storage Converters
[IEEE] 2026-9-11 | Localization of Distributed Phased Array Antennas in Partially Connected Networks Using Matrix Completion
[IEEE] 2026-9-11 | A Practical ULF/VLF Transmitter Based on Earth's Magnetic Field Modulation
[IEEE] 2026-9-11 | Source-Free Few-Shot Soil Recognition via Vision-Language Token Recalibration
[IEEE] 2026-9-11 | Surface Integral Equation Simulation of Acoustic Metasurfaces with Willis Impedance Boundary Conditions
[IEEE] 2026-9-11 | A Compact SDR Approach for RF Near-Field Wearable Vital Sign Sensing in Non-Contact Healthcare Applications
[IEEE] 2026-9-11 | Multi-Source Feature Integration for Short-Term Load Forecasting in Off-Grid Residential Microgrids Using Stacked LSTM Networks
[IEEE] 2026-9-11 | Efficient Wideband Beamforming for Full-Duplex Fixed-Subarray Massive MIMO Systems
[IEEE] 2026-9-11 | HATFI-Net: A Hybrid Attention Time-Frequency Interpolation Network for Channel Estimation
[IEEE] 2026-9-11 | Motion-Aware Kalman Filtering Based Adaptive Beam Tracking for Mmwave Communications in High-Speed Moving Scenarios
[IEEE] 2026-9-11 | A Time-domain Computing-in-memory with twin Bit-cell Array for Efficient Multi-bit Analog MAC Operation
[IEEE] 2026-9-11 | Integrating Live Sensor Data and Machine Learning in Digital Twin Simulations
[IEEE] 2026-9-11 | HVDC-Enabled Smart Grid Architecture for Long-Distance Renewable Power Transfer and Wide-Area Grid Interconnection
[IEEE] 2026-9-11 | Transient Modeling of Electromagnetic Interactions with Homogeneous Penetrable Bodies of Revolution Based on Temporal-Domain Electric Field Integral Equations
[IEEE] 2026-9-11 | The Effect of Oxygen Exchange Layer on the Switching Properties of Tantalum Oxide RRAMs for In-Memory Computing
[IEEE] 2026-9-11 | An 80-Year Trajectory of Stuart A. Long - His Mentors, Colleagues, Students, Friends, and Family
[IEEE] 2026-9-11 | A 500-MHz BW Beamforming Chiplet Pair with Analog Approximate-DFT and Dual 10-Gb/s Links
[IEEE] 2026-9-11 | Spatiotemporal Prediction of Strong Earthquake Risk in the Sichuan-Yunnan Region Using a GAN-RNN Fusion Model
[IEEE] 2026-9-11 | Recent AI-Driven Design Advancements in EM Components and Systems of Smart EM Environments
[IEEE] 2026-9-11 | Compact Dual-Port Self-Duplexing Antenna for Head-Implantable Wireless Medical Devices
[IEEE] 2026-9-11 | Investigation of the Effects of Photovoltaic Panel Cooling Using Hydroelectric Power Plant Discharge Water on Energy Production and System Efficiency
[IEEE] 2026-9-11 | A Hardware-Efficient TinyML-Based Fault Detection Framework for Reliable AI Accelerators
[ACM] 2026-9-11 | Write Your Own Code Checker: An Automated Test-Driven Checker Development Approach with LLMs
[ACM] 2026-9-11 | FM4MC: Improving Feature Models for Microservice Chains—Towards More Efficient Configuration and Validation
[ACM] 2026-9-11 | SymRadar: PoC-Centered Bounded Verification for Vulnerability Repair
[ACM] 2026-9-11 | FoundRoot: Towards Foundation Model for Root Cause Analysis via Structured Deep Thinking
[ACM] 2026-9-11 | TypeCare: Boosting Python Type Inference Models via Context-Aware Re-Ranking and Augmentation
[ACM] 2026-9-11 | Argus: A Multi-agent Sensitive Information Leakage Detection Framework Based on Hierarchical Reference Relationships
[ACM] 2026-9-11 | Towards Understanding and Characterizing Vulnerabilities in Intelligent Connected Vehicles through Real-World Exploits
[ACM] 2026-9-11 | Six Million (Suspected) Fake Stars on GitHub: A Growing Spiral of Popularity Contests, Spams, and Malware
[IEEE] 2026-9-11 | Uniform Field Coil Design in a Magnetically Shielded Cylinder With Ferromagnetic Coupling Suppression and Coil Constant Constraints
[IEEE] 2026-9-11 | NLOS-Aided Joint OTA Synchronization and Off-Grid Imaging for Distributed MIMO Systems
[ACM] 2026-9-11 | ConfuGuard: Using Metadata to Detect Active and Stealthy Package Confusion Attacks Accurately and at Scale
[ACM] 2026-9-11 | Model Migration by Example (MbEx): Understanding Model Co-Evolution from User Adaptations
[IEEE] 2026-9-11 | Air-gap Field Modulation-Based EMN Model Applied for LNG Pump Cryogenic PMSM
[ACM] 2026-9-11 | TEXMET: A Deep Learning Benchmark for Archaeological Textile Reconstruction
[ACM] 2026-9-11 | The Promise and Pitfalls of GenAI-Powered Mobile Apps: Perspectives from User Reviews
[IEEE] 2026-9-11 | Unified Small-Signal Modeling and Stability Analysis of a Current-Mode Controlled Three-Level Bidirectional Flying Capacitor Converter
[IEEE] 2026-9-11 | A Cross-Domain Survey of Medical and Remote Sensing Image Registration Methods_supp1-3732595.pdf
[IEEE] 2026-9-11 | Optimized Ensemble Deep Learning for User Load Forecasting and Residual-Based Anomaly Detection
[IEEE] 2026-9-11 | Personalized Blood Pressure Estimation with a Topological Prior Vector from Minimal Per-Subject Data
[IEEE] 2026-9-11 | Title Page
[IEEE] 2026-9-11 | Flexible Performance Function Based Time-Varying Formation Control for Second-Order Systems under Safety Constraints
[IEEE] 2026-9-11 | Tree-Based Ensemble Forecasting of PV Generation, Load Demand, and Battery SOC in Tropical Island Microgrids: A Multi-Horizon Cross-Season Evaluation
[IEEE] 2026-9-11 | On the Performance Advantages of Magneto-Dielectric Absorbers
[IEEE] 2026-9-11 | Reducing RF Front-End Capacitance Effects on Antenna-Integrated SAR Proximity Sensing
[IEEE] 2026-9-11 | A Novel Compact Spherical Phased Array with Omnidirectional Radiation and Beam Scanning for 5G Micro Base Stations
[IEEE] 2026-9-11 | A PAPR Reduction Method for OFDM Systems Based on CNN and Enhanced Residual Connections
[IEEE] 2026-9-11 | Evaluating Decision Tree Regression and Light-GBM Models for Short-Term Solar Irradiance Forecasting
[IEEE] 2026-9-11 | Programmable Notch Synthesis in Multichannel Non-Uniform DT FIR Receivers Using Harmonic Transfer Function Diversity
[IEEE] 2026-9-11 | Fundamental Limits, Radiation Resistance, and Throughput in Electrically Small Antennas
[IEEE] 2026-9-11 | Deep Learning-Based Fault Detection for Chiplet Interconnect Signals
[IEEE] 2026-9-11 | Computationally-Tractable Synthesis of an MXene Metamaterial Absorber with a 3D-Printable Spatially Variable Substrate by a Local Approach
[IEEE] 2026-9-11 | Per-Simon Kildal: Scientific Vision, Innovation, and Lasting Impact in Antenna Engineering
