[2026-08-28 02:37:48] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-27
正在获取论文...
[arXiv] 2026-08-27 | Bochner Stability for B-stable DIRK Schemes
[arXiv] 2026-08-27 | Hankel determinants of Catalan-like sequences
[arXiv] 2026-08-27 | Multi-orbital physics in inverse Lieb lattice altermagnets
[arXiv] 2026-08-27 | Vision-centric generative AI models: A software-hardware perspective
[arXiv] 2026-08-27 | Optimal transport regularized dynamic radio interferometric reconstruction
[arXiv] 2026-08-27 | Personalized Federated Learning for Tensor Regression
[arXiv] 2026-08-27 | Threshold Pricing for Distributed Scheduling of Flexible Demands in Energy Communities
[arXiv] 2026-08-27 | X-WAD: eXplainable Web Anomaly Detection
[arXiv] 2026-08-27 | Calibrated Enough to Know, Not Calibrated to Act: Fabricated Evidence Makes LLM Agents Commit to the Unknowable
[arXiv] 2026-08-27 | Dynamics and spectra of open quantum systems coupled to anharmonic environments
[arXiv] 2026-08-27 | Data-efficient crack quantification in lithium-ion cathodes using foundation model transfer
[arXiv] 2026-08-27 | Diamond quantum-sensing platform with integrated boron-doped diamond microwave antenna and thermometer
[arXiv] 2026-08-27 | Franson-Interferometric Bounds on Entangled Two-Photon Absorption
[arXiv] 2026-08-27 | Traveling Waves in Equity Markets with Rank-Based Entry and Exit
[arXiv] 2026-08-27 | ReViCo: Unveiling the Limitations of VLMs in Visual Text Understanding via Error Correction
[arXiv] 2026-08-27 | ANTShapes Benchmarking Datasets for Event-Based Neuromorphic Object Classification
[arXiv] 2026-08-27 | Thomson: Continual Learning of Frontier Models for SovereignAI
[arXiv] 2026-08-27 | Counting Successor-Closed Subsets of Functional Digraphs
[arXiv] 2026-08-27 | Feature Transformation Enhanced Jacobi Polynomial Graph Filtering for Graph Anomaly Detection
[arXiv] 2026-08-27 | An approximate zero bias transformation for random sums: Applications to sampling with outliers, auto insurance, and generative AI
[arXiv] 2026-08-27 | 3D- (H-theta-phi) magnetic phase diagram of antiferromagnetic metal GdB6 with electron and lattice instability
[arXiv] 2026-08-27 | Programmable Cavity Squeezing for Distributed Sensing in a Tweezer Array
[arXiv] 2026-08-27 | On variants of Pólya's conjecture
[arXiv] 2026-08-27 | Counting Boolean Antichains
[arXiv] 2026-08-27 | AROMA+: A Study of Factors Affecting Reproducible Builds in the Maven Ecosystem
[arXiv] 2026-08-27 | TRACE-CRC: Trajectory-Adaptive Conformal Risk Control for Multi-Step Channel State Information Prediction
[arXiv] 2026-08-27 | How AI Experiences Art: Emergent Aesthetic Structure in a Self-Supervised Multimodal Embedding Space
[arXiv] 2026-08-27 | Animarium: an open, reproducible pipeline for synthetic populations of Italian cities, from ISTAT sources to open data (Tech Report v1)
[arXiv] 2026-08-27 | pro-team at LLMs4OL 2026 Tasks Flagship and Reuse: Retrieval-Augmented Generation and Vocabulary-Constrained Filtering for Ontology Learning
[arXiv] 2026-08-27 | Randomized Quasi-Gauss--Newton Methods for Solving General Nonlinear Equations
