[2026-06-13 23:04:29] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-12
正在获取论文...
[ACM] 2026-6-12 | On the Node-Averaged Complexity of Locally Checkable Problems on Trees
[ACM] 2026-6-13 | How Older Adults Enact Values Through Technology
[ACM] 2026-6-13 | NomadicPerch: More-Than-Human Co-Design of a Shared Perch
[ACM] 2026-6-13 | Human Experience in AI-Mediated Worlds
[ACM] 2026-6-13 | AI, Sensemaking, and Decision-Making in Crisis Contexts
[IEEE] 2026-6-12 | Research Throughput of the Free-Spase Optical Communication Systems
[IEEE] 2026-6-12 | ICICV 2026 TOC
[IEEE] 2026-6-12 | 2026 8th International Conference on Information Technologies in Engineering Education (Inforino)
[IEEE] 2026-6-12 | Descriptor:
                    <i>Mapping Road Surface using Crowdsource Data</i>
                    (RoadSense)
[IEEE] 2026-6-12 | Inforino 2026 Breaker Page
[IEEE] 2026-6-12 | MACA: Multi-Axis Covariance Alignment for Robust Distillation of Self-Supervised Speech Models
[IEEE] 2026-6-12 | Remaining Useful Life Prediction Based on Nonlinear Tweedie Exponential Dispersion Process Considering Random Effects, Covariates, and Imperfect Maintenance
[IEEE] 2026-6-12 | A Holistic Optimization and Control Framework of Hydrogen and Battery-based Remote-Area Renewable Energy System with Grid Frequency Support
[IEEE] 2026-6-12 | A Silent, Low-Heat Pinch Valve Driven by a Single Rolled Dielectric Elastomer Actuator_supp1-3697122.mp4
[IEEE] 2026-6-12 | Structurally-Informed 3D Gaussian Splatting for Limited-Angle CBCT
[IEEE] 2026-6-12 | Large Scale Crop Mapping in the Sanjiang Plain Using a Deep Spatial-Temporal Fusion Network With Time Series Sentinel-2 Imagery
[IEEE] 2026-6-12 | Structured Graph Reasoning for Traffic Anomaly Detection
[IEEE] 2026-6-12 | Temporal Relations-Aware Nonnegative Latent Factorization of Tensors for Dynamic Directed Graph Representation_supp1-3700025.pdf
[IEEE] 2026-6-12 | Retrieving Delta Permittivity Using Highly Independent Dual-Band Microwave Sensor with Alternately Reference Capabilities
[IEEE] 2026-6-12 | Intelligent WSN Sensor Node for Oil Spill Detection and Classification: A TinyML and IoT Approach
[IEEE] 2026-6-12 | Table of Contents
[IEEE] 2026-6-12 | VRFST: Voiceprint-Based Robust Wear Detection for Diamond Abrasive Tools via Fuzzy-Enhanced Spatiotemporal Features
[IEEE] 2026-6-12 | Event-Triggered Finite-Time Tracking Control for Nonlinear Cyber-Physical Systems with Actuator Faults under Deception Attacks
[IEEE] 2026-6-12 | $\mathcal {C}^{n}$ Trajectory Generation in 3D under Arbitrary Bounds on Curvature and Higher-Order Curvature Derivatives
[IEEE] 2026-6-12 | Dual-Function Radar Communication Signal Processing Based on AFDM and Index Modulation
[IEEE] 2026-6-12 | Shaft-integrated Force Sensing with Transformer-based Dynamics Compensation for Telesurgery_supp1-3699214.mp4
[IEEE] 2026-6-12 | An Intelligent Security Operations Monitoring and Risk Mitigation Framework for Smart Infrastructures
[IEEE] 2026-6-12 | Motion Control of a Quadruped Bionic Robot
[IEEE] 2026-6-12 | An Agentic AI for Personalized Investment Advisory: Detecting and Mitigating Cognitive Biases in Financial Decisions
[IEEE] 2026-6-12 | Two-Stage Auxiliary Model-Based Iterative Least Squares Parameter Estimation for a Class of Nonlinear Systems with Non-Uniform Sampling
[IEEE] 2026-6-12 | Knowledge Management Processes and Their Impact on Organizational Innovation for Enabling Artificial Intelligence Applications
[IEEE] 2026-6-12 | Reevaluating CNN Filter Dimensions: Experimental Findings on CIFAR-10 and Fashion-MNIST for Modern Network Architectures
[IEEE] 2026-6-12 | Planetary Terrain Modeling and Simulation Based on Interpolation of Low-Resolution Elevation Data
[IEEE] 2026-6-12 | Federated Learning for Privacy-Aware and Secure Medical Decision Support Systems
[IEEE] 2026-6-12 | A Multilingual Voice-First Generative AI Framework for Financial Literacy in Low-Resource Communities using Lightweight LLMs
[IEEE] 2026-6-12 | Deterministic Multi-Channel XPM Scalability in Octagonal-Core Nonlinear PCFs with Geometry Polarization and System-Level BER Limits
[IEEE] 2026-6-12 | ECG Multi-Class Diagnostics Using a Hybrid CNN-Transformer with Self-Supervised Pre-Training
[IEEE] 2026-6-12 | AI-Enabled Cloud-Edge-IoT Continuum for Hyper-Distributed and Trustworthy Applications
[IEEE] 2026-6-12 | Semi-Supervised Masked Autoencoders: Unlocking Vision Transformer Potential with Limited Data
[IEEE] 2026-6-12 | Human-in-the-Loop Automation Patterns for Financial Services using Camunda and Modern Java UIs
[IEEE] 2026-6-12 | Prescribed-Time Connectivity-Preserving Consensus of Switched Nonlinear MASs
[IEEE] 2026-6-12 | A Comparative Study of Intelligent Intrusion Detection Systems in IoT using Deep Learning Approaches
[IEEE] 2026-6-12 | Mitigating Latency and Spectral Inefficiency in 5G New Radio via Intelligent Queue-Driven Resource Scheduling
[IEEE] 2026-6-12 | Comparative Analysis: Autoregressive Integrated Moving Average with Exogenous Variables and Long Short-Term Memory for Working Capital Forecasting: Container Repair Small and Mid-Size Enterprise
[IEEE] 2026-6-12 | HawkCharge: Hybrid Harris Hawk–Deep Reinforcement Learning Optimization for Intelligent Bidirectional EV DC-DC Converter Control
[IEEE] 2026-6-12 | Research on Synchronous Detection Method for Narrow-Pulse Lasers Based on Area Array Detectors
[IEEE] 2026-6-12 | Artificial Intelligence Applications in Human Resource Management: A Comprehensive Framework, Models, and Future Directions
[IEEE] 2026-6-12 | A Study on Using Revit in Architectural Design Studios
[IEEE] 2026-6-12 | A Robust Deep Learning Framework for Automated Digital Image Forgery Detection Under Real-World Post-Processing Attacks
[IEEE] 2026-6-12 | Multi Modal Visual Question Answering Integrating Hypergraph and K-means Clustering Algorithm
[IEEE] 2026-6-12 | Automation of the Formation and Assessment of Educational Assignments Using the GigaChat Neural Network Model in Engineering Education
[IEEE] 2026-6-12 | Providing 10-Gigabit Optical Home Using 50G-Passive Optical Network and Fiber-to-the-Room
[IEEE] 2026-6-12 | Hybrid Buoy Detection and Real-Time Path Planning for Autonomous Unmanned Surface Vehicles Using YOLOv8 and Contour Analysis
[ACM] 2026-6-12 | The Trials of Designing Communication Aids for Clinical Trials: Challenges and Recommendations from Practicing Co-Design in the Domain of Medical Research
[ACM] 2026-6-12 | Who Sets the Norm?: Designing Communication Scaffolds for ADHD Romantic Relationships
[ACM] 2026-6-12 | Harnessing the Aesthetic Potential of Bio-based eTextiles: An Empirical Study with Artefacts
[ACM] 2026-6-12 | Pacing Our Selves: Towards Everyday Chronic Pain Technology
[ACM] 2026-6-12 | Landscape, Tactile Me: How We Belonged?
[ACM] 2026-6-12 | Beyond Cameras and Microphones: Mitigating Privacy Tensions in 'Simple' Smart Home Sensors
[ACM] 2026-6-12 | Adversarial Attacks on Locally Private Graph Neural Networks
[ACM] 2026-6-12 | Patient Privacy in Differentially Private Diagnostic Models
[IEEE] 2026-6-12 | Plant Disease Prediction with the Help of Deep Learning based on the Analysis of Leaf Images
[IEEE] 2026-6-12 | Choosing the Best Model to Handle Small Data
[IEEE] 2026-6-12 | IEEE Standard for Framework for Reliability Prediction of Hardware
[IEEE] 2026-6-12 | An Intelligent Adaptive Access Control Framework using Policy Gradient Reinforcement Learning
[IEEE] 2026-6-12 | Modeling the Operation of a TGM-96B Steam Boiler Equipped with a Condensing Heat Utilizer
[IEEE] 2026-6-12 | Wrapper Model based Feature Selection On Diversity Dataset
[IEEE] 2026-6-12 | Information Technologies in Organizing Group Activities of Students in Engineering Education
[IEEE] 2026-6-12 | Design and SAR Analysis of a Compact Polyester-based 2×2 Textile MIMO Antenna for Biomedical Applications
[IEEE] 2026-6-12 | Improving Coronary Artery Disease Prediction Accuracy with an Ensemble Approach and Two-Layered Voting Framework
[IEEE] 2026-6-12 | Computational Nonsmooth Analysis: Modern applications and recent developments [Special Issue on the Mathematics of Deep Learning]
[IEEE] 2026-6-12 | Digital Financial Platforms Enhancing Supply Chain Financing Performance through Inter-Organizational Integration
[IEEE] 2026-6-12 | Optimization Of Detection and Calculation of Overlapping Mango Fruits and Illumination Variations Using Yolov11-Seg with Unsharp Masking Algorithm, Gamma Correction
[IEEE] 2026-6-12 | Startup-Q: A Hybrid Quantum-Classical Framework for High-Fidelity Venture Capital Forecasting using ZZ-Feature Mapping
[IEEE] 2026-6-12 | Optimal Trajectory Generation and Feedback Tension Control of a Robotic Space Tether Launching System
[IEEE] 2026-6-12 | A Cooperative Transport System of Vehicle and Drones in Obstacles Areas
[IEEE] 2026-6-12 | A Comparative Study of Multi-Horizon Directional Prediction for Cryptocurrency Markets
[IEEE] 2026-6-12 | Parameter Identification Method for Double-Sided Lcc Wireless Power Transfer Systems
