[2026-09-04 23:45:21] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-03
正在获取论文...
[arXiv] 2026-09-03 | ToPO: Token-Conditioned Preference Routing for Attention-Based Latent Diffusion Models
[arXiv] 2026-09-03 | Hidden Magnetic Octupolar Order driven by Spin-Orbit coupling in KFeF$_3$
[arXiv] 2026-09-03 | PlanePivoting: Exploration and Optimization of Gaze-Mouse Cursor Alignment for Spatial Object Translation
[arXiv] 2026-09-03 | Cross-Dataset Transfer and Reliability of Explainable Artificial Intelligence for RhythmFormer Remote Photoplethysmography
[arXiv] 2026-09-03 | Local Updates, Global Learning (LUGL): Playing Games with non-incremental Learners
[arXiv] 2026-09-03 | PL-SCEA: Reconfiguring Pretrained Attention for Few-Shot Industrial Anomaly Detection
[arXiv] 2026-09-03 | The Impact of Synthetic Data Augmentation on Discourse-Pragmatic Function Classification
[arXiv] 2026-09-03 | Prospects for probing dark matter with filamentary 21cm emission
[arXiv] 2026-09-03 | Relative Prime Factorization and Finite-State Presentations under Fixed Finite-Monoid Observation
[arXiv] 2026-09-03 | Local Path Planning and Obstacle Avoidance for an Omnicopter Platform
[arXiv] 2026-09-03 | ToolDF: Tool-Integrated Reasoning for Mixed-Authenticity Audio Deepfake Detection
[arXiv] 2026-09-03 | Remember and Reweight: Enhancing Multi-Agent Debate with Experience Memory and Confidence Estimation
[arXiv] 2026-09-03 | Change-point analysis: a new perspective for unstable financial markets
[arXiv] 2026-09-03 | Dynamical (non-)recurrence of escaping exponential maps
[arXiv] 2026-09-03 | ReRoom: Blending Virtual and Physical Contexts for In Situ Room Planning in Mixed Reality
[arXiv] 2026-09-03 | Code Transformation Rule Synthesis using LLMs: Potential and Limits
[arXiv] 2026-09-03 | Scaling Bimanual Household Manipulation from 1,500 hours of Demonstrations to On-Policy Corrections
[arXiv] 2026-09-03 | From Prior-Guided Heuristics to Deployable Agents: Accelerating Demonstration-Driven Reinforcement Learning for Deadline-Constrained Network Control
[arXiv] 2026-09-03 | The Greedy Bump Bias: Local Profiling Geometry and the Look-Elsewhere Effect
[arXiv] 2026-09-03 | Improved algorithm for counting spanning trees by $\ell_1$-regularized resistance
[arXiv] 2026-09-03 | Diffeomorphism Group Actions on Para-Kähler Structures: Lifts and Induced Dynamics on 3-Webs
[arXiv] 2026-09-03 | Combinatorial Search for Strong Shift Equivalence
[arXiv] 2026-09-03 | Spectral Function Method and Janus Quantum Numbers in Quasiperiodic Systems
[arXiv] 2026-09-03 | GPS-Bench: A Governance Policy Benchmark for Automating Policy Analysis
[arXiv] 2026-09-03 | Dalek: A Constructive Agent Machine
[arXiv] 2026-09-03 | Airy limit for the Jack process and topological expansion
[arXiv] 2026-09-03 | Topics in Kadyshevsky Field Theory
[arXiv] 2026-09-03 | Center-twisted Gribov spectra and the finite-volume Gaussian response in the refined Gribov--Zwanziger framework
[arXiv] 2026-09-03 | The Identification of Biological Stains at Crime Scenes: A Promising Role for Proteomics and Machine Learning
[arXiv] 2026-09-03 | Stratification of Artin motives over local fields
[arXiv] 2026-09-03 | On graphs with equal domination and total domination numbers
[arXiv] 2026-09-03 | Interplay of B-Site Off-Centering and Molecular Orientations in the Mixed Hybrid Perovskite MAGe1xSnxI3
[arXiv] 2026-09-03 | LongCounsel-8: A Benchmark Suite for Longitudinal Depression Tracking from Multi-Session Counseling Dialogues
[arXiv] 2026-09-03 | Restricted Eigenvalues Beyond Gaussian Width: Threshold Occupancy under Heavy Tails
[arXiv] 2026-09-03 | BRIDGE: An Open-Source Humanoid Platform via Morphology-Control Co-Design for Physical AI
[arXiv] 2026-09-03 | Spectral characteristics of autoencoder parameters as a vector representation of data
[arXiv] 2026-09-03 | Weakly Driven and Finite Detuning Boundary Time Crystals Enabled by Low-Dissipation Dynamical Channels
[arXiv] 2026-09-03 | Pattern Over-Generalization of Knowledge Graph Embedding
[arXiv] 2026-09-03 | Air-Ground Collaborative Vision-and-Language Navigation via Shared Bird's-Eye Maps
[arXiv] 2026-09-03 | Dynamical Selection of Horizon-BMS Goldstone Modes in Evaporating Black Holes
[arXiv] 2026-09-03 | Granular Rods Fall Faster in Denser Obstacle Fields
[arXiv] 2026-09-03 | Override and Update in Restriction Categories
[arXiv] 2026-09-03 | FlowTT: Exploiting Computation Flow Reuse in Irregular Tensor-Train Embedding
[arXiv] 2026-09-03 | OCR-EDR: Rendering-Aware Diagnosis and Repair for Closed-Loop OCR Improvement
[arXiv] 2026-09-03 | High-Dimensional Learning Dynamics of Attention-Indexed Models
[arXiv] 2026-09-03 | Non-local Magic: closed-form solution and equivalence with magic of purification
[arXiv] 2026-09-03 | Turbulent gas-rich discs at high redshift: the origin of early massive stellar bars
[arXiv] 2026-09-03 | Stronger Lower Bounds for (Non-)Anytime Acceleration of Gradient Descent
[arXiv] 2026-09-03 | Three-observable measurement of the critical velocity in a paraxial superfluid of light flowing past a mobile impurity
[arXiv] 2026-09-03 | On the abstract approach to spectral constants: a proof of the Clouâtre--Ostermann--Ransford conjecture
[arXiv] 2026-09-03 | Global Multi-Maturity SPX-VIX Calibration Beyond Markovian Stitching
[arXiv] 2026-09-03 | Multi-step Proximal Policy Improvement in Offline Reinforcement Learning
