[2026-07-14 22:56:35] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-13
正在获取论文...
[arXiv] 2026-07-13 | Fundamental Limitations of Fixed-Budget Best-Arm Identification
[arXiv] 2026-07-13 | On a class of pluriharmonic mappings in the unit polydisk
[arXiv] 2026-07-13 | Bellman Equations with Sub-Lipschitz Hessians
[arXiv] 2026-07-13 | Bethe Ansatz without Nesting
[arXiv] 2026-07-13 | An exotic Denjoy example of class $C^1$
[arXiv] 2026-07-13 | ThinkLog: Leveraging Reasoning for Log Statement Generation
[arXiv] 2026-07-13 | Extending LLM Context via Associative Recurrent Memory
[arXiv] 2026-07-13 | The Dielectric Bowtie Effect: Classical Electromagnetic Edge Singularities in Subwavelength Cavities
[arXiv] 2026-07-13 | OwnDPDLab: A Flexible Open-Source Testbed for Wideband DPD Algorithm Benchmarking
[arXiv] 2026-07-13 | Globally Consistent Coloring Schemes for Language Identification
[arXiv] 2026-07-13 | Engel probability in wreath products of $p$-groups
[arXiv] 2026-07-13 | Privacy-Aware Collaborative and Distributed Bayesian Optimization
[arXiv] 2026-07-13 | The Lorentzian Problem on the Group $SU(2)$
[arXiv] 2026-07-13 | MemExchange: Cloud-Scale Memory Trading
[arXiv] 2026-07-13 | Millimeter-Wave Dual-Polarized Omnidirectional Reference Antennas for Total Array Gain Evaluation
[arXiv] 2026-07-13 | Study of the proccess $e^+e^-\to π^+π^-π^0π^0η$ in the c.m. energy range 1.6--2.0 GeV with the CMD-3 detector
[arXiv] 2026-07-13 | Training-Free Off-Screen Player Imputation for Broadcast-Based Spatial Football Analytics
[arXiv] 2026-07-13 | Radio and X-ray flux rebrightening six years after outburst in a partially-obscured extreme changing-look AGN
[arXiv] 2026-07-13 | Two Earliest Optical-UV Tidal Disruption Events Hidden in the SDSS DR7 Catalog Unveiled by the Transformer-Based Spectrum Classifier
[arXiv] 2026-07-13 | The petit four of color-superconducting phases in proto-neutron star evolution
[arXiv] 2026-07-13 | Parse, Search, and Confirmation: Training-Free Aerial Vision-and-Dialog Navigation with Chain-of-Thought Reasoning and Structured Spatial Memory
[arXiv] 2026-07-13 | Optimization for the first weighted eigenvalue of local-nonlocal operators with a potential
[arXiv] 2026-07-13 | Graph-Based Structural Evaluation of LLM-Translated Adversary Emulation Procedures
[arXiv] 2026-07-13 | States dressing analysis in a transmon-transmon-bus system
[arXiv] 2026-07-13 | Proxy Exploration and Reusable Guidance: A Modular LLM Post-Training Paradigm via Proxy-Guided Update Signals
[arXiv] 2026-07-13 | Arithmetic Properties for $k$-Color Analogue of Simultaneously $s$-Regular and $t$-Distinct Partitions
[arXiv] 2026-07-13 | IG-GAN: A Generative Adversarial Network for Aerodynamic Data Generation Based on Intrinsic Geometry
[arXiv] 2026-07-13 | Enhancing Query Efficiency for d-DNNF Representations Through Preprocessing
[arXiv] 2026-07-13 | LightMem-Ego: Your AI Memory for Everyday Life
[arXiv] 2026-07-13 | Theory of phonon-induced spin relaxation in a structured phononic reservoir
[arXiv] 2026-07-13 | Colloid recovery from porous structures under ambient flow: enhanced extraction via phoretic and osmotic mechanisms
[arXiv] 2026-07-13 | Towards Efficient Convolutional Neural Network for Embedded Hardware via Multi-Dimensional Pruning
[arXiv] 2026-07-13 | Climate-Invariant Conformal Prediction Intervals for Multi-Horizon Solar and Wind Forecasting
[arXiv] 2026-07-13 | Discovering Millisecond Pulsars in Globular Clusters with the GMRT (GCGPS)
[arXiv] 2026-07-13 | Search for the Double Poles of the Scattering Matrix in Light Nuclei
[arXiv] 2026-07-13 | Event-based Neural Decoding for Neuroprosthetic Motor Control
[arXiv] 2026-07-13 | Power Reduction in Heterogeneous Wireless Sensor Networks via Source-Aware Allocation
[arXiv] 2026-07-13 | Probing radiation micro-physics in M 87 I. Total intensity and broad-band spectra
[arXiv] 2026-07-13 | Generalizing Preference-based Reinforcement Learning: a Rationality Model for Incomparability
[arXiv] 2026-07-13 | From Wireless SNNs to SN P Systems: A Low-Energy Rule-Based Conversion
[arXiv] 2026-07-13 | An HI+radio continuum study of local cluster galaxies: Intercepting the early stages of environmental processing with MeerKAT
[arXiv] 2026-07-13 | Interference-Enhanced Large Electron-Phonon Coupling from Raman-active Breathing Modes in Moiré Semiconductors
[arXiv] 2026-07-13 | ToFu: A White-Box, Token-Efficient Agent Harness for Researchers
[arXiv] 2026-07-13 | Uncertainty Quantification for EO Regression Tasks: Building Height, Tree Canopy Height and Above-ground Biomass Estimation
[arXiv] 2026-07-13 | Structure of even-even Zr isotopes with 52$\leq$N$\leq$58 neutrons
