[2026-03-20 09:28:40] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-19
正在获取论文...
[arXiv] 2026-03-19 | Matryoshka Gaussian Splatting
[arXiv] 2026-03-19 | Cubic Discrete Diffusion: Discrete Visual Generation on High-Dimensional Representation Tokens
[arXiv] 2026-03-19 | EffectErase: Joint Video Object Removal and Insertion for High-Quality Effect Erasing
[arXiv] 2026-03-19 | Spectrally-Guided Diffusion Noise Schedules
[arXiv] 2026-03-19 | DriveTok: 3D Driving Scene Tokenization for Unified Multi-View Reconstruction and Understanding
[arXiv] 2026-03-19 | OmniVTA: Visuo-Tactile World Modeling for Contact-Rich Robotic Manipulation
[arXiv] 2026-03-19 | OS-Themis: A Scalable Critic Framework for Generalist GUI Rewards
[arXiv] 2026-03-19 | Interface magnetic coupling and magnetization dynamic of La$_{2/3}$Sr$_{1/3}$MnO$_3$ single layer and (La$_{2/3}$Sr$_{1/3}$MnO$_3$/SrRuO$_3$)$_n$ (n = 1, 5) superlattice on SrTiO$_3$(001) substrate
[arXiv] 2026-03-19 | Rigorous Error Certification for Neural PDE Solvers: From Empirical Residuals to Solution Guarantees
[arXiv] 2026-03-19 | Adaptive Auxiliary Prompt Blending for Target-Faithful Diffusion Generation
[arXiv] 2026-03-19 | Mobile Radio Networks and Weather Radars Dualism: Rainfall Measurement Revolution in Densely Populated Areas
[arXiv] 2026-03-19 | SHAPCA: Consistent and Interpretable Explanations for Machine Learning Models on Spectroscopy Data
[arXiv] 2026-03-19 | Hamiltonian Reduction in Affine Principal Bundles
[arXiv] 2026-03-19 | Tutorial: Grid-Following Inverter for Electrical Power Grid
[arXiv] 2026-03-19 | Quantum block encoding for semiseparable matrices
[arXiv] 2026-03-19 | The variety of Lie algebra representations
[arXiv] 2026-03-19 | How Uncertainty Estimation Scales with Sampling in Reasoning Models
[arXiv] 2026-03-19 | A stable and fast method for solving multibody scattering problems via the method of fundamental solutions
[arXiv] 2026-03-19 | Derivative Discontinuity in Many-Body Perturbation Theory and Chemical Potentials in Random Phase Approximation
[arXiv] 2026-03-19 | Position: Spectral GNNs Are Neither Spectral Nor Superior for Node Classification
[arXiv] 2026-03-19 | G objects as Primordial Black Hole-Neutron Star Remnants: Population Modeling and Multi-Wavelength Observables
[arXiv] 2026-03-19 | Utility-scale quantum computational chemistry
[arXiv] 2026-03-19 | DROID-SLAM in the Wild
[arXiv] 2026-03-19 | The smeared $R$-ratio in isoQCD from first-principles lattice simulations
[arXiv] 2026-03-19 | Communication-Efficient and Robust Multi-Modal Federated Learning via Latent-Space Consensus
[arXiv] 2026-03-19 | Parallelograms Strike Back: LLMs Generate Better Analogies than People
[arXiv] 2026-03-19 | Fair Decoder Baselines and Rigorous Finite-Size Scaling for Bivariate Bicycle Codes on the Quantum Erasure Channel
[arXiv] 2026-03-19 | Maximum entropy distributions of wavefunctions at thermal equilibrium
[arXiv] 2026-03-19 | SwiftTailor: Efficient 3D Garment Generation with Geometry Image Representation
[arXiv] 2026-03-19 | Measuring 3D Spatial Geometric Consistency in Dynamic Generated Videos
[arXiv] 2026-03-19 | When Differential Privacy Meets Wireless Federated Learning: An Improved Analysis for Privacy and Convergence
[arXiv] 2026-03-19 | A heavy-ball type curve search method for smooth convexly constrained optimization
[arXiv] 2026-03-19 | Towards Verifiable AI with Lightweight Cryptographic Proofs of Inference
[arXiv] 2026-03-19 | Behavioral Fingerprints for LLM Endpoint Stability and Identity
[arXiv] 2026-03-19 | Machine learning reconstruction of digit bone Raman spectra enables noninvasive transcutaneous detection of systemic osteoporosis
[arXiv] 2026-03-19 | ID-MAGE II: The Star Forming Satellites of Low-Mass Hosts
[arXiv] 2026-03-19 | Improvement on the Erdős-Kleitman conjecture via the KKL theorem
[arXiv] 2026-03-19 | VGGT-360: Geometry-Consistent Zero-Shot Panoramic Depth Estimation
[arXiv] 2026-03-19 | Gaussian Volume Functional, Integral Scalar Curvature, and Minimal Super-Ricci Flows
[arXiv] 2026-03-19 | Long Distance Daylight Drone-based Quantum Key Distribution under Relative Motion
[arXiv] 2026-03-19 | An Optimised Greedy-Weighted Ensemble Framework for Financial Loan Default Prediction
[arXiv] 2026-03-19 | Unsupervised Contrastive Learning for Efficient and Robust Spectral Shape Matching
[arXiv] 2026-03-19 | Direct $CP$ violation in $D^\pm \to π^\pm π^+ π^-$ with $a_0^0(980)-f_0(980)$ mixing
[arXiv] 2026-03-19 | Security, privacy, and agentic AI in a regulatory view: From definitions and distinctions to provisions and reflections
[arXiv] 2026-03-19 | Imaging short- and long-range magnetic order in a quantum anomalous Hall insulator
[arXiv] 2026-03-19 | Two-Color LIF investigation of mixing during droplet impact onto a thin liquid film
[arXiv] 2026-03-19 | Uniform a priori bounds and error analysis for the Adam stochastic gradient descent optimization method
[arXiv] 2026-03-19 | From Accuracy to Readiness: Metrics and Benchmarks for Human-AI Decision-Making
[arXiv] 2026-03-19 | EdgeCrafter: Compact ViTs for Edge Dense Prediction via Task-Specialized Distillation
[arXiv] 2026-03-19 | A note on Fox colorings of virtual tangles
[arXiv] 2026-03-19 | To See or To Please: Uncovering Visual Sycophancy and Split Beliefs in VLMs
[arXiv] 2026-03-19 | Alice and Bob through a quantum mirror
[arXiv] 2026-03-19 | Chain recurrent shifts on trees
[arXiv] 2026-03-19 | Two-body strong decays of the pseudoscalar hidden-charm tetraquark states via the QCD sum rules
[arXiv] 2026-03-19 | A divided difference identity for a class of multiple integrals
[arXiv] 2026-03-19 | RadioDiff-FS: Physics-Informed Manifold Alignment in Few-Shot Diffusion Models for High-Fidelity Radio Map Construction
[arXiv] 2026-03-19 | Pore-scale modeling of capillary-driven binder migration during battery electrode drying
[arXiv] 2026-03-19 | Confidential Databases Without Cryptographic Mappings
[arXiv] 2026-03-19 | Tursio Database Search: How far are we from ChatGPT?
[arXiv] 2026-03-19 | Mahler's method and Carlitz logarithm
[arXiv] 2026-03-19 | Phonon-modulated Kerr nonlinearity in ultrathin 2H-MoTe2
[arXiv] 2026-03-19 | Certifying ergotropy under partial information
[arXiv] 2026-03-19 | Measure preserving maps with bounded total variation
[arXiv] 2026-03-19 | ProRL Agent: Rollout-as-a-Service for RL Training of Multi-Turn LLM Agents
