[2026-04-07 22:38:51] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-06
正在获取论文...
[arXiv] 2026-04-06 | Strongly Correlated Superconductivity in Twisted Bilayer Graphene: A Gutzwiller Study
[arXiv] 2026-04-06 | A universal property for groupoid C*-algebras. II. Fell bundles
[arXiv] 2026-04-06 | An algorithmic Polynomial Freiman-Ruzsa theorem
[arXiv] 2026-04-06 | LACE-S: Toward Sensitivity-consistent Locational Average Carbon Emissions via Neural Representation
[arXiv] 2026-04-06 | Unlikely intersections in families of polynomial skew products
[arXiv] 2026-04-06 | Stationary Einstein-vector-Gauss-Bonnet black holes
[arXiv] 2026-04-06 | Isotropy subgroups of homogeneous locally nilpotent derivations
[arXiv] 2026-04-06 | On split exact sequences and KK-equivalences of amplified graph C*-algebras
[arXiv] 2026-04-06 | Matroid analogues of Gal's conjecture
[arXiv] 2026-04-06 | Bootstrap percolation of extension hypergraphs
[arXiv] 2026-04-06 | Simultaneous Unicast and Multicast Transmissions in Stacked Intelligent Metasurfaces-assisted HAPS Wireless Networks: Performance Analysis and Optimization
[arXiv] 2026-04-06 | A Trudinger-Moser inequality under a refined constraint in fractional dimensions and extremal functions
[arXiv] 2026-04-06 | Minimaxity and Admissibility of Bayesian Neural Networks
[arXiv] 2026-04-06 | Connected components and topological ends of stationary planar forests
[arXiv] 2026-04-06 | Design Guidelines for Game-Based Refresher Training of Community Health Workers in Low-Resource Contexts
[arXiv] 2026-04-06 | ZeD-MAP: Bundle Adjustment Guided Zero-Shot Depth Maps for Real-Time Aerial Imaging
[arXiv] 2026-04-06 | Synthesis4AD: Synthetic Anomalies are All You Need for 3D Anomaly Detection
[arXiv] 2026-04-06 | Communication-Efficient Collaborative LLM Inference over LEO Satellite Networks
[arXiv] 2026-04-06 | Search, Do not Guess: Teaching Small Language Models to Be Effective Search Agents
[arXiv] 2026-04-06 | Dividend ratcheting and capital injection under the Cramér-Lundberg model: Strong solution and optimal strategy
[arXiv] 2026-04-06 | Same World, Differently Given: History-Dependent Perceptual Reorganization in Artificial Agents
[arXiv] 2026-04-06 | Interpretation of Crystal Energy Landscapes with Kolmogorov-Arnold Networks
[arXiv] 2026-04-06 | Multimodal Backdoor Attack on VLMs for Autonomous Driving via Graffiti and Cross-Lingual Triggers
[arXiv] 2026-04-06 | On Optimizing Electrode Configuration for Wrist-Worn sEMG-Based Thumb Gesture Recognition
[arXiv] 2026-04-06 | Unified geometric formalism for dissipation and its fluctuations in finite-time microscopic heat engines
[arXiv] 2026-04-06 | Biologically Inspired Event-Based Perception and Sample-Efficient Learning for High-Speed Table Tennis Robots
[arXiv] 2026-04-06 | nascTime: A Full-Stack 5G-TSN Bridge Simulation Framework with SDAP-Based QoS Mapping and IEEE 802.1AS Transparent Clock
[arXiv] 2026-04-06 | Borsuk-Ulam Type Theorems and Mountain Climbing Problem
[arXiv] 2026-04-06 | A Clinical Point Cloud Paradigm for In-Hospital Mortality Prediction from Multi-Level Incomplete Multimodal EHRs
[arXiv] 2026-04-06 | Cardinality Estimation for High Dimensional Similarity Queries with Adaptive Bucket Probing
[arXiv] 2026-04-06 | Breaking the Entanglement-Structure Trade-off: Many-Body Localization Protects Emergent Holographic Geometry in Random Tensor Networks
[arXiv] 2026-04-06 | $W^{2,1}$ approximation of planar Sobolev homeomorphisms by smooth diffeomorphisms
[arXiv] 2026-04-06 | Noisy Nonreciprocal Pairwise Comparisons: Scale Variation, Noise Calibration, and Admissible Ranking Regions
[arXiv] 2026-04-06 | Firebolt-VL: Efficient Vision-Language Understanding with Cross-Modality Modulation
[arXiv] 2026-04-06 | SAIL: Scene-aware Adaptive Iterative Learning for Long-Tail Trajectory Prediction in Autonomous Vehicles
[arXiv] 2026-04-06 | Optimal, Qubit-Efficient Quantum Vehicle Routing via Colored-Permutations
[arXiv] 2026-04-06 | Reciprocal binomial sums via Beta integrals
[arXiv] 2026-04-06 | On the minimum number of monochromatic solutions to the strict Schur inequality in 2-colored integer intervals with negative left endpoint
[arXiv] 2026-04-06 | Beyond Imbalance Ratio: Data Characteristics as Critical Moderators of Oversampling Method Selection
[arXiv] 2026-04-06 | Activity Recognition Using mm-Wave Radar and Deep Learning: Prayer Tracker Case Study
[arXiv] 2026-04-06 | FlashSAC: Fast and Stable Off-Policy Reinforcement Learning for High-Dimensional Robot Control
[arXiv] 2026-04-06 | Disentangling Large-Scale Supply Networks: f-HiCoNE Framework for Flow-Hierarchical Clustering via Combinatorial Hodge Decomposition
[arXiv] 2026-04-06 | Multilingual Prompt Localization for Agent-as-a-Judge: Language and Backbone Sensitivity in Requirement-Level Evaluation
[arXiv] 2026-04-06 | GAIN: Multiplicative Modulation for Domain Adaptation
[arXiv] 2026-04-06 | Joint extreme values of Dirichlet (L)-functions and their logarithmic derivatives
[arXiv] 2026-04-06 | Continuous thermochemical sources of AlF molecules
[arXiv] 2026-04-06 | DHFP-PE: Dual-Precision Hybrid Floating Point Processing Element for AI Acceleration
[arXiv] 2026-04-06 | Bicompact torsion classes and conjectures on brick infinite algebras
[arXiv] 2026-04-06 | Weighted $L^2$ theory for the Euclidean Dirac operator in higher dimensions
[arXiv] 2026-04-06 | Memory Intelligence Agent
[arXiv] 2026-04-06 | ECG Biometrics with ArcFace-Inception: External Validation on MIMIC and HEEDB
[arXiv] 2026-04-06 | How can LLMs Support Policy Researchers? Evaluating an LLM-Assisted Workflow for Large-Scale Unstructured Data
[arXiv] 2026-04-06 | Resolutions and deformations of cyclic quotient surface singularities
[arXiv] 2026-04-06 | MC-GenRef: Annotation-free mammography microcalcification segmentation with generative posterior refinement
[arXiv] 2026-04-06 | The Topology of Multimodal Fusion: Why Current Architectures Fail at Creative Cognition
[arXiv] 2026-04-06 | Stokes structure of wild difference modules
[arXiv] 2026-04-06 | PointTPA: Dynamic Network Parameter Adaptation for 3D Scene Understanding
[arXiv] 2026-04-06 | Rethinking Model Efficiency: Multi-Agent Inference with Large Models
[arXiv] 2026-04-06 | Uniformly Bounded Cochain Extensions and Uniform Poincaré Inequalities
[arXiv] 2026-04-06 | A Frame is Worth One Token: Efficient Generative World Modeling with Delta Tokens
[arXiv] 2026-04-06 | Weak Solutions to the Bloch Equations with Distant Dipolar Field
[arXiv] 2026-04-06 | Maximally localized modes of a multimode fiber
[arXiv] 2026-04-06 | Multiferroicity in the Presence of Exchange Bias: The Case of Spinel CoMn2O4
[arXiv] 2026-04-06 | Free-Range Gaussians: Non-Grid-Aligned Generative 3D Gaussian Reconstruction
[arXiv] 2026-04-06 | Effects of Spin Fluctuation and Disorder on Topological States of Quasi 2D Ferromagnet Fe1/5CrTe2
[arXiv] 2026-04-06 | The Blind Spot of Adaptation: Quantifying and Mitigating Forgetting in Fine-tuned Driving Models
[arXiv] 2026-04-06 | The Role of Generator Access in Autoregressive Post-Training
[arXiv] 2026-04-06 | Curvature batching gives single-exponential integer quadratic programming
