[2025-12-17 09:16:20] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-16
正在获取论文...
[arXiv] 2025-12-16 | Broadening View Synthesis of Dynamic Scenes from Constrained Monocular Videos
[arXiv] 2025-12-16 | From Atomic Defects to Integrated Photonics: A Perspective on Solid-State Quantum Light Sources
[arXiv] 2025-12-16 | Exceptional Excitons
[arXiv] 2025-12-16 | Geometric quantum thermodynamics: A fibre bundle approach
[arXiv] 2025-12-16 | Design and Evaluation of a PMT High-Voltage system for Deepsea Neutrino Telescope
[arXiv] 2025-12-16 | Lost in the Pages: WebAssembly Code Recovery through SEV-SNP's Exposed Address Space
[arXiv] 2025-12-16 | Hydrodynamic liquid crystal models for lipid bilayers
[arXiv] 2025-12-16 | Measurements of the branching fractions of $χ_{cJ}\to φφη, φφη^{\prime}$ and $φK^+K^-η$
[arXiv] 2025-12-16 | Unified Semantic Transformer for 3D Scene Understanding
[arXiv] 2025-12-16 | User Localization and Channel Estimation for Pinching-Antenna Systems (PASS)
[arXiv] 2025-12-16 | Dimension theory of inhomogeneous Diophantine approximation with matrix sequences
[arXiv] 2025-12-16 | Field evaluation and optimization of a lightweight lidar-based UAV navigation system for dense boreal forest environments
[arXiv] 2025-12-16 | Implicit Bias and Invariance: How Hopfield Networks Efficiently Learn Graph Orbits
[arXiv] 2025-12-16 | Dual Attention Guided Defense Against Malicious Edits
[arXiv] 2025-12-16 | PADE: A Predictor-Free Sparse Attention Accelerator via Unified Execution and Stage Fusion
[arXiv] 2025-12-16 | Multi-Agent Medical Decision Consensus Matrix System: An Intelligent Collaborative Framework for Oncology MDT Consultations
[arXiv] 2025-12-16 | Another 100 Years of Quantum Interpretation?
[arXiv] 2025-12-16 | Pressure-induced hole delocalization in the strongly correlated quasicubic charge-transfer perovskite $LaBa_2Fe_3O_{8+δ}$d
[arXiv] 2025-12-16 | Comparative study between low and high energy SOHO/ERNE protons in solar cycle 23
[arXiv] 2025-12-16 | The Role of Employment Flexibility in Enhancing the Competitiveness of Temporary Staffing Service Providers in Poland
[arXiv] 2025-12-16 | Worldwide Scientific Landscape on Fires in Photovoltaic
[arXiv] 2025-12-16 | Edge-coloring 4- and 5-regular projective planar graphs with no Petersen-minor
[arXiv] 2025-12-16 | Isotropic Dirac fermion and anomalous oscillator strength of zeroth Landau level transition
[arXiv] 2025-12-16 | Five lectures on regularity structures and SPDEs
[arXiv] 2025-12-16 | On the Renormalization Group in EFTs: On-Shell Bases, Ambiguities, and Divergences
[arXiv] 2025-12-16 | TEMP: A Memory Efficient Physical-aware Tensor Partition-Mapping Framework on Wafer-scale Chips
[arXiv] 2025-12-16 | Hyperdefinability of the Lie model for approximate subgroups
[arXiv] 2025-12-16 | Complete Wetting and Drying at Sinusoidal Walls
[arXiv] 2025-12-16 | A note on spherical algebras
[arXiv] 2025-12-16 | Estimating problem difficulty without ground truth using Large Language Model comparisons
[arXiv] 2025-12-16 | Analysis of a finite element method for second order uniformly elliptic PDEs in non-divergence form
[arXiv] 2025-12-16 | DRAW2ACT: Turning Depth-Encoded Trajectories into Robotic Demonstration Videos
[arXiv] 2025-12-16 | Acoustic phonon softening and lattice instability driven by on-site $f$-$d$ hybridization in CeCoSi
[arXiv] 2025-12-16 | Exploring Cosmic Dawn with PANORAMIC II: Cosmic Variance and Galaxy Clustering at $z\sim10$
[arXiv] 2025-12-16 | Cosmic Lockdown: When Decoherence Saves the Universe from Tunneling
[arXiv] 2025-12-16 | Fermi-LAT detections of novae V1723 Sco and V6598 Sgr
[arXiv] 2025-12-16 | Polygon Containment and Translational Min-Hausdorff-Distance between Segment Sets are 3SUM-Hard
[arXiv] 2025-12-16 | Notions of simple type for Bauer--Furuta invariants
[arXiv] 2025-12-16 | Spherical Voronoi: Directional Appearance as a Differentiable Partition of the Sphere
[arXiv] 2025-12-16 | Kernel Sheaf on Integral Nodal Curves
[arXiv] 2025-12-16 | FastDDHPose: Towards Unified, Efficient, and Disentangled 3D Human Pose Estimation
[arXiv] 2025-12-16 | Complex Langevin simulations with a kernel
[arXiv] 2025-12-16 | On finite local approximations of isometric actions of residually finite groups
[arXiv] 2025-12-16 | Astraea: A State-Aware Scheduling Engine for LLM-Powered Agents
[arXiv] 2025-12-16 | Antenna Coding Optimization Based on Pixel Antennas for MIMO Wireless Power Transfer with DC Combining
[arXiv] 2025-12-16 | Sources and Nonlinearity of High Volume Return Premium: An Empirical Study on the Differential Effects of Investor Identity versus Trading Intensity (2020-2024)
[arXiv] 2025-12-16 | AnimaMimic: Imitating 3D Animation from Video Priors
[arXiv] 2025-12-16 | MFE-GAN: Efficient GAN-based Framework for Document Image Enhancement and Binarization with Multi-scale Feature Extraction
[arXiv] 2025-12-16 | Interactive Motion Planning for Human-Robot Collaboration Based on Human-Centric Configuration Space Ergonomic Field
[arXiv] 2025-12-16 | Any Light Particle Searches with ALPS II: first science results
[arXiv] 2025-12-16 | Muon Knight shift as a precise probe of the superconducting symmetry of Sr$_2$RuO$_4$
[arXiv] 2025-12-16 | The Impact Market to Save Conference Peer Review: Decoupling Dissemination and Credentialing
[arXiv] 2025-12-16 | ViewMask-1-to-3: Multi-View Consistent Image Generation via Multimodal Diffusion Models
[arXiv] 2025-12-16 | The Nucleon Axial Form Factor from Elementary Target Data
[arXiv] 2025-12-16 | ProtoFlow: Interpretable and Robust Surgical Workflow Modeling with Learned Dynamic Scene Graph Prototypes
[arXiv] 2025-12-16 | Improved diffusive approximation of Markov jump processes close to equilibrium
[arXiv] 2025-12-16 | On twisting functions in twisted cartesian products and twisted tensor products
[arXiv] 2025-12-16 | Scalable Frameworks for Real-World Audio-Visual Speech Recognition
[arXiv] 2025-12-16 | Explicit Rephasing to PDG Standard Form and Origin of CP-Violating Phases
[arXiv] 2025-12-16 | Complete weight enumerators and weight hierarchies for linear codes from quadratic forms
[arXiv] 2025-12-16 | Efficient-DLM: From Autoregressive to Diffusion Language Models, and Beyond in Speed
[arXiv] 2025-12-16 | Chiral gravitational waves from domain walls in Nieh-Yan gravity
[arXiv] 2025-12-16 | Context Representation via Action-Free Transformer encoder-decoder for Meta Reinforcement Learning
[arXiv] 2025-12-16 | FacEDiT: Unified Talking Face Editing and Generation via Facial Motion Infilling
[arXiv] 2025-12-16 | Cooperative Rotatable IRSs for Wireless Communications: Joint Beamforming and Orientation Optimization
[arXiv] 2025-12-16 | Liquid Handling of the JUNO Experiment
[arXiv] 2025-12-16 | A Formal Analogue of Euler's Formula for Infinite Planar Regular Graphs
[arXiv] 2025-12-16 | Multivariate Time Series Forecasting with Hybrid Euclidean-SPD Manifold Graph Neural Networks
[arXiv] 2025-12-16 | Concentration of the truncated variation of fractional Brownian motions of any Hurst index, their $1/H$-variations and local times
[arXiv] 2025-12-16 | Hierarchical Deep Reinforcement Learning for Robust Access in Cognitive IoT Networks under Smart Jamming Attacks
[arXiv] 2025-12-16 | Physics-Informed Machine Learning for Two-Phase Moving-Interface and Stefan Problems
[arXiv] 2025-12-16 | Scaling solutions for gauge invariant flow equations in dilaton quantum gravity
[arXiv] 2025-12-16 | Sparse-LaViDa: Sparse Multimodal Discrete Diffusion Language Models
[arXiv] 2025-12-16 | Perplex Analysis and Geometry of Singularities
[arXiv] 2025-12-16 | Memo2496: Expert-Annotated Dataset and Dual-View Adaptive Framework for Music Emotion Recognition
[arXiv] 2025-12-16 | Volume Formulae for the Convex Hull of the Graph of a Trilinear Monomial: A Complete Characterization for General Box Domains
[arXiv] 2025-12-16 | WaveSim: A Wavelet-based Multi-scale Similarity Metric for Weather and Climate Fields
[arXiv] 2025-12-16 | Robust Training of Singing Voice Synthesis Using Prior and Posterior Uncertainty
[arXiv] 2025-12-16 | Radio emission in star-forming galaxies: connection to restarted or relic AGN activity
[arXiv] 2025-12-16 | A Multicenter Benchmark of Multiple Instance Learning Models for Lymphoma Subtyping from HE-stained Whole Slide Images
[arXiv] 2025-12-16 | Beyond Text-to-SQL: Autonomous Research-Driven Database Exploration with DAR
[arXiv] 2025-12-16 | ParaFormer: A Generalized PageRank Graph Transformer for Graph Representation Learning
[arXiv] 2025-12-16 | Estimating Program Participation with Partial Validation
[arXiv] 2025-12-16 | Self-adaptive physics-informed neural network for forward and inverse problems in heterogeneous porous flow
[arXiv] 2025-12-16 | LLmFPCA-detect: LLM-powered Multivariate Functional PCA for Anomaly Detection in Sparse Longitudinal Texts
[arXiv] 2025-12-16 | Detection of Image Potential States above the vacuum level in GeTe
[arXiv] 2025-12-16 | Probing hadronic interactions at the 100 TeV scale with the Pierre Auger Observatory
[arXiv] 2025-12-16 | Inverse obstacle scattering regularized by the tangent-point energy
[arXiv] 2025-12-16 | S-Duality and Categorical Gauge Theory
[arXiv] 2025-12-16 | Computation and analysis of global solution curves for super-critical equations
[arXiv] 2025-12-16 | Cluster expansion of the log-likelihood ratio: Optimal detection of planted matchings
[arXiv] 2025-12-16 | Counterfactual Explanations for Time Series Should be Human-Centered and Temporally Coherent in Interventions
[arXiv] 2025-12-16 | PrivATE: Differentially Private Average Treatment Effect Estimation for Observational Data
[arXiv] 2025-12-16 | Fair sampling of ground-state configurations using hybrid quantum-classical MCMC algorithms
[arXiv] 2025-12-16 | Matching between Collinear Twist-3 and TMD Fragmentation Function Contributions to Polarized Hyperon Production in SIDIS
[arXiv] 2025-12-16 | Compact High-Efficiency All-Polarization Rectenna for Wireless Power Transmission
[arXiv] 2025-12-16 | Finite-Time Protocols Stabilize Charging in Noisy Ising Quantum Batteries
[arXiv] 2025-12-16 | The Innovation Null Space of the Kalman Predictor: A Stochastic Perspective for DeePC
[arXiv] 2025-12-16 | The stellar activity-rotation-age relationship under the lens of asteroseismology
