[2026-08-12 22:40:02] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-11
正在获取论文...
[arXiv] 2026-08-11 | Stay or Stray - A Dynamical Systems Viewpoint of Popularity Bias
[arXiv] 2026-08-11 | Critic-Free Pretraining for Efficient Online Reinforcement Learning Fine-Tuning
[arXiv] 2026-08-11 | Probing scalarized wormholes through quasi-periodic oscillations and spinning particle dynamics
[arXiv] 2026-08-11 | Geometry-aware neural causal discovery for large-scale spatiotemporal systems
[arXiv] 2026-08-11 | Vacuum polarization in QED with an electromagnetic background from the lattice
[arXiv] 2026-08-11 | Exponentially Consistent Low Complexity Tests for Statistical Sequence Matching
[arXiv] 2026-08-11 | Multitask Pareto Optimization for Monotone Submodular Problems with Dynamic Constraints
[arXiv] 2026-08-11 | Amulet: Frame Extrapolation Through Sparse Layered Scene Representation and Adaptive Shading
[arXiv] 2026-08-11 | Squaring the circle: embedding $S^1$ in $\ell_1$
[arXiv] 2026-08-11 | A lower bound for stepsize-based acceleration of gradient descent
[arXiv] 2026-08-11 | Objective-oriented quantitative investment: A specification-driven framework for automated synthesis of trading strategy pipelines
[arXiv] 2026-08-11 | Post-Calibration Reliability Reranking of Relevance Decisions via Label-wise Monotone Projection
[arXiv] 2026-08-11 | TideRL: Boosting Agentic RL Goodput with Readiness-Aware Scheduling
[arXiv] 2026-08-11 | Efficient Weak-Entropy PINN for Solving Hyperbolic Conservation Laws
[arXiv] 2026-08-11 | An Optically Motivated Gamma-ray Study of Fermi-LAT Novae
[arXiv] 2026-08-11 | Hip Energized Monopedal Hopping
[arXiv] 2026-08-11 | Real-World Cooperative Bimanual Dexterous Grasp of Large Objects from Single-View Observations
[arXiv] 2026-08-11 | A Single Atom in Front of a Mirror is a Universal Reservoir Computer
[arXiv] 2026-08-11 | A Neural Network Based Teleoperation for Remote Controlled Vehicles
[arXiv] 2026-08-11 | Neural implants and human safety: single-fault detection for DC-coupled recording front ends
[arXiv] 2026-08-11 | MazzikaAI: A knowledge-based performance-to-prompt compiler for real-time Arabic maqam accompaniment with a streaming text-to-music model
[arXiv] 2026-08-11 | Efficient Reinforcement Learning for Long-Horizon Tool-Use Agentic Tasks
[arXiv] 2026-08-11 | Quadratic Expansion over Prime Fields via Centered Collisions and Popular-Sum Amplification
[arXiv] 2026-08-11 | Accelerated Learning of High Dimensional Functions with a Tensor-Featured Training Network
[arXiv] 2026-08-11 | Estimating the local star formation rate density from ASKAP RACS
[arXiv] 2026-08-11 | A Multinomial Probit Model for Asymmetric Choice Responses
[arXiv] 2026-08-11 | Wave-particle-mixedness redistribution in Schwarzschild spacetime
[arXiv] 2026-08-11 | Who Gets Heeded? An Obligation-Level Audit of Responsiveness in EPA Rulemaking
[arXiv] 2026-08-11 | Fine-tuning in mixed Dark Matter models with Primordial Black Hole relics
[arXiv] 2026-08-11 | Verifying full quantum network nonlocality in arbitrary configurations by nonlinear Bell-like inequalities
[arXiv] 2026-08-11 | ReLTEx: Reliable LLM-based Taxonomy Expansion
[arXiv] 2026-08-11 | Spin Splitter without Spin-Split Bands: A Reconfigurable Altermagnetic Texture
[arXiv] 2026-08-11 | ClusterBench: A Framework for Cluster-Wide Continuous Benchmarking and Regression Testing
[arXiv] 2026-08-11 | Couette-Taylor instabilities in the small gap regime: the very counter-rotating case
[arXiv] 2026-08-11 | Laser-Diode LiFi With Diffused-Beam Optics: System-Level Modeling and a Cross-Validated ns-3 Simulation Framework
[arXiv] 2026-08-11 | Understanding the Architecture of Coding Agents: An Exploratory Study Using a Research Prototype
[arXiv] 2026-08-11 | Log Calabi-Yau compactifications of $SL(2,\mathbb{C})$ character varieties
[arXiv] 2026-08-11 | Monsters and neutron stars
[arXiv] 2026-08-11 | Certify or Refuse: A Cross-Model Map for Selective Risk Control with Coverage Floors under Covariate Shift
[arXiv] 2026-08-11 | The Radcliffe Wave is not alone in the Local System
[arXiv] 2026-08-11 | Two Moments for Risk-Monotone Additive Statistics
[arXiv] 2026-08-11 | From Pattern Detection to Composition Analysis in Quantum Software
[arXiv] 2026-08-11 | Reflection Coupling and Quantitative Contraction for Underdamped Langevin Diffusions with Superlinear Forces
[arXiv] 2026-08-11 | Robust Safety Filtering for Input-Constrained Underactuated Linear Systems
[arXiv] 2026-08-11 | Analytical Theory for Anomalous Diffusion in the Anderson Model with Heavy Tails
[arXiv] 2026-08-11 | Noise-Induced Localized Patterns in Excitable Media: Amplitude versus Persistence
[arXiv] 2026-08-11 | Anomalous symmetries in Kähler geometry
[arXiv] 2026-08-11 | Constraining ModMax Black Holes with EHT and GRAVITY Observations: Optical Signatures and Accretion Disk Properties
[arXiv] 2026-08-11 | Auditable AI-Assisted Research Writing: An Engineering Discipline with Pre-Registered Process Observation
[arXiv] 2026-08-11 | FiGuRO: Intrinsic Dimension Estimation for Multi-Modal Data
[arXiv] 2026-08-11 | Universality and Heterogeneity of Stylized Facts in Cryptocurrency and Equity Markets
[arXiv] 2026-08-11 | Spectral Embeddings of Degree-$α$ Laplacians in Random Dot Product Graphs
[arXiv] 2026-08-11 | Studying electron beam coherence using plasmon interference
[arXiv] 2026-08-11 | Wind-confined jet collimation revealed by the acceleration-phase photosphere of GRB 220426A
[arXiv] 2026-08-11 | Monodromy defects in ABJM theory and integrability
[arXiv] 2026-08-11 | Whisper-Aware LLM: Self-Supervised Uncertainty Learning for Robust Whispered Speech Recognition
[arXiv] 2026-08-11 | UniProbe: A Learnable Token-Level Hallucination Detector for Large VLMs using Multi-Structural Internal Representations
[arXiv] 2026-08-11 | ATLAS. III. Dust Around Little Red Dots: Hydrogen Line Ratios beyond Dust-free Non-Case B Models
[arXiv] 2026-08-11 | Deep reinforcement learning for separation control in turbulent wind-tunnel flow
[arXiv] 2026-08-11 | Cross-modal topology decodes battery faults from sparse voltage snapshots
[arXiv] 2026-08-11 | Strong coupling between antiferromagnetic magnons and spoof surface plasmons
[arXiv] 2026-08-11 | AECNav: Active Evidence Consolidation for Efficient Zero-Shot Open-Vocabulary Object Navigation
[arXiv] 2026-08-11 | Assessing Reliability of BERT-Based Models on Question Answering Tasks
[arXiv] 2026-08-11 | Emergence of fractal structures from breather interactions in the $(2+1)$-dimensional Konopelchenko--Dubrovsky equation
[arXiv] 2026-08-11 | ChemWorld: Programmable Chemical Worlds for Controlled and Replayable Agent Experimentation
[arXiv] 2026-08-11 | Permutation polynomials from the trace functions
[arXiv] 2026-08-11 | High-pressure electride superconductor Li5N for multifunctional applications: A theoretical insight into the physical properties
[arXiv] 2026-08-11 | FADE: From Passive Verification to Active Discovery in Counterfactual Video Understanding
[arXiv] 2026-08-11 | Scalable Size- and Shape-Selective Purification of Colloidal Building Blocks via Excluded Volume Interactions
[arXiv] 2026-08-11 | Quantum Mechanism of Piezomagnetism in Higher-Spin Altermagnets
[arXiv] 2026-08-11 | Smart Enough to Go Extinct? An Evolutionary Challenge to the Value of General Intelligence and Its Ethical Implications for AGI
[arXiv] 2026-08-11 | Survey-robust uncertainty quantification in generalised additive models for location, scale, and shape
[arXiv] 2026-08-11 | InterPruner: Interactive Structured Pruning via Taylor-Implicit Criterion and Language-Prior Modulator for Multimodal Object Detection
[arXiv] 2026-08-11 | Two-component ultracold Bose gases with spin-orbit coupling
