[2026-07-18 22:50:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-17
正在获取论文...
[ACM] 2026-7-17 | Holmes: Multimodal Agentic Diagnosis for Mixed-Language Mobile Crashes at Industrial Scale
[ACM] 2026-7-17 | Kea2: Practical Property-based Testing for Mobile Apps
[ACM] 2026-7-17 | DependaFix: A GitHub App for Fixing Breaking Dependency Updates in CI Build for Java Projects
[ACM] 2026-7-17 | Team Diversity Promotes Software Fairness: An Experiment on Fairness-Aware Requirements Prioritization
[ACM] 2026-7-17 | LLM Agents for AIOps in Kubernetes: An Industrial Experience Report with Red Hat OpenShift
[ACM] 2026-7-17 | When Testing Meets Refactoring
[ACM] 2026-7-17 | Towards Trustworthy AI-Enabled Systems: From Model-Level Reliability to Systemic Assurance
[ACM] 2026-7-17 | Scaling Code Assistants Without Retraining with Model Merging: Capability Fusion &amp; Sustainable Adaptation
[ACM] 2026-7-17 | Observability and Runtime Governance for Agentic AI Systems
[IEEE] 2026-7-17 | MS-GCFANet: A Multi-scale Gramian and Cross-phase Feature Attention Network for PMSM Current Sensor Fault Diagnosis
[IEEE] 2026-7-17 | LUD-YOLO: An Efficient and Balanced Object Detection Model for Unmanned Aerial Vehicles
[IEEE] 2026-7-17 | Front-Stage Efficiency Regulation Strategy of Wireless Power Transfer System With Adaptive Resolution On-Off Keying Modulation
[IEEE] 2026-7-17 | Multimodal Sentinel-1/2 Data Fusion with a Dual-Path ViT-Kolmogorov-Arnold Network Pipeline for AI-driven Flood Event Classification
[IEEE] 2026-7-17 | GeM-VO: Deep Stereo Odometry with Geometry Masks in Dynamic Environments
[IEEE] 2026-7-17 | An Improved Jiles&amp;#x2013;Atherton Hysteresis Model for Giant Magnetostrictive Materials with Parameter Identification based on Improved Arctic Puffin Optimization_supp1-3711190.doc
[IEEE] 2026-7-17 | Sponsors Page
[IEEE] 2026-7-17 | NeuroLearn: A Wearable EEG-Based System for Affective-Cognitive Monitoring and GenAI-Assisted Adaptive Learning
[IEEE] 2026-7-17 | Fabrication Experience and Requirement Comparison of 316L(N)-IG Forging for ITER In-Vessel Components
[IEEE] 2026-7-17 | Bowden-Bead-Cable Transmission System: A Space-Variable Flexible Meshing Transmission for Exoskeletons_supp1-3707540.mp4
[IEEE] 2026-7-17 | A Three-Factor Model of Engagement and Persistence From Difficulty-Adjusted Practice Decisions in Online Mathematics Learning
[IEEE] 2026-7-17 | H
                    <sup>3</sup>
                    Former: Hypergraph-based Semantic-Aware Aggregation via Hyperbolic Hierarchical Contrastive Loss for Fine-Grained Visual Classification
[IEEE] 2026-7-17 | Back Cover
[IEEE] 2026-7-17 | High Performance 84-Pulse Driver for Speed Control of Permanent Magnet Synchronous Motors
[IEEE] 2026-7-17 | Cascade Pixel Transformer with Distance-Driven Spatial Fusion for Hyperspectral Image Classification Using Limited Training Samples
[IEEE] 2026-7-17 | Current Density Modelling of Electromigration Test Vehicles (0402 and 0201) Based on Realistic Solder Joint Geometries
[IEEE] 2026-7-17 | Switching-Mode Power Supply Circuit for Telecommunications Applications
[IEEE] 2026-7-17 | Study of Structure and Microwave Properties of Magnesium Titanate Ceramic Samples Synthesized by the Pechini Method
[IEEE] 2026-7-17 | Ethical-Aware Narrative Agents for Responsible Brand Communication: A Framework and Empirical Validation
[IEEE] 2026-7-17 | Multi-Modal Artificial Intelligence for Green Supply Chain Management in Energy Industry
[IEEE] 2026-7-17 | Establishing a Trustworthy Discovery Workflow for High-Entropy BNT Ceramics via SHAP-Interpretable Machine Learning
[IEEE] 2026-7-17 | UAV-Assisted Multi-Victim Localization for V2X-Enabled Disaster Response via Information-Guided Sampling
[IEEE] 2026-7-17 | Spatiotemporal Characterization of Campus Wi-Fi Activity during the Iberian Peninsula Blackout
[IEEE] 2026-7-17 | Scalable Lineage Classification and Out-of-Distribution Detection for Long-Read Viral Genomes: The BioHyena-Sentinel Framework
[IEEE] 2026-7-17 | Design of an AI-Powered Adaptive Learning System for Education in the Metaverse Classroom
