[2026-08-15 22:20:20] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-14
正在获取论文...
[ACM] 2026-8-14 | Tools for Enhancing Active Learning Experience in an Online Environment
[IEEE] 2026-8-14 | Conference Calendar
[IEEE] 2026-8-14 | A Unified Framework for Distributed Nonconvex Composite Optimization With Refined Convergence Analysis
[IEEE] 2026-8-14 | Quickest Change Detection with Cost-Constrained Experiment Design
[IEEE] 2026-8-14 | Bridging Training–Deployment Gap in Intrusion Detection with Source-Free Domain Adaptation
[IEEE] 2026-8-14 | A RankNet-Inspired Surrogate-Assisted Hybrid Metaheuristic for Expensive Coverage Optimization_supp1-3716527.pdf
[IEEE] 2026-8-14 | Message from the Program Chairs ICSA-C 2026
[IEEE] 2026-8-14 | Integrated DNN-SMC Control with CLF-QP Stability Monitoring for Lunar Landing
[IEEE] 2026-8-14 | Recent Advances in Millimeter-Wave 4-D Imaging Radars: A Leap Toward Massive MIMO in Sensing_supp1-3719796.pdf
[IEEE] 2026-8-14 | MetaSpongeDetect: A Meta-Learning Approach to Securing AI Systems Against Sponge Attacks in Social Applications
[IEEE] 2026-8-14 | A Survey of Typical-Cell Volume Distributions in Poisson–Voronoi and Poisson–Delaunay Tessellations: Analytical Theory, High-Dimensional Limits, and Wireless Applications
[IEEE] 2026-8-14 | Table of Contents
[ACM] 2026-8-14 | Cryptographic Limitations on Learning Boolean Formulae and Finite Automata
[ACM] 2026-8-14 | A. M. Turing Award Oral History Interview with Leslie Gabriel Valiant
[IEEE] 2026-8-14 | Fabrication of Thermal Microactuators via Post-3D-Printing Femtosecond Laser Modification
[IEEE] 2026-8-14 | Bridging Formal Syntax and LLM Semantics: Extracting Knowledge Graphs for Legacy Code Understanding
[IEEE] 2026-8-14 | Dynamic Retrieval Augmented Generation for Enterprise Knowledge Intelligence Systems using Large Language Models
[IEEE] 2026-8-14 | A Hybrid FinBERT–BiLSTM Framework for Financial News Sentiment-based Stock Market Trend Prediction
[IEEE] 2026-8-14 | Accurate Prediction of Leukemia by EfficientNetB3 and ResNet50 Transfer Learning Models
[IEEE] 2026-8-14 | An Intent-based Text Mining Analysis of Graduate IT Students’ Perspectives on AI Use: An Exploratory Study
[IEEE] 2026-8-14 | Design of Autonomous Classification System for Digital Painting Images based on Machine Learning Algorithms
[IEEE] 2026-8-14 | Deep Learning-Driven Skin Cancer Diagnosis: Advanced Neural Network Architectures for Automated Detection and Classification in Dermatology
[IEEE] 2026-8-14 | RIDR-FRR: An AutoML Framework for Regime-Robust Multi-Condition Aircraft Engine RUL Prediction
[IEEE] 2026-8-14 | Blockchain-based Distributed Fractional Hawk Optimized Cluster Head Selection for Secure Routing in Wireless Sensor Networks
[IEEE] 2026-8-14 | Fine-Grained Dynamic Attack Tree Modeling for Multi-Stage Cyber Attack Risk Assessment in Cyber-Physical Power Systems
[IEEE] 2026-8-14 | Machine Learning-based Real Estate Valuation System
[IEEE] 2026-8-14 | Explainable AI-based Hybrid EfficientNetV2-YOLOv11 with Grad-CAM for Ultrasound Image-based PCOS Detection
[IEEE] 2026-8-14 | Calibration of Variational Quantum Classifiers Under Depolarizing Noise: Expected Calibration Error, Ansatz Expressibility, and Post-Hoc Temperature Scaling
[IEEE] 2026-8-14 | Monoliths to Microservices: Evidence from Cloud Computing Pedagogy
[IEEE] 2026-8-14 | A Hybrid Framework for Effective Chronic Diabetes Disease Management
[IEEE] 2026-8-14 | Oscillation Prevention for Plant-Grids Based on Bidirectional Dynamic Reactive Power Reserve Measurement and Control
[IEEE] 2026-8-14 | A Hybrid KF-LSSVM Clock Holdover Framework for NTN IoT Synchronization Under Weak-GNSS Conditions
[IEEE] 2026-8-14 | Manifold-Contrastive Few-Shot Detection for AI-Generated Images
[IEEE] 2026-8-14 | UMLCoder: A Novel Multi-Agent Framework for Generating Code with the Help of uml Diagrams
[IEEE] 2026-8-14 | BreathBand: A Smart Wearable Companion for Real-Time Respiratory Monitoring and Emergency Asthma Management
[IEEE] 2026-8-14 | Digital Twin-Driven Predictive Power Quality Control in EV-Dominated Renewable Distribution Networks
[IEEE] 2026-8-14 | Design and Comparative Analysis of Processor based and Reconfigurable Controllers
[ACM] 2026-8-14 | Supplementary Materials for Human–AI Collaboration to Empower People Seeking Support
[ACM] 2026-8-14 | Introduction
[IEEE] 2026-8-14 | Identifying Complementary Therapeutic Relationships for Drug Repurposing via Spectral–Spatial Graph Contrastive Learning_supp1-3723303.pdf
[IEEE] 2026-8-14 | Table of Contents
[IEEE] 2026-8-14 | Streamlined Butler Matrix Architecture for RF Front-End Beam Steering Systems_supp1-3723650.pdf
[IEEE] 2026-8-14 | A Motion Planning Control Strategy for Autonomous Vehicles Considering Driving Style Personalization and Optimal Energy Consumption
[IEEE] 2026-8-14 | A Label-Free and Transferable NILM Framework for Smart Home Energy Services
[IEEE] 2026-8-14 | Text-Guided Dual Refinement for Domain Generalized Semantic Segmentation in Remote Sensing
[IEEE] 2026-8-14 | Learn Faster and Remember More: Balancing Exploration and Exploitation for Continual Test-time Adaptation
[IEEE] 2026-8-14 | Uncertainty-Aware Transition Interval Identification for Bearing Remaining Useful Life Prediction
[IEEE] 2026-8-14 | Zero-Trust Privacy Enforcement and Threat-Aware Monitoring in Consumer Healthcare Systems
[IEEE] 2026-8-14 | Design and Implementation of Computer Technology Scheduling Engine in Experiment Process Management Decision System
[IEEE] 2026-8-14 | A Review of First and Second Order Ionospheric Effects in GNSS with Experimental Assessment using Dual-Frequency NavIC Observations over Dehradun, India
[IEEE] 2026-8-14 | Understanding and Managing Architecture Technical Debt Through Cross-Artifact Integration
[IEEE] 2026-8-14 | Design of a Low Power Static Random Access Memory (SRAM) with Integration of Clock Gating Technique using 22nm of CMOS Technology
[IEEE] 2026-8-14 | Beyond Rules-based Fraud Detection: Explainable Graph AI for Streaming Retail Transactions
[IEEE] 2026-8-14 | Gold Electrode Cleaning of Self-Biasing Microparticles via Cyclic Voltammetry
[IEEE] 2026-8-14 | Generative AI in Safety Engineering: Transforming HARA Artifacts into DDI Models
[IEEE] 2026-8-14 | Automating Domain-Driven Design: Experience with a Prompting Framework
[IEEE] 2026-8-14 | An IoT-based Real-Time Health Monitoring System for Industrial Machines using ESP32 and Cloud-based Automated Shutdown
[IEEE] 2026-8-14 | IoT-Enabled Smart Wearables for Early Detection of Dehydration in Elderly Care Facilities
[IEEE] 2026-8-14 | A Machine Learning Approach for Accurate Corrosion Level Estimation and Model Interoperability
[IEEE] 2026-8-14 | Knowledge-based Targeted Water Sprinkler System for Adaptive Irrigation using Arduino
[IEEE] 2026-8-14 | Prototype-Guided Hybrid Layer-Wise Explainability for CNN-based Surveillance Image Event Detection
[IEEE] 2026-8-14 | Development of Diamond Metalenses for Quantum Sensing Applications
[IEEE] 2026-8-14 | Hybrid Battery Thermal Management: Architectures, Optimization, and Emerging Technologies
[IEEE] 2026-8-14 | Autonomous Digital Twin Ecosystems for Precision Healthcare Forecasting
[IEEE] 2026-8-14 | A Microservices-Based Architecture for Machine Learning Systems Dedicated to Predictive Maintenance
[IEEE] 2026-8-14 | A Fuzzy-Enhanced Multi-Model Fusion Framework for E-Commerce Customer Churn Prediction
[IEEE] 2026-8-14 | A Risk-Aware Network Intrusion Detection System using Rule-based Detection and EPSS-based Alert Prioritization
[IEEE] 2026-8-14 | Architecting Human Oversight in AI-Enabled Software Systems: From Principles to Implementation
[IEEE] 2026-8-14 | A Comprehensive Deep Learning Framework for Summarizing Statutory Text
[IEEE] 2026-8-14 | Comparative Analysis of Pretraining Paradigms for Label-Efficient Chest X-Ray Classification
[IEEE] 2026-8-14 | FishFresh: A Mobile-based Computer Vision System for Real-Time Fish Freshness Assessment and Enhanced Post-Harvest Quality
[IEEE] 2026-8-14 | ShadowNet: A Multi-Protocol IoT Honeypot for Attack Detection and Behavior Analysis
[IEEE] 2026-8-14 | Explainable Deep Learning Framework using Swin Transformer for Gangrene and Ulcer Classification
[IEEE] 2026-8-14 | Optimizing Control Performance and Reliability of Hybrid Renewable Systems with Fuzzy Logic Controller
[IEEE] 2026-8-14 | Adventures in Agile Architecture Governance: Lessons Learned from a Risk- and Cost-Driven Architecture Perspective
[IEEE] 2026-8-14 | Communication-Aware Explainable Multimodal Attention Network for AI-Based Smart Assisted Living and Elderly Care Systems
[IEEE] 2026-8-14 | IoMT-HealNet: Explainable Machine Learning Architecture with MLOps and AgentOps for Smart Patient Recovery Prediction
[IEEE] 2026-8-14 | Domain-Specific ReAct for Physics-Integrated Iterative Modeling: A Case Study of LLM Agents for Gas Path Analysis of Gas Turbines
[IEEE] 2026-8-14 | Leveraging Fine-Tuned LLAMA for Mental Health Support
[IEEE] 2026-8-14 | FOOD-GUARD: A Blockchain-Enabled Multi-Layer Detection Framework for Hybrid Attacks in Food Supply Chain Security
[IEEE] 2026-8-14 | Software Engineering Practices for Advanced Therapy Medicinal Products
[IEEE] 2026-8-14 | AI-Enabled Threat Detection using Deep Learning
[IEEE] 2026-8-14 | Development of an Intelligent DDoS Detection and Mitigation System using Router Log and Flow-based Traffic Analysis with Ensemble Machine Learning
[IEEE] 2026-8-14 | Skeleton-Guided WPT Coil Alignment for Autonomous Robots
[IEEE] 2026-8-14 | Hyperspectral Remote Sensing Image Classification using AI-Driven Approaches
[IEEE] 2026-8-14 | Reconfigurable Graphene-Metasurface Analysis via an Eigenmode-Free Method-of-Lines Formulation
[IEEE] 2026-8-14 | Mixture of Experts Learning-based Accurate Surrogate for Evolutionary Expensive Optimization_supp1-3723213.pdf
[IEEE] 2026-8-14 | Adaptive Multi-interpolation and Multi-dimensional Feature Weighting for Binocular 3-D Visible Surface Reconstruction
[IEEE] 2026-8-14 | Synchronization of Directed Multi-Level Complex Networks With Multiple Delays
[IEEE] 2026-8-14 | Current Rating and Sheath Loss Assessment of Underground Power Cables Using Electro-Thermal Finite Element Modeling
[IEEE] 2026-8-14 | Switch Open-Circuit Fault Detection and Compensation System for LLC Resonant Converters in LDC Applications of Electric Vehicles
[IEEE] 2026-8-14 | Inversion of Particle Size Distribution and Abundance of Phytoplankton Species from Their Backscattering Coefficients in Visible Light
[ACM] 2026-8-14 | A Theory of the Learnable
[IEEE] 2026-8-14 | EGA-DTA: An Energetic-Geometric Augmented Graph Neural Network With Target-Conditional Gating for DTA Prediction
[IEEE] 2026-8-14 | Locally Distributed Estimation With Binary Sensors: A Dissipativity-Based Approach
[IEEE] 2026-8-14 | Machine-Readable Compliance Evidence: NIST SSDF and Patch Controls as Code for Federal Cloud Authorization
[IEEE] 2026-8-14 | Self Explaining Vision Transformer using Large Language Models for Trustworthy Image Classification
[IEEE] 2026-8-14 | Machine Learning-based Fraud Detection in Electric Vehicle Charging Networks
[IEEE] 2026-8-14 | Modeling and Simulation of PV-Energy Storage Grid-Connected Generation System Based on VSG
[IEEE] 2026-8-14 | Dynamic Synergistic Enterprise Marketing Strategy Selection Framework using Adaptive Optimization and Intelligence-Driven Decision Analytics
[IEEE] 2026-8-14 | AI-Driven Optimization of Smart Urban Infrastructure for Sustainable Cities
[IEEE] 2026-8-14 | A Study on the Selection of AGPS DC Filter Parameters Based on the NSGA-II Algorithm
[IEEE] 2026-8-14 | Design and Implementation of an Auxiliary Teaching System for College Chemistry based on DFN-Net
[IEEE] 2026-8-14 | Adaptive Semantic Path Planning for Safe Human Robot Interaction (HRI)
[IEEE] 2026-8-14 | Optimized Design of Electrode using Multi-Frequency Bioelectrical Impedance Analyser for Glucose Monitoring in Healthcare Applications
[IEEE] 2026-8-14 | Corrections to “BERT2D: Two Dimensional Positional Embeddings for Efficient Turkish NLP”
[IEEE] 2026-8-14 | Towards Collecting Large-Scale Vehicular Sensor Data for Open Access
[IEEE] 2026-8-14 | AdaptiReason: Adaptive Chain-of-Thought Compression for Efficient Large Language Model Inference
[IEEE] 2026-8-14 | RAD-AI: Rethinking Architecture Documentation for AI-Augmented Ecosystems
[IEEE] 2026-8-14 | Artificial Intelligence in Broadband Oscillation Modeling: A Review
[IEEE] 2026-8-14 | Perception of Safety Risks in Construction based on Dynamic Safety Perception Index-Artificial Neural Network
[IEEE] 2026-8-14 | Improvement of Adaptive Resistance Design for Metal Clamping Points in Common Grounding Electrode
[IEEE] 2026-8-14 | Sustainability-Aware Learning-Analytics-Enhanced Retrieval-Augmented AI Tutor for Inclusive Higher Education in Resource-Constrained Settings
[IEEE] 2026-8-14 | A Trust Governance Architecture for Ethical-Aware Autonomous Systems in Smart Ecosystems
[IEEE] 2026-8-14 | Mack-Unet: a Topology-Preserving Hybrid Mamba-Kan Architecture for Fine-Grained Crack Segmentation
[IEEE] 2026-8-14 | Intelligent Data Analytics Framework for Climate Change Monitoring Systems
[IEEE] 2026-8-14 | A Hybrid Localization Algorithm with Trajectory Prediction for Underwater Mobile Nodes
[IEEE] 2026-8-14 | Feature Selection and Performance Analysis for Heart Rate Estimation from Smartphone Photoplethysmography
[IEEE] 2026-8-14 | Scaling Sustainability: A Carbon-Aware Reasoning Framework for Multi-Tenant Software-as-a-Service
[IEEE] 2026-8-14 | Comprehensive Analysis of ChatGPT Performance Across Multiple Academic Subjects: Mathematics, Physics, Economics, Fiqh and English
[IEEE] 2026-8-14 | A Survey on Autonomous Compliance Enforcement using Agentic AI
[ACM] 2026-8-15 | Gauge Equivariant Capsule Networks
[IEEE] 2026-8-14 | Mitigation of short-channel effects in ultra-scaled β- high electron mobility transistors_supp1-3723461.docx
[IEEE] 2026-8-14 | Robust Information Bottleneck for Satellite Edge Inference over MIMO Channel
[IEEE] 2026-8-14 | 2026 IEEE 4th International Conference on Power Science and Technology (ICPST)
[IEEE] 2026-8-14 | Hybrid Adaptive ESO Network With Noise-Robust Fusion for Wideband Disturbance Rejection: Application to Pneumatic Precision Machining
[IEEE] 2026-8-14 | Learning Time-Varying Graphs from Incomplete Graph Signals
[IEEE] 2026-8-14 | Robust UAV Landing via Uncertainty-Aware Vision–LiDAR Sensor Fusion
[IEEE] 2026-8-14 | EUCAS 2025 Conference Organization
[ACM] 2026-8-14 | The Potential for "Needy" Socially Assistive Robots in Assisted Living: Support Workers' Perspectives
[ACM] 2026-8-14 | Introduction to the Special Issue on Hypermedia Systems
[IEEE] 2026-8-14 | Transmit and Reflect Beamforming for RIS-Aided Multi-Target ISAC Wireless Networks: RSMA or NOMA?
[IEEE] 2026-8-14 | A Spike-Driven Neuromorphic Framework for Asynchronous Population-Based Optimisation_supp1-3723682.pdf
[IEEE] 2026-8-14 | An Eight-Channel, 42-Gb/s/Channel Single-Ended PAM-4 Transmitter With a ZQ-Based FFE and PAM-4 LSB DBI Encoding for Memory Interfaces
[IEEE] 2026-8-14 | Mitigating False Positives in Complex Spectral Scenarios: A Mutual Information Guided Wavelet Disentanglement Framework for Remote Sensing Change Detection
[IEEE] 2026-8-14 | Traceable and Revocable Bilateral Access Control with Constant-Length Ciphertexts for Cloud Sharing
[IEEE] 2026-8-14 | Enhancing Power Grid Model Generation with Large Language Models via Progressive Fine-Tuning
[IEEE] 2026-8-14 | Proceedings
[IEEE] 2026-8-14 | ICDCECE 2026 Copyright Page
[IEEE] 2026-8-14 | A Gravity-Feature-Driven Path Planning Framework for Matching Performance Enhancement in UUV Gravity-Aided Navigation
[IEEE] 2026-8-14 | Analysis on the Law of Marine Organism Outbreak Caused in Nuclear Power Plant Based on Salvage Quantity
[IEEE] 2026-8-14 | From Agent-First to Deterministic-First: Architectural Design Decisions for Engineering Data Extraction
[IEEE] 2026-8-14 | A Practical QR Code-based Attendance System with Proxy Mitigation Measures for Academic Institutions
[IEEE] 2026-8-14 | An IoT-based Water Quality Monitoring System using a Hybrid 1D-CNN–BiLSTM Model with Attention Mechanism
[IEEE] 2026-8-14 | A Hierarchical Deep Reinforcement Learning Framework for Dynamic Database Load Balancing in Power Grid Data Centers
[IEEE] 2026-8-14 | AI-Driven Personalized Career Roadmap and Progress Tracking System using Machine Learning and Learning Analytics
[IEEE] 2026-8-14 | Virtual Storage-Based Frequency Response Modeling for Heterogeneous Distribution Energy Resources of Integrated Energy System in Multiple Frequency Regulation
[IEEE] 2026-8-14 | Multi-Seed Reliability and Trajectory Analysis of Direction-Alignment Backdoor Defenses in Non-IID Federated Learning
[IEEE] 2026-8-14 | High-Gain Compact Dual-Band (28/38 GHz) mmWave MIMO Antenna for 5G: Design and Analysis
[IEEE] 2026-8-14 | Hybrid CNN–BiLSTM–Attention Framework for Real-Time Arrhythmia Classification using Continuous ECG Monitoring
[IEEE] 2026-8-14 | Shifted Feasible Set Robust Least Squares for TDOA Localization Under NLOS Conditions
[IEEE] 2026-8-14 | IoT-based Waste Bin Monitoring System using the Message Queuing Telemetry Transport Method
[IEEE] 2026-8-14 | Conversational AI for Secure Personal Problem Disclosure and Secure Decision Making
[IEEE] 2026-8-14 | Quantum-Secure Data Pseudonymization Framework with QKD-based Key Management and ML-Driven Re-Identification Risk Analysis
[IEEE] 2026-8-14 | Energy Efficient CNN Accelerator using Statistical Byte-Level Decomposition and Hybrid Kernel Architecture
[IEEE] 2026-8-14 | Blockchain-based Notarization System: A Decentralized Approach to Document Authentication using Smart Contracts and Public Key Infrastructure
[IEEE] 2026-8-14 | Comparative Evaluation of Machine Learning Algorithms for Water Use Efficiency Classification in Ecological Systems
[IEEE] 2026-8-14 | IoT-Enabled Smart Remote for Intelligent Air Conditioner with Adaptive Energy Management
[IEEE] 2026-8-14 | Team-Driven Architecture Evaluation with LASR
[IEEE] 2026-8-14 | Real-Time Crop Disease Detection using Lightweight Vision Transformers (ViTs) on Drones
[IEEE] 2026-8-14 | Applied Principal Component Analysis for Reducing Dimensionality in Partition-based Clustering of Gas-Turbine Operating Data
[IEEE] 2026-8-14 | Radar HRRP Target Recognition Method Based on Residual Convolutional Networks
[IEEE] 2026-8-14 | Park Track: Computer Vision-based Smart Parking Management System with Real-Time Monitoring using YOLOv8 for Object Detection
[IEEE] 2026-8-14 | Prescribed-Time Adaptive Control for Stand-Alone Three-Phase Inverters with Current Constraints
[IEEE] 2026-8-14 | Icsa 2026 Working Sessions
[IEEE] 2026-8-14 | An Attention-based Transformer Encoder for Efficient Intrusion Detection in High-Volume Network Traffic
[IEEE] 2026-8-14 | Critical Review of Improved Artificial Intelligence- Based State of Health Evaluation and Safety Status Detection for Multiple Types of Large-Scale Energy Storage Systems
[IEEE] 2026-8-14 | Adaptive Vision Language Prompt Optimization for Explainable Plant Disease Diagnosis
[IEEE] 2026-8-14 | A Secure Mobile Financial Authentication Framework using Multi-Factor Hashing and Encrypted OTP Validation
[IEEE] 2026-8-14 | Hybrid AI Framework for Multi-Omics-based Kidney Tumor Subtype Classification and Precision Oncology
[IEEE] 2026-8-14 | Entanglement as a Structural Prior: Comparative Analysis of Separable and Entangled Quantum Physics-Informed Neural Networks for Coupled Power System Dynamics
[IEEE] 2026-8-14 | Design of High-Speed Permanent Magnet Synchronous Motor for Molecular Pump Applications
[IEEE] 2026-8-14 | HDLGNet: Heterogeneous Dual-Stream Layer-wise Gated Fusion Network for Automatic Modulation Classification
[IEEE] 2026-8-14 | Deep Learning for Hybrid Graph Isomorphism and Edge-Gated Attention for Alzheimer’s Diagnosis in Multi-Class Classification
[IEEE] 2026-8-14 | A Scalable LLM-as-Judge Framework for Automated Evaluation of Generative AI Systems with Domain-Adaptive Calibration
[IEEE] 2026-8-14 | Metasurface-Based Wide-Band High-Efficiency Blazed Grating by 3D Topology Optimization
