[2026-08-11 22:41:13] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-10
正在获取论文...
[arXiv] 2026-08-10 | Carnot: Interpretable, Interactive, and Optimized Execution of Deep Research Queries
[arXiv] 2026-08-10 | Symphony: Simple Phase Control for Wave Energy Systems
[arXiv] 2026-08-10 | STAIR: Effective Incident Response Using an End-to-End Agentic Planning Framework
[arXiv] 2026-08-10 | One Adapter Pair per Model: A Universal Activation Interface for Language Models
[arXiv] 2026-08-10 | A Height-Constrained 2-Point Minimal Solver for Pose Estimation from Active LED Markers with Event Cameras
[arXiv] 2026-08-10 | Compound beams for direct experimental comparison of quantum operations
[arXiv] 2026-08-10 | Learning Preference Adaptation for Large Language Model Personalization via Verbal Reinforcement Learning
[arXiv] 2026-08-10 | Genuinely Unextendible Product Bases from Maximum Distance Separable Codes
[arXiv] 2026-08-10 | $\tilde{\text{O}}$ptimal Distributed Maximum Flow Approximation in Undirected Planar Graphs
[arXiv] 2026-08-10 | GeoRoute: Geometry-Aware Hybrid Inference for Traffic Future-Frame Prediction
[arXiv] 2026-08-10 | Relative Variability Estimation for the Power Lindley Model with Progressive Type-I Interval Censored Data
[arXiv] 2026-08-10 | Capability Is Not Propensity: Measuring Pressure-Robust Cooperative Behavior in Civic LLM Agents
[arXiv] 2026-08-10 | Graph-Guided Safe Diffuser: Topological Graph Guidance for Safe Diffusion Planning
[arXiv] 2026-08-10 | Hierarchical rank-evolving representation for physics-informed neural networks
[arXiv] 2026-08-10 | From Prompt to Harness: Coderlet from Scratch
[arXiv] 2026-08-10 | An accelerator-based source of high-intensity quantum-entangled annihilation gamma photons
[arXiv] 2026-08-10 | Sekai2: From World Exploration to Interactive World Modeling
[arXiv] 2026-08-10 | Plancherel and Poisson summation formulae for a family of affine $Ψ$-bundles
[arXiv] 2026-08-10 | The Environmental Dependence of Star Cluster Demographics
[arXiv] 2026-08-10 | ZetaGPT: A Reference Implementation of Positional--Encoding--Free State--Space--Attention Language Models
[arXiv] 2026-08-10 | Neutron radii of Mg isotopes and semiphenomenological treatment for neutron distributions
[arXiv] 2026-08-10 | Ensemble-level loopy message passing with generalized-edge closure for percolation
[arXiv] 2026-08-10 | Intelligent Wiretap Code Design: Exploiting Wireless Endogenous Security via Information Theory and Deep Learning Integration
[arXiv] 2026-08-10 | Observational constraints on fractional holographic dark energy in the light of DESI DR2
[arXiv] 2026-08-10 | Scaling laws of Stablecoin Transactions: Evidence from USDT and USDC on the Ethereum blockchain
[arXiv] 2026-08-10 | Foundational values for foundation models
[arXiv] 2026-08-10 | FeedbackTrack: Visual-Cortex-Inspired Cross-Frame Feedback for Transformer Tracking
[arXiv] 2026-08-10 | Beyond Binary: Continuous State Optimization with Graph-Structured Objectives
[arXiv] 2026-08-10 | leaspy: LEArning Spatiotemporal Patterns in PYthon
[arXiv] 2026-08-10 | How Accurately Can the Energy Use of Spark Applications Be Estimated Based on Resource Utilisation?
[arXiv] 2026-08-10 | Universal or Language-Family-Specific Script Unification for Cross-Lingual Transfer? A Case Study on Turkic Languages
[arXiv] 2026-08-10 | The Sharp Upper Bounds for the Median Eigenvalues of Graphs
[arXiv] 2026-08-10 | Binary code rate bounds via classical--quantum channels
[arXiv] 2026-08-10 | A high-performance quantum pulse gate in thin-film lithium niobate
[arXiv] 2026-08-10 | Beyond Global Editing: Per-Instance Disentangled Subspaces for Training-Free Hallucination Mitigation in LVLMs
[arXiv] 2026-08-10 | DH-VLM: Dual-Horizon Cooperative Latent Reasoning for Autonomous Driving
[arXiv] 2026-08-10 | MaxModShift: Model Privacy via Designed Shifts
[arXiv] 2026-08-10 | CoRE: Consensus Rewards via Equilibrium for Test-Time Reinforcement Learning
[arXiv] 2026-08-10 | Degraded Infrared Small Object Detection via Degradation-Adapted Physics-Guided Restoration
[arXiv] 2026-08-10 | Correlated parity violation in gravity and electromagnetism from five-dimensional spacetime
[arXiv] 2026-08-10 | CADEngBench: It Looks Like CAD, but Does It Work? Evaluating Parametric Design, Assembly Reasoning, and Physics Simulation
[arXiv] 2026-08-10 | Detector Dependence of Inspiral Christodoulou Gravitational Wave Memory in Binary Black Hole Systems
[arXiv] 2026-08-10 | Graphing the Everyday: A Neurosymbolic Approach to Eliciting Routines for Just-In-Time Adaptive Interventions
[arXiv] 2026-08-10 | Is the ACL Responsible NLP Checklist a Box-Ticking Exercise? A Large-Scale Analysis of EMNLP 2025
[arXiv] 2026-08-10 | SoftmaxGRPO: Learning to Reason using Softmax Advantage Group Estimation
[arXiv] 2026-08-10 | Distributed Team Orchestration via Supervisor Networks: Convergence, Optimality, and Resilience
[arXiv] 2026-08-10 | Annihilator Digraphs and Extended Zero-Divisor Digraphs of Semigroups and Rings
