[2026-03-28 22:30:08] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-27
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202603270000+TO+202603272359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[IEEE] 2026-3-27 | Doeblin Curves
[IEEE] 2026-3-27 | Design and Integration of a Compact Mobile Outdoor Soil Sampling Agricultural Robot
[IEEE] 2026-3-27 | Copyright Page
[IEEE] 2026-3-27 | ICCE 2026 Contributor Page
[IEEE] 2026-3-27 | MoEWTNet: Mixture-of-Experts Wavelet Transform Network for Robust SAR Detection of Small Vessels
[IEEE] 2026-3-27 | Design of a Bio-Inspired Adaptive Central Pattern Generator Control for Pneumatic Muscle Antagonistic Joint
[IEEE] 2026-3-27 | A multi-domain spatiotemporal deep convolutional autoencoder for health indicator construction in rotating machinery
[ACM] 2026-3-27 | Invited: Electromigration Avoidance Strategies in Infineon
[IEEE] 2026-3-27 | Research on Intelligent Connected Vehicle Safety Technology Based on Fuzzy Testing
[IEEE] 2026-3-27 | Comparative Analysis of Attention Architectures for Multimodal AI-Proctoring
[IEEE] 2026-3-27 | Stacking Ensemble-Based Framework for Intrusion Detection in Internet-of-Energy (IoE) Systems
[IEEE] 2026-3-27 | Digital Twin-Enabled Modeling and Operational Optimization for Power-Electronics-Rich Distribution Networks
[IEEE] 2026-3-27 | Enhanced Diabetes Prediction Using Deep Learning Framework: Enhanced Diabetes Classification with CNN and Bidirectional LSTM Hybrid Approach
[IEEE] 2026-3-27 | Comparative Analysis of Hybrid Deep Learning Models for Deepfake Detection
[IEEE] 2026-3-27 | Sustainable Conversion Process of Eggshell Waste Into Piezoelectric Nanocomposite for Windmill-based Energy Harvesting Systems
[IEEE] 2026-3-27 | Hybrid Genetic Algorithm with Particle Swarm Optimization in the Fields of Artificial Intelligence and Data Sciences
[IEEE] 2026-3-27 | Smart Parking Lot Navigation: A Heuristic A* Search Approach for Design of Entry and Exit Algorithms
[IEEE] 2026-3-27 | Delayed Ai Access: Mitigating the Homogenising Effects of Generative Ai in Collaborative Problemsolving
[IEEE] 2026-3-27 | Evaluating Augmentation Strategies for Large Language Models: A Comparative Study of RAG, CAG, and KAG
[IEEE] 2026-3-27 | Advanced Fire and Smoke Detection System Using Enhanced YOLOv12 Architecture
[IEEE] 2026-3-27 | Optimal Scheduling of Virtual Power Plants Considering Green Certificate-Carbon Interaction Mechanisms and Electricity-to-Gas Synergy
[IEEE] 2026-3-27 | A Hybrid Spatiotemporal 3D Phase Unwrapping Method for Dynamic DSPI
[IEEE] 2026-3-27 | Edge-Driven Semantic Fusion for Real-Time Image Captioning in IoT Environments
[IEEE] 2026-3-27 | AgriOneAI: An Integrated AI-Powered Agricultural Advisory and Market Linkage Platform for Sustainable Farming
[IEEE] 2026-3-27 | Model Construction for the Application of Machine Vision in Intangible Cultural Heritage Image Recognition
[IEEE] 2026-3-27 | Finite-Element Analysis of Raindrop-Induced Electric-Field Distortion on AC Conductors and Suppression by Twin-Bundle Configuration
[IEEE] 2026-3-27 | Hardware-Trojan Detection Using GraphGPS
[IEEE] 2026-3-27 | Construction Garbage Classification Detection Using an Enhanced YOLOv12 Framework
[IEEE] 2026-3-27 | Deep Neural Network with A* Based on Floyd Search for Quadrupedal Robot Navigation
[IEEE] 2026-3-27 | Research on Online Monitoring System for Distribution Network Equipment Based on Differentiated Image Semantic Segmentation and Encoding
[IEEE] 2026-3-27 | Evolution of the Model: Optimizing League of Legends Win Rate Prediction Neural Networks through Symmetry Feature Selection
[IEEE] 2026-3-27 | An Ethical AI Framework for Identifying, Auditing and Mitigating Bias in AI Models
[IEEE] 2026-3-27 | Repeatability in Medical Microwave Imaging: Mapping Current Approaches
[IEEE] 2026-3-27 | Magnetostrictive Vibration Analysis of a 500 kV Transformer Core via Coupled Electromagnetic-Structural Simulation
[IEEE] 2026-3-27 | Broadband Quarter-Wavelength Impedance Matching for Microwave Bone Health Monitoring Applications
[IEEE] 2026-3-27 | Research on Lightweight Electricity Abnormal Detection Model for Low Carbon Parks and Its Collaborative Optimization for Energy Storage Scheduling
[IEEE] 2026-3-27 | Optimization of Voltage Windows for Aqueous Zn– MnO
                    <sub>2</sub>
                    Batteries to Suppress Mn
                    <sup>2+</sup>
                    Dissolution
[IEEE] 2026-3-27 | A Mathematical and Systematic Design Approach for Two-Stage CMOS Op-Amp with SCL PDK
[IEEE] 2026-3-27 | Research on Decision Logic Reasoning Technology in the Power Sector Based on Chain-Of-Thought
[IEEE] 2026-3-27 | Automatic Dusk Flipper Machine (ADFM): A Mechatronic Solution for Enhancing Poultry Farm Health and Efficiency
[IEEE] 2026-3-27 | Reliability Analysis of AI-Enhanced Multimodal Assistive Systems for in-Home Elderly Care
[IEEE] 2026-3-27 | Alternating Optimization of Power, Beamforming, and Phase Shift for Maximizing Weighted Sum Rate in UAV-RIS Assisted NOMA Systems
[IEEE] 2026-3-27 | EEG-Based Epileptic Seizure Prediction Using Attention-Based Temporal Convolutional Recurrent Neural Networks for Cross-Patient Generalization
[IEEE] 2026-3-27 | OpenOCD-Compliant Radiation-Hardened JTAG Interface for Optically Reconfigurable Gate Array VLSIs
[IEEE] 2026-3-27 | Application of Transformer Algorithm in Prediction Model
[IEEE] 2026-3-27 | Computational Framework for Complex Time-Series Trend Prediction: Multi-Model Fusion with Random Forest and Monte Carlo Simulation
[IEEE] 2026-3-27 | ICMWIA 2026 Authors Index
[IEEE] 2026-3-27 | Fluid Antennas: Pioneering a New Era in Next-Generation Wireless Communications
[IEEE] 2026-3-27 | Continual Reinforcement Learning Framework for Scalable Collision Avoidance and Mitigation System With Packing Strategy
[IEEE] 2026-3-27 | Impact of Sensor Placement and Gait Dynamics on Off-Body MBAN Channel Characteristics: A Comprehensive Performance Evaluation of BER and Data Throughput at 2.36-2.39 GHz
