[2026-03-05 09:30:38] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-04
正在获取论文...
[arXiv] 2026-03-04 | Strong Approximation for the Character Variety of the Four-Times Punctured Sphere
[arXiv] 2026-03-04 | EgoPoseFormer v2: Accurate Egocentric Human Motion Estimation for AR/VR
[arXiv] 2026-03-04 | A Digital Twin of the FPGA Digital Signal Processing Chain for MKIDs Readout: Root-Cause Analysis and Mitigation of Spurs
[arXiv] 2026-03-04 | Doubly Robust Estimation of Treatment Effects in Staggered Difference-in-Differences with Time-Varying Covariates
[arXiv] 2026-03-04 | Limiting empirical spectral measure of the normalized Laplacian in preferential attachment graphs
[arXiv] 2026-03-04 | (Quantum) reference frames, relational observables, gauge reduction and physical interpretation
[arXiv] 2026-03-04 | Tuning Just Enough: Lightweight Backdoor Attacks on Multi-Encoder Diffusion Models
[arXiv] 2026-03-04 | Fermi-Dirac thermal measurements: A framework for quantum hypothesis testing and semidefinite optimization
[arXiv] 2026-03-04 | Long-Term Visual Localization in Dynamic Benthic Environments: A Dataset, Footprint-Based Ground Truth, and Visual Place Recognition Benchmark
[arXiv] 2026-03-04 | Low-Altitude Agentic Networks for Optical Wireless Communication and Sensing: An Oceanic Scenario
[arXiv] 2026-03-04 | OPTIMus - a survey of massive star-forming regions at OPTical, Infrared, and Millimeter wavelengths
[arXiv] 2026-03-04 | Force-Aware Residual DAgger via Trajectory Editing for Precision Insertion with Impedance Control
[arXiv] 2026-03-04 | Second-order supporting quadric method for designing freeform refracting surfaces generating prescribed irradiance distributions
[arXiv] 2026-03-04 | Who Judges the Judge? Evaluating LLM-as-a-Judge for French Medical open-ended QA
[arXiv] 2026-03-04 | Self-adapting Robotic Agents through Online Continual Reinforcement Learning with World Model Feedback
[arXiv] 2026-03-04 | Performance Optimization in Stream Processing Systems: Experiment-Driven Configuration Tuning for Kafka Streams
[arXiv] 2026-03-04 | Weak Lensing by Photometric Density Ridges
[arXiv] 2026-03-04 | Probing pure spin-rotation quantum geometry in persistent spin textures via nonlinear transport
[arXiv] 2026-03-04 | Rethinking the Efficiency and Effectiveness of Reinforcement Learning for Radiology Report Generation
[arXiv] 2026-03-04 | On the Computational Content of Moduli of Regularity and their Logical Strength
[arXiv] 2026-03-04 | Non-Derivability Results in Polymorphic Dependent Type Theory
[arXiv] 2026-03-04 | STEM Faculty Perspectives on Generative AI in Higher Education
[arXiv] 2026-03-04 | Spectrally Corrected Polynomial Approximation for Quantum Singular Value Transformation
[arXiv] 2026-03-04 | Bandwidth Selection for Spatial HAC Standard Errors
[arXiv] 2026-03-04 | Global Structure of Accretion Flows in Sgr A*
[arXiv] 2026-03-04 | SORT: A Systematically Optimized Ranking Transformer for Industrial-scale Recommenders
[arXiv] 2026-03-04 | Bayesian structured additive quantile regression for inflated bounded data
[arXiv] 2026-03-04 | Dielectric Barrier Corona Discharge Anomaly by Ionic Wind under Unipolar Voltage Excitation
[arXiv] 2026-03-04 | GeoSeg: Training-Free Reasoning-Driven Segmentation in Remote Sensing Imagery
[arXiv] 2026-03-04 | BLOCK: An Open-Source Bi-Stage MLLM Character-to-Skin Pipeline for Minecraft
[arXiv] 2026-03-04 | ProFound: A moderate-sized vision foundation model for multi-task prostate imaging
[arXiv] 2026-03-04 | Distributed vs. Centralized Precoding in Cell-Free Systems: Impact of Realistic Per-AP Power Limits
[arXiv] 2026-03-04 | Selecting Offline Reinforcement Learning Algorithms for Stochastic Network Control
[arXiv] 2026-03-04 | Demonstration of robust chiral edge transport in Chern insulator MnBi2Te4 devices with engineered geometric defects
[arXiv] 2026-03-04 | Local observers in stationary axisymmetric dust spacetimes
[arXiv] 2026-03-04 | Hierarchical Inference and Closure Learning via Adaptive Surrogates for ODEs and PDEs
