[2026-02-20 09:29:16] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-19
正在获取论文...
[arXiv] 2026-02-19 | BadCLIP++: Stealthy and Persistent Backdoors in Multimodal Contrastive Learning
[arXiv] 2026-02-19 | Non-hyperelliptic modular curves of genus 3
[arXiv] 2026-02-19 | Stochastic tensor contraction for quantum chemistry
[arXiv] 2026-02-19 | Cryogenic piezoelectric effects in thin film strontium titanate devices
[arXiv] 2026-02-19 | Bonsai: A Framework for Convolutional Neural Network Acceleration Using Criterion-Based Pruning
[arXiv] 2026-02-19 | HybridPrompt: Bridging Generative Priors and Traditional Codecs for Mobile Streaming
[arXiv] 2026-02-19 | Supersymmetric quantum mechanics from wrapped D4-branes
[arXiv] 2026-02-19 | Benchmarking the Effects of Object Pose Estimation and Reconstruction on Robotic Grasping Success
[arXiv] 2026-02-19 | AgentConductor: Topology Evolution for Multi-Agent Competition-Level Code Generation
[arXiv] 2026-02-19 | FLoRG: Federated Fine-tuning with Low-rank Gram Matrices and Procrustes Alignment
[arXiv] 2026-02-19 | What to Cut? Predicting Unnecessary Methods in Agentic Code Generation
[arXiv] 2026-02-19 | MeGU: Machine-Guided Unlearning with Target Feature Disentanglement
[arXiv] 2026-02-19 | Fluid viscoelasticity controls acoustic streaming via shear waves
[arXiv] 2026-02-19 | Safe Continuous-time Multi-Agent Reinforcement Learning via Epigraph Form
[arXiv] 2026-02-19 | Predictive Batch Scheduling: Accelerating Language Model Training Through Loss-Aware Sample Prioritization
[arXiv] 2026-02-19 | Sign Lock-In: Randomly Initialized Weight Signs Persist and Bottleneck Sub-Bit Model Compression
[arXiv] 2026-02-19 | IntentCUA: Learning Intent-level Representations for Skill Abstraction and Multi-Agent Planning in Computer-Use Agents
[arXiv] 2026-02-19 | Amber-Image: Efficient Compression of Large-Scale Diffusion Transformers
[arXiv] 2026-02-19 | Quantum cascade laser roadmap
[arXiv] 2026-02-19 | Reframing Population-Adjusted Indirect Comparisons as a Transportability Problem: An Estimand-Based Perspective and Implications for Health Technology Assessment
[arXiv] 2026-02-19 | Phase-Aware Mixture of Experts for Agentic Reinforcement Learning
[arXiv] 2026-02-19 | LiveGraph: Active-Structure Neural Re-ranking for Exercise Recommendation
[arXiv] 2026-02-19 | Transforming Behavioral Neuroscience Discovery with In-Context Learning and AI-Enhanced Tensor Methods
[arXiv] 2026-02-19 | Environment-Aware Network-Level Design of Generalized Pinching-Antenna Systems--Part I: Traffic-Aware Case
[arXiv] 2026-02-19 | ReIn: Conversational Error Recovery with Reasoning Inception
[arXiv] 2026-02-19 | Beyond Average-Channel-Based Rate Approximations: UAV Trajectory and Scheduling Optimization With Expected Rate Consideration
[arXiv] 2026-02-19 | Retrieving the Baby: Reichenbach's Principle, Bell Locality, and Selection Bias
[arXiv] 2026-02-19 | Mason: Type- and Name-Guided Program Synthesis
[arXiv] 2026-02-19 | Discovering Universal Activation Directions for PII Leakage in Language Models
[arXiv] 2026-02-19 | Characterizing the Predictive Impact of Modalities with Supervised Latent-Variable Modeling
[arXiv] 2026-02-19 | Ground effect on Undulation and pumping near surfaces
[arXiv] 2026-02-19 | Signum-Gordon spectral mass from nonlinear Fourier mode mixing
[arXiv] 2026-02-19 | Temperature and Respiratory Emergency Department Visits: A Mediation Analysis with Ambient Ozone Exposure
[arXiv] 2026-02-19 | DAVE: A Policy-Enforcing LLM Spokesperson for Secure Multi-Document Data Sharing
[arXiv] 2026-02-19 | Bluetooth Phased-array Aided Inertial Navigation Using Factor Graphs: Experimental Verification
[arXiv] 2026-02-19 | Possible existence of super Chandrasekhar mass limit in the matter-curvature coupled gravity
[arXiv] 2026-02-19 | Geometric and topological constraints on oral seal formation during infant breastfeeding
[arXiv] 2026-02-19 | Visual Model Checking: Graph-Based Inference of Visual Routines for Image Retrieval
[arXiv] 2026-02-19 | Robust Model Predictive Control for Linear Systems with Interval Matrix Model Uncertainty
[arXiv] 2026-02-19 | Anisotropic Maximal $L^p$-regularity Estimates for a Hypoelliptic Operator
[arXiv] 2026-02-19 | MDP Planning as Policy Inference
[arXiv] 2026-02-19 | Asymptotic analysis for heterogeneous elastic energies with material voids
[arXiv] 2026-02-19 | Tree crop mapping of South America reveals links to deforestation and conservation
[arXiv] 2026-02-19 | Fukaya categories of orbifold surfaces in representation theory
[arXiv] 2026-02-19 | 2Mamba2Furious: Linear in Complexity, Competitive in Accuracy
[arXiv] 2026-02-19 | Herd Behavior in Decentralized Balancing Models: A Case Study in Belgium
[arXiv] 2026-02-19 | Shortcut learning in geometric knot classification
[arXiv] 2026-02-19 | Emergence of a symmetry-broken Chern insulator near a moiré Kondo breakdown
[arXiv] 2026-02-19 | Stochastic homogenization of diffusions in turbulence driven by non-local symmetric Lévy operators
[arXiv] 2026-02-19 | Towards a theory of symmetric extensions
[arXiv] 2026-02-19 | Near-perfect quantum teleportation between continuous and discrete encodings
[arXiv] 2026-02-19 | Limiting Behavior of Degree-Degree Metrics under Local Convergence in Probability
[arXiv] 2026-02-19 | Representation Collapse in Machine Translation Through the Lens of Angular Dispersion
[arXiv] 2026-02-19 | Derivation of variational membrane models in the context of anisotropic nonlocal hyperelasticity
[arXiv] 2026-02-19 | WFST Supernovae in the First Year: III. Systematical Study of the Photometric Behavior of Early-phase Core-collapse Supernovae
[arXiv] 2026-02-19 | Federated Latent Space Alignment for Multi-user Semantic Communications
[arXiv] 2026-02-19 | WFST Supernovae in the First Year: I. Statistical Study of 16 Early-phase Type Ia Supernovae from the Pilot Survey
[arXiv] 2026-02-19 | On the Reliability of User-Centric Evaluation of Conversational Recommender Systems
[arXiv] 2026-02-19 | Quantifying and Mitigating Socially Desirable Responding in LLMs: A Desirability-Matched Graded Forced-Choice Psychometric Study
[arXiv] 2026-02-19 | EA-Swin: An Embedding-Agnostic Swin Transformer for AI-Generated Video Detection
[arXiv] 2026-02-19 | Failure Detection for Pinching-Antenna Systems
[arXiv] 2026-02-19 | Characterization of tangent quasicircles and quasiannuli
[arXiv] 2026-02-19 | Spectrum, Tjurina spectrum, and Hertling conjecture for singularities of modality $\leq 3$
[arXiv] 2026-02-19 | Decoding the Human Factor: High Fidelity Behavioral Prediction for Strategic Foresight
[arXiv] 2026-02-19 | Continual learning and refinement of causal models through dynamic predicate invention
[arXiv] 2026-02-19 | Three-body study of the $T_{cc}(3875)^+$ from lattice QCD
[arXiv] 2026-02-19 | The Case for HTML First Web Development
[arXiv] 2026-02-19 | Strangeness is the key: from $\bar{K}N$ to $\bar{D}_s D K$
[arXiv] 2026-02-19 | Smoothing on $L^1$ for ground state transformed semigroups in non-local settings
[arXiv] 2026-02-19 | Anisotropic marginal Fermi liquid for Coulomb interacting generalized Weyl fermions
[arXiv] 2026-02-19 | OpenEarthAgent: A Unified Framework for Tool-Augmented Geospatial Agents
[arXiv] 2026-02-19 | A Study of Entanglement and Ansatz Expressivity for the Transverse-Field Ising Model using Variational Quantum Eigensolver
[arXiv] 2026-02-19 | When Vision Overrides Language: Evaluating and Mitigating Counterfactual Failures in VLAs
[arXiv] 2026-02-19 | What Language is This? Ask Your Tokenizer
[arXiv] 2026-02-19 | Mine and Refine: Optimizing Graded Relevance in E-commerce Search Retrieval
[arXiv] 2026-02-19 | The Effectiveness of a Virtual Reality-Based Training Program for Improving Body Awareness in Children with Attention Deficit and Hyperactivity Disorder
[arXiv] 2026-02-19 | Revisiting the Higgs-mass calculation in the scale-invariant THDM
[arXiv] 2026-02-19 | A.R.I.S.: Automated Recycling Identification System for E-Waste Classification Using Deep Learning
[arXiv] 2026-02-19 | On Sets of Monochromatic Objects in Bicolored Point Sets
[arXiv] 2026-02-19 | First-principles Newns-Anderson Hamiltonian Construction for Chemisorbed Hydrogen at Metal Surfaces
[arXiv] 2026-02-19 | Reverso: Efficient Time Series Foundation Models for Zero-shot Forecasting
[arXiv] 2026-02-19 | The eigenvalues of i.i.d. matrices are hyperuniform
[arXiv] 2026-02-19 | Towards direct $L^2$-bounds for maximal partial sums of Walsh--Fourier series: The case of dyadic partial sums
[arXiv] 2026-02-19 | Global Self-Attention with Exact Fourier Propagation for Phase-Only Far-Field Holography
[arXiv] 2026-02-19 | Unmasking the Factual-Conceptual Gap in Persian Language Models
[arXiv] 2026-02-19 | EDRP: Enhanced Dynamic Relay Point Protocol for Data Dissemination in Multi-hop Wireless IoT Networks
[arXiv] 2026-02-19 | A Shadow Enhanced Greedy Quantum Eigensolver
[arXiv] 2026-02-19 | Exploring Novel Data Storage Approaches for Large-Scale Numerical Weather Prediction
[arXiv] 2026-02-19 | Adapting Actively on the Fly: Relevance-Guided Online Meta-Learning with Latent Concepts for Geospatial Discovery
