[2025-12-23 09:14:39] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-22
正在获取论文...
[arXiv] 2025-12-22 | Fourier dimension of imaginary Gaussian multiplicative chaos
[arXiv] 2025-12-22 | A survey on the growth rate inequality for sphere endomorphisms
[arXiv] 2025-12-22 | On the new physics in Bhabha luminometry at future $e^+e^-$ colliders
[arXiv] 2025-12-22 | Generative Krylov Subspace Representations for Scalable Quantum Eigensolvers
[arXiv] 2025-12-22 | Three Tiers and Thresholds: Incentives in Private Market Investing
[arXiv] 2025-12-22 | Real2Edit2Real: Generating Robotic Demonstrations via a 3D Control Interface
[arXiv] 2025-12-22 | Kunnafonidilaw ka Cadeau: an ASR dataset of present-day Bambara
[arXiv] 2025-12-22 | A Reduced Basis Decomposition Approach to Efficient Data Collection in Pairwise Comparison Studies
[arXiv] 2025-12-22 | The Neumann Green function of the annulus
[arXiv] 2025-12-22 | EchoTrail-GUI: Building Actionable Memory for GUI Agents via Critic-Guided Self-Exploration
[arXiv] 2025-12-22 | A survey of edge-spectral-Turán type problems in spectral graph theory: Results, conjectures and open problems
[arXiv] 2025-12-22 | DSTED: Decoupling Temporal Stabilization and Discriminative Enhancement for Surgical Workflow Recognition
[arXiv] 2025-12-22 | Machine learning for the early classification of broad-lined Ic supernovae
[arXiv] 2025-12-22 | Nevanlinna-Pick norms and local theory of commutative Banach algebras
[arXiv] 2025-12-22 | HATS: High-Accuracy Triple-Set Watermarking for Large Language Models
[arXiv] 2025-12-22 | From $\mathrm{d} \! \log$ to $\mathrm{d} \mathcal{E}$: Canonical Elliptic Integrands and Modular Symbol Letters with Pure eMPLs
[arXiv] 2025-12-22 | Interpretable Hybrid Deep Q-Learning Framework for IoT-Based Food Spoilage Prediction with Synthetic Data Generation and Hardware Validation
[arXiv] 2025-12-22 | On the inclusion of the pion form factor in $e^+e^- \to π^+π^-$ beyond leading order
[arXiv] 2025-12-22 | ReasonCD: A Multimodal Reasoning Large Model for Implicit Change-of-Interest Semantic Mining
[arXiv] 2025-12-22 | OMP: One-step Meanflow Policy with Directional Alignment
[arXiv] 2025-12-22 | Lorentz Invariant Master Equation for Quantum Systems
[arXiv] 2025-12-22 | Parameters and Theta lifts
[arXiv] 2025-12-22 | Enhancing PLS of Indoor IRS-VLC Systems for Colluding and Non-Colluding Eavesdroppers
[arXiv] 2025-12-22 | DeltaMIL: Gated Memory Integration for Efficient and Discriminative Whole Slide Image Analysis
[arXiv] 2025-12-22 | Near-extremal hydrodynamics and the holographic product formula
[arXiv] 2025-12-22 | Simulations between Strongly Sublinear MPC and Node-Capacitated Clique
[arXiv] 2025-12-22 | Galaxy And Mass Assembly (GAMA): Deconstructing the galaxy stellar mass function by star formation and environment
[arXiv] 2025-12-22 | Time-Vertex Machine Learning for Optimal Sensor Placement in Temporal Graph Signals: Applications in Structural Health Monitoring
[arXiv] 2025-12-22 | Spinorial Heat Flow and Geometric Singularities on 3-Manifolds
[arXiv] 2025-12-22 | On the construction of Cauchy MDS matrices over Galois rings via nilpotent elements and Frobenius maps
[arXiv] 2025-12-22 | CienaLLM: Generative Climate-Impact Extraction from News Articles with Autoregressive LLMs
[arXiv] 2025-12-22 | Bridging Semantics and Geometry: A Decoupled LVLM-SAM Framework for Reasoning Segmentation in Remote Sensing
[arXiv] 2025-12-22 | $f_K/f_π$ in iso-symmetric QCD and the CKM matrix unitarity
[arXiv] 2025-12-22 | LOCO: A Low-Cost SNU-Self-Resilient Latch Using an Output-Split C-Element
[arXiv] 2025-12-22 | GShield: Mitigating Poisoning Attacks in Federated Learning
[arXiv] 2025-12-22 | On Lie-holomorphs of Leibniz algebras
[arXiv] 2025-12-22 | Zero-field deterministic all-optical writing and annihilation of nanometer-scale skyrmion bubbles
[arXiv] 2025-12-22 | Sensitivity of CTAO to axion-like particles from blazars: a machine learning approach
[arXiv] 2025-12-22 | Vision-Aided Relative State Estimation for Approach and Landing on a Moving Platform with Inertial Measurements
[arXiv] 2025-12-22 | Constraining the proton transverse partonic distribution through coherent diffractive $J/ψ$ production at HERA within a static Gaussian hot spot model
[arXiv] 2025-12-22 | Disentangling the hemispheres of Teegarden's Star b with LIFE
[arXiv] 2025-12-22 | Hierarchical and ultrametric barriers in the energy landscape of jammed granular matter
[arXiv] 2025-12-22 | The space-time-Grassmann measure of the Brakke flow
[arXiv] 2025-12-22 | Orbital Stability of Moons Around the TRAPPIST-1 Planets
[arXiv] 2025-12-22 | Global boundedness of weak solutions with finite energy to a general class of Dirichlet problems
[arXiv] 2025-12-22 | Phase-space entropy at acquisition reflects downstream learnability
[arXiv] 2025-12-22 | Graded embeddings, root generated subalgebras and $π$-systems for quasisimple Kac-Moody superalgebras
[arXiv] 2025-12-22 | From Pixels to Predicates Structuring urban perception with scene graphs
[arXiv] 2025-12-22 | How is remifentanil dosed without dedicated indicator?
[arXiv] 2025-12-22 | Multi-wavelength study of the pre-eruption dip in the recurrent nova T Coronae Borealis preceding imminent nova eruption
[arXiv] 2025-12-22 | Make an optimization problem multidisciplinary
[arXiv] 2025-12-22 | Semantically-Equivalent Transformations-Based Backdoor Attacks against Neural Code Models: Characterization and Mitigation
[arXiv] 2025-12-22 | HippMetric: A skeletal-representation-based framework for cross-sectional and longitudinal hippocampal substructural morphometry
[arXiv] 2025-12-22 | Physical interpretation of spherically symmetric perfect fluid solutions to Einstein's equations
[arXiv] 2025-12-22 | Magnetically confined charged particles: From steep density profiles to the breaking of the adiabatic invariant
[arXiv] 2025-12-22 | Existence of positive solutions for a class of almost critical problems on an annulus
[arXiv] 2025-12-22 | Evaluating MCC for Low-Frequency Cyberattack Detection in Imbalanced Intrusion Detection Data
[arXiv] 2025-12-22 | Mean-field optimal control with stochastic leaders
[arXiv] 2025-12-22 | On the Koopman-Based Generalization Bounds for Multi-Task Deep Learning
[arXiv] 2025-12-22 | Far- and near-field photon noise limits to the detectivity of nanometer-thick thermal detectors
[arXiv] 2025-12-22 | Illuminating the Dark Sector: Understanding Modified Gravity Signatures with Cross-Correlations of Gravitational Waves and Large-Scale Structure
[arXiv] 2025-12-22 | Operator-Based Generalization Bound for Deep Learning: Insights on Multi-Task Learning
[arXiv] 2025-12-22 | DESI DR2 Constraints on the $R_h=ct$ Universe: Model Viability and Comparison with $Λ$CDM
[arXiv] 2025-12-22 | Real-time phase control methods for cold-atom interferometry
[arXiv] 2025-12-22 | CycleChart: A Unified Consistency-Based Learning Framework for Bidirectional Chart Understanding and Generation
[arXiv] 2025-12-22 | A Characterization of Law-Invariant and Coherent Risk Measures through Optimal Transport
[arXiv] 2025-12-22 | University Rents Enabling Corporate Innovation: Mapping Academic Researcher Coding and Discursive Labour in the R Language Ecosystem
[arXiv] 2025-12-22 | Search for Light Neutral Scalar in the Georgi-Machacek Model with Forward Detectors at the LHC
[arXiv] 2025-12-22 | Variation of entropy in the Duffing system with the amplitude of the external force
[arXiv] 2025-12-22 | GW231123: A Case for Binary Microlensing in a Strong Lensing Field
[arXiv] 2025-12-22 | Generative Giants, Retrieval Weaklings: Why do Multimodal Large Language Models Fail at Multimodal Retrieval?
[arXiv] 2025-12-22 | The geometric Merkurjev-Panin Conjecture for the Cox category
[arXiv] 2025-12-22 | Trifocal Tensor and Relative Pose Estimation with Known Vertical Direction
[arXiv] 2025-12-22 | GaussianImage++: Boosted Image Representation and Compression with 2D Gaussian Splatting
[arXiv] 2025-12-22 | Polyhedra of Constant Gaussian Curvature
[arXiv] 2025-12-22 | BEVCooper: Accurate and Communication-Efficient Bird's-Eye-View Perception in Vehicular Networks
[arXiv] 2025-12-22 | Population-Evolve: a Parallel Sampling and Evolutionary Method for LLM Math Reasoning
[arXiv] 2025-12-22 | Upper-semicontinuity of uniform attractors for the non-autonomous viscoelastic Kirchhoff plate equation with memory
[arXiv] 2025-12-22 | Antichiral surface states and higher-order topological states based on a modified Haldane model
[arXiv] 2025-12-22 | Cyclotomic points on varieties and all rational $a^3b$-monotiles
[arXiv] 2025-12-22 | Exotic Branes and Symmetries of String Theory
[arXiv] 2025-12-22 | A Self-Consistent Hubble Expansion in f(T) Gravity model: Confrontation with Recent Observations
[arXiv] 2025-12-22 | Signature of inverse orbital Hall effect in silicon studied using time-resolved terahertz polarimetry
[arXiv] 2025-12-22 | Fraud Detection Through Large-Scale Graph Clustering with Heterogeneous Link Transformation
