[2026-08-17 22:23:35] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-16
正在获取论文...
[ACM] 2026-8-17 | Introduction to the Special Section on USENIX FAST 2025
[IEEE] 2026-8-17 | TerraGrow: a Stochastic Farming Simulation for Sustainable Agricultural Education
[IEEE] 2026-8-17 | Zero Trust Architecture
[IEEE] 2026-8-17 | Uncertainty-Aware Feature Selection for Vehicle-to-Grid Forecasting: Set-Membership Falsification Area as a Selection Criterion
[IEEE] 2026-8-17 | Enhancing YOLOv11 for Over-Dimension Truck Detection Using Complementary Attention Mechanisms
[IEEE] 2026-8-17 | DC Analysis of Al
                    <sub>x</sub>
                    In
                    <sub>y</sub>
                    Ga
                    <sub>1−x−y</sub>
                    N based DDR IMPATT diode for THz Applications
[IEEE] 2026-8-17 | A Comparative Experimental Study of Traditional, Semantic, and Deep Learning-Based Image Retrieval Techniques
[IEEE] 2026-8-17 | LAAS-UAV: A Lightweight Authentication and Authorization Scheme for UAV-Assisted IoT Framework
[IEEE] 2026-8-17 | Advanced Deep Learning Methods for Cardiovascular Disease Prediction Using Wearable Data: A Multi-Modal Fusion Approach
[IEEE] 2026-8-17 | Analysis of Vibrational Characteristics During Contact with Surfaces of Different Geometries Using Sensor-Embedded Dummy Finger
[IEEE] 2026-8-17 | Development of Intelligent Methods to Enhance VPN Security: Literature review
[IEEE] 2026-8-17 | Empowering Healthcare with LaBSE and GPT-4: A New Era in Medical Question Answering
[IEEE] 2026-8-17 | A Multimodal Emotion Recognition from EEG and EOG using ERP and Spectral Features
[IEEE] 2026-8-17 | Robust Actuator LOE Fault Estimation for Quadrotor UAVs Using SVSF and Adaptive Fault Update Law
[IEEE] 2026-8-17 | On-Chip Stacked Transformer in a Low-Noise Amplifier for Cryogenic Environments
[IEEE] 2026-8-17 | Data-Driven Behavioral Modeling of Mutual and Self-Inductance in Wireless Power Transfer Coils
[IEEE] 2026-8-17 | Real-Time EEG-Based Brain-IoT Interface Using Multi-Channel Motor Cortex Analysis and Ensemble SVM Classification
[IEEE] 2026-8-17 | XGBoost-Based Context-Aware Waiting Time Prediction from Incomplete Lifecycle Logs
[IEEE] 2026-8-17 | A Holonic Multi-Agent Approach for Thermal Comfort and Energy Efficiency in Smart Buildings
[IEEE] 2026-8-17 | AI-Powered Anomaly Detection in Public Procurement Using NLP and Structural Analysis of Kazakh Government Contracts
[IEEE] 2026-8-17 | Handwritten Answer Evaluation Using Optical Character Recognition and Deep Semantic Text Analysis
