[2026-03-25 22:37:12] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-24
正在获取论文...
[arXiv] 2026-03-24 | First Detection of the Glycine Isomer Glycolamide in Hot Molecular Core
[arXiv] 2026-03-24 | Pre-Patterned Superconducting Contacts for Clean Superconductor-Topological Material Interfaces Enabling Long-Range Josephson Coupling
[arXiv] 2026-03-24 | Agentic Verifier-in-the-Loop Solver Orchestration for Cell-Free Massive MIMO Downlink Power Control
[arXiv] 2026-03-24 | From Questions to Trust Reports: A LLM-IR Framework for the TREC 2025 DRAGUN Track
[arXiv] 2026-03-24 | Compressing Dynamic Fully Indexable Dictionaries in Word-RAM
[arXiv] 2026-03-24 | SMSP: A Plug-and-Play Strategy of Multi-Scale Perception for MLLMs to Perceive Visual Illusions
[arXiv] 2026-03-24 | Automatic Segmentation of 3D CT scans with SAM2 using a zero-shot approach
[arXiv] 2026-03-24 | Active Robotic Perception for Disease Detection and Mapping in Apple Trees
[arXiv] 2026-03-24 | Network Analysis of the Egyptian Reddit Community
[arXiv] 2026-03-24 | A numerical study on the coefficient of restitution of wet collisions
[arXiv] 2026-03-24 | Policy-based Tuning of Autoregressive Image Models with Instance- and Distribution-Level Rewards
[arXiv] 2026-03-24 | AirSimAG: A High-Fidelity Simulation Platform for Air-Ground Collaborative Robotics
[arXiv] 2026-03-24 | Good for the Planet, Bad for Me? Intended and Unintended Consequences of AI Energy Consumption Disclosure
[arXiv] 2026-03-24 | Can an LLM Detect Instances of Microservice Infrastructure Patterns?
[arXiv] 2026-03-24 | MLLM-HWSI: A Multimodal Large Language Model for Hierarchical Whole Slide Image Understanding
[arXiv] 2026-03-24 | Minibal: Balanced Game-Playing Without Opponent Modeling
[arXiv] 2026-03-24 | Prompt Amplification and Zero-Shot Late Fusion in Audio-Language Models for Speech Emotion Recognition
[arXiv] 2026-03-24 | Eigenvalue stability of Hermitian and normal matrices
[arXiv] 2026-03-24 | DBAutoDoc: Automated Discovery and Documentation of Undocumented Database Schemas via Statistical Analysis and Iterative LLM Refinement
[arXiv] 2026-03-24 | PCR: A Prefetch-Enhanced Cache Reuse System for Low-Latency RAG Serving
[arXiv] 2026-03-24 | Hyper-Kähler varieties: Lagrangian fibrations, atomic sheaves, and categories
[arXiv] 2026-03-24 | Heart Failure's First Shock and Nurse-Led Chronic Care
[arXiv] 2026-03-24 | On the equivalence of Brantner's and Chu--Haugseng's approaches to enriched $\infty$-operads
[arXiv] 2026-03-24 | Connection-topology--dependent energy transport and ergotropy in quantum battery networks with reciprocal and nonreciprocal couplings
[arXiv] 2026-03-24 | AgentRAE: Remote Action Execution through Notification-based Visual Backdoors against Screenshots-based Mobile GUI Agents
[arXiv] 2026-03-24 | Multi-User Multi-Key Image Steganography with Key Isolation
[arXiv] 2026-03-24 | Dynamical Evolution of Quantum Correlations and Decoherence in Coupled Oscillators Interacting with a Thermal Reservoir
[arXiv] 2026-03-24 | Backward Arcs in Hamilton Oriented Cycles and Paths in Directed Graphs with Independence Number Two
[arXiv] 2026-03-24 | VLA-IAP: Training-Free Visual Token Pruning via Interaction Alignment for Vision-Language-Action Models
[arXiv] 2026-03-24 | A Top-Down Scale Approach for Multiscale Geographically and Temporally Weighted Regression
[arXiv] 2026-03-24 | Beyond Hate: Differentiating Uncivil and Intolerant Speech in Multimodal Content Moderation
[arXiv] 2026-03-24 | Cosmic Ray Boosted Dark Matter in COSINUS: Modeling and Constraints
[arXiv] 2026-03-24 | Relativistic quantum mechanics of massive neutrinos in a rotating frame
[arXiv] 2026-03-24 | FCL-COD: Weakly Supervised Camouflaged Object Detection with Frequency-aware and Contrastive Learning
[arXiv] 2026-03-24 | Cooperation in Public Goods Games over Uniform Random Hypergraphs with Game Transitions
[arXiv] 2026-03-24 | Set-Valued Prediction for Large Language Models with Feasibility-Aware Coverage Guarantees
