[2026-05-06 22:53:38] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-05
正在获取论文...
[arXiv] 2026-05-05 | LIPPEN: A Lightweight In-Place Pointer Encryption Architecture for Pointer Integrity
[arXiv] 2026-05-05 | UnAC: Adaptive Visual Prompting with Abstraction and Stepwise Checking for Complex Multimodal Reasoning
[arXiv] 2026-05-05 | Integrating Feature Correlation in Differential Privacy with Applications in DP-ERM
[arXiv] 2026-05-05 | Some Taylor varieties with null Hessian
[arXiv] 2026-05-05 | Exact ReLU realization of tensor-product refinement iterates
[arXiv] 2026-05-05 | Lattice characterization of cyclic interval hypergraphic posets
[arXiv] 2026-05-05 | The Multiplicative Quasi-Instrumental Variable Model
[arXiv] 2026-05-05 | Computing Planar Convex Hulls with a Promise
[arXiv] 2026-05-05 | Bundles of Probability Schemes
[arXiv] 2026-05-05 | Quasimonophobic graphs and degree spectral sequences in discrete cubical homology
[arXiv] 2026-05-05 | Properties and implications of the four-loop non-singlet splitting functions in QCD
[arXiv] 2026-05-05 | Classical correlation functions at strong coupling from hexagonalization
[arXiv] 2026-05-05 | Raising the Ceiling: Better Empirical Fixation Densities for Saliency Benchmarking
[arXiv] 2026-05-05 | Deco: Extending Personal Physical Objects into Pervasive AI Companion through a Dual-Embodiment Framework
[arXiv] 2026-05-05 | DMGD: Train-Free Dataset Distillation with Semantic-Distribution Matching in Diffusion Models
[arXiv] 2026-05-05 | Bodyless Presence: Reconsidering the Minimal Self in Immersive Video
[arXiv] 2026-05-05 | Correct Is Not Enough: Training Reasoning Planners with Executor-Grounded Rewards
[arXiv] 2026-05-05 | Aspect-Aware Content-Based Recommendations for Mathematical Research Papers
[arXiv] 2026-05-05 | A Deeper Dive into the Irreversibility of PolyProtect: Making Protected Face Templates Harder to Invert
[arXiv] 2026-05-05 | Complex Equation Learner: Rational Symbolic Regression with Gradient Descent in Complex Domain
[arXiv] 2026-05-05 | Reply to Comment on "Controlling the Dynamical Evolution of Quantum Coherence and Quantum Correlations in $e^{+}e^{-} \to Λ\barΛ$ Processes at BESIII"
[arXiv] 2026-05-05 | Data-driven Initial Gap Identification of Piecewise-linear Systems using Sparse Regression and Universal Approximation Theorem
[arXiv] 2026-05-05 | Epsilon multiplicity, multiplicity=volume formula and analytic spread of family of ideals
[arXiv] 2026-05-05 | ConRAD: Conformal Risk-Aware Neural Databases
[arXiv] 2026-05-05 | Graph Convolutional Support Vector Regression for Robust Spatiotemporal Forecasting of Urban Air Pollution
[arXiv] 2026-05-05 | Honest Reporting in Scored Oversight: True-KL0 Property via the Prekopa Principle
[arXiv] 2026-05-05 | Training-Free Probabilistic Time-Series Forecasting with Conformal Seasonal Pools
[arXiv] 2026-05-05 | Empirical Bernstein Confidence Intervals for Kernel Smoothers: A Safe and Sharp Way to Exhaust Assumed Smoothness
[arXiv] 2026-05-05 | Attosecond-Stable Two-Dimensional Spectroscopy by a Sagnac-Based Modulating System and a sub-4-fs Continuum Source
[arXiv] 2026-05-05 | First-Order Transitions in Weak Ising Spin-Orbit-Coupled Superconductors
[arXiv] 2026-05-05 | Thermal activation rate of dilute axion stars close to the maximum mass
[arXiv] 2026-05-05 | Nora: Normalized Orthogonal Row Alignment for Scalable Matrix Optimizer
[arXiv] 2026-05-05 | The high K anomaly in ScAlN explained
[arXiv] 2026-05-05 | Effect of Adding Wave Diffractors Within Reverberation Chambers on the Frequency Spacing of Adjacent Resonant Modes
[arXiv] 2026-05-05 | A density-matrix derivation of the Hartree--Fock equations in a nonorthogonal atomic-orbital basis
[arXiv] 2026-05-05 | Before Forgetting, Learn to Remember: Revisiting Foundational Learning Failures in LVLM Unlearning Benchmarks
[arXiv] 2026-05-05 | Dark Matter Production from Bubble Collisions during a First-Order Phase Transition at the End of Inflation
[arXiv] 2026-05-05 | Improved estimation of positive powers of scale parameters of exponential distributions under a prior information
[arXiv] 2026-05-05 | Internet of Things Security: A Survey on Common Attacks
[arXiv] 2026-05-05 | Assessing the role of ITER ECE oblique view in resolving non-thermal emissions
[arXiv] 2026-05-05 | Ensemble Engineering to Overcome Destructive Cancellation in Quantum Measurements
[arXiv] 2026-05-05 | SAM-NER: Semantic Archetype Mediation for Zero-Shot Named Entity Recognition
[arXiv] 2026-05-05 | Doubly Robust Instrumented Difference-in-Differences
[arXiv] 2026-05-05 | Error Analysis of Time-Dependent Test Functions in the Semi-Lagrangian Discontinuous Finite Element Scheme Based on the Characteristic Galerkin Method
[arXiv] 2026-05-05 | Local estimation of transition rates of jump processes through discretization
[arXiv] 2026-05-05 | On Regular Quantum Commutative Algebras
[arXiv] 2026-05-05 | Real Image Denoising with Knowledge Distillation for High-Performance Mobile NPUs
[arXiv] 2026-05-05 | MEMTIER: Tiered Memory Architecture and Retrieval Bottleneck Analysis for Long-Running Autonomous AI Agents
[arXiv] 2026-05-05 | Beyond lead halide perovskites: visible light photovoltaics with phase engineered bismuth-based oxide double-perovskites, Bi2MCrO6 (M = Fe, Mn)
[arXiv] 2026-05-05 | Geographic Variation in Stack Overflow Code Quality: Evidence from a Cross-Regional Study of Coding Practices
[arXiv] 2026-05-05 | Stage Light is Sequence$^2$: Multi-Light Control via Imitation Learning
[arXiv] 2026-05-05 | Backtrackable Inprocessing
[arXiv] 2026-05-05 | The Detector Teaches Itself: Lightweight Self-Supervised Adaptation for Open-Vocabulary Object Detection
[arXiv] 2026-05-05 | Jiao: Bridging Isolation and Customization in Mixed Criticality Robotics
[arXiv] 2026-05-05 | Diffusion Masked Pretraining for Dynamic Point Cloud
[arXiv] 2026-05-05 | Self-Improvement for Fast, High-Quality Plan Generation
[arXiv] 2026-05-05 | A Few-Step Generative Model on Cumulative Flow Maps
[arXiv] 2026-05-05 | Exact and Approximate Algorithms for Polytree Learning
[arXiv] 2026-05-05 | BIT.UA-AAUBS at ArchEHR-QA 2026: Evaluating Open-Source and Proprietary LLMs via Prompting in Low-Resource QA
[arXiv] 2026-05-05 | Reducing Postselection Overhead in Magic-State Cultivation by In-Patch Multiplexing
[arXiv] 2026-05-05 | Set-like operations on propositional logic programs
[arXiv] 2026-05-05 | On the Algebraic Origin of Four-Dimensional Space-time in the IIB Matrix Model: Dimensional Selection via Rigid Supersymmetry
[arXiv] 2026-05-05 | The Distribution Of Subtrees In Dense Graphs And The Roots Of The Subtree Polynomial
