[2026-04-18 22:36:07] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-17
正在获取论文...
[ACM] 2026-4-17 | A Hybrid Chebyshev Chaotic Map-based Authentication Protocol for Industrial Internet of Things
[IEEE] 2026-4-17 | Adaptive Power Allocation and User Scheduling for LEO Satellites using Channel Predictions
[IEEE] 2026-4-17 | Early-Stage Detection of Encrypted Malware Traffic via Multi-flow Temporal Graph Learning
[IEEE] 2026-4-17 | DRL-Optimized UAV-Relayed 6G Multicast/Broadcast for Over-the-Air IoT Firmware Updates
[IEEE] 2026-4-17 | UAV-Enabled Multi-Tier Mobile Edge Computing for Heterogeneous Dual-Source Multi-Modal Tasks
[IEEE] 2026-4-17 | Change-LISA: Language-Guided Reasoning for Remote Sensing Change Detection_supp1-3684817.pdf
[IEEE] 2026-4-17 | Seismic Inversion by Integrating Rock Physics Modeling and Deep Learning
[IEEE] 2026-4-17 | Miniature intraoral robot (MIR) for minimally invasive tooth preparation_supp1-3682629.pdf
[IEEE] 2026-4-17 | Advancing Pre-trained Teacher: Towards Robust Feature Discrepancy for Anomaly Detection
[IEEE] 2026-4-17 | An Interpretable Multi-Scale Temporal Residual Framework for Gender-Specific EEG-Based Emotion Recognition
[IEEE] 2026-4-17 | Joint Optimization in Heterogeneous Mobile Edge-Satellite-Cloud Continuum
[IEEE] 2026-4-17 | Counting Minimal Unique-Cause MC/DC Test Suites for Boolean Decisions
[IEEE] 2026-4-17 | A Machine Learning Approach for Telemetry-Based Frequency Stability Estimation of High Precision Clocks
[IEEE] 2026-4-17 | HMU: Heuristic Memory Utilization for Multi-Agent Reinforcement Learning
[ACM] 2026-4-17 | Parasite: A Steganography-based Backdoor Attack Framework for Diffusion Models
[ACM] 2026-4-17 | Unraveling the Key of Machine Learning-based Android Malware Detection
[IEEE] 2026-4-17 | Data Feminisms for Intersectional Climate Justice in Artificial Intelligence
[IEEE] 2026-4-17 | Analysis of the Relationship Between Visual Cognitive Impairment and Neural Network Damage
[IEEE] 2026-4-17 | Automatic Enhancement of Cell Models to Enable Conditional Stuck-at Fault Simulation and Pattern Generation
[IEEE] 2026-4-17 | IoT and Mobile Application for Visualization and Control for Drum-Type Hydroponic System
[IEEE] 2026-4-17 | Software Diversity in Resource-Constrained Embedded Systems
[IEEE] 2026-4-17 | Embedded Tutorial: Design for EMC and Trust in Integrated Systems – Combining Robustness, Innocuity and Security Concerns
[IEEE] 2026-4-17 | Enhancing Access to Urban Primary Health Care Through Digital General Practitioner Model: An Initiative for Women Health Inclusion Towards Achieving SDG
[IEEE] 2026-4-17 | Saukhyam: A Sustainable Solution to the Sanitary Napkin Menace
[IEEE] 2026-4-17 | Residual-Attention CNN for Dysgraphia Detection Using Synthesized Offline Handwriting from Online Traces
[IEEE] 2026-4-17 | Enhancing the Lifetime of STT-MRAM in IoT Applications by Current Balancing
[IEEE] 2026-4-17 | Assessment of 5G Performance in Philippines Using Mobility Tests
[IEEE] 2026-4-17 | Socio-Economic Impacts of Clean Energy Transition in Bangladesh
