[2026-06-02 23:45:42] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-01
正在获取论文...
[arXiv] 2026-06-01 | FocusDiT: Masking Queries in Diffusion Transformers for Fine-grained Image Generation
[arXiv] 2026-06-01 | $p$-Robust Trace Liftings for Discrete Harmonic Extensions and Boundary-Preserving $hp$ Interpolation on Tetrahedral Meshes
[arXiv] 2026-06-01 | Search for a leptoquark in events with a hadronically decaying $τ$-lepton and missing transverse momentum using $pp$ collisions at $\sqrt{s}=13$ TeV with the ATLAS detector
[arXiv] 2026-06-01 | Inverting Poisson-Laguerre tessellations
[arXiv] 2026-06-01 | SPOCK*: A simple program for simulating knotted and concatenated polymer rings off-lattice
[arXiv] 2026-06-01 | ICCDesign: An R Package for the Design and Analysis of ICC-Based Reliability Studies with Continuous Responses
[arXiv] 2026-06-01 | Topological texture analysis of microscopy images of dynamic casein gelation and its relation to rheological properties
[arXiv] 2026-06-01 | Generalized almost disjoint families and injective Banach spaces
[arXiv] 2026-06-01 | Self-intersection local times for Volterra Gaussian processes in stochastic flows with interaction
[arXiv] 2026-06-01 | OpenWebRL: Demystifying Online Multi-turn Reinforcement Learning for Visual Web Agents
[arXiv] 2026-06-01 | The Completion-Threshold Framework for Obligatory-Test Scheduling on Multiple Machines
[arXiv] 2026-06-01 | Jordan types for pairs of commuting nilpotent matrices: A survey
[arXiv] 2026-06-01 | Ranking vs. Assignment: The Metric Mismatch in Multi-View Object Association
[arXiv] 2026-06-01 | PliableBVS: A flexible Bayesian variable selection method for modeling interactions with mandatory modifying variables
[arXiv] 2026-06-01 | PlanarBench: Evaluating LLM Spatial Reasoning via Planar Graph Drawing
[arXiv] 2026-06-01 | Provable Data Scaling Law for Meta Learning via Complexity Minimization
[arXiv] 2026-06-01 | Higher-Order Multifractional Stable Motion: Definition and Fundamental Properties
[arXiv] 2026-06-01 | Second-Order Optimality Conditions for Sparse Differentiable Optimization Problems via Limiting Second-Order Subdifferentials
[arXiv] 2026-06-01 | SafeMCP: Proactive Power Regulation for LLM Agent Defense via Environment-Grounded Look-Ahead Reasoning
[arXiv] 2026-06-01 | Dielectric-Anisotropy-Induced Quasi-BIC Activation for Spatial Differentiation in All-Dielectric Metasurfaces
[arXiv] 2026-06-01 | Generalization Limits in Vehicle Re-Identification
