[2026-06-08 23:12:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-07
正在获取论文...
[ACM] 2026-6-8 | An Intelligent Assessment of Machine Vision Courses Based on HA-GNN
[ACM] 2026-6-8 | Translating Multimodal UX Requirements into System Architecture: The Implementation of the UX-Tracking Framework
[ACM] 2026-6-8 | The Impact of Haptics on User Presence in Virtual Reality
[ACM] 2026-6-8 | ReadAR: Utilizing Mixed Reality for Physical Document Digitization
[ACM] 2026-6-8 | Culturally Informed Colour Coding in Virtual Reality: Preserving ovaHimba Heritage
[IEEE] 2026-6-8 | Reconstructing Boolean Functions From MAGIC Logic-in-Memory Using Power Side-Channel Attacks
[IEEE] 2026-6-8 | Language Supervised Multi-Camera Multi-Object Tracking
[IEEE] 2026-6-8 | Intuitive Tele-Operated Robotic Catheter System with Wrist-based Controller
[IEEE] 2026-6-8 | Rotor Electromagnetic Structure Optimization for Improving the Efficiency of Permanent-Magnet Synchronous Motors in New Energy Vehicles
[IEEE] 2026-6-8 | Information Control in Networked Multi-User Discrete-Event Systems Using State Estimates
[IEEE] 2026-6-8 | Design and Evaluation of an Educational Virtual Agent Based on Retrieval-Augmented Generation for the Entrepreneurship Culture Course in Higher Education_supp1-3700935.pdf
[IEEE] 2026-6-8 | PCPSI: Efficient Unbalanced Private Set Intersection Using Homomorphic Encryption with Plaintext–Ciphertext Multiplication
[IEEE] 2026-6-8 | Adaptive Model-Free Predictive Current Control for SPMSM Drives Using Algebraic Estimator: Enhanced High-Frequency Disturbance Rejection
[IEEE] 2026-6-8 | LIME-Based Analysis of Adversarial Feature Manipulation in Cloud Intrusion Detection Systems
[IEEE] 2026-6-8 | An AI-Driven Optimization Framework for Sustainable E-Waste Management and Resource Utilization
[IEEE] 2026-6-8 | Deepfake Video Forensics Using ResNeXt–LSTM Visual Modeling and DSP-Enhanced Audio Spectrogram Analysis
[IEEE] 2026-6-8 | Investigating Genomic Insights and Smart Biomaterial–Based Biosensing Using Data Science Approaches for Advancing Precision Oncology Treatments
[IEEE] 2026-6-8 | IRASET 2026 TOC
[IEEE] 2026-6-8 | Deep Learning-Based Intelligent Intrusion Detection System For The Internet Of Medical Things
[IEEE] 2026-6-8 | A Study on Mechanical Behaviour of Ternary Blended Geopolymer Concrete
[IEEE] 2026-6-8 | RE-FIDS: Robust and Explainable Federated Learning-based Intrusion Detection System
[IEEE] 2026-6-8 | Explainable AI-Driven Intrusion Detection System Using Hybrid Deep Learning Models for Secure Network Infrastructure
[IEEE] 2026-6-8 | BrainArcNet: Attention-Enhanced InceptionResNetV2 with ArcFace for Accurate Brain Tumor Classification from MRI Scans
[IEEE] 2026-6-8 | Dynamic Data-Driven Framework for Forecasting Employment Trends in the AI Era
[IEEE] 2026-6-8 | Deep Learning-based Smart Traffic Signal Control
[IEEE] 2026-6-8 | Using Generative AI to Improve Cities, Energy, Farming, and Healthcare for the Environment
[IEEE] 2026-6-8 | An Efficient Tuberculosis Detection from Chest X-ray Images using Lightweight Deep Learning Models
[IEEE] 2026-6-8 | Literature Review on Neural Networks based Security in Multimedia with Application and Emerging Trend
[IEEE] 2026-6-8 | OkraSqueezeNet: A Lightweight CNN with Bayesian Optimization for Real-Time Ladies Finger Leaf Disease Detection
[IEEE] 2026-6-8 | BIM–AI Integration for Sustainable Urban Planning in Smart Cities: Framework, Challenges, and Future Trends
[IEEE] 2026-6-8 | An AI-Driven Cyber-Physical Control System for Real-Time Environmental Monitoring and Disaster Management
[IEEE] 2026-6-8 | Dual-Path Motion Encoding for Robust Violence Detection
