[2026-04-08 22:39:27] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-07
正在获取论文...
[arXiv] 2026-04-07 | The final version of a recent approach towards quantum foundation
[arXiv] 2026-04-07 | SnapFlow: One-Step Action Generation for Flow-Matching VLAs via Progressive Self-Distillation
[arXiv] 2026-04-07 | Estimating Dynamic Marginal Policy Effects under Sequential Unconfoundedness
[arXiv] 2026-04-07 | From Uniform to Learned Knots: A Study of Spline-Based Numerical Encodings for Tabular Deep Learning
[arXiv] 2026-04-07 | Beyond Behavior: Why AI Evaluation Needs a Cognitive Revolution
[arXiv] 2026-04-07 | DetailVerifyBench: A Benchmark for Dense Hallucination Localization in Long Image Captions
[arXiv] 2026-04-07 | Semantic-Topological Graph Reasoning for Language-Guided Pulmonary Screening
[arXiv] 2026-04-07 | Persistence and Transition Varieties in Scalar Field Cosmology
[arXiv] 2026-04-07 | INTERACT: An AI-Driven Extended Reality Framework for Accesible Communication Featuring Real-Time Sign Language Interpretation and Emotion Recognition
[arXiv] 2026-04-07 | A solid-state quantum memory based on a continuous optoacoustic system
[arXiv] 2026-04-07 | Aggregation Effects on Heat Transfer in Viscoplastic Nanofluid Entrance Flows
[arXiv] 2026-04-07 | BPC-Net: Annotation-Free Skin Lesion Segmentation via Boundary Probability Calibration
[arXiv] 2026-04-07 | Label Effects: Shared Heuristic Reliance in Trust Assessment by Humans and LLM-as-a-Judge
[arXiv] 2026-04-07 | Taylor dispersion in a soft channel
[arXiv] 2026-04-07 | ResearchEVO: An End-to-End Framework for Automated Scientific Discovery and Documentation
[arXiv] 2026-04-07 | The Broken Similarity: Sinking and Merging of Dark Matter Subhalos Across Hierarchical Levels
[arXiv] 2026-04-07 | Extreme Blazars Observed with MAGIC: Second Catalog Release
[arXiv] 2026-04-07 | Haematocrit and Shear Rate Modulate Local Cell-free Layer Thickness and Platelet Margination in Blood Flow Along a Sinusoidal Wall
[arXiv] 2026-04-07 | THIVLVC: Retrieval Augmented Dependency Parsing for Latin
[arXiv] 2026-04-07 | EpiBench: Benchmarking Multi-turn Research Workflows for Multimodal Agents
[arXiv] 2026-04-07 | Multimodal Deep Learning Method for Real-Time Spatial Room Impulse Response Computing
[arXiv] 2026-04-07 | Cross-Modal Coreference Alignment: Enabling Reliable Information Transfer in Omni-LLMs
[arXiv] 2026-04-07 | Development of a 3D-CNN-based Prediction Model for Migration Barriers in Plasma-Wall Interactions
[arXiv] 2026-04-07 | OmniDiagram: Advancing Unified Diagram Code Generation via Visual Interrogation Reward
[arXiv] 2026-04-07 | From Unsupervised to Guided Clustering: A Variational Implementation
[arXiv] 2026-04-07 | Gauge coupling unification and doublet-triplet splitting via GUT dynamical breaking
[arXiv] 2026-04-07 | Visualizing the interplay of dual electronic nematicities in kagome superconductors
[arXiv] 2026-04-07 | Searching for Contact Binaries with LAMOST and TESS
[arXiv] 2026-04-07 | CoEnv: Driving Embodied Multi-Agent Collaboration via Compositional Environment
[arXiv] 2026-04-07 | Can You Trust the Vectors in Your Vector Database? Black-Hole Attack from Embedding Space Defects
[arXiv] 2026-04-07 | Task Ecologies and the Evolution of World-Tracking Representations in Large Language Models
[arXiv] 2026-04-07 | Reconstructing a large-scale matter-density contrast profile to reconcile Pantheon+ supernovae with DESI DR2 BAO in an inhomogeneous universe
[arXiv] 2026-04-07 | AI-Augmented Peer Review and Scientific Productivity: A Cross-Country Panel and SEM Analysis
[arXiv] 2026-04-07 | Novel Light-Induced States in Triangular Metallic Magnet
[arXiv] 2026-04-07 | Phase-Fidelity-Aware Truncated Quantum Fourier Transform for Scalable Phase Estimation on NISQ Hardware
[arXiv] 2026-04-07 | A Digital Spreading Framework for Quantum Expectation Computation Without Rotation Gates or Arithmetic Circuits
[arXiv] 2026-04-07 | Distributed Algorithm for the Global Optimal Controller of Nonlinear Multi-Agent Systems
[arXiv] 2026-04-07 | Few-Shot Semantic Segmentation Meets SAM3
[arXiv] 2026-04-07 | Your LLM Agent Can Leak Your Data: Data Exfiltration via Backdoored Tool Use
[arXiv] 2026-04-07 | VideoStir: Understanding Long Videos via Spatio-Temporally Structured and Intent-Aware RAG
[arXiv] 2026-04-07 | Multi-Drafter Speculative Decoding with Alignment Feedback
[arXiv] 2026-04-07 | Learning to Synergize Semantic and Geometric Priors for Limited-Data Wheat Disease Segmentation
[arXiv] 2026-04-07 | SpeakSoftly: Scaffolding Nonviolent Communication in Intimate Relationships through LLM-Powered Just-In-Time Interventions
[arXiv] 2026-04-07 | Molecular Excited States using Quantum Subspace Methods: Accuracy, Resource Reduction, and Error-Mitigated Hardware Implementation of q-sc-EOM
[arXiv] 2026-04-07 | Retrieve-then-Adapt: Retrieval-Augmented Test-Time Adaptation for Sequential Recommendation
[arXiv] 2026-04-07 | DAT: Dual-Aware Adaptive Transmission for Efficient Multimodal LLM Inference in Edge-Cloud Systems
[arXiv] 2026-04-07 | Propagation Phenomena for Operator-Valued Weighted Shifts
[arXiv] 2026-04-07 | Rethinking IRSTD: Single-Point Supervision Guided Encoder-only Framework is Enough for Infrared Small Target Detection
[arXiv] 2026-04-07 | Towards Testable Type-III Leptogenesis in Non-Standard Early Universe Scenarios
[arXiv] 2026-04-07 | Mathematical analysis and symmetric fractional-order reduction method for diffusion-wave equations
[arXiv] 2026-04-07 | LatentAudit: Real-Time White-Box Faithfulness Monitoring for Retrieval-Augmented Generation with Verifiable Deployment
[arXiv] 2026-04-07 | Entanglement in the open XX chain: Rényi oscillations, hard-edge crossover, and symmetry resolution
[arXiv] 2026-04-07 | Chemical Short-Range Order Regulates Hydrogen Energetics and Hydrogen-Dislocation Interactions in CoNiV
[arXiv] 2026-04-07 | Symetra: Visual Analytics for the Parameter Tuning Process of Symbolic Execution Engines
[arXiv] 2026-04-07 | CI-ICM: Channel Importance-driven Learned Image Coding for Machines
[arXiv] 2026-04-07 | Curr-RLCER:Curriculum Reinforcement Learning For Coherence Explainable Recommendation
[arXiv] 2026-04-07 | Global existence of weak solutions for Landau-Lifshitz equation with helical derivatives
[arXiv] 2026-04-07 | CT Saturation Detection and Compensation: A Hybrid Physical Model- and Data-Driven Method
[arXiv] 2026-04-07 | Dynamics of Entanglement in Schwarzschild Black Holes
[arXiv] 2026-04-07 | Structural Hierarchy of Reid Class of non-Archimedean Banach Spaces
[arXiv] 2026-04-07 | Historical Foundation and Practical Guideline for Ferroelectric Switching Kinetic Studies
[arXiv] 2026-04-07 | Addressing a device in a quantum network: A quantum approach including routing
[arXiv] 2026-04-07 | DIA-HARM: Dialectal Disparities in Harmful Content Detection Across 50 English Dialects
[arXiv] 2026-04-07 | Next-Scale Generative Reranking: A Tree-based Generative Rerank Method at Meituan
[arXiv] 2026-04-07 | Spin-biased quantum spin Hall effect in altermagnetic Lieb lattice
[arXiv] 2026-04-07 | PHAROS: Pipelined Heterogeneous Accelerators for Real-time Safety-critical Systems With Deadline Compliance
[arXiv] 2026-04-07 | Equilibrated fraction of QCD matter in high-energy oxygen--oxygen collisions
[arXiv] 2026-04-07 | Strategic Delay and Coordination Efficiency in Global Games
[arXiv] 2026-04-07 | Broken by Default: A Formal Verification Study of Security Vulnerabilities in AI-Generated Code
[arXiv] 2026-04-07 | A statistical investigation of a divisor-sum function
[arXiv] 2026-04-07 | Beneath the Surface: Investigating LLMs' Capabilities for Communicating with Subtext
[arXiv] 2026-04-07 | ${\cal N}=4$ supersymmetric Yang-Mills thermodynamics to order $λ^{5/2}$
[arXiv] 2026-04-07 | Condorcet-loser dominance among scoring rules
[arXiv] 2026-04-07 | Exponential mixing for nonlinear Schrödinger equations perturbed by bounded degenerate noise
[arXiv] 2026-04-07 | Emergent Rotation of Passive Clusters in a Chiral Active Bath
[arXiv] 2026-04-07 | Geodesics from Quantum Field Theory: A Case Study in AdS
[arXiv] 2026-04-07 | Frequency combs and coherent dissipative structures in nonlinear optical microresonators
[arXiv] 2026-04-07 | Dialogue based Interactive Explanations for Safety Decisions in Human Robot Collaboration
[arXiv] 2026-04-07 | Developing Pre-Supernova Neutrino Support for sntools
[arXiv] 2026-04-07 | HybridKV: Hybrid KV Cache Compression for Efficient Multimodal Large Language Model Inference
[arXiv] 2026-04-07 | New directed strongly regular graphs on 60 vertices
[arXiv] 2026-04-07 | Mechanistic Circuit-Based Knowledge Editing in Large Language Models
