[2026-06-09 23:17:23] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-08
正在获取论文...
[arXiv] 2026-06-08 | ContextShift: A Controlled Benchmark for Context Dependence in Object Detection
[arXiv] 2026-06-08 | On the chromatic number of the union of comparability graphs
[arXiv] 2026-06-08 | OmniGameArena: A Unified UE5 Benchmark for VLM Game Agents with Improvement Dynamics
[arXiv] 2026-06-08 | Linear Ricci-Trace Deformations and Operational Equivalence in Rastall-Type Gravity
[arXiv] 2026-06-08 | ALMA measurements of mass loss and wind clumping in the massive stars of the Arches cluster
[arXiv] 2026-06-08 | Principled Uncertainty in Clinical AI: End-to-End Bayesian Modelling and Algorithmic Equity Auditing Across Multimodal Patient Data
[arXiv] 2026-06-08 | Zero Touch Predictive Orchestration: Automating Time-Series Models for the Cloud-Edge Continuum
[arXiv] 2026-06-08 | Data Synthesis and Parameter-Efficient Fine-Tuning for Low-Resource NMT: A Case Study on Q'eqchi' Mayan
[arXiv] 2026-06-08 | Perturbative Contrastive Physical Learning
[arXiv] 2026-06-08 | Jamming-Resilient Sparse Delay-Doppler NOMA: Unitary Precoding, Randomized Active Sets, and Superincreasing Power Allocation
[arXiv] 2026-06-08 | Hybrid Robustness Verification for Spatio-Temporal Neural Networks
[arXiv] 2026-06-08 | Adaptive directional gradients for parameterised quantum circuits
[arXiv] 2026-06-08 | Bayesian Probing on Graphs
[arXiv] 2026-06-08 | Evaluating the Representation Space of Diffusion Models via Self-Supervised Principles
[arXiv] 2026-06-08 | What Makes Synthetic Speech Sound Sarcastic? A Prosody-Controlled Perception Study
[arXiv] 2026-06-08 | Optomechanically controlled response amplification for enhanced quantum sensing
[arXiv] 2026-06-08 | PhD thesis: Fixed points in Higgs bundle moduli spaces and the Prym--Narasimhan--Ramanan construction
[arXiv] 2026-06-08 | Analog quantum simulation of chiral magnetic dynamics using optical superlattices
[arXiv] 2026-06-08 | When Do Local Score Models Extrapolate Across Size? A Diagnostic Theory and Benchmark
[arXiv] 2026-06-08 | Optimal Feedback Communication with Information Maximization and Distortion Minimization
[arXiv] 2026-06-08 | PsychoSafe: Eliciting Psychologically-Informed Refusals in Large Language Models
[arXiv] 2026-06-08 | Engineering classical waves with quantized energy spectra in periodic media
[arXiv] 2026-06-08 | Observability for Delegated Execution in Agentic AI Systems
[arXiv] 2026-06-08 | Stochastic constant-roll inflation beyond the hilltop with the spectral method
[arXiv] 2026-06-08 | Multiplicative One-Sided Ideal Theory of Hereditary Noetherian Prime Rings
[arXiv] 2026-06-08 | AutoMegaKernel: A Statically-Checked Agent Harness for Self-Retargeting Megakernel Synthesis
[arXiv] 2026-06-08 | Effective QCD model with consistent quasi-gluon treatment : formulation and application
[arXiv] 2026-06-08 | Probabilistically Checking Quantum Proofs, with Interaction
[arXiv] 2026-06-08 | Disentangling chemical evolution histories with phylogenetic trees
[arXiv] 2026-06-08 | Log-Sobolev under random monotone censoring
[arXiv] 2026-06-08 | SNN-MLIR: An MLIR Dialect for Compiling Neuromorphic SNNs from NIR to Bare-Metal C
[arXiv] 2026-06-08 | Performance Evaluation of Social Learning
[arXiv] 2026-06-08 | Static axisymmetric Einstein spaces with a cosmological constant and the limitation of canonical Weyl coordinates
[arXiv] 2026-06-08 | IMUG-Bench: Benchmarking Unified Multimodal Models on Interleaved Understanding and Generation
[arXiv] 2026-06-08 | Vision-Language Guided Hyperspectral Object Tracking via Semantics Fusion and Contextual Template Updating
[arXiv] 2026-06-08 | Unified Energy for Invariant and Independent Decoding in Diffusion Language Models
[arXiv] 2026-06-08 | Bridged SBI: Correcting Biased Low-Fidelity Posteriors for Cost-Efficient High-Fidelity Inference
[arXiv] 2026-06-08 | Constraining DVCS Compton Form Factors Using Lattice QCD calculations
[arXiv] 2026-06-08 | Molecular dynamic simulation of multicomponent CoCrFeNiMn high-entropy alloy thin film deposition
[arXiv] 2026-06-08 | Modeling of Spinning Plates: Geometric Stiffening and Modal Approximation for GNC Applications
[arXiv] 2026-06-08 | Vision Language Model Helps Private Information De-Identification in Vision Data
[arXiv] 2026-06-08 | Persistent singlet electronic character in the multiexcitonic triplet-pair state of strongly coupled pentacene singlet fission dimers
[arXiv] 2026-06-08 | Symmetry-Breaking Induced Spin Transport and Magneto-Optical Regulation in 2D Altermagnet Ru2MoSe4
[arXiv] 2026-06-08 | An Enhanced Geometric-Spectral Feature Learning Framework for Airborne Multispectral Point Cloud Classification
[arXiv] 2026-06-08 | Post-Newtonian analysis of the quantum signatures of gravity
[arXiv] 2026-06-08 | ComplexConstraints and Beyond: Expert Rubrics for RLVR
[arXiv] 2026-06-08 | Counterfactual Transport Flows for Offline Conservative Trajectory Refinement
[arXiv] 2026-06-08 | Hybridizing Equilibrium Propagation with Ising Machines for Efficient Energy-Based Learning
[arXiv] 2026-06-08 | Chimera: Protocol-Aware Recovery for Confidential BFT Consensus
[arXiv] 2026-06-08 | WeaveBench: A Long-Horizon, Real-World Benchmark for Computer-Use Agents with Hybrid Interfaces
[arXiv] 2026-06-08 | Harness Engineering for Physical AI: Robot Middleware Is the Harness Layer
[arXiv] 2026-06-08 | Towards a consistent framework of determining active galactic nucleus contribution fraction and host galaxy properties
[arXiv] 2026-06-08 | Can Data Work be Reparative?
[arXiv] 2026-06-08 | PriFT: Prior-Support Guided Supervised Fine-Tuning
[arXiv] 2026-06-08 | An Introduction to Measurement Uncertainty
[arXiv] 2026-06-08 | An Opticalmechanics Framework for Dynamic Estimation of Multibody Systems
[arXiv] 2026-06-08 | Consecutive Support Matching Induced Parameter Tuning Accelerates Momentum Iterative Hard Thresholding
[arXiv] 2026-06-08 | Reasoning Arena: Trace Tournaments When Verifiable Rewards Fall Short
[arXiv] 2026-06-08 | An Agent-Based Model for Migration Decision-Making Under Higher Frequency of Extreme Climate Events
[arXiv] 2026-06-08 | Quantization of measures in Carnot groups
[arXiv] 2026-06-08 | Residual Pseudospectra Reveal a Physics-Informed Koopman Backbone for Tropical Pacific Variability and ENSO Prediction
[arXiv] 2026-06-08 | Eight-dimensional Manin triples, Yang-Baxter deformations and solutions of Supergravity Equations
[arXiv] 2026-06-08 | IB-HFN: Information Bottleneck-Driven SAR-Optical Fusion Network for High-Fidelity Cloud Removal
[arXiv] 2026-06-08 | Wearable Single-Lead ECG Detects Fine-Grained Structural Heart Disease Through Echo-Report Supervision
[arXiv] 2026-06-08 | A hyperamalgamation property
[arXiv] 2026-06-08 | TRL-Bench: Standardizing Cross-Paradigm Representation-Level Evaluation of Tabular Encoders
[arXiv] 2026-06-08 | Near Isospectrality and Spectral Rigidity for Compact Locally Symmetric Manifolds
[arXiv] 2026-06-08 | Brain-Prompt Injection: A Route-Safety Audit for BCI-LLM Agents
[arXiv] 2026-06-08 | Machine-Learning Emulation of Satellite Greenhouse Gas Retrievals: Stability over Time
[arXiv] 2026-06-08 | Fluctuations and correlations of conserved charges in the Polyakov chiral SU(3) quark mean field model
[arXiv] 2026-06-08 | SG-OPD: Sign-Gated On-Policy Distillation via Sign-Consistency Gating and Phased Teacher Sampling
[arXiv] 2026-06-08 | Satellite gravity constraints on inner core viscosity and LLVPs density anomalies
[arXiv] 2026-06-08 | NüshuVoice: Reviving the Voice of Endangered Nüshu with Pitch-Aware Text-to-Speech
[arXiv] 2026-06-08 | Unconventional incommensurate epitaxy of superconducting FeSe films on SrTiO$_3$
[arXiv] 2026-06-08 | Bridging nanoparticle morphology and viscoelastic behavior in epoxy nanocomposites: A coarse-grained simulation-informed constitutive model
