[2026-05-18 23:01:48] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-17
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605170000+TO+202605172359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 503 error responses'))
[ACM] 2026-5-18 | Measuring the Compliance Costs of Exchanging Part 2 Healthcare Claims Data Through Blockchain
[IEEE] 2026-5-18 | Secure Embedded Hardware Architecture for Embodied Generative Intelligence in Robotic Perception–Action Systems
[IEEE] 2026-5-18 | Generative Deep Learning-Based Object Detection for Secure Image Processing Applications
[IEEE] 2026-5-18 | Flying-Stack Modular Multilevel Converter for Wide Range High-AC/Low-DC Medium Voltage Applications
[IEEE] 2026-5-18 | Anti-Swing Trajectory Tracking of Slung-Payload UAVs: An Attention-Infused Neural Observer Approach With Output Constraints
[IEEE] 2026-5-18 | Context-Conditioned Spatio-Temporal Predictive Learning for Reliable V2V Channel Prediction
[IEEE] 2026-5-18 | Analysis of Tripartite Evolutionary Game in Rumor Spreading Decisions Under Reward-Punishment Mechanism
[IEEE] 2026-5-18 | HoloMamba: Physics-Aligned State-Space Network for High-Fidelity Single-Shot Holographic Reconstruction
[IEEE] 2026-5-18 | Representation-Aligned Atmospheric Light Decoupling for Stable Single-Image Dehazing
[IEEE] 2026-5-18 | Pedestrian Activity Classification with Hybrid Deep Learning Models Using Elevated LiDAR 3D Point Clouds
[IEEE] 2026-5-18 | Approximate Distributed Coded Computing: Polynomial Codes and Randomized Sketching
[IEEE] 2026-5-18 | RF Embedded System for Detecting Hidden Wireless Cameras using Signal Persistence and Active Probing
[IEEE] 2026-5-18 | Enforcing Zero Trust at the Endpoint: A Deterministic, Measurable, and Reversible Hardening Model for Microsoft Defender
[IEEE] 2026-5-18 | Dynamic Wireless Power Transfer for Battery-Less Automated Guided Vehicles using Segmented Magneto-Inductive Transmitter Coils
[IEEE] 2026-5-18 | Toward Aquaculture Automation: Image Enhancement and Containment Net Removal for Robust Fish Detection for Behavior Recognition
[IEEE] 2026-5-18 | Class-Aware Feature Selection with Core and Auxiliary Subsets for Multi-Class Intrusion Detection
[IEEE] 2026-5-18 | Handwritten Answer Script Evaluation using Multi-OCR Model
[IEEE] 2026-5-18 | A Neuroadaptive Digital Twin System for Emotion Recognition and Socio-Emotional Training in Autistic Children
[IEEE] 2026-5-18 | Zero-Knowledge Access Control for Digital Twin Operations: A Privacy-Preserving Framework
[IEEE] 2026-5-18 | Topology-Aware Hierarchical Multi-Agent Deep Reinforcement Learning for Virtual Power Plants
[IEEE] 2026-5-18 | High-Performing Quantum-Safe Password-Authenticated Key Exchange for Mobile Devices
[IEEE] 2026-5-18 | A Multi-Stage Cascade Framework for Face Anti-Spoofing using Lightweight CNNs, Depth-Aware ResNet18, and Implicit 3D Facial Geometry
[IEEE] 2026-5-18 | Large Language Models for Software Vulnerability Detection: A Survey of Methods, Evaluation, and Future Trends
[IEEE] 2026-5-18 | Spectral Based Fatigue Analysis of Roro Ship Structure: Case Study in the Madura Strait
[IEEE] 2026-5-18 | Robust Image Denoising: A Method Based on Multi-Scale Local Adaptive Hybrid Iterative Bilateral Filtering
[IEEE] 2026-5-18 | Hierarchical Uncertainty-Driven Adaptive Ensemble for Cost-Sensitive Stream Fraud Detection
[IEEE] 2026-5-18 | ChangeFine: Fine-Grained Change Detection from Remote Sensing Imagery based on Contrastive Prompt Learning with SAM-CLIP
[IEEE] 2026-5-18 | FOPTD Based Reduced Order Modeling Assisted Real Time Robust Frequency Control of Islanded Microgrid with Inverter-Based Resources
[IEEE] 2026-5-18 | Radar-Communication Physical Layer Security via Fast and Accurate Array Response Control
[IEEE] 2026-5-18 | Autonomous Multimodal Grievance Redressal System using Generative AI
[ACM] 2026-5-18 | Are Learned DBMS Components Robust to Workload Drift?: [Experiments &amp; Analysis]
[IEEE] 2026-5-18 | Decision letter for "A Random Forest-based Approach for Estimating Full-band Solar-induced Chlorophyll Fluorescence from Photosystem II in Crops"
[ACM] 2026-5-18 | O
                    <scp>cto</scp>
                    S
                    <scp>elector</scp>
                    : Efficient and Effective Batch-Aware Model Selection for Large Language Models
[ACM] 2026-5-18 | Kangaroo: Efficient Lossless Floating-Point Compression via Dynamic Reference Selection
[IEEE] 2026-5-18 | IEEE Standard for Low-Rate Wireless Networks--Amendment 1: Ascon Cryptographic Algorithms
[IEEE] 2026-5-18 | A Robust and Explainable Machine Learning Framework for Early Lung Cancer Risk Prediction using Synthetic Data Augmentation and Cross-Dataset Validation
[IEEE] 2026-5-18 | IoT based Groundnut Storage &amp; Drying Automation System with Rotating Tray
[IEEE] 2026-5-18 | MOH-Transformer: track association with hierarchical attention
[IEEE] 2026-5-18 | An Efficient and Secure Encrypted Multi-Keyword Search Scheme
[IEEE] 2026-5-18 | Practical and Efficient Non-Interactive Multi-Client Searchable Encryption for e-Healthcare Systems
[IEEE] 2026-5-18 | LSE-FRGCN: A Logical Schema-Enhanced Fuzzy Relational Graph Convolutional Network for Stance Detection
[IEEE] 2026-5-18 | A Lightweight Artificial Intelligence Method for Official Document Process Automation
[IEEE] 2026-5-18 | Rethinking Load Balancing for Inter-Datacenter Networks
[IEEE] 2026-5-18 | Adaptive Image Batching and Slicing in Edge Networks for Delay-Critical Small Object Detection
[IEEE] 2026-5-18 | Universal Approach to Measuring Focused Beam Size for Pulsed-Laser SEE Testing
[IEEE] 2026-5-18 | A Parallel Meshless Voronoi Method for Generalized SurfaceNets
[IEEE] 2026-5-18 | Passive Electrostatic Elimination of Loading Powder Using Needle Electrode-integrated Pipe-endcap
[IEEE] 2026-5-18 | Stochastic Dynamics of Human-Bot Interactions on Social Platforms: A Three-Population SDE Model
[IEEE] 2026-5-18 | Construction of Detailed Equivalent Circuits for Turbogenerators Based on Standstill Frequency Response Analysis
[IEEE] 2026-5-18 | 1:2 Efficient Demultiplexer Design using QCA Technology
[IEEE] 2026-5-18 | An Efficient Encrypted Graph Query Scheme Based on Bloom Filters
[IEEE] 2026-5-18 | Thermodynamically Constrained Variational Quantum Graph Learning for Near-Term Noisy Quantum Processors
[IEEE] 2026-5-18 | A Deep Learning–based Predictive GPS Safety Monitoring System With Minimal Network Dependence
[IEEE] 2026-5-18 | A Multimodal Emotion Recommendation System using Text and Facial Expression Analysis
[IEEE] 2026-5-18 | Intensity Discrimination of Electrocutaneous Haptic Feedback Is Enhanced at Low Frequencies and with Repeated Exposure
[IEEE] 2026-5-18 | MR2-ByteTrack: CNN and Transformer-based Video Object Detection for AI-augmented Embedded Vision Sensor Nodes
[IEEE] 2026-5-18 | Explicit Spatial-Angular Pattern Embedding for Heterogeneous Imaging-Oriented Light Field Spatial Super-Resolution
[IEEE] 2026-5-18 | MIST: A Multilingual Dataset and Benchmark for Fine-Grained Audio Inpainting Tampering Localization
[IEEE] 2026-5-18 | Adaptive Prompt Generation Agent: A Dynamic Prompt Engineering Framework for Chinese Text Generation
[IEEE] 2026-5-18 | BurnDC: A Progressive Propagation Framework for Low Coverage Depth Completion_supp2-3693984.mp4
[IEEE] 2026-5-18 | Magnetoelectric Sensor with Sensitive Unit Based on Composite Structure of Magneto-sensitive Elastomer and Polyvinylidene Fluoride for Rotational Speed Detection
[IEEE] 2026-5-18 | Deep Reinforcement Learning-Driven Energy-Efficient Routing Protocol with Dynamic Power Control and Load-Aware Multipath Optimization for MANET
[IEEE] 2026-5-18 | Tunicate Swarm Optimization for High-Dimensional Parameter Tuning of an 8-DOF Electric Vehicle Model
[IEEE] 2026-5-18 | Bidirectional Prototype-Reward co-Evolution for Test-Time Adaptation of Vision-Language Models
[IEEE] 2026-5-18 | IEEE Transactions on Systems, Man, and Cybernetics: Systems Information for Authors
[IEEE] 2026-5-18 | VGG16-based Transfer Learning for Multi-Class Kidney CT Image Classification
[IEEE] 2026-5-18 | AI-Driven Predictive Healthcare Analytics for Early Disease Detection and Clinical Decision Support
[IEEE] 2026-5-18 | Token-Anchored Semantic Drift: Untargeted Transferable Attacks Against Commercial MLLMs
[IEEE] 2026-5-18 | Dual-Path Reactance Cell Theory and Its Application to a 6-bit K-Band True-Time-Delay Circuit
[IEEE] 2026-5-18 | Thermal Management of EV Battery Pack by Detection of Thermal Runaway using Deep Neural Network
[IEEE] 2026-5-18 | An Ensemble Machine Learning Approach for Heart Diseases Prediction
[IEEE] 2026-5-18 | An Area and Power-Optimised Multiplier-Less MAC Unit for Artix-7 FPGA-based Signal Processing
[IEEE] 2026-5-18 | Activity-Aware Power Management Architecture For FPGA-Based Edge System using On-Die Thermal Feedback
[IEEE] 2026-5-18 | Enhanced AI-based Biometric Authentication using Recurrent Neural Network
[IEEE] 2026-5-18 | A Cost-Effective Portable Ventilator with AMBU Bag Mechanism and Real-Time Leakage Detection using LCD Display
[IEEE] 2026-5-18 | Performance Optimization of Intel Multi-Core CPUs using Memory-Aware Data Parallelism
