[2026-06-23 23:08:45] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-22
正在获取论文...
[arXiv] 2026-06-22 | Lift4D: Harmonizing Single-View 3D Estimation for 4D Reconstruction In-the-Wild
[arXiv] 2026-06-22 | Randomized YaRN Improves Length Generalization for Long-Context Reasoning
[arXiv] 2026-06-22 | LIBERO-Safety: A Comprehensive Benchmark for Physical and Semantic Safety in Vision-Language-Action Models
[arXiv] 2026-06-22 | LaST-HD: Learning Latent Physical Reasoning from Scalable Human Data for Robot Manipulation
[arXiv] 2026-06-22 | Keep The Essentials: Efficient Reference Conditioned Generation via Token Dropping
[arXiv] 2026-06-22 | Tapered Language Models
[arXiv] 2026-06-22 | On the Limits of Prompt-Conditioned Language Models as General-Purpose Learners
[arXiv] 2026-06-22 | The strong Arnol'd chord conjecture for the boundary of a uniformly convex domain in $\mathbb{R}^{4}$
[arXiv] 2026-06-22 | A Resolution of Erdős Problem 550 on Tree versus Complete Multipartite Ramsey Numbers
[arXiv] 2026-06-22 | Lightweight Neural Framework for Robust 3D Volume and Surface Estimation from Multi-View Images
[arXiv] 2026-06-22 | Which Waveguide Network Realizes a Prescribed Transmission Profile? An Exact Forward Construction
[arXiv] 2026-06-22 | Flatness Preserves Instruction Following in Vision-Language-Action Models
[arXiv] 2026-06-22 | Learning Process Rewards via Success Visitation Matching for Efficient RL
[arXiv] 2026-06-22 | Ergodicity of the bicentralizer flow and Kadison's problem
[arXiv] 2026-06-22 | Pose Anything Anywhere:Model-free Object Poses from Arbitrary References
[arXiv] 2026-06-22 | Why Machines Misread Pedagogical Quality: Human-Machine Alignment in LLM-Based Pretest Question Evaluation
[arXiv] 2026-06-22 | DiT-Reward: Generative Representations for Text-to-Image Reward Modeling
[arXiv] 2026-06-22 | Learning to See While Learning to Act: Diffusion Models for Active Perception in Robot Imitation
[arXiv] 2026-06-22 | Autonomous Subsea Cable Search and Tracking with Graph-Optimised Priors and Visual Tracking
[arXiv] 2026-06-22 | SPIRAL: Learning to Search and Aggregate
[arXiv] 2026-06-22 | KEMO: Event-Driven Keyframe Memory for Long-Horizon Robot Manipulation with VLA Policies
[arXiv] 2026-06-22 | A Generative Model for Closed-Loop Microsimulation of Signalized Intersections
[arXiv] 2026-06-22 | Kamera: Unified Position-Invariant Multimodal KV Cache for Training-Free Reuse
[arXiv] 2026-06-22 | Quantification of the Flavor Diagonal Hadronic CP Violation
[arXiv] 2026-06-22 | Irrelevance of Anomalous Breaking of Axial U(1) Symmetry and the U(1) Problem
[arXiv] 2026-06-22 | Genuine Global Kochen-Specker Contextuality as Classical Coordination Cost
[arXiv] 2026-06-22 | A Spectral Theory of Normalized Corrected GNN Propagation
[arXiv] 2026-06-22 | HoloAgent-0: A Unified Embodied Agent Framework with 3D Spatial Memory
[arXiv] 2026-06-22 | Computing Gaussian and exponential integrals in ${\Bbb R}^n$
[arXiv] 2026-06-22 | Exponential stability of abstract boundary-coupled positive systems
[arXiv] 2026-06-22 | AwakeForest: An Interactive Geospatial Platform for Large-Scale Forest Imagery
[arXiv] 2026-06-22 | SQLConductor: Search-to-Policy Learning for Step-wise Text-to-SQL Orchestration
[arXiv] 2026-06-22 | Towards an Automated Reasoning Tool for Complexity Analysis of Automated Reasoners
[arXiv] 2026-06-22 | Atomic-scale theory of robust out-of-plane ferroelectricity in ultrathin films
[arXiv] 2026-06-22 | Analysis of quantum-related courses and textbooks for potential integration of quantum sensing
[arXiv] 2026-06-22 | Recurrence in two degrees of freedom Hamiltonian flows
[arXiv] 2026-06-22 | A generalized multiple-intervention stepped wedge design framework for treatment effect estimation in the presence of non-uniform cluster-period correlation structures
[arXiv] 2026-06-22 | Spectral and timing variability of the transient ultraluminous X-ray source NGC 4631 X-4
[arXiv] 2026-06-22 | MeshFlow: Mesh Generation with Equivariant Flow Matching
[arXiv] 2026-06-22 | A Tentative Double Excess in the Gamma-Ray Spectrum of the Fermi Blazar 4FGL J0604.9-0000
[arXiv] 2026-06-22 | The Brocard Problem: Structural Invariants, p-Adic Density, and the Generative Sieve
[arXiv] 2026-06-22 | Time-domain anomalies in solar and stellar flares
[arXiv] 2026-06-22 | ffortissimo: A Freeform Forward-Modeling Pipeline for High-Contrast Images of Circumstellar Disks Based on Automatic Differentiation
[arXiv] 2026-06-22 | TeV-PeV Gamma-ray and Neutrino Emission in the Galactic Plane
[arXiv] 2026-06-22 | Multi-Vector Embeddings are Provably More Expressive than Single Vector Embeddings
[arXiv] 2026-06-22 | An Automated Framework for Input Alphabet Construction in Stateful Protocol Implementation Learning
[arXiv] 2026-06-22 | Emergence of Common Noise: Quantitative Conditional Propagation of Chaos
[arXiv] 2026-06-22 | Detachment dynamics and disturbance rejection in the TCV X-Point Target divertor
[arXiv] 2026-06-22 | HyperQuant: A Rate-Distortion-Optimal Quantization Pipeline for Large Language and Diffusion Models
[arXiv] 2026-06-22 | Deep learning-based detection of cessation of breathing in pre-term infants
[arXiv] 2026-06-22 | High Throughput Analysis of Nanobeam Electron Diffraction Datasets using Unsupervised Clustering
[arXiv] 2026-06-22 | Neural Parameter Calibration for Finite-State Mean Field Games
[arXiv] 2026-06-22 | Language-Specific Sentiment Polarity Biases in Encoder and Large Language Model Classification of Product Reviews
[arXiv] 2026-06-22 | Spatial Coagulation Systems with Mercer Kernels: Replicator Dynamics and Gelation
