[2026-08-04 23:03:14] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-03
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202608030000+TO+202608032359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[IEEE] 2026-8-3 | Closed-Loop Common Mode Current Mitigation for Transformerless Current-Source Soft Open Points
[IEEE] 2026-8-3 | Evolution of the SWEBOK Guide and LLM-Empowered Software Security Engineering
[IEEE] 2026-8-3 | ICAHS 2025 TOC
[IEEE] 2026-8-3 | Learning Efficient Communication Protocols for Multi-Agent Reinforcement Learning
[IEEE] 2026-8-3 | Detection of Non-Stand-Replacing Cuttings Using Satellite Image Time Series With a Kalman Filter
[IEEE] 2026-8-3 | Low-profile Wideband Patch Antenna with Compact GCPW-PS Balun for Radar System in Package
[IEEE] 2026-8-3 | RSTNet: Rectified Spatial-Temporal Interaction Network for Remote Sensing Change Detection
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | Parameter-Fused Soft-Switching Control Strategy for AC-DC Matrix Converters
[IEEE] 2026-8-3 | Nonfragile H∞ Filter Design for Continuous-Time T-S Fuzzy Systems With Time Delay
[IEEE] 2026-8-3 | Cascaded Gaussian Process Residual Correction for Remaining Useful Life Prediction of Lithium-Ion Batteries
[IEEE] 2026-8-3 | Design and Analysis of Magnetically Driven Bionic Cookiecutter Shark Underwater Robot
[IEEE] 2026-8-3 | Bridging the Abstraction Gap: A Comparative Study of Specialized and General LLMs for Arabic Text Summarization
[IEEE] 2026-8-3 | Solving Fully Fuzzy Linear Systems of Equations Using Multidimensional Linear Pentagonal Fuzzy Number Matrices
[IEEE] 2026-8-3 | A Grayscale-Density-Image-Based Method for Wind Turbine Data Cleaning
[IEEE] 2026-8-3 | The Impact of Fault Interference on Prediction-Based Fault Localization in Multi-Bug Programs
[IEEE] 2026-8-4 | When Less is More: Evaluating Structural Pruning in Geospatial Foundation Models
[IEEE] 2026-8-4 | CM-Bench: A Comprehensive Cross-Modal Feature Matching Benchmark Bridging Visible and Infrared Images
[IEEE] 2026-8-4 | Improving Negation Understanding in Medical Vision-Language Models via Contrastive Fine-Tuning
[IEEE] 2026-8-4 | Hybrid Quantum-Classical Learning for Adaptive Financial Anomaly Detection
[IEEE] 2026-8-4 | System Model and Analysis of Dynamic Radio Resource Management in 5G Mobile Networks
[IEEE] 2026-8-4 | Statistical Fidelity, Computational Cost, and Moment-Matched Surrogates for FSO Turbulence Channels
[IEEE] 2026-8-4 | Boundary-Sensitive Start-Time Estimation with Onset-centric Temporal Detection for Illegal Waste Dumping in Surveillance Video
[IEEE] 2026-8-4 | Accurate Smart Waste Detection and classification System using Artificial Intelligence
[IEEE] 2026-8-4 | Hyperbolic Sine Function-Based Intermittent Control on Fixed-Time Output Synchronization of Multi-Layer Networks
[IEEE] 2026-8-4 | Type-Aware Ranking of Urban Similarity From Aerial Imagery
[IEEE] 2026-8-4 | Implementation of 16-Bit Vedic Multiplier using MUX-Based Adders
[IEEE] 2026-8-4 | Kinematic-Aware Motion Planning and Reinforcement-Learning-Based Adaptive Control of Autonomous Underwater Vehicles
[IEEE] 2026-8-4 | Research on D * Lite based executable path incremental planning method in complex environments
[IEEE] 2026-8-4 | An Automated Data Synthesis Framework for Visual-Language Navigation Training Based on 3D Gaussian Splatting
[IEEE] 2026-8-4 | MDE-Align: Enhancing Visual Grounding with Monocular Depth Estimation and Multi-modal Spatial Alignment
[IEEE] 2026-8-4 | Author Index
[IEEE] 2026-8-4 | A Hybrid Reinforcement Learning Framework for Autonomous Robotic Navigation in Dynamic Environments
[IEEE] 2026-8-4 | QiMeng-Tensify: Scaling Up Tensor Computation Optimization via Architecture-Aware LLM-Guided MCTS
[IEEE] 2026-8-4 | PipeNN: A Predictor-Free Pipeline for Energy-Latency Co-Optimization of Heterogeneous Mobile DAG-DNN Inference
[IEEE] 2026-8-4 | StructFormer: Structure-Consistent Face De-Identification Under Strong Privacy Constraints*
[IEEE] 2026-8-4 | Adaptive Prescribed-Time Formation Control For Nonlinear Time-Delay System With Actuator Fault
[IEEE] 2026-8-4 | On-The-Fly OVD Adaptation with Flame: Few-Shot Localization Via Active Marginal-Samples Exploration
[IEEE] 2026-8-4 | VeeAssist: A Context-Aware Vision-Audio Navigation Framework with Semantic Prioritization for the Visually Impaired
[IEEE] 2026-8-4 | 
[IEEE] 2026-8-4 | Unregistered Infrared-Visible Collaborative Perception: A Bidirectional Displacement-Guided Fusion Network
[IEEE] 2026-8-4 | Author Index
[IEEE] 2026-8-4 | Graph-MAPPO for Self-Organized Airship Encirclement and Hotspot Surveillance
[IEEE] 2026-8-4 | Graph Neural Network-based Real-Time Foreshock Sequence Detection from Earthquake Catalogues
[IEEE] 2026-8-4 | Real-Time Trajectory Tracking at Handling Limits: An Iterative Bandwidth-Regularized Sparse GP-MPC Approach
[IEEE] 2026-8-4 | An Aerial Robotic Manipulator for Offshore Wind Turbine Blade Inspection
[IEEE] 2026-8-4 | Federated Speech Emotion Recognition for Cross-Institution Depression Monitoring
[IEEE] 2026-8-4 | Diffuse4D: Completing Nerf-Stereo Depth via Diffusion-Driven Restoration in Dynamic Scenes
[IEEE] 2026-8-4 | MS-TBImap: A Real-Time Framework for Multi-Scale Temporary Boundary Integration
[IEEE] 2026-8-4 | Optimizing Scan Test Economics Trade-Offs in Homogeneous 3D SICs via Cost Modeling
[IEEE] 2026-8-4 | Cross-Medium Model Predictive Control for a Compact Wheel-Propeller Amphibious Robot
[IEEE] 2026-8-4 | The Optimal Verification Frequency of Automatic Verification System of Electric Energy Measuring Instruments Based on Multi-Objective Optimization Algorithm
[IEEE] 2026-8-4 | An Unsupervised Underwater Image Restoration Framework with Adaptive Color Stretch and Compensation Strategy
[IEEE] 2026-8-4 | Improved Quantum Two-Classification Network *
[IEEE] 2026-8-4 | 
[IEEE] 2026-8-4 | An Explainable Deep Learning Framework for Early Detection of Diabetic Retinopathy
[IEEE] 2026-8-4 | Gram-Schmidt Feature Reduction for Disentangling Style from Degradation in Historical Writer Identification
[IEEE] 2026-8-4 | NeuroTrust-GFM: A Generative Foundation Model for Multi-Modal Brain Tumor Reasoning and Clinical Decision Intelligence
[IEEE] 2026-8-4 | GBSI: A GPU-Based Secondary Indexing Mechanism for Write-Intensive Workloads
[IEEE] 2026-8-4 | A Review of Research on Small Object Detection Based on Deep Learning
[IEEE] 2026-8-4 | Lembas: Cost-Efficient Genome Alignment with External Memory and FPGA Acceleration
[IEEE] 2026-8-4 | EVA: Accelerating LLM Decoding via an Efficient Vector Quantization Architecture
[IEEE] 2026-8-4 | Multi-Label Classification in Remote Sensing: Leveraging High-Resolution Patches for Low-Resolution Tasks
[IEEE] 2026-8-4 | A Predictive Adaptive Protocol Selection System Using Real-Time Performance Scoring for Cloud-Based Applications
[IEEE] 2026-8-3 | Cross-Modal Co-Attention with Event-Level Context Fusion for Abnormal Recognition
[IEEE] 2026-8-4 | A Survey of Dynamic Token Computation in Transformers: Taxonomy, Stability and Budget-Aware Evaluation
[IEEE] 2026-8-4 | A Position Measurement Method for Drilling Connection Tools Via Image and Point Cloud Fusion
[IEEE] 2026-8-4 | Consecutive Support Matching Induced Parameter Tuning Accelerates Momentum Iterative Hard Thresholding
[IEEE] 2026-8-4 | Enhancement as Augmentation: Improving Detection in Highly Degraded Underwater Images Through Mixed-Domain Training
[IEEE] 2026-8-4 | A Deep Learning Framework for Predictive Supply Chain Resilience Enhancement in Critical Industry Sectors
[IEEE] 2026-8-4 | Research on Event-Triggered Model Predictive Control for Hypersonic Vehicles Based on Gap Metric
[IEEE] 2026-8-4 | SPEED: Scalable and Efficient Multi-Agent Drone Racing via Neighborhood-Dominated Potential Games
[IEEE] 2026-8-4 | A Multi Modal Deep Learning Framework for Detection and Localization of Smart Contract Vulnerabilities
[IEEE] 2026-8-4 | RcLLM: Accelerating Generative Recommendation via Beyond-Prefix KV Caching
[IEEE] 2026-8-4 | Retraction Notice: Evaluation of Deep Learning Architectures for Classification in CXR Images
[IEEE] 2026-8-4 | AL-IPSO: Adaptive Learning Island-based Particle Swarm Optimization for Multi-Robot Task Allocation in Warehouse Automation
[IEEE] 2026-8-4 | Molecular Communication with Finite-Length Transmitter in Time Dependent Diffusive Channel
[IEEE] 2026-8-4 | AI-Driven Pipeline Leak Detection Using Thermal UAV Imagery &amp; Hybrid CNN–Transformer Networks for Real-Time Infrastructure Monitoring
[IEEE] 2026-8-4 | A Deep Reinforcement Learning Framework for Memory Editing During Sleep
[IEEE] 2026-8-4 | Project Highlights - Reliability Evaluation for ARCHYTAS AI hardware accelerators
[IEEE] 2026-8-4 | Beyond Static Executions: Robust Embodied Task Planning via Dual-Path State-Driven Synergy
[IEEE] 2026-8-4 | Hybrid Contextual Biomarker Fusion Framework for Intelligent Ovarian Cancer Detection using Deep Ensemble Learning
[IEEE] 2026-8-4 | Shining Light on Silicon Photonic DNN Accelerators
[IEEE] 2026-8-4 | Compensator - Based Secondary Frequency Resilient Control of Island Microgrid
[IEEE] 2026-8-4 | Design of a Digital Twin System Enhanced by Augmented Reality for Reconfigurable Soft Robots
[IEEE] 2026-8-4 | Finite-Key Analysis of Phase-Matching QKD Type Protocol over a Satellite Channel under Atmospheric Turbulence
[IEEE] 2026-8-4 | Privacy-Preserving Mobile Crime Reporting System Using Ring Signatures and AES-GCM for Secure and Anonymous Submission
[IEEE] 2026-8-4 | Convexity-Exploiting Successive Convexification for Safe Drone Racing
[IEEE] 2026-8-4 | Resilience in Transportation Systems-of-Systems: Challenges in Modeling and Analysis
[IEEE] 2026-8-4 | A Solar-Powered LoRa-IoT Framework for Autonomous Multi-Parameter Smart Irrigation in Precision Agriculture
[IEEE] 2026-8-4 | General Purpose AI Computing: Opportunities and Challenges
[IEEE] 2026-8-4 | IEEE Security and Privacy Subscription
[IEEE] 2026-8-4 | Online Minimization of Convex Age of Information with Transmission Costs_supp1-3719621.pdf
[IEEE] 2026-8-4 | A Frequency-Aware and Multi-Scale Aligned Framework for Fine-Grained Object Detection in Remote Sensing Imagery
[IEEE] 2026-8-4 | A 42-Gb/s PAM-3 Transmitter With a CML Driver and a Dual-Mode Encoder for Process-Variation-Tolerant Middle-Level Generation
[IEEE] 2026-8-3 | HEDWIG: Homomorphic Encryption Accelerator Design Using BFV-HPS With High-Speed Fixed-Point Approximation
[IEEE] 2026-8-3 | New Constructions of Asymptotically Optimal Sequence Sets with Dual-rectangular Zero Ambiguity Zones
[IEEE] 2026-8-4 | Retraction Notice: Further Development of Blockchain Techniques for Security and Expenses
[IEEE] 2026-8-4 | Retraction Notice: Neural Network Based Heart Disease Prediction
[IEEE] 2026-8-3 | Cloud--Vehicle Collaborative Stability Control via Learning-Based Variable-Matrix Model Predictive Control With Region-of-Attraction Constraints
[IEEE] 2026-8-4 | AoI Analysis for Real-Time Monitoring Networks with Randomly Distributed Sensors
[IEEE] 2026-8-3 | LapMDNet: Remote Sensing Object Detection under Foggy Conditions via Physics-Guided Laplacian Prior and Masked Feature Distillation
[IEEE] 2026-8-4 | Interoperable Multilevel System-of-Systems Modeling and Comfort-Oriented Control for Cooperative Fleets of Assistive Wheelchairs
[IEEE] 2026-8-3 | Layer-Sensitivity-Aware Hybrid Redundancy Hardening Design for Reliable CNN Accelerators
[IEEE] 2026-8-4 | Retraction Notice: Next Gen Navigation Speed Limit Integration for Indian Roads
[IEEE] 2026-8-4 | UGPT: Uncertainty-Guided Dynamic Prompt Tuning for Vision-Language Models
[IEEE] 2026-8-4 | Joint Recovery of Two Carriers from One-Bit Sampled Signals
[IEEE] 2026-8-4 | RFAT 2026 TOC
[IEEE] 2026-8-4 | Adaptive Fault-Tolerant Control for Uncertain Euler-Bernoulli Beam with Actuator Faults and Output Constraint
[IEEE] 2026-8-4 | Streamlining Training Administration and Management in Biomanufacturing Using Lean Six Sigma_supp1-3719585.docx
[IEEE] 2026-8-3 | Control Costs for Cluster Consensus of Leader-following Multi-Agent Systems under DoS Attacks
[IEEE] 2026-8-3 | Investigation of Square-Ring Vertex-Loop Slow Wave Structure for High-Power High-Efficiency TWTs
[IEEE] 2026-8-4 | Radar Range Super-Resolution Using Sparse Bayesian Learning With a Pulse-Compression-Response Dictionary
[IEEE] 2026-8-3 | The
                    <i>k</i>
                    -Space Co-Array: Geometric Duality of the Gram Matrix in LoS Massive MIMO
[IEEE] 2026-8-3 | Per-antenna power constraints: constructing Pareto-optimal precoders with cubic complexity under non-negligible noise conditions_supp1-3718840.pdf
[IEEE] 2026-8-3 | CAA-TDI: Confidence-Aware Attention for Trustworthy Data Inference in Sparse Mobile Crowdsensing_supp1-3716452.pdf
[IEEE] 2026-8-3 | Scintillation Analysis of a 400 Gbps Coherent FSO Feeder-Link for GEO Satellite Downlink-Like Transmission
[IEEE] 2026-8-3 | Sparse Vector Coding via Base Conversion Index Modulation for Short-Packet xURLLC
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | CB-BSH: Multi-Agent Motion Planning with Heterogeneous Kinematics and Geometric Envelopes_supp1-3719227.mp4
[IEEE] 2026-8-3 | Sponsors
[IEEE] 2026-8-3 | 
[IEEE] 2026-8-3 | A study of the leakage current in transformerless three-phase photovoltaic inverters based on the B4 topology
[IEEE] 2026-8-3 | Review for "Collection: Benchmark Datasets for the Evaluation of Data Imputation Algorithms"
[IEEE] 2026-8-3 | Integrated Visual AI Detection of New Energy Vehicle Fire Features Under CBAM Attention Mechanism
[IEEE] 2026-8-3 | Modeling and Performance Evaluation of a Multi-Pillar Telescopic Piezoelectric Transducer
[IEEE] 2026-8-3 | Fault Location Method for Shipboard Power System Based on Improved Differential Evolution Algorithm
[IEEE] 2026-8-3 | Serious Game with Haptic Feedback for Upper Limb Rehabilitation
[IEEE] 2026-8-3 | Predicting Smartphone Battery Collapse: A Non-Linear Approach Based on Constant Power Load and First Hitting Time
[IEEE] 2026-8-3 | Adaptive RL Scheduling for xPON Upstream in Power Distribution Networks
[IEEE] 2026-8-3 | Design and Architecture of an Accessible Mobile System for Danger Detection in Autism Spectrum Disorder: Integrating AR, AI and Machine Learning
[IEEE] 2026-8-3 | Parallel Mental Health: Nonpharmaceutical Intervention via Computational Psychophysiology and Closed-Loop Regulation
[IEEE] 2026-8-3 | Proportional-Integral Observer Design for Multi-Rate Systems Under Decode-and-Forward Relays: Tackling Power-Dependent Packet Dropouts
[IEEE] 2026-8-3 | Optimal Sensor Selection of Linear Quadratic Regulation with Unknown Sensor Noise Covariances
[IEEE] 2026-8-3 | A Joint Mission Risk Control Model Considering Health-State Evolution and Stage-Specific Rewards
[IEEE] 2026-8-3 | Adaptive Fuzzy Event-Triggered Quantized Control for Uncertain Nonlinear Systems
[IEEE] 2026-8-3 | Design and Implementation of an Open-Source Security Framework for Cloud Infrastructure
[IEEE] 2026-8-3 | ST-GNN with Spatio-Temporal Attention for Multi-Harmonic Source Location in V2G-Integrated Distribution Networks
[IEEE] 2026-8-3 | Which Metric Matters? Similarity Evaluation for Wavelet-Domain Camera Fingerprints
[IEEE] 2026-8-4 | Enhancing Financial Time-Series Forecasting Using a Hybrid LSTM-Ensemble Learning Approach
[IEEE] 2026-8-4 | Symbiotic MLLM Serving: Dynamically Balancing Parallelism Across GPUs and Resources Within GPUs
[IEEE] 2026-8-4 | When Probe and Gallery Are Low Quality: Decreasing Accuracy and Increasing Demographic Disparities in 1:N Identification
[IEEE] 2026-8-4 | IEC3D-IMAD: A Real-World 3D Dataset of Industrial Equipment Components for Imbalanced Micro Anomaly Detection
[IEEE] 2026-8-4 | Event-Triggered Optimal Formation Control for Nonholonomic Wheeled Mobile Robots Under Lumped Disturbances
[IEEE] 2026-8-4 | Frequency-Domain Enhanced Deformation Learning Network with Digital Image Correlation
[IEEE] 2026-8-4 | Resilient Multi-Agent Perception for Near-Space Vehicle Swarms with Intra-Swarm Attentive Enhancement
[IEEE] 2026-8-4 | AI Driven Anti Money Laundering System Using Big Data Analytics
[IEEE] 2026-8-4 | Retraction Notice: Contemplate and Investigate a Network based Intrusion Detection System
[IEEE] 2026-8-4 | Accurate and Efficient Stereo Matching via Efficient Multi-scale Attention and Lightweight 3D Convolutions
[IEEE] 2026-8-4 | Efficient Multiple Error Correction in Binary HDC Systems Using Majority-Encoded Hypervector Matrices
[IEEE] 2026-8-4 | Manifold-Guided Reinforcement Learning for Payload Throwing of Aerial Suspended Systems
[IEEE] 2026-8-4 | Cascaded Cooperative Disturbance Rejection Control for Air-Ground Heterogeneous Systems via Fixed-Time Extended State Observers
[IEEE] 2026-8-4 | Geometric Control of Continuously Morphing Quadrotors with Inertia-Rate Compensation
[IEEE] 2026-8-4 | SOFC system fault detection method based on Pearson correlation coefficients and principal component analysis
[IEEE] 2026-8-4 | Machine Learning based Crop Prediction using Artificial Neural Network and Gradient Boosting Algorithm
[IEEE] 2026-8-4 | An Adaptive Switching Antenna for Mobile Devices Based on Liquid Metal Structure
[IEEE] 2026-8-4 | Safe Distributed Formation of Heterogeneous Discrete-Time Multi-Agent Systems
[IEEE] 2026-8-4 | SC-RGCN: Integrating Supply Chain Relationships and Multi-Factor Aggregation for Stock Prediction
[IEEE] 2026-8-4 | Deep Learning-Based Leaf Disease Detection and Classification Using Yolo
[IEEE] 2026-8-4 | AI-Based Real-Time ECG Anomaly Detection Using Transformer-Driven MobileNet Encoder-Decoder Architecture (TL-MobileNet-ED)
[IEEE] 2026-8-4 | Multi-Agent Proximal Policy Optimization with Dual Queues for Dynamic Task Offloading in Mobile Edge Computing
[IEEE] 2026-8-4 | Temporal Aggregation Distillation with Text-Guided Multimodal Fusion for Semi-Supervised 3D LiDAR Semantic Segmentation
[IEEE] 2026-8-4 | Distributed Online Minimax Optimization with Compressed Communication
[IEEE] 2026-8-4 | Enhancing Instruction Prefetching via Cache and TLB Management
[IEEE] 2026-8-4 | Hardening Output Privacy for Secure Inference: A Lightweight Realization via Distributed Trust
[IEEE] 2026-8-4 | Intelligent Diagnostic System for Bearings with Physical Sensing Capabilities in Non-Stationary Noise Environments
[IEEE] 2026-8-4 | Improving Hutchinson Diagonal Estimation within the OCP-LS Algorithm
[IEEE] 2026-8-4 | Design and Kinematic Analysis of a Series-Parallel Gait and Balance Training System
[IEEE] 2026-8-4 | Interpretable GNNs for Fault Detection in Circuits
[IEEE] 2026-8-4 | AutoFHE: An Automatic Hardware Generation Framework for Domain-Specific FHE Accelerators
[IEEE] 2026-8-4 | Short-term Load Forecasting and dynamic trading Strategy Optimization of the Electricity Spot Market Based on CNN-LSTM
[IEEE] 2026-8-4 | Getting Uncertainty Right: Local Calibration for Wind Power Forecasting
[IEEE] 2026-8-4 | Distributed Platoon Control for CAV under Relative-State-Dependent Noises
[IEEE] 2026-8-4 | Efficient Predictive Analysis of Critical Care Systems using Morphological Processing with Machine Learning Techniques
[IEEE] 2026-8-4 | Design and Development of a Solar-Powered Air Purification System for Rural Health and Sustainability
[IEEE] 2026-8-4 | Observability-Aided Gpu Memory Oversubscription
[IEEE] 2026-8-4 | Parameter Identification of Electrochemical Model for Lithium-ion Battery via Proximal Policy Optimization Algorithm
[IEEE] 2026-8-4 | Revisit Kalman Filter Through the Lens of Dynamic Programming
[IEEE] 2026-8-4 | Micro-fault Diagnosis of Lithium-ion Batteries for New Energy Vehicles Based on Time Series Decomposition and Deep Feature Learning
[IEEE] 2026-8-4 | MEGATRACE: Troubleshooting Hang and Slowdown in Large-Scale LLM Training Clusters
[IEEE] 2026-8-4 | Reality Check for RISC-V: Assessing Software Maturity, Performance and Security
[IEEE] 2026-8-4 | Fixed-time Disturbance Observer-based Optimal Attitude Control of a Parafoil System
[IEEE] 2026-8-4 | Spatiotemporal Trajectory Anomaly Detection in Dynamic Scenes via Retrieval-Augmented Generation
[IEEE] 2026-8-4 | UT-Searcher: A Hierarchical Planning Framework for Uncertain-Target Search
[IEEE] 2026-8-4 | Robustness Quantification of MIMO-PI Controller from the Perspective of γ-Dissipativity
[IEEE] 2026-8-4 | Explainable Multi-Class Pulmonary Disease Detection from Chest X-Ray Images Using Fine-Tuned DenseNet121 and Grad-CAM
[IEEE] 2026-8-4 | Wearable Collaborative Continuum Robot for Manufacturing Aiding
[IEEE] 2026-8-4 | SpecPool: Storage-Layer Speculation for Parallel Smart Contract Execution
[IEEE] 2026-8-4 | PSB-NANO: A Forward-Looking Imaging Sonar Benchmark for Underwater Pile Diagnosis
[IEEE] 2026-8-4 | IOLTS 2026 Program committee
[IEEE] 2026-8-4 | Real-Time Exam Hall Malpractice Detection Using CNN-Based Video Surveillance
[IEEE] 2026-8-4 | Design of an Iris-Inspired Tactile Gripper for Aerial Grasping
[IEEE] 2026-8-4 | Fair Comparison of Scheduling Algorithms on Heterogeneous Edge Clusters: A Continuous Adaptive Benchmark
[IEEE] 2026-8-4 | Measurement-Based Energy-Efficiency Optimization for On-Demand Data Rate Provisioning in 5G RAN
[IEEE] 2026-8-4 | Continuum-Aware End-Cloud Offloading for Collaborative Inference
[IEEE] 2026-8-4 | Fixed-Time Adaptive Fuzzy Control With Predefined Tracking Accuracy For Macro-Micro Composite Positioning Stage
[IEEE] 2026-8-4 | Classification and Prediction of Sepsis Disease using Randomized Weighted Optimization Model
[IEEE] 2026-8-4 | Lean as a System of Learning Systems
[IEEE] 2026-8-4 | A Blockchain-based Collaborative Intrusion Detection Framework with Quantum Mayfly Optimization for Secure and Intelligent Threat Detection
[IEEE] 2026-8-4 | EA-ONS: A Deterministic Time Synchronization Framework for 5G–TSN Integrated LEO Constellations
[IEEE] 2026-8-4 | Vision Mamba-driven Salient Object Detection for Optical Remote Sensing Images
[IEEE] 2026-8-3 | Temperature-dependent Reflectometric Polymer Optical Fiber Sensor based on a Thermally Fused PMMA Interface
[IEEE] 2026-8-3 | Differential Calibration of Satellite Altimeters using Corner Reflectors
[IEEE] 2026-8-3 | DEDUCE-Net: Efficient Semantic Segmentation on Embedded Systems for Autonomous Driving
[IEEE] 2026-8-4 | SemanticATS: A Contextual Semantic Reasoning Framework for Intelligent Recruitment and ATS Compatibility Analysis
[IEEE] 2026-8-4 | YOLOV11n-Based Hierarchical Framework for Mulberry Leaf Health Assessment
[IEEE] 2026-8-4 | Short-Term Optimal Scheduling of Cascade Hydro-Wind-Solar-Pumped Storage System for Maximizing Renewable Energy Consumption
[IEEE] 2026-8-4 | Plant Leaf Disease Detection and Severity Estimation Using Ghostnet-VIT and Attention U-Net
[IEEE] 2026-8-3 | LLM-Guided Review Condensation for Text-Convolutional Recommendation
[IEEE] 2026-8-3 | A PolInSAR Forest Height Inversion Method Considering the Number of Scattering Phase Centers
