[2026-07-24 23:02:43] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-23
正在获取论文...
[arXiv] 2026-07-23 | Structure theory of $BV$ functions and finite perimeter sets on Riemannian manifolds
[arXiv] 2026-07-23 | The Extended Ultrahigh-energy Gamma-Ray Emission in the Vicinity of PSR J2238+5903
[arXiv] 2026-07-23 | Structured Cavity Quantum Electrodynamics
[arXiv] 2026-07-23 | AUCH-Net: Action Unit-Based Consistency-Aware Hypergraph Network for Cross-Domain Few-Shot Facial Expression Recognition
[arXiv] 2026-07-23 | Solow system driven by $α$-stable Lévy process
[arXiv] 2026-07-23 | Unsupervised Metal Artifact Reduction in Dental CBCT using Fine-tuned Cycle-Consistent Adversarial Networks
[arXiv] 2026-07-23 | Control Co-design of systems with parabolic PDE dynamics
[arXiv] 2026-07-23 | Update the Unseen Only: Minimizing AoI for Collaborative Perception through Online Learning
[arXiv] 2026-07-23 | Fast and Efficient Approximate Nearest Neighbor Search for High-Dimensional LLM Embeddings
[arXiv] 2026-07-23 | RECO: Region-Aware Compensation for Extrinsic Perturbations in Roadside 3D Detection
[arXiv] 2026-07-23 | Ms. Forcing: Efficient Streaming Video Generation with Multi-Scale Patchification and Attention
[arXiv] 2026-07-23 | Controllable and Content-Based Recommendations
[arXiv] 2026-07-23 | SciExplore: Evaluating Autonomous Agents from Scientific Navigation to Information Integration
[arXiv] 2026-07-23 | Representing Entity Importance in AI Knowledge Systems: A Dual-Signal Framework of Audience Evaluation and Structural Authority
[arXiv] 2026-07-23 | OPOD: On-Policy Omni Distillation
[arXiv] 2026-07-23 | Traceable Scholarship: Page Anchors and Ariadne's Thread for Humanistic Inquiry in the Age of Generative AI
[arXiv] 2026-07-23 | URF: A Unified Robot Control-Policy Framework for Stable Contact Aware Manipulation
[arXiv] 2026-07-23 | On structured cosine sums and applications
[arXiv] 2026-07-23 | MAGE-Vein: Multi-Instance Age and Gender Estimation from Finger Vein Images
[arXiv] 2026-07-23 | Orbital Hall Effect Enables Field-Free Magnetization Reversal in Ferrimagnets without Additional Conversion Layer
[arXiv] 2026-07-23 | Long- and Short-Range Anion Order in SrTiO$_{3-x}$H$_x$ Perovskite Oxyhydrides: DFT+$U$ Sensitivity and HSE06 Cluster Expansion
[arXiv] 2026-07-23 | WhereEdit: Mask-aware Local Latent Editing for One-Step Image Editing
[arXiv] 2026-07-23 | Testing for functional white noise in high dimensions
[arXiv] 2026-07-23 | Invisible walls: how pedestrians navigate around social interactions
[arXiv] 2026-07-23 | LegalCiteTrust: Benchmarking Citation Trustworthiness in Chinese Long-Form Legal Research Reports
[arXiv] 2026-07-23 | ViSTR-Bench: Can MLLMs Reason from Continuous Visual Cues in Dynamic Scenes?
[arXiv] 2026-07-23 | Which Model Is Actually Serving You? IRIS: Budgeted Black-Box Auditing of Model Substitution and Routing Dilution in LLM Gateways
[arXiv] 2026-07-23 | On $v_2(q),v_3(q),v_4(q)$, and Andrews' Conjectures 5 and 6
[arXiv] 2026-07-23 | Well-posedness of the mean field game master equation on Carnot tori
[arXiv] 2026-07-23 | Hierarchical Log-Gaussian Relaxation on a Fixed D3Q125 Velocity Set
[arXiv] 2026-07-23 | Mean field and N-agent games for optimal relative consumption-investment with jump risk and common noise
[arXiv] 2026-07-23 | Mixing Performance of Toroidal Ring Mixers: Effects of Flow Rate Ratios and Geometric Asymmetry
[arXiv] 2026-07-23 | Multi-Spin Perturbations, Thermodynamics, and Observational Signatures of Reissner-Nordstrom Black Holes in Bumblebee Gravity
[arXiv] 2026-07-23 | Operators without eigenvalues in finite-dimensional vector spaces: Linearization and Spectral Equivalence
[arXiv] 2026-07-23 | Offline RL with Hierarchical Action Chunking
[arXiv] 2026-07-23 | REFACT: Adaptive Fact Restatement for Compact and Faithful Chain-of-Thought Reasoning
[arXiv] 2026-07-23 | An Improved Linear Extractable Sketch Data Structure for Flow Count Statistics
[arXiv] 2026-07-23 | Auditing Provenance Sensitivity in LLM Agent Action Selection
[arXiv] 2026-07-23 | SubSplat: High-Resolution Pixel-aligned 3DGS via Sub-pixel Gaussian Reparameterization
[arXiv] 2026-07-23 | On the length sets of closed hyperbolic surfaces
[arXiv] 2026-07-23 | A Unified Moral-Value Dataset for Instruction Tuning
[arXiv] 2026-07-23 | If Edge Coloring is Hard under SETH, then SETH is False
[arXiv] 2026-07-23 | The acceptance-complement method revisited
[arXiv] 2026-07-23 | Flash EQ-Linear: Accelerating Equivariant Linear Layers via Group-wise Discrete Fourier Transform
[arXiv] 2026-07-23 | Defect entanglement entropy for superconformal RG Interfaces
[arXiv] 2026-07-23 | Two-Temperature Induced Phase Separation: Non-equilibrium Phase Behavior, Ordering, and Kinetics
[arXiv] 2026-07-23 | Neutral curves and traveling waves in plane Poiseuille flow
[arXiv] 2026-07-23 | Filter Learning for Subgraphs: Algebras and Performance Risk Bounds
[arXiv] 2026-07-23 | Extremal Functions and Widom Factors on Compact Riemann Surfaces
[arXiv] 2026-07-23 | On the Fractional Parts of Polynomials Modulo $p$
[arXiv] 2026-07-23 | A Gaussian smoothing-based zeroth-order method for Goldstein second-order stationarity
[arXiv] 2026-07-23 | slang.gr as a Large-Scale Crowdsourced Resource for Non-Standard Greek
[arXiv] 2026-07-23 | Quasiparticle specific heat of two-component Fermi mixtures: The atomic 163Dy-40K mixture
[arXiv] 2026-07-23 | Spin and momentum fraction carried by partons in the nucleon
[arXiv] 2026-07-23 | An $O(t\log^2 t)$ Bound for $k$-Connected Subgraphs in Dense $K_t$-Minor-Free Graphs
[arXiv] 2026-07-23 | Search Hardness-Aware LLM-Based Problem Formulation for Expensive Simulation-Driven Design
[arXiv] 2026-07-23 | DART: A Degradation-Aware Recurrent Transformer for Archival Film Restoration
[arXiv] 2026-07-23 | ARGON: A GNN-Empowered Compilation Framework for Scalable Neutral Atom Computing
