[2026-07-15 22:58:11] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-14
正在获取论文...
[arXiv] 2026-07-14 | Unknotting number, ribbon concordance, and singular instantons
[arXiv] 2026-07-14 | Emergence of drifted diffusion in quantum walks with subspace restart
[arXiv] 2026-07-14 | Online Control via Counterfactual Tracking
[arXiv] 2026-07-14 | Audio-Native Speech Recognition with a Frozen Discrete-Diffusion Language Model
[arXiv] 2026-07-14 | Model-Independent Indication for a Localized Anomaly in the Late-Time Expansion History
[arXiv] 2026-07-14 | The Spectrum Is Not Enough: When Context Helps Time-Series Forecasting
[arXiv] 2026-07-14 | Shared Bidding Algorithms and Competition: Evidence from Electricity Markets
[arXiv] 2026-07-14 | Ranks of Elliptic Curves Twisted by Quadratic Forms
[arXiv] 2026-07-14 | A Noise-Aware Quantum Algorithm for Credit Valuation Adjustments on Real Quantum Hardware
[arXiv] 2026-07-14 | Controllable Generation of Diverse Dermatological Imagery for Fair and Efficient Malignancy Classification
[arXiv] 2026-07-14 | Single-Shot High-Energy Muon and Particle Radiography with a Multi-GeV Laser-Wakefield-Accelerator-Driven Source
[arXiv] 2026-07-14 | The log log jam in Gaussian state tomography
[arXiv] 2026-07-14 | FormalAnalyticGeo: A Neural-Symbolic Based Framework for Multimodal Analytic Geometry Problem Generation
[arXiv] 2026-07-14 | Even smaller universal posets
[arXiv] 2026-07-14 | Ambient geometry via min-max widths of embedded circles
[arXiv] 2026-07-14 | Causality and realizability of local operations in quantum field theory
[arXiv] 2026-07-14 | Maximal Classicalization of Finite-Group Quantum Reference-Frame Noise
[arXiv] 2026-07-14 | Nonreciprocal Quantum Mpemba Effect
[arXiv] 2026-07-14 | Generalized symmetry in the vanishing of Ext
[arXiv] 2026-07-14 | Robustness of Deep Learning Models for PV Power Forecasting under NWP Forecast Errors: A Spatiotemporal and Physically Interpretable Analysis
[arXiv] 2026-07-14 | Ancilla-Depth Phase Diagrams for Quantum Reference-Frame Comparison
[arXiv] 2026-07-14 | A Separable Banach Space with a Schauder Basis Which Is Not a Lipschitz Retract of Its Bidual
[arXiv] 2026-07-14 | Efficient Sequential Calibration with $O(T^{2/3-ε})$ Error Bound
[arXiv] 2026-07-14 | Thermal conductivity of dense $npΛ$ matter in neutron star cores
[arXiv] 2026-07-14 | Magnetic Contributions to Phase Stability in the Co-Ni Binary: A First-Principles CALPHAD Study
[arXiv] 2026-07-14 | Statistical Non-linear Reconstruction Loss for Image Anomaly Detection
[arXiv] 2026-07-14 | Proceedings of HLPP 2026: 19th International Symposium on High-Level Parallel Programming and Applications
[arXiv] 2026-07-14 | Open-KNEAD: Knowledge-grounded Nutrition Estimation via Agentic Decomposition
[arXiv] 2026-07-14 | Rank-1 Identity Consensus Predicts Gallery Enrollment in 1:N Face Matching More Accurately than Score Thresholding
[arXiv] 2026-07-14 | A 32-channel event-based bio-signal analog front-end with adaptive delta and pulse frequency encoding
[arXiv] 2026-07-14 | Analysis of a multispecies cross-diffusion Keller-Segel system with volume filling
[arXiv] 2026-07-14 | MemOps: Benchmarking Lifecycle Memory Operations in Long-Horizon Conversations
[arXiv] 2026-07-14 | Searching for Stellar Activity Cycles using Flares II: The TESS CVZ
[arXiv] 2026-07-14 | Inhibited Self-Attention: Sharpening Focus in Vision Transformers
[arXiv] 2026-07-14 | From Manifold Identification to Newton Acceleration on Intersections: Sparse Stiefel Optimization
[arXiv] 2026-07-14 | Superstatistical Analysis of PDFs and autocorrelation functions for air pollution concentrations in the UK
