[2026-04-01 22:38:16] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-31
正在获取论文...
[arXiv] 2026-03-31 | Industrial Policy with Network Externalities: Race to the Bottom vs. Win-Win Outcome
[arXiv] 2026-03-31 | Communication Outage-Resistant UUV State Estimation: A Variational History Distillation Approach
[arXiv] 2026-03-31 | Transmittance-Guided Structure-Texture Decomposition for Nighttime Image Dehazing
[arXiv] 2026-03-31 | Hierarchical Battery-Aware Game Algorithm for ISL Power Allocation in LEO Mega-Constellations
[arXiv] 2026-03-31 | Distribution function-based modelling of discrete kinematic datasets, in application to the Milky Way nuclear star cluster
[arXiv] 2026-03-31 | Model Predictive Path Integral PID Control for Learning-Based Path Following
[arXiv] 2026-03-31 | Why not to use Cosine Similarity between Label Representations
[arXiv] 2026-03-31 | Thermal Conductivity and Temperature-Induced Band Gap Renormalization in Crystalline and Amorphous Ga$_2$O$_3$
[arXiv] 2026-03-31 | Fundamental problems in Statistical Physics XIV: Lecture on Correlation and response functions in statistical physics
[arXiv] 2026-03-31 | An Isotropic Approach to Efficient Uncertainty Quantification with Gradient Norms
[arXiv] 2026-03-31 | Magnetic transport and chaotic orbits of charged particles
[arXiv] 2026-03-31 | Notes on angles and solid angles, in relation with Euler's memoir De mensura angulorum solidorum
[arXiv] 2026-03-31 | A compact support property for infinite-dimensional SDEs with Hölder continuous coefficients
[arXiv] 2026-03-31 | Reaction-Diffusion System Approximation to the Fast Diffusion Equation
[arXiv] 2026-03-31 | Nuclear shapes of Nb isotopes
[arXiv] 2026-03-31 | Loop-Checking and Counter-Model Extraction for Intuitionistic Tense Logics via Nested Sequents
[arXiv] 2026-03-31 | Multimodal Models Meet Presentation Attack Detection on ID Documents
[arXiv] 2026-03-31 | Uniqueness of the infinite cluster for monotone percolation models without insertion tolerance
[arXiv] 2026-03-31 | Native-Domain Cross-Attention for Camera-LiDAR Extrinsic Calibration Under Large Initial Perturbations
[arXiv] 2026-03-31 | Exact Separation of Words via Trace Geometry
[arXiv] 2026-03-31 | Hallucination-aware intermediate representation edit in large vision-language models
[arXiv] 2026-03-31 | Rich-U-Net: A medical image segmentation model for fusing spatial depth features and capturing minute structural details
[arXiv] 2026-03-31 | Pathogen diversity emerging from coevolutionary dynamics in interconnected systems
[arXiv] 2026-03-31 | Search for Light Scalars in the TRSM at the LHC
[arXiv] 2026-03-31 | A Three-Dimensional Path Loss Model for THz Band Aerial Communications
[arXiv] 2026-03-31 | Deep Learning-Assisted Improved Differential Fault Attacks on Lightweight Stream Ciphers
[arXiv] 2026-03-31 | Parameterized Algorithms for Computing MAD Trees
[arXiv] 2026-03-31 | Finite-time analysis of Multi-timescale Stochastic Optimization Algorithms
[arXiv] 2026-03-31 | Altermagnetic-doping interplay as a route to enhanced d-wave pairing in the Hubbard model
[arXiv] 2026-03-31 | Assessing Multimodal Chronic Wound Embeddings with Expert Triplet Agreement
[arXiv] 2026-03-31 | AP-DRL: A Synergistic Algorithm-Hardware Framework for Automatic Task Partitioning of Deep Reinforcement Learning on Versal ACAP
[arXiv] 2026-03-31 | CIPHER: Counterfeit Image Pattern High-level Examination via Representation
[arXiv] 2026-03-31 | Recirculating frequency-shifting loop for flexible optical chirp generation and FMCW LiDAR
[arXiv] 2026-03-31 | Cylindrical contact homology for weakly convex contact forms in dimension three
[arXiv] 2026-03-31 | Developing a Guideline for the Labovian-Structural Analysis of Oral Narratives in Japanese
[arXiv] 2026-03-31 | L-ReLF: A Framework for Lexical Dataset Creation
[arXiv] 2026-03-31 | Open Machine Translation for Esperanto
[arXiv] 2026-03-31 | Parafermionic Truncated Wigner Approximation
[arXiv] 2026-03-31 | Layer-selective hydrogenation and proton transport in twisted bilayer graphene
[arXiv] 2026-03-31 | An innovative alternative to traditional funding streams for extragalactic astronomy
[arXiv] 2026-03-31 | CADEL: A Corpus of Administrative Web Documents for Japanese Entity Linking
[arXiv] 2026-03-31 | Real-Time Band-Grouped Vocal Denoising Using Sigmoid-Driven Ideal Ratio Masking
