[2026-09-01 23:49:28] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-31
正在获取论文...
[arXiv] 2026-08-31 | MURANO: Design, Run, and Reproduce Mechanistic Interpretability Experiments as Composable Pipelines
[arXiv] 2026-08-31 | Higher Regularity of Time-Periodic Solutions to Nonautonomous Hyperbolic Problems: Away from Resonances
[arXiv] 2026-08-31 | Marginal Coordinate Test for Fréchet Regression with Random Objects
[arXiv] 2026-08-31 | Astrometric modeling of unresolved variable binary systems. II. Application to Gaia epoch astrometry of nearby pulsating and convective red giants
[arXiv] 2026-08-31 | Deterministic Universal Logical Gates for Finite-Energy GKP Qubits in Trapped Neutral Atoms
[arXiv] 2026-08-31 | REER-PT: Reverse-Engineered Reasoning for Perplexity-Guided Pre-training Data Augmentation
[arXiv] 2026-08-31 | A model-inversion control strategy to attain desired equilibrium points when synthesizing nonlinear resonators
[arXiv] 2026-08-31 | Time-delayed feedback turns Arrhenius escape logarithmic
[arXiv] 2026-08-31 | Cost-efficient Active Learning for Referring Image Segmentation and Grounding
[arXiv] 2026-08-31 | On the Nielsen realisation problem for cyclic groups of prime order
[arXiv] 2026-08-31 | Not all those missing are lost: leveraging galaxy clustering in incomplete catalogs to unleash dark sirens cosmology
[arXiv] 2026-08-31 | PLC-DPO: Posterior Label Correction in Noisy and Ambiguous Preference Optimization
[arXiv] 2026-08-31 | Infinite Matrix Operators and $E$-Frames in Hilbert Spaces
[arXiv] 2026-08-31 | Freezing of a deformable water-saturated porous medium. Part I: THM formulation, OpenGeoSys-6 implementation and benchmarking
[arXiv] 2026-08-31 | An Abstract Index Theorem via Rees Algebras
[arXiv] 2026-08-31 | Automated Testing of LLM-Based Post Hoc Explainers Using Model Checking as an Oracle
[arXiv] 2026-08-31 | NS-UNO: Neutron Star EoS Inference from an Unconstrained Number of Observations
[arXiv] 2026-08-31 | Long-Memory Estimation and Fractionally Integrated Modeling of White Maize Prices in Togo
[arXiv] 2026-08-31 | SPHERE: Automatic Music Upmixing via Audio Language Model Post-Training with Spatial Heuristic Rewards
[arXiv] 2026-08-31 | A note on markets with semi-static trading strategies
[arXiv] 2026-08-31 | Strong law of large numbers for generalized operator means II
[arXiv] 2026-08-31 | Temperature Dependence of the Refractive Index for AlAsGaSb
[arXiv] 2026-08-31 | Seeing the Unseen: Visual Similarity for Pixel Language Model Adaptation
[arXiv] 2026-08-31 | Behavior-Skill: A Fine-Grained Benchmark for Evaluating Vision-Language-Action Policies in Long-Horizon Tasks
[arXiv] 2026-08-31 | Brane effective actions and their island rule from $T\overline T$ flows
[arXiv] 2026-08-31 | DiffPDE: Masked Diffusion Language Models as PDE Solver
[arXiv] 2026-08-31 | WebWorld: The Browser as a World Model for Self-Improving Web Code
[arXiv] 2026-08-31 | Local-to-Global Sentence-Level Graph Reranking for Scientific Synthesis
[arXiv] 2026-08-31 | Beamforming Design Via GNN in mmWave Cell-Free Massive MIMO Using Sub-6 GHz CSI
[arXiv] 2026-08-31 | Complex-gate all-optical frequency-resolved optical gating for ultrabroadband isolated attosecond pulse characterization
[arXiv] 2026-08-31 | DINOspec: Efficient Multimodal Alignment of Vision and Spectral Foundation Models for Astronomy
[arXiv] 2026-08-31 | Thermodynamic reconstruction in observationally constrained dynamical dark energy models
[arXiv] 2026-08-31 | Sensitivity Hot Spot Penalization: A Robust Topology Optimization Framework against First-Order Worst-Case Perturbations
[arXiv] 2026-08-31 | Bridge: Automatically Mining Ecosystem-Scale API Update Mappings and Client Update Instances
[arXiv] 2026-08-31 | McKean-Vlasov Differential Equations: An introduction and a focus on some kinetic models
[arXiv] 2026-08-31 | Measuring Memory and Generalization as Separable Geometric Channels: The Topo^2 Framework
[arXiv] 2026-08-31 | Phosphorus abundances and multi-element co-enrichment in nearby FGK stars
[arXiv] 2026-08-31 | Agents in the Large: Perception-Centered Architecture for Persistent Agents
[arXiv] 2026-08-31 | Strengthening LargeRDFBench for Interoperable Federated SPARQL Evaluation
[arXiv] 2026-08-31 | Self-Supervised Pretext Tasks for Infant Cry Analysis: A Controlled Comparison and a Cautionary Result on Donateacry
[arXiv] 2026-08-31 | Coupling of two individual magnon resonators via a superconducting microwave resonator operating in the strong coupling regime
[arXiv] 2026-08-31 | PRIME: Mitigating Subgroup Optimization Competition in Shared CTR Top Networks with Plug-in Residual Input-Conditioned Mixture of Expert
[arXiv] 2026-08-31 | Derivation of a linearly elastic elliptic membrane shell theory in the framework of magnetoelasticity
[arXiv] 2026-08-31 | ECLIPSE: Self-Evolving Stealthy Prompt Injection Attack against Long-Horizon Agentic Systems
[arXiv] 2026-08-31 | Meson gravitational D-form factors and symmetry breaking in low-energy QCD
[arXiv] 2026-08-31 | The Iterative Conception Reconsidered
[arXiv] 2026-08-31 | Bias-Corrected Machine-Learning Estimation of Chiral Condensate Cumulants: A Retrospective Lattice QCD Case Study
[arXiv] 2026-08-31 | Doc-REFRAG: Rethinking Multimodal Document Retrieval-Augmented Generation
[arXiv] 2026-08-31 | Reinforcement Learning for Symbolic Equation Solving
[arXiv] 2026-08-31 | Projection-Free Bandit Online Optimization for Multi-Agent Systems with Dynamic Regret
[arXiv] 2026-08-31 | Multi-Domain Graph-Based Modeling of Energy Systems with Applications to Lithium-Ion Batteries
[arXiv] 2026-08-31 | Rethinking Language's Role in Efficient VLA for Autonomous Vehicles: Toward Smarter, Trustworthy Driving
[arXiv] 2026-08-31 | Superconductivity of Tellurium Polyhydride with Tc above 90K
[arXiv] 2026-08-31 | High frequency wave propagation for the viscoelastic wave equation with singular memory
[arXiv] 2026-08-31 | Verification-Aware Training for Speculative Decoding
[arXiv] 2026-08-31 | R-equivalence of quandle colorings and inner automorphisms
[arXiv] 2026-08-31 | Interception Conditions in Multi-Agent Pursuit Games Governed by Linear Dynamics with Gronwall-type Constraints
[arXiv] 2026-08-31 | Structure-Preserving Detailed-Balance Master-Equation Discretizations for Fokker--Planck Equations
[arXiv] 2026-08-31 | Constants of motion and fundamental frequencies for elliptic orbits at fourth post-Newtonian order: aligned-spin contributions
[arXiv] 2026-08-31 | Signatures of inter-sideband coherence in the resonance fluorescence spectrum of an acoustically-modulated quantum dot
[arXiv] 2026-08-31 | Free energy and phase transition for 2D directed polymers with critical spatial correlations
[arXiv] 2026-08-31 | Context Staircase: Signature-Aligned Dynamics of Token Embeddings under Small Initialization
[arXiv] 2026-08-31 | Exponential random graph models with soft clique constraints
[arXiv] 2026-08-31 | WildSEEK: Evaluating Language Models for Information-Seeking
[arXiv] 2026-08-31 | Superfluid memory effect
[arXiv] 2026-08-31 | OntoAligner-Ensemble: Voting-Based Fusion across Heterogeneous Ontology Alignment Techniques
[arXiv] 2026-08-31 | When Does Bigger Help? A Controlled Study of LLM Scale for Ontology Learning
[arXiv] 2026-08-31 | The Dunkl two-photon/Schrödinger algebras and their applications
[arXiv] 2026-08-31 | Resonant Dynamics of Gravitational Wave and Chiral Alfvén wave in the Early Universe
[arXiv] 2026-08-31 | On the Prospects of Dynamic LLM Conversations in Software Development
[arXiv] 2026-08-31 | $D \to (K π)_{\mathbf{27}}$ at the SU(3)-flavour-symmetric point I: Methodology and strong phase determination
[arXiv] 2026-08-31 | Magnetohydrodynamics of charged interstellar dust. Multifluid models and study of the linear modes
[arXiv] 2026-08-31 | The anisotropic Michael-Simon inequality for surfaces in every codimension
[arXiv] 2026-08-31 | Dynamics of a nanoscale ferromagnetic vortex
[arXiv] 2026-08-31 | TPR-Attention for Combinatorial Generalization
[arXiv] 2026-08-31 | Vector-Valued Wavelet Bases as Hilbert $\mathbb{M}_m(\mathbb{R})$-Module Bases: A Construction from Scalar Wavelets
[arXiv] 2026-08-31 | Overcoming critical slowing down in frustrated spin systems by learned multiscale sampling
[arXiv] 2026-08-31 | Maximally Spread Out Measures and Implications for Phase Transitions in Approximation Theory
[arXiv] 2026-08-31 | Edge codes constructed from unicyclic graphs
[arXiv] 2026-08-31 | Trinomial containment in polynomial ideals is undecidable
[arXiv] 2026-08-31 | A Dual-Cam Parallel Elastic Actuator with Shared Gas-Spring Compensation for Humanoid Ankles
[arXiv] 2026-08-31 | Device characterization of Si$/$SiGe double quantum dots using exchange oscillations in Earth's magnetic field
[arXiv] 2026-08-31 | Structural Corrections to the Bethe Approximation of the Permanent
[arXiv] 2026-08-31 | Real-Time Reference Shaping for Servo Systems
[arXiv] 2026-08-31 | Improving Information Extraction with Learned Queries
