[2026-07-28 22:58:28] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-27
正在获取论文...
[arXiv] 2026-07-27 | Spectral aspects of random heavy-tailed tensors
[arXiv] 2026-07-27 | The Degree of Strategy-Proofness for Risk-Averse Committee Selection
[arXiv] 2026-07-27 | BettiSplit: Topology-Guided Privacy-Aware Split Learning Against Feature Inversion and Gradient Leakage
[arXiv] 2026-07-27 | Robust Interpretation of Historical Documents in Knowledge Graphs Through Query Inference and Execution
[arXiv] 2026-07-27 | Cosmic ray heating of cold streams: Implications for the gas supply and growth of massive galaxies
[arXiv] 2026-07-27 | On the Recognition of Outerplanar Graphs with Queue Number 1
[arXiv] 2026-07-27 | Generative Artificial Intelligence (GenAI) to convert images of queuing networks into verifiable simulation models: an open-weight LLM workflow approach
[arXiv] 2026-07-27 | Universal Statistics of Energy and Information Flow in Random Electromagnetic Fields
[arXiv] 2026-07-27 | Accuracy potential of visual localization exploiting high-end street-level imagery
[arXiv] 2026-07-27 | Classical simulation and model concentration in passive linear optics
[arXiv] 2026-07-27 | Effects of temperature-dependent optical properties on the determination of interstellar dust masses
[arXiv] 2026-07-27 | Dynamic hysteresis in an autocatalytic reaction network
[arXiv] 2026-07-27 | Long-time Stability and Convergence of Particle Swarm Optimization
[arXiv] 2026-07-27 | Maximum independent queen set on polyominoes is NP-complete
[arXiv] 2026-07-27 | Colored Markov-Modulated Brownian Motion for Preemptive Workload Stacks
[arXiv] 2026-07-27 | The SpiNNaker2 chip: a many-core platform for flexible and scalable brain-inspired computing
[arXiv] 2026-07-27 | Subreflexive Logic: Completeness without Identity
[arXiv] 2026-07-27 | Modeling Local Exploit Hazard - A Bayesian Framework for Quantifying Exploit Risk and Operational Efficiency
[arXiv] 2026-07-27 | Implementation and verification of the avalanche source in a 3D full-f particle-in-cell model of relativistic electrons for studies of tokamak disruptions
[arXiv] 2026-07-27 | ML-based Predictive Models for Power Consumption in Virtualised O-RANs
[arXiv] 2026-07-27 | Stacking the Deck: Tunable Trainability in Stacked LCUs
[arXiv] 2026-07-27 | Sparse Autoencoders Encode Both Concepts and Functions: The Downstream Geometry of Feature Effects
[arXiv] 2026-07-27 | Simple modules for affine nilCoxeter algebras
[arXiv] 2026-07-27 | Make or Take: How Students Navigate Self-Created and Instructor-Provided Cheat Sheets
[arXiv] 2026-07-27 | ERUnderstand: Evaluating Vision-Language Models on Structured ER Diagrams
[arXiv] 2026-07-27 | SADe: Sparse-Atom Support Decontamination for Few-Shot Segmentation with Weak Support Annotations
[arXiv] 2026-07-27 | Derangetropy Operators
[arXiv] 2026-07-27 | Diagonal dimension and intermediate sub-C*-algebras
[arXiv] 2026-07-27 | A computer-assisted proof of Kuperberg's six-cylinder conjecture
[arXiv] 2026-07-27 | Fluctuation theorems for autonomous work in the quantum regime
[arXiv] 2026-07-27 | Two-neutrino double-weak decays of $^{126}$Xe and $^{134}$Xe from different many-body methods
[arXiv] 2026-07-27 | Electromagnetic structure of charged and neutral strange vector mesons
[arXiv] 2026-07-27 | On the problem of large gcd for disjoint residue classes
[arXiv] 2026-07-27 | Majority Dynamics on Assortative Sparse Stochastic Block Models
[arXiv] 2026-07-27 | Reason-Mediated Behavioral Models for Auditing LLM Social Simulators
[arXiv] 2026-07-27 | Current References for Minimum Copper Loss and Torque Ripple in the Full Torque-Speed Range for Symmetrical Six-Phase PMSMs With Nonsinusoidal Back-EMF Under an Open-Phase Fault
[arXiv] 2026-07-27 | Development of a Handheld Actuation Mechanism for a Tendon-driven Robotically Steered Guidewire
[arXiv] 2026-07-27 | Polynomial-time $(k+ε)$-approximation for $k$-coloured Non-crossing Euclidean TSP
[arXiv] 2026-07-27 | Enclosing a Compact Set in an O-minimal Expansion of $(\mathbb{R},+,\cdot,0,1 <)$
[arXiv] 2026-07-27 | Extreme outbreaks in non-Markovian epidemics on complex networks
[arXiv] 2026-07-27 | Fixed-time stabilization of systems with nilpotent matrices in the presence of large unknown delays
[arXiv] 2026-07-27 | D-Score: A Spectral Hidden-State Signal for Hallucination Detection in Large Language Models
[arXiv] 2026-07-27 | From Data to Device: ELMOD An Efficient German-First 2.7B Language Model for Mobile Inference
[arXiv] 2026-07-27 | CADER: Confidence-Aware Dynamic Evidence Reasoning for Long-Video Understanding
[arXiv] 2026-07-27 | Tikhonov-Regularized Physics-Informed Neural Networks for Terminal-State Distributed Optimal Control of Parabolic Partial Differential Equations
[arXiv] 2026-07-27 | The Wide-field Spectroscopic Telescope (WST): design trade-offs for the low-resolution multi-object spectrograph instrument
[arXiv] 2026-07-27 | The K-SCAN Clustering Algorithm
