[2026-02-11 09:40:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-10
正在获取论文...
[arXiv] 2026-02-10 | Hecke curves in Frobenius strata of moduli space of rank 2 vector bundles
[arXiv] 2026-02-10 | Simpler Presentations for Many Fragments of Quantum Circuits
[arXiv] 2026-02-10 | Free-GVC: Towards Training-Free Extreme Generative Video Compression with Temporal Coherence
[arXiv] 2026-02-10 | Differentiable Tripartite Modularity for Clustering Heterogeneous Graphs
[arXiv] 2026-02-10 | Geodesic networks and the disjointness gap in the directed landscape
[arXiv] 2026-02-10 | Code2World: A GUI World Model via Renderable Code Generation
[arXiv] 2026-02-10 | An Extension and Refinement of the Brouwer-Schauder-Tychonoff Fixed Point Theorem
[arXiv] 2026-02-10 | Exciton fine structure in CdSe nanoplatelets using a quasi-2D screened configuration-interaction framework
[arXiv] 2026-02-10 | Adaptive Single-Loop Methods for Stochastic Minimax Optimization on Riemannian Manifolds
[arXiv] 2026-02-10 | 6G NTN Waveforms: A Comparison of OTFS, AFDM and OCDM in LEO Satellite Channels
[arXiv] 2026-02-10 | LLM Reasoning Predicts When Models Are Right: Evidence from Coding Classroom Discourse
[arXiv] 2026-02-10 | Well-quasi-orders on finite trees and transfinite sequences
[arXiv] 2026-02-10 | Internalizing Multi-Agent Reasoning for Accurate and Efficient LLM-based Recommendation
[arXiv] 2026-02-10 | Scaling laws for the cutoff wavenumber of the short-wavelength ion-temperature-gradient mode in a Z-pinch
[arXiv] 2026-02-10 | PlugSI: Plug-and-Play Test-Time Graph Adaptation for Spatial Interpolation
[arXiv] 2026-02-10 | Text summarization via global structure awareness
[arXiv] 2026-02-10 | Estimating Electron Densities in the Middle Solar Corona using White-light and Radio Observations
[arXiv] 2026-02-10 | Simple connectedness of the Ran space
[arXiv] 2026-02-10 | Instantaneous modes in dispersive laser cavities
[arXiv] 2026-02-10 | Efficient Unsupervised Environment Design through Hierarchical Policy Representation Learning
[arXiv] 2026-02-10 | An Erdős--Trotter problem on antichains with multiplicity $r$ on each occurring level
[arXiv] 2026-02-10 | Study of $B^+ \to μ^+ ν_μ$ decays at Belle and Belle II
[arXiv] 2026-02-10 | Flexible Entropy Control in RLVR with Gradient-Preserving Perspective
[arXiv] 2026-02-10 | Analysis of Galactic cirrus filaments in HSC-SSP high-resolution deep images using artificial neural networks
[arXiv] 2026-02-10 | Phase Transition With Rapini-Papoular Surface Anchoring
[arXiv] 2026-02-10 | Self-Supervised Learning as Discrete Communication
[arXiv] 2026-02-10 | Wave Particle Turbulent Simulation of Spatially Developing Round Jets Using a Non Equilibrium Transport Model with a Mixing Length Characteristic Time Closure
[arXiv] 2026-02-10 | Discrete equations from Bäcklund transformations of the fifth Painlevé equation
[arXiv] 2026-02-10 | Exceptional nodal rings emerging in spinful Rice-Mele chains
[arXiv] 2026-02-10 | How Geometry Tames Disorder in Lattice Fracture
[arXiv] 2026-02-10 | An open-source implementation of a closed-loop electrocorticographic Brain-Computer Interface using Micromed, FieldTrip, and PsychoPy
[arXiv] 2026-02-10 | Allure of Craquelure: A Variational-Generative Approach to Crack Detection in Paintings
[arXiv] 2026-02-10 | Beyond Free-Stream Preservation: Transport Polynomial Exactness for Moving-Mesh Methods under Arbitrary Mesh Motion
[arXiv] 2026-02-10 | ExO-PPO: an Extended Off-policy Proximal Policy Optimization Algorithm
[arXiv] 2026-02-10 | Targum -- A Multilingual New Testament Translation Corpus
[arXiv] 2026-02-10 | From Lightweight CNNs to SpikeNets: Benchmarking Accuracy-Energy Tradeoffs with Pruned Spiking SqueezeNet
[arXiv] 2026-02-10 | TraceMem: Weaving Narrative Memory Schemata from User Conversational Traces
[arXiv] 2026-02-10 | Extended Isolation Forest with feature sensitivities
[arXiv] 2026-02-10 | Stellar-mass black holes in young massive and open stellar clusters -- VII. Comparisons with gravitational-wave events until LVK-O4a and Gaia compact binaries
[arXiv] 2026-02-10 | High Photovoltaic Efficiency in Bulk-Stacked One-Dimensional GeSe$_{2}$ van der Waals Crystal
[arXiv] 2026-02-10 | Resilient Class-Incremental Learning: on the Interplay of Drifting, Unlabelled and Imbalanced Data Streams
[arXiv] 2026-02-10 | Talking with the Latents -- how to convert your LLM into an astronomer
[arXiv] 2026-02-10 | Differentiable Modeling for Low-Inertia Grids: Benchmarking PINNs, NODEs, and DP for Identification and Control of SMIB System
[arXiv] 2026-02-10 | Tunable many-body burst in isolated quantum systems
[arXiv] 2026-02-10 | Organic Acid Chemistry in ISM: Detection of Formic Acid and its Prebiotic Chemistry in Hot Core G358.93$-$0.03 MM1
[arXiv] 2026-02-10 | ClinAlign: Scaling Healthcare Alignment from Clinician Preference
[arXiv] 2026-02-10 | Time2General: Learning Spatiotemporal Invariant Representations for Domain-Generalization Video Semantic Segmentation
[arXiv] 2026-02-10 | A simple proof of the discreteness of Dirichlet processes
