[2026-07-16 22:56:42] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-15
正在获取论文...
[arXiv] 2026-07-15 | The spread construction and non-uniqueness of visible Lagrangians
[arXiv] 2026-07-15 | Self-supervised Speech Comparison for L2 Phone, Rhythm, and Intonation Scoring
[arXiv] 2026-07-15 | Temporal Entanglement from Twist Correlators in 2d Conformal Field Theory and Holography
[arXiv] 2026-07-15 | Regularity of Manhattan manifolds and exact dimensionality for relatively Anosov groups
[arXiv] 2026-07-15 | Marker-free deformable registration and fusion for augmented reality-guided positive margin localization during tumor resection surgery
[arXiv] 2026-07-15 | Separating Geometry From Interference in Constrained Quantum Optimization
[arXiv] 2026-07-15 | DreamSat-Pose: Spacecraft Pose Estimation from Single-View 3D Reconstructions and Learned 2D-3D Feature Matching
[arXiv] 2026-07-15 | Do Agent Optimizers Compound? A Continual-Learning Evaluation on Terminal-Bench 2.0
[arXiv] 2026-07-15 | TRACE: Turn-level Reward Assignment via Credit Estimation for Long-Horizon Agents
[arXiv] 2026-07-15 | Online Random Sampling with Real Probabilities
[arXiv] 2026-07-15 | Filon Methods for Highly Oscillatory Controlled Quantum Systems
[arXiv] 2026-07-15 | TreeSRNF: Square-Root Normal Fields for Generative Modelling of the Geometric and Structural Variability in Tree-like 3D Objects
[arXiv] 2026-07-15 | Sail membranes for optomechanical accelerometry
[arXiv] 2026-07-15 | Linear Independent Component Analysis via Optimal Transport
[arXiv] 2026-07-15 | Orbital Hybridization Induces Giant Cubic Rashba Effect at Cu/WO$_{3}$ Interface
[arXiv] 2026-07-15 | Minimax Theory of Likelihood-Based Deep Learning for Speckle Regression
[arXiv] 2026-07-15 | A Finite Skew Brace with Perfect Additive Group and Almost Simple Multiplicative Group
[arXiv] 2026-07-15 | Update on the slicer IFU for the Magellan InfraRed Multi-Object Spectrograph (MIRMOS)
[arXiv] 2026-07-15 | A Spectrally Damped Tensor Randomized Kaczmarz Method for Doubly Noisy Tensor Systems
[arXiv] 2026-07-15 | A proof complexity perspective on effectively zero-knowledge proofs
