[2026-03-06 09:26:13] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-05
正在获取论文...
[arXiv] 2026-03-05 | KARL: Knowledge Agents via Reinforcement Learning
[arXiv] 2026-03-05 | Lagrangian formulation of the Darboux system
[arXiv] 2026-03-05 | Theories of the Glass Transition Based on Local Excitations
[arXiv] 2026-03-05 | Diffusion LLMs can think EoS-by-EoS
[arXiv] 2026-03-05 | Discrete \texorpdfstring{$θ$}{theta} Projection: A Gauge-Protected Solution to the Strong CP Problem Without Axions
[arXiv] 2026-03-05 | An efficient and accurate numerical method for computing the ground states of three-dimensional rotating dipolar Bose-Einstein condensates under strongly anisotropic trap
[arXiv] 2026-03-05 | Small Changes, Big Impact: Demographic Bias in LLM-Based Hiring Through Subtle Sociocultural Markers in Anonymised Resumes
[arXiv] 2026-03-05 | Introduction to holography
[arXiv] 2026-03-05 | Regularization of the superposition principle: Potential theory meets Fokker-Planck equations
[arXiv] 2026-03-05 | Trainable Bitwise Soft Quantization for Input Feature Compression
[arXiv] 2026-03-05 | Machine Learning the Strong Disorder Renormalization Group Method for Disordered Quantum Spin Chains
[arXiv] 2026-03-05 | New Berry-Esseen bounds for parameter estimation of Gaussian processes observed at high frequency
[arXiv] 2026-03-05 | Revitalizing AR Process Simulation of Non-Gaussian Radar Clutter via Series-Based Analytic Continuation
[arXiv] 2026-03-05 | SSR-GS: Separating Specular Reflection in Gaussian Splatting for Glossy Surface Reconstruction
[arXiv] 2026-03-05 | Integrated Microcomb-Driven Vortex Electromagnetic Waves for Broadband Forward-looking Sensing
[arXiv] 2026-03-05 | The Minkowski problem of $p$-affine dual curvature measures
[arXiv] 2026-03-05 | Recurrent Graph Neural Networks and Arithmetic Circuits
[arXiv] 2026-03-05 | New Improved Schwarzschild Black Hole and Its Thermodynamics and Topological Classification
[arXiv] 2026-03-05 | Crystal growth and magnetic properties of spin-$1/2$ distorted triangular lattice antiferromagnet CuLa$_2$Ge$_2$O$_8$
[arXiv] 2026-03-05 | Analysis of the Riemann Zeta Function via Recursive Taylor Expansions
[arXiv] 2026-03-05 | FedBCD:Communication-Efficient Accelerated Block Coordinate Gradient Descent for Federated Learning
[arXiv] 2026-03-05 | Trajectory Tracking for Uncrewed Surface Vessels with Input Saturation and Dynamic Motion Constraints
[arXiv] 2026-03-05 | UniPAR: A Unified Framework for Pedestrian Attribute Recognition
[arXiv] 2026-03-05 | Altermagnetic Metal-Organic Frameworks
[arXiv] 2026-03-05 | Simultaneous Misalignment and Mode Mismatch Sensing in Optical Cavities Using Intensity-Only Measurements
[arXiv] 2026-03-05 | The effect of fluorine or chlorine substitution on mesomorphic properties of ferroelectric nematic liquid crystals
[arXiv] 2026-03-05 | Quantitative Error Estimates for Learning Macroscopic Mobilities from Microscopic Fluctuations
[arXiv] 2026-03-05 | PromptTuner: SLO-Aware Elastic System for LLM Prompt Tuning
[arXiv] 2026-03-05 | MI-DETR: A Strong Baseline for Moving Infrared Small Target Detection with Bio-Inspired Motion Integration
[arXiv] 2026-03-05 | Jagarin: A Three-Layer Architecture for Hibernating Personal Duty Agents on Mobile
[arXiv] 2026-03-05 | Strong breaking of black-hole uniqueness from coexisting scalarization mechanisms
[arXiv] 2026-03-05 | Deep Learning-Driven Friendly Jamming for Secure Multicarrier ISAC Under Channel Uncertainty
[arXiv] 2026-03-05 | Renormalisation of Chiral Gauge Theories with Non-Anticommuting $γ_5$ at the Multi-Loop Level
[arXiv] 2026-03-05 | Ab initio quasi-harmonic thermoelasticity, piezoelectricity, and thermoelectricity of polar solids at finite temperature and pressure: Application to wurtzite ZnO
[arXiv] 2026-03-05 | CLIP-driven Zero-shot Learning with Ambiguous Labels
[arXiv] 2026-03-05 | NeuronMoE: Neuron-Guided Mixture-of-Experts for Efficient Multilingual LLM Extension
[arXiv] 2026-03-05 | Enhanced Third-Order Optical Nonlinearity in a Dipolar Carbene-Metal-Amide Material with Two-Photon Excited Delayed Fluorescence
[arXiv] 2026-03-05 | The "Gold Rush" in AI and Robotics Patenting Activity. Do innovation systems have a role?
[arXiv] 2026-03-05 | AegisUI: Behavioral Anomaly Detection for Structured User Interface Protocols in AI Agent Systems
[arXiv] 2026-03-05 | Survive at All Costs: Exploring LLM's Risky Behaviors under Survival Pressure
[arXiv] 2026-03-05 | Topological Surface Charge Detection via Active Capacitive Compensation: A Pathway to the 4D Quantum Hall Effect
[arXiv] 2026-03-05 | Observer Design for Augmented Reality-based Teleoperation of Soft Robots
[arXiv] 2026-03-05 | How far have we gone in Generative Image Restoration? A study on its capability, limitations and evaluation practices
[arXiv] 2026-03-05 | Observational and Thermodynamic aspects of one-dimensional Dark Energy EoS parametrization models
[arXiv] 2026-03-05 | Nitsche methods for constrained problems in mechanics
[arXiv] 2026-03-05 | Positional s-of-k games
[arXiv] 2026-03-05 | Sensitivity of a closed dielectric haloscope to axion dark matter
[arXiv] 2026-03-05 | Competitive Multi-Operator Reinforcement Learning for Joint Pricing and Fleet Rebalancing in AMoD Systems
[arXiv] 2026-03-05 | HiFlow: Hierarchical Feedback-Driven Optimization for Constrained Long-Form Text Generation
[arXiv] 2026-03-05 | Fluctuation-induced quadrupole order in magneto-electric materials
[arXiv] 2026-03-05 | Rethinking Representativeness and Diversity in Dynamic Data Selection
[arXiv] 2026-03-05 | Approximation of invariant probability measures for super-linear stochastic functional differential equations with infinite delay
[arXiv] 2026-03-05 | A Benchmark Study of Neural Network Compression Methods for Hyperspectral Image Classification
[arXiv] 2026-03-05 | Design, Mapping, and Contact Anticipation with 3D-printed Whole-Body Tactile and Proximity Sensors
[arXiv] 2026-03-05 | AstroInspect: a web-based system to organize, assess, and visually inspect astronomical objects
[arXiv] 2026-03-05 | Hollow toroidal rotation profiles in strongly electron heated H-mode plasmas in the ASDEX Upgrade tokamak
[arXiv] 2026-03-05 | Counting $P_3$-convex sets in graphs
[arXiv] 2026-03-05 | Covering complete $r$-partite hypergraphs with few monochromatic components
[arXiv] 2026-03-05 | Intensity Fluctuation Spectra as a Design Guide for Nonlinear-Tolerant Constellation Shaping
[arXiv] 2026-03-05 | When Denoising Becomes Unsigning: Theoretical and Empirical Analysis of Watermark Fragility Under Diffusion-Based Image Editing
[arXiv] 2026-03-05 | The augmented van Trees inequality
[arXiv] 2026-03-05 | Sequential Multiple Testing: A Second-Order Asymptotic Analysis
[arXiv] 2026-03-05 | Think, Then Verify: A Hypothesis-Verification Multi-Agent Framework for Long Video Understanding
[arXiv] 2026-03-05 | BiEvLight: Bi-level Learning of Task-Aware Event Refinement for Low-Light Image Enhancement
[arXiv] 2026-03-05 | Quadratic form estimations for Hessian matrices of resistance distance and Kirchhoff index of positive-weighted graphs
[arXiv] 2026-03-05 | Design of Grid Forming Multi Timescale Coordinated Control Strategies for Dynamic Virtual Power Plants
[arXiv] 2026-03-05 | MWA tied-array processing V: Super-resolved localisation via amplitude-only maximum likelihood direction finding
[arXiv] 2026-03-05 | VisionPangu: A Compact and Fine-Grained Multimodal Assistant with 1.7B Parameters
[arXiv] 2026-03-05 | Retrieval-Augmented Generation with Covariate Time Series
[arXiv] 2026-03-05 | Federated Heterogeneous Language Model Optimization for Hybrid Automatic Speech Recognition
[arXiv] 2026-03-05 | Parameter compression in the flux landscape
[arXiv] 2026-03-05 | Long-period magnetic activity in the K dwarf GJ 1137 and a new super-Earth on a 9-day orbit
[arXiv] 2026-03-05 | EVMbench: Evaluating AI Agents on Smart Contract Security
[arXiv] 2026-03-05 | EvoTool: Self-Evolving Tool-Use Policy Optimization in LLM Agents via Blame-Aware Mutation and Diversity-Aware Selection
[arXiv] 2026-03-05 | Differentially Private Multimodal In-Context Learning
[arXiv] 2026-03-05 | FedAFD: Multimodal Federated Learning via Adversarial Fusion and Distillation
[arXiv] 2026-03-05 | Federated Modality-specific Encoders and Partially Personalized Fusion Decoder for Multimodal Brain Tumor Segmentation
[arXiv] 2026-03-05 | K-Gen: A Multimodal Language-Conditioned Approach for Interpretable Keypoint-Guided Trajectory Generation
[arXiv] 2026-03-05 | Focus Then Listen: Exploring Plug-and-Play Audio Enhancer for Noise-Robust Large Audio Language Models
[arXiv] 2026-03-05 | Causally Robust Reward Learning from Reason-Augmented Preference Feedback
[arXiv] 2026-03-05 | FireBench: Evaluating Instruction Following in Enterprise and API-Driven LLM Applications
[arXiv] 2026-03-05 | Generalized Gorenstein Categories
[arXiv] 2026-03-05 | On Multi-Step Theorem Prediction via Non-Parametric Structural Priors
[arXiv] 2026-03-05 | GloSplat: Joint Pose-Appearance Optimization for Faster and More Accurate 3D Reconstruction
[arXiv] 2026-03-05 | An Approach to Simultaneous Acquisition of Real-Time MRI Video, EEG, and Surface EMG for Articulatory, Brain, and Muscle Activity During Speech Production
[arXiv] 2026-03-05 | On the Strengths and Weaknesses of Data for Open-set Embodied Assistance
[arXiv] 2026-03-05 | Scaling Laws for Reranking in Information Retrieval
[arXiv] 2026-03-05 | Beyond the Context Window: A Cost-Performance Analysis of Fact-Based Memory vs. Long-Context LLMs for Persistent Agents
[arXiv] 2026-03-05 | Exploring Nucleon Structure and the Proton Mass Problem through Holographic QCD
[arXiv] 2026-03-05 | Bayesian Learning of (n,p) Reaction Cross Sections with Quantified Uncertainties
[arXiv] 2026-03-05 | Total Angular Momentum Coherent State Fields
[arXiv] 2026-03-05 | Body-scale NFC for wearables: human-centric body-scale NFC networking for ultra-low-power wearable devices (Demo of UTokyo Kawahara Lab 2025)
[arXiv] 2026-03-05 | Evaluating GPT-5 as a Multimodal Clinical Reasoner: A Landscape Commentary
[arXiv] 2026-03-05 | Stacked from One: Multi-Scale Self-Injection for Context Window Extension
[arXiv] 2026-03-05 | MOOSEnger -- a Domain-Specific AI Agent for the MOOSE Ecosystem
[arXiv] 2026-03-05 | KindSleep: Knowledge-Informed Diagnosis of Obstructive Sleep Apnea from Oximetry
[arXiv] 2026-03-05 | VizCrit: Exploring Strategies for Displaying Computational Feedback in a Visual Design Tool
[arXiv] 2026-03-05 | Efficient Privacy-Preserving Sparse Matrix-Vector Multiplication Using Homomorphic Encryption
[arXiv] 2026-03-05 | Interactive Benchmarks
[arXiv] 2026-03-05 | Count Bridges enable Modeling and Deconvolving Transcriptomic Data
[arXiv] 2026-03-05 | Wiki-R1: Incentivizing Multimodal Reasoning for Knowledge-based VQA via Data and Sampling Curriculum
[arXiv] 2026-03-05 | CATNet: Collaborative Alignment and Transformation Network for Cooperative Perception
[arXiv] 2026-03-05 | Algebraic Characterization of Reversible First Degree Cellular Automata over $\mathbb{Z}_d$
[arXiv] 2026-03-05 | ICHOR: A Robust Representation Learning Approach for ASL CBF Maps with Self-Supervised Masked Autoencoders
[arXiv] 2026-03-05 | Estimates of eigenvalues of elliptical differential problems in divergence form
[arXiv] 2026-03-05 | GCAgent: Enhancing Group Chat Communication through Dialogue Agents System
