[2026-08-13 22:40:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-12
正在获取论文...
[arXiv] 2026-08-12 | Direct Acceleration of Stochastic Root-Finding Without Variance Reduction and Regularization
[arXiv] 2026-08-12 | LoSA: Near-Lossless Sparse Attention for Training-Free Video Diffusion Acceleration
[arXiv] 2026-08-12 | A transport geometry of acoustic analogies:exact holonomy of source re-attribution and its observable consequences
[arXiv] 2026-08-12 | Formally Verified Lock-Free Software Transactional Memory for Scientific Measurement
[arXiv] 2026-08-12 | Poly-Dialectal Neural Machine Translation System for Bangla Regional Dialects
[arXiv] 2026-08-12 | The Ambipolar electric field in multispecies plasma atmospheres: effects of alpha particles and stochastic heating
[arXiv] 2026-08-12 | Adaptive Bregman Proximal Stochastic Gradient with a Stabilized Barzilai--Borwein Step Size
[arXiv] 2026-08-12 | Beyond Local Power: Functional Connectivity Analysis for Subject-Independent Learning Style Recognition
[arXiv] 2026-08-12 | A Remote Approach to Cashew Orchard Detection: Leveraging Active Learning with Satellite Imagery in Guinea-Bissau
[arXiv] 2026-08-12 | Contextuality in the $n$-qubit Pauli group
[arXiv] 2026-08-12 | Inverse Confounding Analysis: An Exact Method for Quantifying the Significance of Confounding
[arXiv] 2026-08-12 | Improved weak-strong uniqueness for general cross-diffusion systems
[arXiv] 2026-08-12 | Benchmarking Trustworthiness of SLMs: Pre-trained vs. Compressed
[arXiv] 2026-08-12 | Spiral structure from the interference of gravitational eigenmodes in ultralight dark matter halos
[arXiv] 2026-08-12 | Developing LLM-based Multi-Agent Systems in Software Engineering: A Mixed-Method Experience Report
[arXiv] 2026-08-12 | Squeezed quantum states and partner modes in the moving mirror model of black hole evaporation
[arXiv] 2026-08-12 | Philosophical vertigo with artificial intelligence
[arXiv] 2026-08-12 | Efficient Response-Adaptive Randomization for Multi-arm Trials with Prioritized Composite Endpoints
[arXiv] 2026-08-12 | A Lewy-type theorem for pluriharmonic mappings in $\C^2$ and bi-Lipschitz quasiconformal harmonic maps
[arXiv] 2026-08-12 | Accuracy and Order Sensitivity Diverge Under Label-Free Strategies
[arXiv] 2026-08-12 | Dimensional crossover and local strain induced deflection of the spin spiral state in multiferroic NiI2
[arXiv] 2026-08-12 | Evaluating and Calibrating Diffusion Model-derived Uncertainty for Quantitative MRI Mapping
[arXiv] 2026-08-12 | OEIS Open: How many conjectures can language models turn into theorems?
[arXiv] 2026-08-12 | Rank-Two Frobenius-Linearized Normal Forms and Orthoderivative Dual Coordinates in Quadratic APN Maps
[arXiv] 2026-08-12 | Distillation of Foundation Models for Time-dependent PDEs
[arXiv] 2026-08-12 | Resonant Raman signatures of bright and momentum-dark exciton coupled by intervalley phonon scattering in monolayer WSe2
[arXiv] 2026-08-12 | Spin-polarized supercurrents and Josephson diode effect in altermagnets
[arXiv] 2026-08-12 | DexterSQL: Deep Schema Exploration and Rule-based Correction for Text-to-SQL Generation
[arXiv] 2026-08-12 | Agent Skills Can Be Harmful: An Empirical Study of Skill-Induced Failures in LLM Agents
[arXiv] 2026-08-12 | Total Recall at What Cost? Benchmarking the Serving Cost of Agentic Memory Systems
[arXiv] 2026-08-12 | Limitations on Joint Coherence Transfer in Quantum Thermodynamics
[arXiv] 2026-08-12 | Sharp bounds for frame counts and setwise stabilizers in classical groups
[arXiv] 2026-08-12 | SPORE: An Event-Level Sampling Pipeline for Multi-Telescope Neutrino Astronomy
[arXiv] 2026-08-12 | Programmable vs. Static Beam Shaping in Ultrafast Laser Micromachining: A Critical Review
[arXiv] 2026-08-12 | A Tight Scale-Locality Bound for Partial Detection in Non-Adaptive Group Testing
[arXiv] 2026-08-12 | Quantum Anomalous Hall Effect in $d^{10}$ Oxide Monolayers
[arXiv] 2026-08-12 | Results from the first spectropolarimetric survey of $γ$ Dor pulsators
[arXiv] 2026-08-12 | A Methodological Approach For Design Of Energy Efficient Urban Logistics Systems
[arXiv] 2026-08-12 | Uniformly Stable Minimal Weyl--Heisenberg Measurements Approaching the SIC Benchmark
[arXiv] 2026-08-12 | A uniform elliptic reduction, an order-matching criterion, and precision benchmarks for the strong-coupling Birman-Schwinger analysis of the lattice three-boson trimer
[arXiv] 2026-08-12 | Weinstock inequalities for outward-minimizing domains
[arXiv] 2026-08-12 | User-Assisted Collaborative Distributed Inference for Efficient QoS-Aware Autoscaling
[arXiv] 2026-08-12 | Towards Understanding On-Policy Distillation through the Lens of Test-Time Scaling
[arXiv] 2026-08-12 | Usage of GPUs for ALICE Run 3 Offline Reconstruction on the GRID
