[2026-07-06 23:07:45] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-05
正在获取论文...
[ACM] 2026-7-5 | JunoBench: A Benchmark Dataset of Crashes in Python Machine Learning Jupyter Notebooks
[ACM] 2026-7-6 | Diagnosing Debugging: The ECDM Framework for Designing Diagnostic Cases in Simulation-Based Teacher Training
[ACM] 2026-7-6 | Assessing Computing Teachers' Self-efficacy to Teach about Neural Networks in Schools in Ghana: A Quantitative Study
[ACM] 2026-7-6 | Exploring the AI Principles-to-Practices Gap with an Interactive AI Alignment Lab
[ACM] 2026-7-6 | Agency for Whom and To What Ends: A Plan for Investigating Impacts of Agentic AI in Computing Education
[ACM] 2026-7-6 | A Systematic Literature Mapping of Gender Bias Towards Instructors in Computer Science Education
[ACM] 2026-7-6 | A Longitudinal Study of Students in a Work-Based Learning Program
[ACM] 2026-7-6 | Bridging the gap between industry and academia: sustainability in LLM-assisted software engineering
[IEEE] 2026-7-6 | Technology-Driven Business Transformation of An Administrative Approval Process: A Case Study of E-Document Implementation at the Faculty of Pharmacy, Chiang Mai University
[IEEE] 2026-7-6 | Recommender Unlearning Based on Dual-Module Collaborative Mechanism
[IEEE] 2026-7-6 | MEFF-YOLO: Harmonizing Multi-Scale Context and Frequency Cues for Traffic Sign Detection
[IEEE] 2026-7-6 | Behavior-Based Zero-Day Attack Detection Using Hybrid Deep Learning Models in Enterprise Networks
[IEEE] 2026-7-6 | RADAR: Deep Reinforcement Learning for Large-Scale Robust Aircraft Routing
[IEEE] 2026-7-6 | Secure Identity Verification with Distributed Ledger Technology to Manage Decentralized Trust
[IEEE] 2026-7-6 | A Novel Detection Method of Threat Groups Based on PE Files’ Gene
[IEEE] 2026-7-6 | Research on Microgrid Optimal Scheduling Based on Scene Classifier and Collaboration of Multiple DRL Models
[IEEE] 2026-7-6 | Lightweight Multi-Scale Attention Fusion and Accurate Localization Network for Industrial Surface Defect Detection
[IEEE] 2026-7-6 | Research on Artificial Intelligence-Based Personalized Teaching System for Military Academies
[IEEE] 2026-7-6 | FOTRS: Factored Optimal Transport Reward Shaping
[IEEE] 2026-7-6 | A Data Fusion–Based Hidden Markov Model for Prognostics and Condition Monitoring
[IEEE] 2026-7-6 | Real-Time Advanced Heart Monitoring System Using IoT Based Patient Tracking
[IEEE] 2026-7-6 | A Unified Statistical and Geometric Scoring Method for Zero Day Malware Open Set Recognition
[IEEE] 2026-7-6 | Adaptive Droop-Gain Model Predictive Control for Enhanced Efficiency and Power Quality in Renewable Microgrids
[IEEE] 2026-7-6 | Game-Based Autonomous Parking System using Proximal Policy Optimization with Reward Shaping
[IEEE] 2026-7-6 | A Real-Time Thai Sign Language Recognition System Using Skeletal Keypoints and LSTM Networks
[IEEE] 2026-7-6 | VeriClassify: An AI-Driven Document Categorization within a Blockchain-Secured Git Workflow
[IEEE] 2026-7-6 | Deep Transfer Learning for Accurate Lung Cancer Diagnosis Using VGG-16
[IEEE] 2026-7-6 | Multi-Behavior Collaborative Disentangled Intent Learning for Sequential Recommendation
[IEEE] 2026-7-6 | Intelligent Cloud Security Model for Healthcare: Dynamic AI-Based Threat Monitoring and Compliance Assurance
[IEEE] 2026-7-6 | System Architecture and Performance Analysis of a Spectral Feature Based Speech Enhancement Algorithm
[IEEE] 2026-7-6 | Development of a Smartphone-Based Object Recognition Prototype Application "VocabEyes" for Trilingual Vocabulary Learning for the Visually Impaired
[IEEE] 2026-7-6 | 2026 IEEE 18th Specialist Meeting on Microwave Radiometry and Remote Sensing for the Environment (MicroRad)
[IEEE] 2026-7-6 | Deep Reinforcement Learning for UAV Trajectory Design and Service Planning
[IEEE] 2026-7-6 | Analyzing Sample Selection Under Poisoning Membership Inference in Federated Learning
[IEEE] 2026-7-6 | A Denoising Adversarial Model Based on Hyperellipsoidal Knowledge Representation Learning for DTI Prediction
[IEEE] 2026-7-6 | GSVR: 2D Gaussian-based Video Representation for 800+ FPS with Hybrid Deformation Field
[IEEE] 2026-7-6 | Designing Metaphoric 3D Glyph Atlases for Web-Based Information Landscapes
[IEEE] 2026-7-6 | Coupled-Line-Based Modeling and Design of Symmetric T-coil Structures
[IEEE] 2026-7-6 | OmniControl: Unified Audio Extraction and Elimination via Subband-Aware Separation
[IEEE] 2026-7-6 | Research on Privacy-Preserving UAV Task Matching Scheme
[IEEE] 2026-7-6 | Flueformer: A Decoupled Deep Learning Model for SO
                    <sub>2</sub>
                    Prediction in Industrial Wet Flue Gas Desulfurization
[IEEE] 2026-7-6 | Stereo Gaussian Fusion for Naked-eye 3D Display
[IEEE] 2026-7-6 | Reconstructing long-term 500m Snow Cover Frequency over the Third Pole Using a Widening Threshold Constrained Dynamic Time Warping Fusion Approach
[IEEE] 2026-7-6 | Digital Collaboration in a Complex Systems Simulation Game: Impacts on Learning Experience, Systems Thinking, and Strategic Planning
