[2026-01-16 09:15:31] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-15
正在获取论文...
[arXiv] 2026-01-15 | Are Language Models Models?
[arXiv] 2026-01-15 | Cloud parameter estimation for interacting BEC after time-of-flight
[arXiv] 2026-01-15 | Basal-plane anisotropy of field-induced multipolar order in tetragonal CeRh$_2$As$_2$
[arXiv] 2026-01-15 | TF3-RO-50M: Training Compact Romanian Language Models from Scratch on Synthetic Moral Microfiction
[arXiv] 2026-01-15 | CS-GBA: A Critical Sample-based Gradient-guided Backdoor Attack for Offline Reinforcement Learning
[arXiv] 2026-01-15 | A comparison of simulation tools for Muon-Induced X-ray Emission (MIXE) in thin films: a study case with lithium batteries
[arXiv] 2026-01-15 | Wilson-Fisher renormalization of discrete gravity-capillary wave turbulence in viscous fluids
[arXiv] 2026-01-15 | Long Period Transients (LPTs): a comprehensive review
[arXiv] 2026-01-15 | INDIC DIALECT: A Multi Task Benchmark to Evaluate and Translate in Indian Language Dialects
[arXiv] 2026-01-15 | Does Cognitive Load Affect Human Accuracy in Detecting Voice-Based Deepfakes?
[arXiv] 2026-01-15 | On surgeries from lens space $L(p,1)$ to $L(q,2)$
[arXiv] 2026-01-15 | Dynamic reinsurance via martingale transport
[arXiv] 2026-01-15 | A two-step inertial method with a new step-size rule for variational inequalities in hilbert spaces
[arXiv] 2026-01-15 | Self-supervised restoration of singing voice degraded by pitch shifting using shallow diffusion
[arXiv] 2026-01-15 | OctoBench: Benchmarking Scaffold-Aware Instruction Following in Repository-Grounded Agentic Coding
[arXiv] 2026-01-15 | CHORAL: Traversal-Aware Planning for Safe and Efficient Heterogeneous Multi-Robot Routing
[arXiv] 2026-01-15 | Triggered urn models for frequently asked questions (FAQ)
[arXiv] 2026-01-15 | Radiation Shielding Performance of Different Concrete Materials: A Systematic Review
[arXiv] 2026-01-15 | Low-Complexity Blind Estimator of SNR and MSE for mmWave Multi-Antenna Communications
[arXiv] 2026-01-15 | Addition to the dynamic Stark shift of the coherent population trapping resonance
[arXiv] 2026-01-15 | Extracting intrinsic alignments in the Dark Energy Survey's year 1 data, using the self-calibration method and LSST-DESC tools
[arXiv] 2026-01-15 | Hierarchical Refinement of Universal Multimodal Attacks on Vision-Language Models
[arXiv] 2026-01-15 | Deformations of Chow groups via cyclic homology
[arXiv] 2026-01-15 | Effects of spontaneous Lorentz Symmetry breaking on Letelier-AdS charged black boles within Kalb-Ramond gravity
