[2026-09-02 23:53:00] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-01
正在获取论文...
[arXiv] 2026-09-01 | It Takes Two to Match: Co-Evolving Generative Retriever with Reinforcement Learning
[arXiv] 2026-09-01 | Reanalysis of exclusive charmonium production at the $B$ factories
[arXiv] 2026-09-01 | Breaking the Structural Identity: Personalized Federated LoRA Fine-tuning under Rank Heterogeneity
[arXiv] 2026-09-01 | ExpArt-KG: Artwork Image Description Generation through Iterative Exploration of Knowledge Graphs
[arXiv] 2026-09-01 | Global well-posedness of radially symmetric strong solutions to two-dimensional compressible liquid crystal flows with large data and vacuum
[arXiv] 2026-09-01 | Entropy on regular sets and periodic-orbit growth for singular flows
[arXiv] 2026-09-01 | DSG: Dynamic 3D Scene Graph Construction for Embodied Agents in Changing Indoor Environments
[arXiv] 2026-09-01 | Cross-View Vision-Aided Proactive BS Selection and Beam Prediction for mmWave V2I Communications
[arXiv] 2026-09-01 | A Version Space Approach for Digital Circuit Analysis
[arXiv] 2026-09-01 | Investigating Assistant Bias in LLM User Simulators Using a Role Vector
[arXiv] 2026-09-01 | Photon Gas Thermodynamics with $κ$-generalized statistics at Planck-Scale
[arXiv] 2026-09-01 | Universal Beta Incidence Angles: Cauchy Rigidity and Infinite Arrangements
[arXiv] 2026-09-01 | Behavior of the SRB Entropy Functional in Families of Hyperbolic Attractors and Expanding Maps
[arXiv] 2026-09-01 | Socrates went Nuclear: Comparing Interaction Strategies for AI systems in a Learning Context using Brain Sensing
[arXiv] 2026-09-01 | A Mathematical Framework for Legacy, Governance, and Decision Integrity in Enterprise AI
[arXiv] 2026-09-01 | Graph Coloring with Color Preferences
[arXiv] 2026-09-01 | Aligned but Flattened: Analyzing the Trade-off between Cultural Alignment and Diversity in LLMs
[arXiv] 2026-09-01 | Mudskippers use tail thrusting to help crutching to move on mud of various wetness
[arXiv] 2026-09-01 | Importance and methods to control, vary, and characterize mud strength for studying locomotion
[arXiv] 2026-09-01 | Manifold-Aware General Coded Computing for Straggler-Resilient Distributed Computing
[arXiv] 2026-09-01 | Same Semantics, Different Outcome: On the Modality Robustness of Multimodal LLMs under Knowledge Conflict
[arXiv] 2026-09-01 | Skill Following: Evaluating Actual Skill Use in Retrieval-Enabled LLM Agents
[arXiv] 2026-09-01 | Spectral element lattice Boltzmann method for non-ideal gases with partial wetting boundary condition
[arXiv] 2026-09-01 | Are We There Yet? Assessing Computer-Use Agents for Blind Users' Accessible Interaction with Desktop Applications
[arXiv] 2026-09-01 | A distributed-delay Wilson-Cowan model of sleep-related rhythms in the corticothalamic system
[arXiv] 2026-09-01 | D-Scrambled Cantor Sets
[arXiv] 2026-09-01 | Uniqueness of Finite-Time Varifold Limits for the Möbius-Invariant Willmore Flow
[arXiv] 2026-09-01 | Femtoscopy as a New Probe of the Nuclear Equation of State
[arXiv] 2026-09-01 | CacheBridge: Efficient Cross-Model KV Cache Transfer
[arXiv] 2026-09-01 | The Type-I Seesaw as a Relativistic Fermionic Proximity Effect: Spectral Moments, EFT Consistency, and Sterile-Sector Reconstruction
[arXiv] 2026-09-01 | Denoising Diffusion Generative Models Secretly Calculate Attentions
[arXiv] 2026-09-01 | Sharp Mixed Spectral Barron Regularity of Coulombic Many-Electron Wave Functions
[arXiv] 2026-09-01 | Independent Tuning of Surface Acoustic-Waves and Spin-Waves via Buffer-Layer Engineering in Co2FeGe Heusler Thin Films
[arXiv] 2026-09-01 | LLM Inference on IMC-NoC Architecture with Balanced Dataflow and Fine-Grained Parallelism
[arXiv] 2026-09-01 | Spatio-temporal coherent molding and retrieval of pulsed signals in optical waveguides
[arXiv] 2026-09-01 | Probabilistic Model Checking of Autoregressive Neural Sequence Models
[arXiv] 2026-09-01 | Metastable defects in III-Nitrides
[arXiv] 2026-09-01 | Dense Process Supervision for Search Agents via Fact Utility Estimation
[arXiv] 2026-09-01 | TWIX: a Two-Stage Approach for End-To-End Named Entity Recognition and Relation Extraction
[arXiv] 2026-09-01 | A Frequency-Aware Dynamic Knowledge Distillation Framework: An Effective Tool for Bridging Low- and High-Frequency Seismic Information
[arXiv] 2026-09-01 | Temporally constraining source imaging estimates in an underdetermined neural system with eigenmodes of cortical geometry
[arXiv] 2026-09-01 | Connectivity-Aware Graph Extension for Decentralized Multi-Robot Exploration
[arXiv] 2026-09-01 | TEIDAN: A Multilingual Multiparty Dialogue Corpus
[arXiv] 2026-09-01 | Advanced Pixel Diffusion Model with Guided Sparse Global Refinement
[arXiv] 2026-09-01 | Carroll Limit of $\mathcal{O}(F^2)$ $\text{D}_p$-branes from Kaluza--Klein-like Null reduction in the Polyakov Formulation
[arXiv] 2026-09-01 | MADS: A Multiview Acoustic Descriptor Set Beyond Standard Spectral Summaries
[arXiv] 2026-09-01 | Instella-MoE Technical Report
[arXiv] 2026-09-01 | When Features Become Instances: Inverted Contrastive Learning for Unsupervised Feature Selection
[arXiv] 2026-09-01 | Deep Skew-t Mixture Models
[arXiv] 2026-09-01 | Agent-Enhanced Heterogeneous Graph RAG for Academic Question Answering
[arXiv] 2026-09-01 | Improved bounds in Birch's theorem for forms in many variables
[arXiv] 2026-09-01 | S^3martCirc: Self-supervised Smart Circuit Discovery
[arXiv] 2026-09-01 | Ontology-based Target Sound Extraction
[arXiv] 2026-09-01 | One Print, Many Moves: Monolithic Origami-inspired Folding Actuator for Composable Soft Multi-DoF Systems
[arXiv] 2026-09-01 | Two-photon quantum Rabi models - Spectral degeneracy and symmetries
