[2026-02-12 09:35:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-11
正在获取论文...
[arXiv] 2026-02-11 | Initial Guesses for Multicomponent Mean-Field Methods: Assessment and New Developments
[arXiv] 2026-02-11 | ROCKET: Rapid Optimization via Calibration-guided Knapsack Enhanced Truncation for Efficient Model Compression
[arXiv] 2026-02-11 | Enhancing Predictability of Multi-Tenant DNN Inference for Autonomous Vehicles' Perception
[arXiv] 2026-02-11 | Eliminating Delocalization Error through Localized Orbital Scaling Correction with Orbital Relaxation from Linear Response
[arXiv] 2026-02-11 | Fine-Tuning GPT-5 for GPU Kernel Generation
[arXiv] 2026-02-11 | Beyond $Λ$CDM: fundamental constants as cosmological observables
[arXiv] 2026-02-11 | DFIC: Towards a balanced facial image dataset for automatic ICAO compliance verification
[arXiv] 2026-02-11 | RiemannGL: Riemannian Geometry Changes Graph Deep Learning
[arXiv] 2026-02-11 | X-ray stellar feedback in low-metallicity starbursts: Insights from the template starburst galaxy ESO 338-IG04 and its halo
[arXiv] 2026-02-11 | VFGS-Net: Frequency-Guided State-Space Learning for Topology-Preserving Retinal Vessel Segmentation
[arXiv] 2026-02-11 | Can LLMs Cook Jamaican Couscous? A Study of Cultural Novelty in Recipe Generation
[arXiv] 2026-02-11 | Lie Group Variational Integrator for the Geometrically Exact Rod with Circular Cross-Section Incorporating Cross-Sectional Deformation
[arXiv] 2026-02-11 | Fluid-Antenna-Enabled Integrated Bistatic Sensing and Backscatter Communication Systems
[arXiv] 2026-02-11 | Fluctuation-Response Design Rules for Nonequilibrium Flows
[arXiv] 2026-02-11 | Search or Accelerate: Confidence-Switched Position Beam Search for Diffusion Language Models
[arXiv] 2026-02-11 | Developing Neural Network-Based Gaze Control Systems for Social Robots
[arXiv] 2026-02-11 | Towards Learning a Generalizable 3D Scene Representation from 2D Observations
[arXiv] 2026-02-11 | Design, Development, and Use of Maya Robot as an Assistant for the Therapy/Education of Children with Cancer: a Pilot Study
[arXiv] 2026-02-11 | Scalable Solar-Blind Imaging Enabled by Single-Crystalline Beta-Ga2O3 Membranes on Silicon Backplanes
[arXiv] 2026-02-11 | FastUSP: A Multi-Level Collaborative Acceleration Framework for Distributed Diffusion Model Inference
[arXiv] 2026-02-11 | Non-centred Bayesian inference for discrete-valued state-transition models: the Rippler algorithm
[arXiv] 2026-02-11 | HD 164604 c: a second giant planet on a 15-yr orbit and the constraint of the planet-planet mutual inclination
[arXiv] 2026-02-11 | Discrete Quantitative Isocapacitary Inequality: Fluctuation Estimates
[arXiv] 2026-02-11 | Near-Constant Strong Violation and Last-Iterate Convergence for Online CMDPs via Decaying Safety Margins
[arXiv] 2026-02-11 | Massive stars as gravitationally lensed transients -- Insights on the high-mass initial mass function
[arXiv] 2026-02-11 | Natural Hypergradient Descent: Algorithm Design, Convergence Analysis, and Parallel Implementation
[arXiv] 2026-02-11 | Phonon gap analysis for equilibria of perturbed almost-periodic Frenkel-Kontorova models
[arXiv] 2026-02-11 | Multi-Modal Track Reconstruction using Graph Neural Networks at Belle II
[arXiv] 2026-02-11 | Wave Propagation and Effective Refraction in Lorentz-Violating Wormhole Geometries
[arXiv] 2026-02-11 | The CLEF-2026 FinMMEval Lab: Multilingual and Multimodal Evaluation of Financial AI Systems
[arXiv] 2026-02-11 | Backstepping Control of PDEs on Domains with Graph-Monotone Boundaries
[arXiv] 2026-02-11 | On generating Special Quasirandom Structures: Optimization for the DFT computational efficiency
[arXiv] 2026-02-11 | Viewpoint Recommendation for Point Cloud Labeling through Interaction Cost Modeling
[arXiv] 2026-02-11 | ICA: Information-Aware Credit Assignment for Visually Grounded Long-Horizon Information-Seeking Agents
[arXiv] 2026-02-11 | Singular Port-Hamiltonian Systems Beyond Passivity
[arXiv] 2026-02-11 | Enhanced effective masses, spin-orbit polarization, and dispersion relations in 2D hole gases under strongly asymmetric confinement
[arXiv] 2026-02-11 | Chemistry in the High expansion-velocity C-rich evolved star AFGL2233. Isotopic ratios, peculiarities and evolutionary status
[arXiv] 2026-02-11 | Personalized PageRank Estimation in Undirected Graphs
[arXiv] 2026-02-11 | Mirror descent actor-critic methods for entropy regularised MDPs in general spaces: stability and convergence
[arXiv] 2026-02-11 | FPGA Implementation of Sketched LiDAR for a 192 x 128 SPAD Image Sensor
[arXiv] 2026-02-11 | Reference Output Tracking in Boolean Control Networks
[arXiv] 2026-02-11 | The formation of inhomogeneities in gravitational string like mode
[arXiv] 2026-02-11 | The Effect of Design Thinking on Creative & Innovation Processes: An Empirical Study Across Different Design Experience Levels
[arXiv] 2026-02-11 | The metric geometry of paper surfaces under geometric constraints
[arXiv] 2026-02-11 | Resource-Efficient RGB-Only Action Recognition for Edge Deployment
[arXiv] 2026-02-11 | Beyond Confidence: The Rhythms of Reasoning in Generative Models
[arXiv] 2026-02-11 | DMP-3DAD: Cross-Category 3D Anomaly Detection via Realistic Depth Map Projection with Few Normal Samples
[arXiv] 2026-02-11 | RSHallu: Dual-Mode Hallucination Evaluation for Remote-Sensing Multimodal Large Language Models with Domain-Tailored Mitigation
[arXiv] 2026-02-11 | The $σ_-$ Cohomology Analysis for Coxeter HS $B_2$ model
[arXiv] 2026-02-11 | VulReaD: Knowledge-Graph-guided Software Vulnerability Reasoning and Detection
[arXiv] 2026-02-11 | Data Reductions for the Strong Maximum Independent Set Problem in Hypergraphs
[arXiv] 2026-02-11 | Co-jump: Cooperative Jumping with Quadrupedal Robots via Multi-Agent Reinforcement Learning
[arXiv] 2026-02-11 | Privacy-Utility Tradeoffs in Quantum Information Processing
[arXiv] 2026-02-11 | Prolongations of $(3, 6)$-distributions by singular curves
[arXiv] 2026-02-11 | Towards Long-Lived Robots: Continual Learning VLA Models via Reinforcement Fine-Tuning
[arXiv] 2026-02-11 | The Garbage Dataset (GD): A Multi-Class Image Benchmark for Automated Waste Segregation
[arXiv] 2026-02-11 | When Skills Lie: Hidden-Comment Injection in LLM Agents
[arXiv] 2026-02-11 | Low-Dimensional Execution Manifolds in Transformer Learning Dynamics: Evidence from Modular Arithmetic Tasks
[arXiv] 2026-02-11 | Canvas-of-Thought: Grounding Reasoning via Mutable Structured States
[arXiv] 2026-02-11 | Eisenstein-prime Obstruction Sieve for Monogenicity
[arXiv] 2026-02-11 | Protecting Context and Prompts: Deterministic Security for Non-Deterministic AI
[arXiv] 2026-02-11 | Neuro-Symbolic Synergy for Interactive World Modeling
[arXiv] 2026-02-11 | GPU-Fuzz: Finding Memory Errors in Deep Learning Frameworks
