[2026-01-01 09:14:45] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-31
正在获取论文...
[arXiv] 2025-12-31 | GaMO: Geometry-aware Multi-view Diffusion Outpainting for Sparse-View 3D Reconstruction
[arXiv] 2025-12-31 | FineTec: Fine-Grained Action Recognition Under Temporal Corruption via Skeleton Decomposition and Sequence Completion
[arXiv] 2025-12-31 | Melting curve of correlated iron at Earth's core conditions from machine-learned DFT+DMFT
[arXiv] 2025-12-31 | The Logical Structure of Physical Laws: A Fixed Point Reconstruction
[arXiv] 2025-12-31 | Bilinear tau forms of quantum Painlevé equations and $\mathbb{C}^2/\mathbb{Z}_2$ blowup relations in SUSY gauge theories
[arXiv] 2025-12-31 | Extreme nonlinear optics in optical fibers
[arXiv] 2025-12-31 | Bayesian Elastic Net Regression with Structured Prior Dependence
[arXiv] 2025-12-31 | On exact Observability for Compactly perturbed infinite dimension system
[arXiv] 2025-12-31 | Anomalous (3+1)d Fermionic Topological Quantum Field Theories via Symmetry Extension
[arXiv] 2025-12-31 | Perturbative Kondo destruction and global phase diagram of heavy fermion metals
[arXiv] 2025-12-31 | Strengthening Dual Bounds for Multicommodity Capacitated Network Design with Unsplittable Flow Constraints
[arXiv] 2025-12-31 | Convergence of the generalization error for deep gradient flow methods for PDEs
[arXiv] 2025-12-31 | At the intersection of Numerical Analysis and Spectral Geometry
[arXiv] 2025-12-31 | Strong Gravitational Lensing by a Black Hole with a Global Monopole in Kalb-Ramond Bumblebee Gravity
[arXiv] 2025-12-31 | Efficiently Estimating Data Efficiency for Language Model Fine-tuning
[arXiv] 2025-12-31 | A guide to the $2$-generated axial algebras of Monster type
[arXiv] 2025-12-31 | DarkEQA: Benchmarking Vision-Language Models for Embodied Question Answering in Low-Light Indoor Environments
[arXiv] 2025-12-31 | The Supersymmetry of Cuts in Pure Gauge Theory and Gravity
[arXiv] 2025-12-31 | Lindbladian PT phase transitions
[arXiv] 2025-12-31 | Semiclassics, branes, and extremality
[arXiv] 2025-12-31 | Multi-Frequency Study of FRB20201124A with the uGMRT
[arXiv] 2025-12-31 | Hierarchical Deformation Planning and Neural Tracking for DLOs in Constrained Environments
[arXiv] 2025-12-31 | The Impact of LLMs on Online News Consumption and Production
[arXiv] 2025-12-31 | Approximating evolution operators of linear delay equations: a general framework for the convergence analysis
[arXiv] 2025-12-31 | Fundamental Limits for Near-Field Sensing -- Part II: Wide-Band Systems
[arXiv] 2025-12-31 | Semi-overlapping Multi-bandit Best Arm Identification for Sequential Support Network Learning
[arXiv] 2025-12-31 | CPJ: Explainable Agricultural Pest Diagnosis via Caption-Prompt-Judge with LLM-Judged Refinement
[arXiv] 2025-12-31 | Dynamic response phenotypes and model discrimination in systems and synthetic biology
[arXiv] 2025-12-31 | Interaction of a Vortex Pair with a Polymeric Fluid Layer
[arXiv] 2025-12-31 | Vibe Coding, Interface Flattening
[arXiv] 2025-12-31 | Adaptive Dependency-aware Prompt Optimization Framework for Multi-Step LLM Pipeline
[arXiv] 2025-12-31 | Generalised Hermite-Einstein Fibre Metrics and Slope Stability for Holomorphic Vector Bundles
[arXiv] 2025-12-31 | Introduction to black hole thermodynamics
[arXiv] 2025-12-31 | Transgression in the primitive cohomology
[arXiv] 2025-12-31 | Property (T) and Poincaré duality in dimension three
[arXiv] 2025-12-31 | The Lyapunov Exponents of Hyperbolic Measures for $C^1$ Vector Fields with Dominated Splitting
[arXiv] 2025-12-31 | Gibbs conditioning principle for log-concave independent random variables
[arXiv] 2025-12-31 | Polynomial $χ$-boundedness for excluding $P_5$
[arXiv] 2025-12-31 | Anomalous cw-expansive homeomorphisms on compact surfaces of higher genus
[arXiv] 2025-12-31 | Semi-Automated Data Annotation in Multisensor Datasets for Autonomous Vehicle Testing
[arXiv] 2025-12-31 | Resolving the Origins and Pathways of Ionizing Radiation Escape with UV Integral Field Spectroscopy
[arXiv] 2025-12-31 | Towards autonomous time-calibration of large quantum-dot devices: Detection, real-time feedback, and noise spectroscopy
[arXiv] 2025-12-31 | Adaptive Clutter Suppression via Convex Optimization
[arXiv] 2025-12-31 | Heterogeneous Multi-Agent Multi-Target Tracking using Cellular Sheaves
[arXiv] 2025-12-31 | Probing quantum-coherent dynamics with free electrons
[arXiv] 2025-12-31 | mHC: Manifold-Constrained Hyper-Connections
[arXiv] 2025-12-31 | Insights on the homogeneous $3$-local representations of the twin groups
[arXiv] 2025-12-31 | Let It Flow: Agentic Crafting on Rock and Roll, Building the ROME Model within an Open Agentic Learning Ecosystem
[arXiv] 2025-12-31 | Regularized universal topological local markers for Dirac systems
[arXiv] 2025-12-31 | On Prime Matrix Product Factorizations
[arXiv] 2025-12-31 | OFL-SAM2: Prompt SAM2 with Online Few-shot Learner for Efficient Medical Image Segmentation
[arXiv] 2025-12-31 | On a conjecture of Almgren II: area-minimizing submanifolds with fractal singular sets on almost any manifold
[arXiv] 2025-12-31 | A study on constraint extraction and exception exclusion in care worker scheduling
[arXiv] 2025-12-31 | On an Erdős--Lov'asz problem: 3-critical 3-graphs of minimum degree 7
[arXiv] 2025-12-31 | AODDiff: Probabilistic Reconstruction of Aerosol Optical Depth via Diffusion-based Bayesian Inference
[arXiv] 2025-12-31 | CropTrack: A Tracking with Re-Identification Framework for Precision Agriculture
[arXiv] 2025-12-31 | A Comparison Principle for Bifurcation of Periodic Solutions of Hamiltonian Systems
[arXiv] 2025-12-31 | Video and Language Alignment in 2D Systems for 3D Multi-object Scenes with Multi-Information Derivative-Free Control
[arXiv] 2025-12-31 | AstroReview: An LLM-driven Multi-Agent Framework for Telescope Proposal Peer Review and Refinement
[arXiv] 2025-12-31 | Probing a NED inspired Magnetically Charged Black Hole in the Hernquist Dark Matter Halo
[arXiv] 2025-12-31 | Non-Commutative Maximal Inequalities for State-Preserving Actions of amenable groups
[arXiv] 2025-12-31 | S-Duality for Non-Abelian Monopoles
[arXiv] 2025-12-31 | Splatwizard: A Benchmark Toolkit for 3D Gaussian Splatting Compression
[arXiv] 2025-12-31 | SLM-TTA: A Framework for Test-Time Adaptation of Generative Spoken Language Models
[arXiv] 2025-12-31 | BIOME-Bench: A Benchmark for Biomolecular Interaction Inference and Multi-Omics Pathway Mechanism Elucidation from Scientific Literature
[arXiv] 2025-12-31 | Model-independent search of gravitational wave echoes in LVK data
[arXiv] 2025-12-31 | $S$-wave $KN$ scattering in a renormalizable chiral effective field theory
[arXiv] 2025-12-31 | MDiffFR: Modality-Guided Diffusion Generation for Cold-start Items in Federated Recommendation
[arXiv] 2025-12-31 | Absolutely Summing Toeplitz operators on Bergman spaces in the unit ball of $\mathbb{C}^n$
[arXiv] 2025-12-31 | Baryons and baryoniums in the perspective of QCD sum rules
[arXiv] 2025-12-31 | $L_p$-estimates for nonlocal equations with general Lévy measures
[arXiv] 2025-12-31 | Evolving, Not Training: Zero-Shot Reasoning Segmentation via Evolutionary Prompting
[arXiv] 2025-12-31 | Reformulating Confidence as Extended Likelihood
[arXiv] 2025-12-31 | Nested Learning: The Illusion of Deep Learning Architectures
[arXiv] 2025-12-31 | Quantum Visual Word Sense Disambiguation: Unraveling Ambiguities Through Quantum Inference Model
[arXiv] 2025-12-31 | ReSPIRe: Informative and Reusable Belief Tree Search for Robot Probabilistic Search and Tracking in Unknown Environments
[arXiv] 2025-12-31 | Nonparametric Bandits with Single-Index Rewards: Optimality and Adaptivity
[arXiv] 2025-12-31 | A unified spatiotemporal formulation with physics-preserving structure for time-dependent convection-diffusion problems
[arXiv] 2025-12-31 | Vapor-solid-solid growth of single-walled carbon nanotubes
[arXiv] 2025-12-31 | $\ell_0$-Regularized Item Response Theory Model for Robust Ideal Point Estimation
[arXiv] 2025-12-31 | Resolving State Ambiguity in Robot Manipulation via Adaptive Working Memory Recoding
[arXiv] 2025-12-31 | ReflecToMeet: An AI-Assisted Reflection Based System to Enhance Collaborative Preparedness
[arXiv] 2025-12-31 | Probing the inner structures of the observed $Ξ_b$ and $Ξ_b'$ resonances
[arXiv] 2025-12-31 | Geometric Quantization by Paths Part II: The General Case
[arXiv] 2025-12-31 | Forward-Oriented Causal Observables for Non-Stationary Financial Markets
[arXiv] 2025-12-31 | Youtu-Agent: Scaling Agent Productivity with Automated Generation and Hybrid Policy Optimization
[arXiv] 2025-12-31 | Reinforcement Learning-Augmented LLM Agents for Collaborative Decision Making and Performance Optimization
[arXiv] 2025-12-31 | Injective hom-complexity between groups
[arXiv] 2025-12-31 | Intermediate topological entropies for subsets of nonautonomous dynamical systems
[arXiv] 2025-12-31 | Generalized Poisson Matrix Factorization for Overdispersed Count Data
[arXiv] 2025-12-31 | Collaborative Low-Rank Adaptation for Pre-Trained Vision Transformers
[arXiv] 2025-12-31 | Phase transition thresholds and chiral magnetic fields of general degree
[arXiv] 2025-12-31 | A categorical proof of the nonexistence of (120, 35, 10)-difference sets
[arXiv] 2025-12-31 | Resource Allocation via Backscatter-Aware Transmit Antenna Selection for Low-PAPR and Ultra-Reliable WSNs
[arXiv] 2025-12-31 | Propagation of space-time singularities for perturbed harmonic oscillators
[arXiv] 2025-12-31 | Inferring Solar Magnetic fields From the Polarization of the Mg II h and k Lines
[arXiv] 2025-12-31 | The Dual Majorizing Measure Theorem for Canonical Processes
[arXiv] 2025-12-31 | Korean Canonical Legal Benchmark: Toward Knowledge-Independent Evaluation of LLMs' Legal Reasoning Capabilities
[arXiv] 2025-12-31 | SynRAG: A Large Language Model Framework for Executable Query Generation in Heterogeneous SIEM System
[arXiv] 2025-12-31 | Anomalous Dissipation at Onsager-Critical Regularity
[arXiv] 2025-12-31 | Evidence for the transition from thermal to non-thermal emission in the prompt emission of GRB 161117A
[arXiv] 2025-12-31 | Probabilistic Computers for Neural Quantum States
[arXiv] 2025-12-31 | Safe in the Future, Dangerous in the Past: Dissecting Temporal and Linguistic Vulnerabilities in LLMs
[arXiv] 2025-12-31 | OCP-LS: An Efficient Algorithm for Visual Localization
[arXiv] 2025-12-31 | PhyGDPO: Physics-Aware Groupwise Direct Preference Optimization for Physically Consistent Text-to-Video Generation
[arXiv] 2025-12-31 | Kerr worldline-QFT action from Compton amplitude to infinite spin orders
[arXiv] 2025-12-31 | More Than Bits: Multi-Envelope Double Binary Factorization for Extreme Quantization
[arXiv] 2025-12-31 | Higher-order response theory in stochastic thermodynamics and optimal control
[arXiv] 2025-12-31 | Seafloor Weathering and Stochastic Outgassing Unlikely to Significantly Shorten the Future Lifespan of Earth's Terrestrial Biosphere
[arXiv] 2025-12-31 | On semisimplicity criteria and non-semisimple representation theory for the Kadar-Yu algebras
[arXiv] 2025-12-31 | BF-APNN: A Low-Memory Method for Accelerating the Solution of Radiative Transfer Equations
[arXiv] 2025-12-31 | From Building Blocks to Planning: Multi-Step Spatial Reasoning in LLMs with Reinforcement Learning
[arXiv] 2025-12-31 | Generative AI-enhanced Sector-based Investment Portfolio Construction
[arXiv] 2025-12-31 | LMG Index: A Robust Learned Index for Multi-Dimensional Performance Balance
[arXiv] 2025-12-31 | Circuit-free cardiovascular monitoring via skin-interfaced nanophotonics
[arXiv] 2025-12-31 | Twisted Cherednik systems and non-symmetric Macdonald polynomials
[arXiv] 2025-12-31 | Limits of quantum generative models with classical sampling hardness
[arXiv] 2025-12-31 | Global spherically symmetric classical solutions for arbitrary large initial data of the multi-dimensional non-isentropic compressible Navier-Stokes equations
[arXiv] 2025-12-31 | Geometric approaches to Lie bialgebras, their classification, and applications
[arXiv] 2025-12-31 | Rational orbits in some prehomogeneous vector spaces associated to $Sp_{6}$ revisited
[arXiv] 2025-12-31 | TTC: Transformer-based TDE Classifier for the Wide Field Survey Telescope (WFST)
[arXiv] 2025-12-31 | Non-equilibrium pathways between cluster morphologies in active phase separation: necking, rupture and cavitation
[arXiv] 2025-12-31 | The tournament ratchet's clicktime process, and metastability in a Moran model
[arXiv] 2025-12-31 | Quasiparticle Dynamics in the 4d-4f Ising-like Double Perovskite Ba2DyRuO6 Probed by Neutron Scattering and Machine-Learning Framework
