[2026-07-21 22:56:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-20
正在获取论文...
[arXiv] 2026-07-20 | On the Impact of Stability and the Helly Property on the Dominating Set Problem
[arXiv] 2026-07-20 | Residual Observability and Attack Detectability in Encrypted OPC UA Traffic
[arXiv] 2026-07-20 | Core-Halo Mass Relation in Cosmological Vector Dark Matter
[arXiv] 2026-07-20 | Fast and periodic propagating disturbances along coronal loops detected with EUI on board Solar Orbiter
[arXiv] 2026-07-20 | Non-Abelian Gauge Field Mechanics
[arXiv] 2026-07-20 | From Sign Language Generation to Humanoid Execution: Vision-Language Guided Retargeting with Collision Mitigation
[arXiv] 2026-07-20 | Universal Correlators on Exponentially Ramified Spectral Curves
[arXiv] 2026-07-20 | gevolution 2.0: GPU-accelerated relativistic N-body simulations for cosmology
[arXiv] 2026-07-20 | Affinization of algebraic structures: Poisson algebras
[arXiv] 2026-07-20 | Sharp Time-Decay Estimates for Fractional Heat Semigroups Associated with Polynomial Anharmonic Oscillators
[arXiv] 2026-07-20 | Equilibrium Play Without Mutual Knowledge of Rationality
[arXiv] 2026-07-20 | GigaPath-Flash and GigaTIME-Flash: Efficient Pathology Foundation Models for Whole-Slide and Tumor Microenvironment Analysis
[arXiv] 2026-07-20 | Equilibrium of a Rapidly Rotating Axisymmetric Magnetic Mirror Machine
[arXiv] 2026-07-20 | Certified Training for Convolutional Perturbations
[arXiv] 2026-07-20 | Dense-Sparse Dynamic Time Warping for Customizing Piano Concerto Accompaniments
[arXiv] 2026-07-20 | Small Counterexamples to the Gaussian Moments Conjecture
[arXiv] 2026-07-20 | FlashRT: Agent Harness for Guiding Agents to Deploy Real-Time Multimodal Applications
[arXiv] 2026-07-20 | RRAM-DP: Device-Calibrated Differential Privacy for In-Memory Edge Learning
[arXiv] 2026-07-20 | A Continual Validation, Updating, and Decision-Making Framework for Self-Adaptive Digital Twins via Robust Model Predictive Control: A Case Study in Additive Manufacturing
[arXiv] 2026-07-20 | Discrete analogues in harmonic analysis: Multi-parameter Radon averages
[arXiv] 2026-07-20 | Nonreciprocal Superconducting Transport from Chiral Edge States
[arXiv] 2026-07-20 | Lossless-INR: Lossless Volumetric Implicit Neural Representations
[arXiv] 2026-07-20 | Differentiable Logic Gate Networks for Low-Latency EEG Classification on Edge Devices
[arXiv] 2026-07-20 | A Mathematical Model of Dengue Transmission Incorporating Hospital Capacity and Threshold-Based Fogging Interventions
[arXiv] 2026-07-20 | Sharp density conditions for infinite $B+B$ sumsets in abelian groups
[arXiv] 2026-07-20 | Feedback Cycles in Exploratory Equilibria
[arXiv] 2026-07-20 | Expanding Generalized Fine Rings
[arXiv] 2026-07-20 | COVAriance-Induced Fairness Gap Penalty for Subgroup-Fair Clustering
[arXiv] 2026-07-20 | On Hales-Jewett and Related Numbers
[arXiv] 2026-07-20 | Periodic directed landscape
[arXiv] 2026-07-20 | Study of ordering in (MoCrTi)$_{100-x}$Al$_x$ refractory high-entropy alloys using machine learning interatomic potential
[arXiv] 2026-07-20 | VDAR-Router: Adaptive LLMs Routing via Verbalized Query Difficulty Analysis Retrieval
[arXiv] 2026-07-20 | Real-Time Flight Test Maneuver Selection with Monte Carlo Tree Search
[arXiv] 2026-07-20 | First-principles electronic transport properties of Ti and Ti-6Al-4V for modeling ultrashort-pulse laser ablation
[arXiv] 2026-07-20 | Virtual Surjection and the $n$-$(n+1)$-$(n+2)$ Theorem for Discrete Groups
[arXiv] 2026-07-20 | Autoresearch with Coding Agents: Generalizers and Metric-Maximizers on Quran Recitation Data
[arXiv] 2026-07-20 | UniETP: Unifying Environments for Generalizable Embodied Task Planning
[arXiv] 2026-07-20 | Anticipate Before Acting: Future-State-Conditioned Vision-Language Navigation
[arXiv] 2026-07-20 | Evidence-in-the-Loop: Trace-Driven Optimization for Customer-Service LLM Agents
[arXiv] 2026-07-20 | Quantitative Oppenheim in signature $(2,2)$ via determinant values
[arXiv] 2026-07-20 | FlashPDE: A Drop-in Fused Triton Operator Library for Neural PDE Solvers
[arXiv] 2026-07-20 | On the structure of $2$-step nilpotent Lorentzian naturally reductive Lie groups
[arXiv] 2026-07-20 | Expansion of a free Fermi gas released from an isotropic trapping potential
[arXiv] 2026-07-20 | Ergodicity of FIRE: star formation variations within and between simulated galaxies
[arXiv] 2026-07-20 | Do Maps Still Matter for Machines: Revisiting the Role of Choropleth Maps in Foundation Model Spatial Understanding
[arXiv] 2026-07-20 | Stripe-Order Altermagnetism
[arXiv] 2026-07-20 | fSRD: Fuzzy Spectral Region Decomposition -- Automated Multi Operator Koopman Representations via an Adaptive Spectral Learning Architecture
[arXiv] 2026-07-20 | PoLoRA: A Preconditioned Orthogonalized LoRA Optimizer
[arXiv] 2026-07-20 | Distributive Laws for Parallel Composition in Rely-Guarantee Concurrency
[arXiv] 2026-07-20 | The Physics Behind Ham Production
[arXiv] 2026-07-20 | The positive and negative square-energy conjecture
[arXiv] 2026-07-20 | Towards Agentic Agent-based Models: Feasibility, Performance, and Statistical Model Checking
[arXiv] 2026-07-20 | Technical Design Review of Duke Robotics Club's Oogway & Crush: AUVs for RoboSub 2026
[arXiv] 2026-07-20 | Final assessment of radioactive impurities in the JUNO detector
[arXiv] 2026-07-20 | Parker Solar Probe Observations of Preferential Heating of Protons over Alpha Particles near Turbulent Coherent Structures
[arXiv] 2026-07-20 | Panache: One-Pass Motif Discovery at Every Window Length
[arXiv] 2026-07-20 | Critical-Set-Aided Simplified Blind SCL Recognition of Polar Codes
[arXiv] 2026-07-20 | Trace anomaly and isospin splitting in inverse-mapped relativistic mean-field theory
[arXiv] 2026-07-20 | Hochschild theory of multiplicative sequences of algebras and coalgebra measurings
[arXiv] 2026-07-20 | Going Beyond the d-band Center to Design Intermetallic Catalysts for Nitrogen Reduction: A High-Throughput DFT and Machine Learning Study
[arXiv] 2026-07-20 | AEC-DS: Adaptive Erasure Coding with PDP-Triggered Reputation and QoS-Aware Migration for Decentralized Storage
[arXiv] 2026-07-20 | Quiescent and traveling solitons in the fractional parametrically driven damped nonlinear Schrödinger equation
[arXiv] 2026-07-20 | Lifelong Multi-Subsystem Pickup and Delivery with Buffer-Limited Handover Stations
[arXiv] 2026-07-20 | SR-Agent: An Experience-Driven Agentic Framework for Post-Ranking Strategies Refinement in E-Commerce Recommendation
[arXiv] 2026-07-20 | LaT: LLM-as-Trainer for Multi-Task Vehicle Routing Solvers
[arXiv] 2026-07-20 | Proceedings 42nd International Conference on Logic Programming
[arXiv] 2026-07-20 | Multiple soliton regimes enabled by parametric down-conversion in $χ^{(2)}+χ^{(3)}$ microresonators
[arXiv] 2026-07-20 | A Functional Central Limit Theorem for Localized Partial Sums of Non-Stationary Time Series
[arXiv] 2026-07-20 | Artificial Intelligence for Understanding and Managing Transportation Behavior in Sustainable Smart Cities
[arXiv] 2026-07-20 | Memory-Supported Synergistic Adaptation for Training-Free Test-Time Medical Image Segmentation
[arXiv] 2026-07-20 | Equality, Equity, and Causality in Fairness Research: A Commentary on Cheng (2026)
[arXiv] 2026-07-20 | Selectivity Matters: Source Node Influence Pruning for Unsupervised Graph Domain Adaptation
[arXiv] 2026-07-20 | Early Yield Prediction for Sugar Beet Fields using Satellite Data -- Learnings from Specialized Vision Transformers
[arXiv] 2026-07-20 | CW Cas: A solar-type contact binary system with an unseen third companion in a hierarchical quadruple system
[arXiv] 2026-07-20 | Probing disk dynamics and dust evolution through shadows in protoplanetary disks: A case study of the HD 142527 disk
[arXiv] 2026-07-20 | Optimal mode-sorting coronagraphy: limits of single-moded measurements for the Habitable Worlds Observatory
[arXiv] 2026-07-20 | Ghost-wave momentum bandgaps in anisotropic Floquet lattices
[arXiv] 2026-07-20 | Higher-Order Hankel Obstructions to Free Infinite Divisibility for Beta Distributions
[arXiv] 2026-07-20 | BTOR2-Based C Program Verification via Hardware Model Checking
[arXiv] 2026-07-20 | Re-Sonance: A Dysarthric Asynchronous Real-Time Speech Conversion System Based on a Three-Stage Cascaded ASR-LLM-TTS Architecture
[arXiv] 2026-07-20 | Nonlinearity-induced chirality in resonant metasurfaces
[arXiv] 2026-07-20 | Miles: Metric Learning with Expandable Subspace for Pre-Trained Model-Based Class-Incremental Learning
[arXiv] 2026-07-20 | Disorder-induced Dark States Line Shape in Pump-Probe Spectroscopy of Polaritons
[arXiv] 2026-07-20 | Pixel-Space Diffusion Transformers
[arXiv] 2026-07-20 | $\mathbb{Z}^2$ is flexibly stable in the operator norm
[arXiv] 2026-07-20 | Quantum-Resilient Banking Transaction Security using DW-HKEM: A Hybrid RSA/ML-KEM Cryptographic Gateway with Real-Time
[arXiv] 2026-07-20 | COLIP-2: Olfaction-Vision-Language Embeddings
[arXiv] 2026-07-20 | Volatility-Aware Extreme Event Detection in High-Frequency Financial Markets
[arXiv] 2026-07-20 | Human-in-the-Loop User Feedback Affects Perceived Accuracy and Trust, but Task Subjectivity Matters
[arXiv] 2026-07-20 | Finite-Time Curvature-Constrained Vector Field for Saturation-Free Motion Planning of Nonholonomic Robots
[arXiv] 2026-07-20 | Program Synthesis for Simulation-Based Inference: Joint Model Selection and Parameter Estimation
[arXiv] 2026-07-20 | Multireference Density Matrix Embedding for Spin-Phonon Relaxation
[arXiv] 2026-07-20 | Oracle Gap and Signal Fidelity: A Fixed-Pool Diagnostic for Test-Time Collaboration
[arXiv] 2026-07-20 | Thinking in Video: Can Video Generators Really Reason About the Real World?
[arXiv] 2026-07-20 | One-step lowest-variance selection in a Gaussian random-field model motivated by masked diffusion: Total correlation and a square root collision threshold
[arXiv] 2026-07-20 | DiFA: Inference-Time Forward-Process Alignment for Diffusion Models
