[2026-07-17 22:50:52] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-16
正在获取论文...
[arXiv] 2026-07-16 | Expanding the Lexicon of Ge'ez Based African Languages: A Comparative Study of Amharic and Tigrinya
[arXiv] 2026-07-16 | Interaction of degenerate higher order modes in periodic SRF accelerating structures
[arXiv] 2026-07-16 | Mask-Aware Policy Gradients for Diffusion Language Models
[arXiv] 2026-07-16 | T^2MLR: Transformer with Temporal Middle-Layer Recurrence
[arXiv] 2026-07-16 | Benchmarking Multimodal Large Language Models for Scientific Visualization Literacy
[arXiv] 2026-07-16 | Linear representations of grammaticality in neural language models
[arXiv] 2026-07-16 | Nonlinear Gravitational Wave Interactions in an Expanding Universe
[arXiv] 2026-07-16 | Spectral study of the outburst decay of the accreting millisecond X-ray pulsar SRGA J144459.2-604207
[arXiv] 2026-07-16 | Assessing Physical Frailty and Fall-Risk Indicators with Social Robots: An in situ Evaluation with Older Adults
[arXiv] 2026-07-16 | The Effect of Heat Loss During the Early Stages of Flame Propagation and Tulip Flame Formation
[arXiv] 2026-07-16 | On the Grothendieck Ring of Finite-Dimensional Non-Degenerate Evolution Algebras
[arXiv] 2026-07-16 | Ultradifferentiable regularity properties of a class of hypoelliptic operators
[arXiv] 2026-07-16 | Absence of blow-up in the 3D Navier-Stokes equations with transport noise
[arXiv] 2026-07-16 | NIFA: Nonlinear IMC enhanced FPGA for efficient ML inference
[arXiv] 2026-07-16 | The order of long rainbow arithmetic progressions
[arXiv] 2026-07-16 | CoSimRec: Measuring Coordinated-Content Penetration in Recommender Feedback Loops
[arXiv] 2026-07-16 | A model with exposure in the epidemiological sense. Part 1 -- Base model
[arXiv] 2026-07-16 | AlphaWiSE: Adaptive Weight Interpolation for Continual Multimodal Representation Learning
[arXiv] 2026-07-16 | A magnetic monopole in a superfluid bubble
[arXiv] 2026-07-16 | Rubrics on Trial: Evolving Rubrics from a Single Query via Synthetic Pairwise Evidence
[arXiv] 2026-07-16 | On a character-twisted analogue of Schäffer's equation
[arXiv] 2026-07-16 | Residual-Based Time Discretization on Nonlinear Approximation Manifolds: Analysis and Gaussian Applications
[arXiv] 2026-07-16 | Investigation of hadronic effects on resonance productions in small collision systems using the EPOS4 model
[arXiv] 2026-07-16 | ANet Patu-1: The Value of Connection in the Agent Network
[arXiv] 2026-07-16 | NFSA: Non-Forward Secure Aggregation with One Server via Two Layer Secret Sharing
[arXiv] 2026-07-16 | Parameter-efficient Prompt Tuning of Vision Foundation Model With Adaptive Focal Loss for Interpretable MCI Screening
[arXiv] 2026-07-16 | Analysis of the Topology of a Plasmonic Target-Skyrmion Texture
[arXiv] 2026-07-16 | Weakly-Supervised RGB-D Salient Object Detection via SAM-driven Pseudo Annotation and State Space Interaction-based Diffusion
[arXiv] 2026-07-16 | URVC: A Unified Real-Time Neural Video Coding Model with Temporal, Spatial, and Perceptual Adaptivity
[arXiv] 2026-07-16 | An asymptotic-preserving five-moment two-species plasma model coupled to an external magnetohydrodynamic solver
[arXiv] 2026-07-16 | cGAP: Generalized Association Plots with HOMALS-Guided Heatmaps for Visualization of High-Dimensional Categorical Data
[arXiv] 2026-07-16 | Quasi-Pfaffian Solutions to Integrable Systems via Sylvester-Moutard Transformations
[arXiv] 2026-07-16 | Flood risk estimation via geometric extremal graphical models
[arXiv] 2026-07-16 | Moral Attitudes of Sentient ASI towards Humanity and Implications for AGI Development
[arXiv] 2026-07-16 | Multimodal Semantic-Aware Contrastive Learning For False Negative Mitigation in 3D Medical Imaging
[arXiv] 2026-07-16 | OmniaBench: Benchmarking General AI Agents Across Diverse Scenarios
[arXiv] 2026-07-16 | 3-VASS Reachability is in EXPSPACE
[arXiv] 2026-07-16 | Immediate 3D Gaussian Splat Reconstruction of Unordered Input with Global Consistency
[arXiv] 2026-07-16 | How Alkali Metal Cations Affect the Structure and Reactivity of the Hydrated Dielectron
[arXiv] 2026-07-16 | Can Tokens Compete? Token Representations against Supervised CNN Backbones for BirdCLEF+ 2026
[arXiv] 2026-07-16 | Boosting Perovskite Light-Emitting Diodes Performance by Introducing High Work-function Metal Transition Layer
[arXiv] 2026-07-16 | Mixed-Agent Museum Tour Guide Design Improves Gendered Learning Outcomes and Visitor Preferences
[arXiv] 2026-07-16 | Memory-Driven Self-Propulsion and Flocking of Chemically Active Droplets
[arXiv] 2026-07-16 | Do Generative AI Assistants Respect robots.txt? Tracing Web Access Beyond Visible Answers
[arXiv] 2026-07-16 | Disclosure Divergence: Measuring Privacy Policy and Data Safety Misalignment at Scale
[arXiv] 2026-07-16 | Cayley Graphs Of Order $pqrs$ Are Hamiltonian
[arXiv] 2026-07-16 | Scalable Fabrication of Diamond-on-Silica Heterostructures via High-Selectivity Deep ICP-RIE and Room-Temperature Bonding
[arXiv] 2026-07-16 | Parallel analog quantum simulation in homogeneous quantum gases
[arXiv] 2026-07-16 | Graph alignment in sparse inhomogeneous models via self-overlap
[arXiv] 2026-07-16 | DINE: Distance Is Not Enough -- Learning Global Deformation Priors for Robust Soft-Tissue Point Cloud Registration
[arXiv] 2026-07-16 | Frequency-Structured Field Learning for Light-Field Disparity Estimation
[arXiv] 2026-07-16 | Strong $O$-valued contextuality: ruling out discrete nondeterministic alternatives to quantum theory
[arXiv] 2026-07-16 | Spot Profile Analysis Low Energy Electron Diffraction of Plasma-Enhanced Chemical Vapor Deposition Grown Epitaxial Few-Layer Graphene on Sapphire
[arXiv] 2026-07-16 | Classical Symmetries and Painleve Analysis for the (1+3) Kudryashov-Sinelshchikov Equation
[arXiv] 2026-07-16 | Intrinsic Spatial Position Resolution of P-type Point-Contact Germanium Detector
[arXiv] 2026-07-16 | Finite-Sample Conformal Coverage Recovery via Fusion under Degraded Local Guarantees in Occupancy Map Estimation
[arXiv] 2026-07-16 | Global quadratic estimates for degenerate elliptic operators on cylinders
[arXiv] 2026-07-16 | FlashDecoder: Real-Time Latent-to-Pixel Streaming Decoder with Transformers
[arXiv] 2026-07-16 | Leveraging Instruction Tuning and Merging for Reasoning Model Adaptation
[arXiv] 2026-07-16 | Does generative AI supersede supervised XMLC? A Benchmark Study on Automated Subject Indexing with German Scientific Literature
[arXiv] 2026-07-16 | Second-order rigidity of coned polytope frameworks and the stress-flex conjecture from a vector-valued Schläfli formula
[arXiv] 2026-07-16 | Kernel method for Möbius transformations and hyperbolic representations of groups
[arXiv] 2026-07-16 | Asymmetric Peak-Aware Loss for Peak-Critical Time Series Forecasting
[arXiv] 2026-07-16 | Randomized routing strategies of fleets of CAVs may prove market efficient
[arXiv] 2026-07-16 | CAMB v2: cosmological power spectra for high-precision surveys
