[2025-12-16 09:15:41] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-15
正在获取论文...
[arXiv] 2025-12-15 | Intrinsic Geometry of Operational Contexts: A Riemannian-Style Framework for Quantum Channels
[arXiv] 2025-12-15 | Phase-field simulation of domain switching in ferroelectric trilayer films under bending-induced strain gradient
[arXiv] 2025-12-15 | UAGLNet: Uncertainty-Aggregated Global-Local Fusion Network with Cooperative CNN-Transformer for Building Extraction
[arXiv] 2025-12-15 | Predicting the Thermal Conductivity Collapse in SWCNT Bundles: The Interplay of Symmetry Breaking and Scattering Revealed by Machine-Learning-Driven Quantum Transport
[arXiv] 2025-12-15 | Realizations and Uniqueness of Cut Complexes of Graphs
[arXiv] 2025-12-15 | Cocycle perturbations and ergodicity for actions on type III factors
[arXiv] 2025-12-15 | Information-Optimal Formation Geometry Design for Multimodal UAV Cooperative Perception
[arXiv] 2025-12-15 | LLM-based Personalized Portfolio Recommender: Integrating Large Language Models and Reinforcement Learning for Intelligent Investment Strategy Optimization
[arXiv] 2025-12-15 | Hyperuniform patterns nucleated at low temperatures: Insight from vortex matter imaged in unprecedentedly large fields-of-view
[arXiv] 2025-12-15 | Efficient Quantum-resistant Delegable Data Analysis Scheme with Revocation and Keyword Search in Mobile Cloud Computing
[arXiv] 2025-12-15 | PAC-Bayes Bounds for Multivariate Linear Regression and Linear Autoencoders
[arXiv] 2025-12-15 | Multiple Legendre polynomials in Diophantine approximation
[arXiv] 2025-12-15 | A Data Annotation Requirements Representation and Specification (DARS)
[arXiv] 2025-12-15 | From User Interface to Agent Interface: Efficiency Optimization of UI Representations for LLM Agents
[arXiv] 2025-12-15 | Two Families of Linear Codes Containing Non-GRS MDS Codes
[arXiv] 2025-12-15 | The motivic Galois group for a double zeta value
[arXiv] 2025-12-15 | Computer vision training dataset generation for robotic environments using Gaussian splatting
[arXiv] 2025-12-15 | The McKay conjecture with group automorphisms and the Okuyama-Wajima argument
[arXiv] 2025-12-15 | Improving Privacy Protection in the area of Behavioural Targeting
[arXiv] 2025-12-15 | Multiband neural network classification of ZTF light curves as LSST proxies
[arXiv] 2025-12-15 | Statistical properties of spicules in MURaM-ChE
[arXiv] 2025-12-15 | The locally free locus of Quot schemes on $\mathbb{P}^1$
[arXiv] 2025-12-15 | Universal Dexterous Functional Grasping via Demonstration-Editing Reinforcement Learning
[arXiv] 2025-12-15 | Bottomonium suppression and elliptic flow in an anisotropic quark-gluon plasma using the quantum trajectories method
